chrom,start,end,num,list,ENCFF042WXA_CTCF_sorted.bed,ENCFF090ZJH_CTCF_sorted.bed,ENCFF153CDM_CTCF_sorted.bed,ENCFF179UDP_CTCF_sorted.bed,ENCFF374VTS_CTCF_sorted.bed,ENCFF406IQL_CTCF_sorted.bed,ENCFF447AYX_CTCF_sorted.bed,ENCFF697VGB_CTCF_sorted.bed,ENCFF770ZIZ_CTCF_sorted.bed,ENCFF933UDR_CTCF_sorted.bed,ENCFF942DXM_CTCF_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778917,778924,9,"1,2,3,4,5,6,7,10,12",1,1,1,1,1,1,1,0,0,1,0,1
chr1,778924,778979,8,"1,2,4,5,6,7,10,12",1,1,0,1,1,1,1,0,0,1,0,1
chr1,778979,778982,7,"1,4,5,6,7,10,12",1,0,0,1,1,1,1,0,0,1,0,1
chr1,778982,778994,6,"1,4,5,6,7,12",1,0,0,1,1,1,1,0,0,0,0,1
chr1,778994,779007,5,"1,4,5,6,12",1,0,0,1,1,1,0,0,0,0,0,1
chr1,1000769,1000771,2,"3,12",0,0,1,0,0,0,0,0,0,0,0,1
chr1,1000771,1000904,3,"3,11,12",0,0,1,0,0,0,0,0,0,0,1,1
chr1,1019323,1019337,8,"1,2,3,4,8,9,11,12",1,1,1,1,0,0,0,1,1,0,1,1
chr1,1019337,1019340,9,"1,2,3,4,5,8,9,11,12",1,1,1,1,1,0,0,1,1,0,1,1
chr1,1019340,1019494,10,"1,2,3,4,5,7,8,9,11,12",1,1,1,1,1,0,1,1,1,0,1,1
chr1,1019494,1019510,9,"1,2,3,4,7,8,9,11,12",1,1,1,1,0,0,1,1,1,0,1,1
chr1,1019510,1019519,8,"1,2,3,4,8,9,11,12",1,1,1,1,0,0,0,1,1,0,1,1
chr1,1019519,1019535,6,"1,3,4,9,11,12",1,0,1,1,0,0,0,0,1,0,1,1
chr1,1019535,1019543,5,"1,3,4,11,12",1,0,1,1,0,0,0,0,0,0,1,1
chr1,1019543,1019545,4,"1,3,4,12",1,0,1,1,0,0,0,0,0,0,0,1
chr1,1019545,1019546,3,"3,4,12",0,0,1,1,0,0,0,0,0,0,0,1
chr1,1019546,1019556,2,"3,12",0,0,1,0,0,0,0,0,0,0,0,1
chr1,1059291,1059297,2,"4,12",0,0,0,1,0,0,0,0,0,0,0,1
chr1,1059297,1059299,3,"1,4,12",1,0,0,1,0,0,0,0,0,0,0,1
chr1,1059299,1059323,4,"1,4,5,12",1,0,0,1,1,0,0,0,0,0,0,1
chr1,1059323,1059355,5,"1,4,5,11,12",1,0,0,1,1,0,0,0,0,0,1,1
chr1,1059355,1059356,6,"1,2,4,5,11,12",1,1,0,1,1,0,0,0,0,0,1,1
chr1,1059356,1059526,7,"1,2,4,5,7,11,12",1,1,0,1,1,0,1,0,0,0,1,1
chr1,1059526,1059543,6,"1,2,4,5,11,12",1,1,0,1,1,0,0,0,0,0,1,1
chr1,1059543,1059547,5,"1,2,4,11,12",1,1,0,1,0,0,0,0,0,0,1,1
chr1,1059547,1059551,4,"2,4,11,12",0,1,0,1,0,0,0,0,0,0,1,1
chr1,1059551,1059559,3,"4,11,12",0,0,0,1,0,0,0,0,0,0,1,1
chr1,1059559,1059595,2,"4,12",0,0,0,1,0,0,0,0,0,0,0,1
chr1,1273969,1274205,2,"11,12",0,0,0,0,0,0,0,0,0,0,1,1
chr1,1308601,1308737,2,"3,12",0,0,1,0,0,0,0,0,0,0,0,1
chr1,1349306,1349310,5,"1,3,9,11,12",1,0,1,0,0,0,0,0,1,0,1,1
chr1,1349310,1349320,7,"1,2,3,7,9,11,12",1,1,1,0,0,0,1,0,1,0,1,1
chr1,1349320,1349480,8,"1,2,3,5,7,9,11,12",1,1,1,0,1,0,1,0,1,0,1,1
chr1,1349480,1349501,7,"1,2,3,5,9,11,12",1,1,1,0,1,0,0,0,1,0,1,1
chr1,1349501,1349506,6,"1,2,3,9,11,12",1,1,1,0,0,0,0,0,1,0,1,1
chr1,1349506,1349516,4,"1,3,11,12",1,0,1,0,0,0,0,0,0,0,1,1
chr1,1349516,1349523,3,"3,11,12",0,0,1,0,0,0,0,0,0,0,1,1
chr1,1349523,1349532,2,"3,12",0,0,1,0,0,0,0,0,0,0,0,1
chr1,1349673,1349789,2,"10,12",0,0,0,0,0,0,0,0,0,1,0,1
chr1,1349821,1349836,5,"2,3,10,11,12",0,1,1,0,0,0,0,0,0,1,1,1
chr1,1349836,1349844,6,"2,3,7,10,11,12",0,1,1,0,0,0,1,0,0,1,1,1
chr1,1349844,1349852,7,"2,3,5,7,10,11,12",0,1,1,0,1,0,1,0,0,1,1,1
chr1,1349852,1349860,8,"1,2,3,5,7,10,11,12",1,1,1,0,1,0,1,0,0,1,1,1
chr1,1349860,1349877,9,"1,2,3,4,5,7,10,11,12",1,1,1,1,1,0,1,0,0,1,1,1
chr1,1349877,1349970,10,"1,2,3,4,5,7,9,10,11,12",1,1,1,1,1,0,1,0,1,1,1,1
chr1,1349970,1349974,9,"1,2,3,4,5,7,10,11,12",1,1,1,1,1,0,1,0,0,1,1,1
chr1,1349974,1349982,8,"2,3,4,5,7,10,11,12",0,1,1,1,1,0,1,0,0,1,1,1
chr1,1349982,1350006,7,"2,3,5,7,10,11,12",0,1,1,0,1,0,1,0,0,1,1,1
chr1,1350006,1350012,6,"2,3,5,10,11,12",0,1,1,0,1,0,0,0,0,1,1,1
chr1,1375095,1375103,3,"6,10,12",0,0,0,0,0,1,0,0,0,1,0,1
chr1,1375103,1375145,4,"1,6,10,12",1,0,0,0,0,1,0,0,0,1,0,1
chr1,1375145,1375158,5,"1,6,9,10,12",1,0,0,0,0,1,0,0,1,1,0,1
chr1,1375158,1375168,6,"1,3,6,9,10,12",1,0,1,0,0,1,0,0,1,1,0,1
chr1,1375168,1375173,7,"1,3,6,9,10,11,12",1,0,1,0,0,1,0,0,1,1,1,1
chr1,1375173,1375184,8,"1,3,6,7,9,10,11,12",1,0,1,0,0,1,1,0,1,1,1,1
chr1,1375184,1375199,9,"1,3,6,7,8,9,10,11,12",1,0,1,0,0,1,1,1,1,1,1,1
chr1,1375199,1375329,10,"1,3,5,6,7,8,9,10,11,12",1,0,1,0,1,1,1,1,1,1,1,1
chr1,1375329,1375343,9,"1,3,6,7,8,9,10,11,12",1,0,1,0,0,1,1,1,1,1,1,1
chr1,1375343,1375353,8,"1,3,6,8,9,10,11,12",1,0,1,0,0,1,0,1,1,1,1,1
chr1,1375353,1375384,7,"3,6,8,9,10,11,12",0,0,1,0,0,1,0,1,1,1,1,1
chr1,1375384,1375385,6,"3,6,9,10,11,12",0,0,1,0,0,1,0,0,1,1,1,1
chr1,1375385,1375404,5,"3,6,10,11,12",0,0,1,0,0,1,0,0,0,1,1,1
chr1,1375404,1375408,4,"3,6,10,12",0,0,1,0,0,1,0,0,0,1,0,1
chr1,1375408,1375455,3,"6,10,12",0,0,0,0,0,1,0,0,0,1,0,1
chr1,1375455,1375507,2,"10,12",0,0,0,0,0,0,0,0,0,1,0,1
chr1,1399414,1399416,2,"10,12",0,0,0,0,0,0,0,0,0,1,0,1
chr1,1399416,1399418,3,"6,10,12",0,0,0,0,0,1,0,0,0,1,0,1
chr1,1399418,1399425,4,"4,6,10,12",0,0,0,1,0,1,0,0,0,1,0,1
chr1,1399425,1399439,5,"4,6,9,10,12",0,0,0,1,0,1,0,0,1,1,0,1
chr1,1399439,1399446,6,"3,4,6,9,10,12",0,0,1,1,0,1,0,0,1,1,0,1
chr1,1399446,1399456,7,"3,4,6,8,9,10,12",0,0,1,1,0,1,0,1,1,1,0,1
chr1,1399456,1399475,8,"1,3,4,6,8,9,10,12",1,0,1,1,0,1,0,1,1,1,0,1
chr1,1399475,1399479,9,"1,3,4,5,6,8,9,10,12",1,0,1,1,1,1,0,1,1,1,0,1
chr1,1399479,1399489,10,"1,2,3,4,5,6,8,9,10,12",1,1,1,1,1,1,0,1,1,1,0,1
chr1,1399489,1399519,11,"1,2,3,4,5,6,7,8,9,10,12",1,1,1,1,1,1,1,1,1,1,0,1
chr1,1399519,1399582,12,"1,2,3,4,5,6,7,8,9,10,11,12",1,1,1,1,1,1,1,1,1,1,1,1
chr1,1399582,1399646,11,"1,2,3,4,5,6,7,8,9,10,12",1,1,1,1,1,1,1,1,1,1,0,1
chr1,1399646,1399659,10,"1,2,3,4,5,6,7,9,10,12",1,1,1,1,1,1,1,0,1,1,0,1
chr1,1399659,1399664,9,"1,2,3,4,5,6,9,10,12",1,1,1,1,1,1,0,0,1,1,0,1
chr1,1399664,1399665,8,"1,2,3,4,5,6,9,12",1,1,1,1,1,1,0,0,1,0,0,1
chr1,1399665,1399666,7,"1,2,3,4,5,6,12",1,1,1,1,1,1,0,0,0,0,0,1
chr1,1399666,1399675,6,"1,2,3,4,6,12",1,1,1,1,0,1,0,0,0,0,0,1
chr1,1399675,1399678,5,"1,3,4,6,12",1,0,1,1,0,1,0,0,0,0,0,1
chr1,1440940,1440953,2,"10,12",0,0,0,0,0,0,0,0,0,1,0,1
chr1,1440953,1440967,3,"5,10,12",0,0,0,0,1,0,0,0,0,1,0,1
chr1,1440967,1440970,4,"5,6,10,12",0,0,0,0,1,1,0,0,0,1,0,1
chr1,1440970,1440978,5,"4,5,6,10,12",0,0,0,1,1,1,0,0,0,1,0,1
chr1,1440978,1440988,6,"1,4,5,6,10,12",1,0,0,1,1,1,0,0,0,1,0,1
chr1,1440988,1440996,7,"1,4,5,6,10,11,12",1,0,0,1,1,1,0,0,0,1,1,1
chr1,1440996,1441001,8,"1,3,4,5,6,10,11,12",1,0,1,1,1,1,0,0,0,1,1,1
chr1,1441001,1441003,9,"1,3,4,5,6,9,10,11,12",1,0,1,1,1,1,0,0,1,1,1,1
chr1,1441003,1441013,10,"1,2,3,4,5,6,9,10,11,12",1,1,1,1,1,1,0,0,1,1,1,1
chr1,1441013,1441020,11,"1,2,3,4,5,6,8,9,10,11,12",1,1,1,1,1,1,0,1,1,1,1,1
chr1,1441020,1441136,12,"1,2,3,4,5,6,7,8,9,10,11,12",1,1,1,1,1,1,1,1,1,1,1,1
chr1,1441136,1441138,11,"1,2,3,4,5,6,7,8,10,11,12",1,1,1,1,1,1,1,1,0,1,1,1
chr1,1441138,1441150,10,"1,2,4,5,6,7,8,10,11,12",1,1,0,1,1,1,1,1,0,1,1,1
chr1,1441150,1441151,9,"1,2,4,5,6,8,10,11,12",1,1,0,1,1,1,0,1,0,1,1,1
chr1,1441151,1441154,8,"1,2,4,5,6,10,11,12",1,1,0,1,1,1,0,0,0,1,1,1
chr1,1441154,1441159,7,"1,2,4,5,6,10,12",1,1,0,1,1,1,0,0,0,1,0,1
chr1,1441159,1441179,6,"1,4,5,6,10,12",1,0,0,1,1,1,0,0,0,1,0,1
chr1,1505494,1505512,2,"5,12",0,0,0,0,1,0,0,0,0,0,0,1
chr1,1505512,1505545,3,"5,6,12",0,0,0,0,1,1,0,0,0,0,0,1
chr1,1505545,1505559,4,"5,6,11,12",0,0,0,0,1,1,0,0,0,0,1,1
chr1,1505559,1505565,5,"1,5,6,11,12",1,0,0,0,1,1,0,0,0,0,1,1
chr1,1505565,1505595,6,"1,3,5,6,11,12",1,0,1,0,1,1,0,0,0,0,1,1
chr1,1505595,1505616,7,"1,3,5,6,8,11,12",1,0,1,0,1,1,0,1,0,0,1,1
chr1,1505616,1505705,8,"1,3,5,6,7,8,11,12",1,0,1,0,1,1,1,1,0,0,1,1
chr1,1505705,1505768,7,"1,3,6,7,8,11,12",1,0,1,0,0,1,1,1,0,0,1,1
chr1,1511669,1511905,2,"11,12",0,0,0,0,0,0,0,0,0,0,1,1
chr1,1574771,1574780,2,"5,12",0,0,0,0,1,0,0,0,0,0,0,1
chr1,1574780,1575015,3,"3,5,12",0,0,1,0,1,0,0,0,0,0,0,1
chr1,1575015,1575030,2,"3,12",0,0,1,0,0,0,0,0,0,0,0,1
chr1,1659064,1659231,2,"3,12",0,0,1,0,0,0,0,0,0,0,0,1
chr1,1659231,1659314,3,"3,9,12",0,0,1,0,0,0,0,0,1,0,0,1
chr1,1659314,1659315,2,"9,12",0,0,0,0,0,0,0,0,1,0,0,1
chr1,1659315,1659471,3,"9,11,12",0,0,0,0,0,0,0,0,1,0,1,1
chr1,1659471,1659508,2,"11,12",0,0,0,0,0,0,0,0,0,0,1,1
chr1,1724344,1724355,2,"6,12",0,0,0,0,0,1,0,0,0,0,0,1
chr1,1724355,1724365,3,"3,6,12",0,0,1,0,0,1,0,0,0,0,0,1
chr1,1724365,1724519,4,"3,6,11,12",0,0,1,0,0,1,0,0,0,0,1,1
chr1,1724519,1724544,5,"3,6,9,11,12",0,0,1,0,0,1,0,0,1,0,1,1
chr1,1724544,1724558,6,"1,3,6,9,11,12",1,0,1,0,0,1,0,0,1,0,1,1
chr1,1724558,1724605,7,"1,3,6,9,10,11,12",1,0,1,0,0,1,0,0,1,1,1,1
chr1,1724605,1724704,6,"1,6,9,10,11,12",1,0,0,0,0,1,0,0,1,1,1,1
chr1,1724704,1724759,5,"1,9,10,11,12",1,0,0,0,0,0,0,0,1,1,1,1
chr1,1724759,1724794,4,"1,10,11,12",1,0,0,0,0,0,0,0,0,1,1,1
chr1,1724794,1724804,3,"10,11,12",0,0,0,0,0,0,0,0,0,1,1,1
chr1,1724804,1724825,2,"10,12",0,0,0,0,0,0,0,0,0,1,0,1
chr1,1759045,1759219,2,"5,12",0,0,0,0,1,0,0,0,0,0,0,1
chr1,1778299,1778372,2,"5,12",0,0,0,0,1,0,0,0,0,0,0,1
chr1,1778919,1778931,2,"10,12",0,0,0,0,0,0,0,0,0,1,0,1
chr1,1778931,1778954,3,"4,10,12",0,0,0,1,0,0,0,0,0,1,0,1
chr1,1778954,1778964,4,"4,5,10,12",0,0,0,1,1,0,0,0,0,1,0,1
chr1,1778964,1779007,5,"4,5,6,10,12",0,0,0,1,1,1,0,0,0,1,0,1
chr1,1779007,1779034,6,"1,4,5,6,10,12",1,0,0,1,1,1,0,0,0,1,0,1
chr1,1779034,1779038,7,"1,3,4,5,6,10,12",1,0,1,1,1,1,0,0,0,1,0,1
chr1,1779038,1779053,8,"1,3,4,5,6,9,10,12",1,0,1,1,1,1,0,0,1,1,0,1
chr1,1779053,1779056,9,"1,3,4,5,6,8,9,10,12",1,0,1,1,1,1,0,1,1,1,0,1
chr1,1779056,1779070,10,"1,2,3,4,5,6,8,9,10,12",1,1,1,1,1,1,0,1,1,1,0,1
chr1,1779070,1779072,11,"1,2,3,4,5,6,8,9,10,11,12",1,1,1,1,1,1,0,1,1,1,1,1
chr1,1779072,1779198,12,"1,2,3,4,5,6,7,8,9,10,11,12",1,1,1,1,1,1,1,1,1,1,1,1
chr1,1779198,1779221,11,"1,2,3,4,6,7,8,9,10,11,12",1,1,1,1,0,1,1,1,1,1,1,1
chr1,1906267,1906289,4,"5,6,10,12",0,0,0,0,1,1,0,0,0,1,0,1
chr1,1906289,1906299,5,"5,6,9,10,12",0,0,0,0,1,1,0,0,1,1,0,1
chr1,1906299,1906307,6,"5,6,9,10,11,12",0,0,0,0,1,1,0,0,1,1,1,1
chr1,1906307,1906314,7,"1,5,6,9,10,11,12",1,0,0,0,1,1,0,0,1,1,1,1
chr1,1906314,1906322,9,"1,3,4,5,6,9,10,11,12",1,0,1,1,1,1,0,0,1,1,1,1
chr1,1906322,1906324,10,"1,2,3,4,5,6,9,10,11,12",1,1,1,1,1,1,0,0,1,1,1,1
chr1,1906324,1906326,11,"1,2,3,4,5,6,7,9,10,11,12",1,1,1,1,1,1,1,0,1,1,1,1
chr1,1906326,1906483,12,"1,2,3,4,5,6,7,8,9,10,11,12",1,1,1,1,1,1,1,1,1,1,1,1
chr1,1906483,1906492,11,"1,2,3,4,5,6,7,8,10,11,12",1,1,1,1,1,1,1,1,0,1,1,1
chr1,1906492,1906493,10,"1,2,3,4,5,6,8,10,11,12",1,1,1,1,1,1,0,1,0,1,1,1
chr1,1906493,1906496,9,"1,2,4,5,6,8,10,11,12",1,1,0,1,1,1,0,1,0,1,1,1
chr1,1906496,1906501,8,"1,4,5,6,8,10,11,12",1,0,0,1,1,1,0,1,0,1,1,1
chr1,1906501,1906504,7,"1,4,5,6,10,11,12",1,0,0,1,1,1,0,0,0,1,1,1
chr1,1906504,1906506,6,"1,5,6,10,11,12",1,0,0,0,1,1,0,0,0,1,1,1
chr1,1906506,1906510,5,"1,5,6,10,12",1,0,0,0,1,1,0,0,0,1,0,1
chr1,1906510,1906526,4,"1,6,10,12",1,0,0,0,0,1,0,0,0,1,0,1
chr1,1908972,1908986,2,"4,12",0,0,0,1,0,0,0,0,0,0,0,1
chr1,1908986,1909017,3,"4,10,12",0,0,0,1,0,0,0,0,0,1,0,1
chr1,1909017,1909033,4,"4,5,10,12",0,0,0,1,1,0,0,0,0,1,0,1
chr1,1909033,1909037,5,"4,5,8,10,12",0,0,0,1,1,0,0,1,0,1,0,1
chr1,1909037,1909047,6,"3,4,5,8,10,12",0,0,1,1,1,0,0,1,0,1,0,1
chr1,1909047,1909051,8,"3,4,5,7,8,10,11,12",0,0,1,1,1,0,1,1,0,1,1,1
chr1,1909051,1909071,9,"1,3,4,5,7,8,10,11,12",1,0,1,1,1,0,1,1,0,1,1,1
chr1,1909071,1909078,10,"1,3,4,5,7,8,9,10,11,12",1,0,1,1,1,0,1,1,1,1,1,1
chr1,1909078,1909158,11,"1,2,3,4,5,7,8,9,10,11,12",1,1,1,1,1,0,1,1,1,1,1,1
chr1,1909158,1909161,10,"1,3,4,5,7,8,9,10,11,12",1,0,1,1,1,0,1,1,1,1,1,1
chr1,1909161,1909184,9,"1,4,5,7,8,9,10,11,12",1,0,0,1,1,0,1,1,1,1,1,1
chr1,1909184,1909185,8,"1,4,5,7,8,9,10,12",1,0,0,1,1,0,1,1,1,1,0,1
chr1,1909185,1909186,7,"4,5,7,8,9,10,12",0,0,0,1,1,0,1,1,1,1,0,1
chr1,1909186,1909189,6,"4,5,7,8,10,12",0,0,0,1,1,0,1,1,0,1,0,1
chr1,1909189,1909217,5,"4,5,7,8,12",0,0,0,1,1,0,1,1,0,0,0,1
chr1,1909217,1909233,4,"4,5,8,12",0,0,0,1,1,0,0,1,0,0,0,1
chr1,1909233,1909276,2,"4,12",0,0,0,1,0,0,0,0,0,0,0,1
chr1,1918974,1918978,2,"10,12",0,0,0,0,0,0,0,0,0,1,0,1
chr1,1918978,1918982,3,"3,10,12",0,0,1,0,0,0,0,0,0,1,0,1
chr1,1918982,1919014,4,"1,3,10,12",1,0,1,0,0,0,0,0,0,1,0,1
chr1,1919014,1919024,5,"1,3,5,10,12",1,0,1,0,1,0,0,0,0,1,0,1
chr1,1919024,1919228,6,"1,3,5,10,11,12",1,0,1,0,1,0,0,0,0,1,1,1
chr1,1919228,1919232,5,"1,5,10,11,12",1,0,0,0,1,0,0,0,0,1,1,1
chr1,1919232,1919258,4,"5,10,11,12",0,0,0,0,1,0,0,0,0,1,1,1
chr1,1919258,1919259,3,"10,11,12",0,0,0,0,0,0,0,0,0,1,1,1
chr1,1919259,1919260,2,"11,12",0,0,0,0,0,0,0,0,0,0,1,1
chr1,1919519,1919769,2,"3,12",0,0,1,0,0,0,0,0,0,0,0,1
chr1,2133227,2133477,2,"3,12",0,0,1,0,0,0,0,0,0,0,0,1
chr1,2189426,2189557,2,"3,12",0,0,1,0,0,0,0,0,0,0,0,1
chr1,2212604,2212632,2,"10,12",0,0,0,0,0,0,0,0,0,1,0,1
chr1,2212632,2212723,3,"6,10,12",0,0,0,0,0,1,0,0,0,1,0,1
chr1,2212723,2212744,4,"6,10,11,12",0,0,0,0,0,1,0,0,0,1,1,1
chr1,2212744,2212751,5,"1,6,10,11,12",1,0,0,0,0,1,0,0,0,1,1,1
chr1,2212751,2212753,7,"1,2,5,6,10,11,12",1,1,0,0,1,1,0,0,0,1,1,1
chr1,2212753,2212760,8,"1,2,3,5,6,10,11,12",1,1,1,0,1,1,0,0,0,1,1,1
chr1,2212760,2212930,9,"1,2,3,5,6,7,10,11,12",1,1,1,0,1,1,1,0,0,1,1,1
chr1,2212930,2212947,8,"1,2,3,5,6,10,11,12",1,1,1,0,1,1,0,0,0,1,1,1
chr1,2212947,2212959,7,"1,3,5,6,10,11,12",1,0,1,0,1,1,0,0,0,1,1,1
chr1,2212959,2212994,6,"1,3,5,6,10,12",1,0,1,0,1,1,0,0,0,1,0,1
chr1,2212994,2212995,5,"3,5,6,10,12",0,0,1,0,1,1,0,0,0,1,0,1
chr1,2212995,2213003,4,"3,6,10,12",0,0,1,0,0,1,0,0,0,1,0,1
chr1,2213003,2213074,3,"6,10,12",0,0,0,0,0,1,0,0,0,1,0,1
chr1,2213074,2213196,2,"6,12",0,0,0,0,0,1,0,0,0,0,0,1
chr1,2227549,2227617,3,"5,11,12",0,0,0,0,1,0,0,0,0,0,1,1
chr1,2227617,2227764,2,"5,12",0,0,0,0,1,0,0,0,0,0,0,1
chr1,2381801,2381809,2,"10,12",0,0,0,0,0,0,0,0,0,1,0,1
chr1,2381809,2381823,3,"5,10,12",0,0,0,0,1,0,0,0,0,1,0,1
chr1,2381823,2381830,4,"5,6,10,12",0,0,0,0,1,1,0,0,0,1,0,1
chr1,2381830,2381832,6,"1,4,5,6,10,12",1,0,0,1,1,1,0,0,0,1,0,1
chr1,2381832,2381845,8,"1,4,5,6,9,10,11,12",1,0,0,1,1,1,0,0,1,1,1,1
chr1,2381845,2381846,9,"1,3,4,5,6,9,10,11,12",1,0,1,1,1,1,0,0,1,1,1,1
chr1,2381846,2381861,10,"1,2,3,4,5,6,9,10,11,12",1,1,1,1,1,1,0,0,1,1,1,1
chr1,2381861,2381878,11,"1,2,3,4,5,6,7,9,10,11,12",1,1,1,1,1,1,1,0,1,1,1,1
chr1,2381878,2381992,12,"1,2,3,4,5,6,7,8,9,10,11,12",1,1,1,1,1,1,1,1,1,1,1,1
chr1,2381992,2381993,11,"1,2,3,4,5,6,7,9,10,11,12",1,1,1,1,1,1,1,0,1,1,1,1
chr1,2381993,2381998,10,"1,3,4,5,6,7,9,10,11,12",1,0,1,1,1,1,1,0,1,1,1,1
chr1,2381998,2382003,9,"1,3,4,5,6,9,10,11,12",1,0,1,1,1,1,0,0,1,1,1,1
chr1,2382003,2382009,8,"1,4,5,6,9,10,11,12",1,0,0,1,1,1,0,0,1,1,1,1
chr1,2382009,2382013,7,"1,4,5,6,10,11,12",1,0,0,1,1,1,0,0,0,1,1,1
chr1,2382013,2382023,6,"1,4,5,6,10,12",1,0,0,1,1,1,0,0,0,1,0,1
chr1,2382023,2382029,4,"1,6,10,12",1,0,0,0,0,1,0,0,0,1,0,1
chr1,2382029,2382031,3,"6,10,12",0,0,0,0,0,1,0,0,0,1,0,1
chr1,2382031,2382054,2,"10,12",0,0,0,0,0,0,0,0,0,1,0,1
chr1,2546914,2547051,3,"3,11,12",0,0,1,0,0,0,0,0,0,0,1,1
chr1,2547051,2547094,2,"3,12",0,0,1,0,0,0,0,0,0,0,0,1
chr1,2643195,2643210,2,"3,12",0,0,1,0,0,0,0,0,0,0,0,1
chr1,2643210,2643400,3,"3,11,12",0,0,1,0,0,0,0,0,0,0,1,1
chr1,3619041,3619064,2,"10,12",0,0,0,0,0,0,0,0,0,1,0,1
chr1,3619064,3619072,3,"6,10,12",0,0,0,0,0,1,0,0,0,1,0,1
chr1,3619072,3619075,4,"1,6,10,12",1,0,0,0,0,1,0,0,0,1,0,1
chr1,3619075,3619079,5,"1,6,9,10,12",1,0,0,0,0,1,0,0,1,1,0,1
chr1,3619079,3619080,6,"1,5,6,9,10,12",1,0,0,0,1,1,0,0,1,1,0,1
chr1,3619080,3619106,7,"1,5,6,9,10,11,12",1,0,0,0,1,1,0,0,1,1,1,1
chr1,3619106,3619109,8,"1,3,5,6,9,10,11,12",1,0,1,0,1,1,0,0,1,1,1,1
chr1,3619109,3619128,9,"1,3,4,5,6,9,10,11,12",1,0,1,1,1,1,0,0,1,1,1,1
chr1,3619128,3619129,10,"1,3,4,5,6,7,9,10,11,12",1,0,1,1,1,1,1,0,1,1,1,1
chr1,3619129,3619136,11,"1,3,4,5,6,7,8,9,10,11,12",1,0,1,1,1,1,1,1,1,1,1,1
chr1,3619136,3619185,12,"1,2,3,4,5,6,7,8,9,10,11,12",1,1,1,1,1,1,1,1,1,1,1,1
chr1,3619185,3619236,11,"1,2,3,5,6,7,8,9,10,11,12",1,1,1,0,1,1,1,1,1,1,1,1
chr1,3619236,3619239,10,"1,2,3,5,6,7,9,10,11,12",1,1,1,0,1,1,1,0,1,1,1,1
chr1,3619239,3619247,9,"1,3,5,6,7,9,10,11,12",1,0,1,0,1,1,1,0,1,1,1,1
chr1,3619247,3619277,8,"1,3,5,6,9,10,11,12",1,0,1,0,1,1,0,0,1,1,1,1
chr1,3619277,3619288,7,"1,5,6,9,10,11,12",1,0,0,0,1,1,0,0,1,1,1,1
chr1,3619288,3619290,6,"1,5,6,9,10,12",1,0,0,0,1,1,0,0,1,1,0,1
chr1,3619290,3619293,5,"1,6,9,10,12",1,0,0,0,0,1,0,0,1,1,0,1
chr1,3619293,3619302,4,"1,6,10,12",1,0,0,0,0,1,0,0,0,1,0,1
chr1,3649929,3649939,6,"1,3,7,9,11,12",1,0,1,0,0,0,1,0,1,0,1,1
chr1,3649939,3649996,7,"1,3,7,8,9,11,12",1,0,1,0,0,0,1,1,1,0,1,1
chr1,3649996,3650012,8,"1,3,7,8,9,10,11,12",1,0,1,0,0,0,1,1,1,1,1,1
chr1,3650012,3650092,9,"1,3,5,7,8,9,10,11,12",1,0,1,0,1,0,1,1,1,1,1,1
chr1,3650092,3650101,8,"1,3,5,8,9,10,11,12",1,0,1,0,1,0,0,1,1,1,1,1
chr1,3650101,3650133,7,"1,3,8,9,10,11,12",1,0,1,0,0,0,0,1,1,1,1,1
