chrom,start,end,num,list,ENCFF046UEE_RFX5_sorted.bed,ENCFF404XDD_RFX5_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,44807520,44807605,2,"1,3",1,0,1
chr1,44819770,44820391,2,"2,3",0,1,1
chr1,45583305,45584118,3,"1,2,3",1,1,1
chr1,45584118,45584137,2,"2,3",0,1,1
chr1,46132892,46133028,2,"1,3",1,0,1
chr1,46133028,46133413,3,"1,2,3",1,1,1
chr1,46133413,46133433,2,"2,3",0,1,1
chr1,62436244,62436277,2,"2,3",0,1,1
chr1,62436277,62436608,3,"1,2,3",1,1,1
chr1,62436608,62436641,2,"1,3",1,0,1
chr1,70205387,70205751,2,"1,3",1,0,1
chr1,70354300,70354865,2,"2,3",0,1,1
chr1,70410869,70410980,2,"1,3",1,0,1
chr1,70410980,70411233,3,"1,2,3",1,1,1
chr1,70411233,70411344,2,"2,3",0,1,1
chr1,75785960,75786324,2,"1,3",1,0,1
chr1,86396157,86396507,2,"1,3",1,0,1
chr1,87328247,87328611,2,"1,3",1,0,1
chr1,110338942,110338970,2,"2,3",0,1,1
chr1,110338970,110339306,3,"1,2,3",1,1,1
chr1,110339306,110339334,2,"1,3",1,0,1
chr1,121184435,121184799,2,"1,3",1,0,1
chr1,143735877,143736241,2,"2,3",0,1,1
chr1,144551592,144551956,2,"2,3",0,1,1
chr1,144551986,144552055,2,"1,3",1,0,1
chr1,144552128,144552350,2,"1,3",1,0,1
chr1,148264778,148265142,2,"1,3",1,0,1
chr1,148522605,148522969,2,"2,3",0,1,1
chr1,149886625,149886989,2,"1,3",1,0,1
chr1,150282129,150282493,2,"1,3",1,0,1
chr1,150561975,150561992,2,"1,3",1,0,1
chr1,150561992,150562346,3,"1,2,3",1,1,1
chr1,150697045,150697057,2,"2,3",0,1,1
chr1,150697057,150697409,3,"1,2,3",1,1,1
chr1,150697409,150697578,2,"1,3",1,0,1
chr1,150895673,150895745,2,"2,3",0,1,1
chr1,150895745,150896006,3,"1,2,3",1,1,1
chr1,151006779,151006934,2,"1,3",1,0,1
chr1,151008150,151008486,2,"1,3",1,0,1
chr1,151070470,151070834,2,"2,3",0,1,1
chr1,151281877,151282241,2,"2,3",0,1,1
chr1,151346838,151346889,2,"1,3",1,0,1
chr1,151346889,151347734,3,"1,2,3",1,1,1
chr1,151347734,151347751,2,"1,3",1,0,1
chr1,151790378,151790528,2,"2,3",0,1,1
chr1,151790528,151790892,3,"1,2,3",1,1,1
chr1,151790892,151790941,2,"2,3",0,1,1
chr1,151941369,151941434,2,"1,3",1,0,1
chr1,151992419,151992564,2,"2,3",0,1,1
chr1,153671386,153671487,2,"1,3",1,0,1
chr1,153671487,153671709,3,"1,2,3",1,1,1
chr1,153967320,153967684,2,"2,3",0,1,1
chr1,154479823,154480013,3,"1,2,3",1,1,1
chr1,154480013,154480076,2,"2,3",0,1,1
chr1,154974290,154974750,2,"1,3",1,0,1
chr1,155001011,155001114,3,"1,2,3",1,1,1
chr1,155001114,155001144,2,"1,3",1,0,1
chr1,155135691,155136055,2,"1,3",1,0,1
chr1,155194722,155195086,2,"2,3",0,1,1
chr1,155244584,155244607,2,"2,3",0,1,1
chr1,155244607,155244948,3,"1,2,3",1,1,1
chr1,155244948,155244971,2,"1,3",1,0,1
chr1,155323176,155323540,2,"1,3",1,0,1
chr1,156054522,156055105,2,"1,3",1,0,1
chr1,156194056,156194380,2,"1,3",1,0,1
chr1,156421489,156421963,2,"2,3",0,1,1
chr1,156501204,156501596,2,"1,3",1,0,1
chr1,156746758,156747122,2,"2,3",0,1,1
chr1,156920570,156920745,2,"2,3",0,1,1
chr1,159780653,159781017,2,"1,3",1,0,1
chr1,161399199,161399365,2,"2,3",0,1,1
chr1,161766105,161766438,2,"1,3",1,0,1
chr1,166839035,166839040,2,"1,3",1,0,1
chr1,166839040,166839377,3,"1,2,3",1,1,1
chr1,166839377,166839404,2,"2,3",0,1,1
chr1,166876267,166876631,2,"2,3",0,1,1
chr1,167935980,167936554,2,"1,3",1,0,1
chr1,168178648,168179012,2,"2,3",0,1,1
chr1,171313782,171314256,2,"1,3",1,0,1
chr1,171781374,171781440,2,"1,3",1,0,1
chr1,171781440,171781738,3,"1,2,3",1,1,1
chr1,171781738,171781804,2,"2,3",0,1,1
chr1,172532306,172532670,2,"1,3",1,0,1
chr1,172532902,172532987,2,"1,3",1,0,1
chr1,172532987,172533266,3,"1,2,3",1,1,1
chr1,172533266,172533351,2,"2,3",0,1,1
chr1,173824484,173825051,2,"1,3",1,0,1
chr1,173867795,173868159,2,"1,3",1,0,1
chr1,174999364,174999368,2,"1,3",1,0,1
chr1,174999368,174999728,3,"1,2,3",1,1,1
chr1,174999728,174999732,2,"2,3",0,1,1
chr1,179293501,179293511,2,"1,3",1,0,1
chr1,179293511,179293865,3,"1,2,3",1,1,1
chr1,179293865,179293875,2,"2,3",0,1,1
chr1,181033785,181034168,3,"1,2,3",1,1,1
chr1,181088478,181088842,2,"1,3",1,0,1
chr1,182839394,182839758,2,"1,3",1,0,1
chr1,183023596,183023960,2,"2,3",0,1,1
chr1,183471640,183472004,2,"1,3",1,0,1
chr1,183635621,183635985,2,"1,3",1,0,1
chr1,186375459,186375823,2,"1,3",1,0,1
chr1,186680280,186680644,2,"1,3",1,0,1
chr1,193121856,193122426,2,"2,3",0,1,1
chr1,197902352,197902919,2,"2,3",0,1,1
chr1,200669445,200669809,2,"2,3",0,1,1
chr1,201955267,201955631,2,"1,3",1,0,1
chr1,202341910,202342240,2,"1,3",1,0,1
chr1,203007100,203007102,2,"2,3",0,1,1
chr1,203007102,203007464,3,"1,2,3",1,1,1
chr1,203007464,203007466,2,"1,3",1,0,1
chr1,203117839,203118126,2,"1,3",1,0,1
chr1,203327210,203327241,2,"1,3",1,0,1
chr1,203327241,203327653,3,"1,2,3",1,1,1
chr1,203327653,203327672,2,"1,3",1,0,1
chr1,204418026,204418122,2,"1,3",1,0,1
chr1,204506869,204507233,2,"2,3",0,1,1
chr1,206202919,206203283,2,"1,3",1,0,1
chr1,210373744,210373831,2,"2,3",0,1,1
chr1,210373831,210374084,3,"1,2,3",1,1,1
chr1,210374084,210374108,2,"2,3",0,1,1
chr1,211579104,211579468,2,"2,3",0,1,1
chr1,211675544,211675559,2,"2,3",0,1,1
chr1,211675559,211675803,3,"1,2,3",1,1,1
chr1,211675803,211675923,2,"1,3",1,0,1
chr1,212035574,212035851,2,"2,3",0,1,1
chr1,212285020,212285021,2,"2,3",0,1,1
chr1,212285021,212285384,3,"1,2,3",1,1,1
chr1,212285384,212285385,2,"1,3",1,0,1
chr1,212791592,212791956,2,"2,3",0,1,1
chr1,212857889,212858021,2,"2,3",0,1,1
chr1,212858021,212858253,3,"1,2,3",1,1,1
chr1,212858253,212858385,2,"1,3",1,0,1
chr1,214602855,214603219,2,"1,3",1,0,1
chr1,217631203,217631230,2,"1,3",1,0,1
chr1,217631230,217631399,3,"1,2,3",1,1,1
chr1,217631399,217631437,2,"2,3",0,1,1
chr1,218285072,218285436,2,"2,3",0,1,1
chr1,220272477,220272841,2,"2,3",0,1,1
chr1,223992534,223992898,2,"1,3",1,0,1
chr1,225777716,225778080,2,"2,3",0,1,1
chr1,225813350,225813714,2,"1,3",1,0,1
chr1,226186498,226186862,2,"1,3",1,0,1
chr1,227563419,227564017,2,"2,3",0,1,1
chr1,228139891,228140255,2,"1,3",1,0,1
chr1,228165749,228165753,2,"2,3",0,1,1
chr1,228165753,228166113,3,"1,2,3",1,1,1
chr1,228166113,228166117,2,"1,3",1,0,1
chr1,228486610,228486640,2,"2,3",0,1,1
chr1,229507938,229508012,2,"1,3",1,0,1
chr1,229508012,229508290,3,"1,2,3",1,1,1
chr1,229508290,229508376,2,"2,3",0,1,1
chr1,229626130,229626494,2,"2,3",0,1,1
chr1,231337409,231337773,2,"2,3",0,1,1
chr1,234610722,234611086,2,"2,3",0,1,1
chr1,234987779,234987966,2,"1,3",1,0,1
chr1,235367379,235367743,2,"2,3",0,1,1
chr1,246566323,246566687,2,"1,3",1,0,1
chr1,247210692,247210707,2,"2,3",0,1,1
chr1,247210707,247211056,3,"1,2,3",1,1,1
chr1,247211056,247211071,2,"1,3",1,0,1
chr1,248825828,248826192,2,"1,3",1,0,1
chr1,248826537,248826825,2,"1,3",1,0,1
chr1,248837944,248837973,2,"1,3",1,0,1
chr1,248837973,248839218,3,"1,2,3",1,1,1
chr1,248858937,248859301,2,"1,3",1,0,1
chr1,248906100,248906112,2,"2,3",0,1,1
chr1,248906112,248906664,3,"1,2,3",1,1,1
chr1,248906664,248906676,2,"1,3",1,0,1
chr10,931549,931623,2,"1,3",1,0,1
chr10,931623,931913,3,"1,2,3",1,1,1
chr10,931913,931987,2,"2,3",0,1,1
chr10,988284,988648,2,"1,3",1,0,1
chr10,1048889,1048977,2,"1,3",1,0,1
chr10,1048977,1049124,3,"1,2,3",1,1,1
chr10,1049124,1049253,2,"1,3",1,0,1
chr10,4663157,4663422,2,"1,3",1,0,1
chr10,4963229,4963533,2,"1,3",1,0,1
chr10,7788325,7788689,2,"1,3",1,0,1
chr10,7818240,7818806,2,"1,3",1,0,1
chr10,12068556,12068623,2,"1,3",1,0,1
chr10,12068623,12068987,3,"1,2,3",1,1,1
chr10,12068987,12069128,2,"1,3",1,0,1
chr10,12196001,12196365,2,"2,3",0,1,1
chr10,13161347,13161711,2,"2,3",0,1,1
chr10,14820148,14820240,2,"2,3",0,1,1
chr10,14820240,14820419,3,"1,2,3",1,1,1
chr10,14837680,14838406,3,"1,2,3",1,1,1
chr10,14838406,14838419,2,"1,3",1,0,1
chr10,14878401,14879001,2,"2,3",0,1,1
chr10,14953942,14954306,2,"2,3",0,1,1
chr10,14959673,14960037,2,"1,3",1,0,1
chr10,17228601,17228965,2,"2,3",0,1,1
chr10,18651557,18652032,2,"2,3",0,1,1
chr10,21495704,21496068,2,"1,3",1,0,1
chr10,25015998,25016032,2,"2,3",0,1,1
chr10,25016032,25016322,3,"1,2,3",1,1,1
chr10,25016322,25016577,2,"2,3",0,1,1
chr10,25016911,25017187,2,"1,3",1,0,1
chr10,28677202,28677566,2,"1,3",1,0,1
chr10,32446038,32446402,2,"1,3",1,0,1
chr10,35126943,35126956,2,"1,3",1,0,1
chr10,35126956,35127307,3,"1,2,3",1,1,1
chr10,35127307,35127320,2,"2,3",0,1,1
chr10,44959163,44959497,2,"2,3",0,1,1
chr10,45672599,45672605,2,"2,3",0,1,1
chr10,45672605,45673111,3,"1,2,3",1,1,1
chr10,45673111,45673123,2,"2,3",0,1,1
chr10,46540968,46541106,2,"1,3",1,0,1
chr10,51699516,51699880,2,"1,3",1,0,1
chr10,56361315,56361679,2,"2,3",0,1,1
chr10,65570138,65570372,3,"1,2,3",1,1,1
chr10,65570372,65570590,2,"2,3",0,1,1
chr10,68988522,68988886,2,"1,3",1,0,1
chr10,69446657,69446685,2,"2,3",0,1,1
chr10,69446685,69446877,3,"1,2,3",1,1,1
chr10,70146561,70147125,2,"2,3",0,1,1
chr10,70382479,70382843,2,"1,3",1,0,1
chr10,70387386,70387436,2,"1,3",1,0,1
chr10,70387436,70387923,3,"1,2,3",1,1,1
chr10,70387923,70387927,2,"1,3",1,0,1
chr10,72215924,72216288,2,"1,3",1,0,1
chr10,72272751,72273087,2,"2,3",0,1,1
chr10,72273615,72273649,2,"1,3",1,0,1
chr10,72273649,72273959,3,"1,2,3",1,1,1
chr10,72273959,72273967,2,"1,3",1,0,1
chr10,72692060,72692424,2,"1,3",1,0,1
chr10,73744048,73744412,2,"1,3",1,0,1
chr10,74150623,74150987,2,"1,3",1,0,1
chr10,74826184,74826751,2,"1,3",1,0,1
chr10,75235936,75236195,2,"1,3",1,0,1
chr10,75401507,75401871,2,"2,3",0,1,1
chr10,78033704,78034068,2,"1,3",1,0,1
chr10,80079205,80079412,2,"1,3",1,0,1
chr10,84328730,84329094,2,"2,3",0,1,1
chr10,86521649,86522219,2,"1,3",1,0,1
chr10,89643893,89644257,2,"1,3",1,0,1
chr10,91923603,91924210,2,"2,3",0,1,1
chr10,93993774,93993888,2,"2,3",0,1,1
chr10,93993888,93994252,3,"1,2,3",1,1,1
chr10,93994252,93994341,2,"2,3",0,1,1
chr10,97574882,97574997,2,"1,3",1,0,1
chr10,97574997,97575148,3,"1,2,3",1,1,1
chr10,97575148,97575379,2,"1,3",1,0,1
chr10,97633357,97633362,2,"2,3",0,1,1
chr10,97633362,97633721,3,"1,2,3",1,1,1
chr10,97633721,97633726,2,"1,3",1,0,1
chr10,97640397,97640761,2,"1,3",1,0,1
chr10,99430562,99430608,2,"1,3",1,0,1
chr10,99430608,99430909,3,"1,2,3",1,1,1
chr10,99430909,99430933,2,"1,3",1,0,1
chr10,99620655,99621019,2,"1,3",1,0,1
chr10,100346840,100347404,2,"2,3",0,1,1
chr10,100373336,100373700,2,"2,3",0,1,1
chr10,100481539,100482195,3,"1,2,3",1,1,1
chr10,100482195,100482309,2,"1,3",1,0,1
chr10,100482563,100482623,2,"2,3",0,1,1
chr10,100482623,100482662,3,"1,2,3",1,1,1
chr10,100482662,100482803,2,"1,3",1,0,1
chr10,100987132,100987184,2,"2,3",0,1,1
chr10,100987237,100987601,2,"2,3",0,1,1
chr10,101217521,101217745,3,"1,2,3",1,1,1
chr10,102152077,102152441,2,"1,3",1,0,1
chr10,102226086,102226450,2,"2,3",0,1,1
chr10,102245319,102245371,2,"2,3",0,1,1
chr10,102245371,102245575,3,"1,2,3",1,1,1
chr10,102245575,102245859,2,"2,3",0,1,1
chr10,102394245,102394247,2,"1,3",1,0,1
chr10,102394247,102394609,3,"1,2,3",1,1,1
chr10,102394609,102394611,2,"2,3",0,1,1
chr10,102420859,102421223,2,"1,3",1,0,1
chr10,102854065,102854638,2,"1,3",1,0,1
chr10,102917977,102918341,2,"1,3",1,0,1
chr10,103241432,103242017,2,"1,3",1,0,1
chr10,103396431,103396795,2,"1,3",1,0,1
chr10,104268850,104269376,2,"2,3",0,1,1
chr10,110211096,110211467,3,"1,2,3",1,1,1
chr10,110568187,110568551,2,"1,3",1,0,1
chr10,110641552,110641568,2,"1,3",1,0,1
chr10,110871607,110871643,2,"1,3",1,0,1
chr10,110871643,110872094,3,"1,2,3",1,1,1
chr10,110872094,110872106,2,"2,3",0,1,1
chr10,110918894,110918959,2,"1,3",1,0,1
chr10,110918959,110919323,3,"1,2,3",1,1,1
chr10,110919323,110919465,2,"1,3",1,0,1
chr10,112446889,112447079,2,"1,3",1,0,1
chr10,112447159,112447253,2,"1,3",1,0,1
chr10,114174049,114174612,2,"1,3",1,0,1
chr10,123994687,123995000,2,"1,3",1,0,1
chr10,124916622,124916986,2,"2,3",0,1,1
chr10,130110937,130111301,2,"1,3",1,0,1
chr10,132537082,132537446,2,"1,3",1,0,1
chr10,133308697,133309061,2,"2,3",0,1,1
chr11,809648,809674,2,"1,3",1,0,1
chr11,809674,810038,3,"1,2,3",1,1,1
chr11,810038,810051,2,"1,3",1,0,1
chr11,2699945,2699950,2,"2,3",0,1,1
chr11,2699950,2700102,3,"1,2,3",1,1,1
chr11,2700102,2700112,2,"1,3",1,0,1
chr11,2992248,2992839,2,"2,3",0,1,1
chr11,3797774,3797821,2,"2,3",0,1,1
chr11,3797821,3797898,3,"1,2,3",1,1,1
chr11,3797898,3797935,2,"1,3",1,0,1
chr11,5684996,5685360,2,"1,3",1,0,1
chr11,6612182,6612546,2,"2,3",0,1,1
chr11,6619118,6619119,2,"2,3",0,1,1
chr11,6619119,6619752,3,"1,2,3",1,1,1
chr11,7986952,7987107,2,"2,3",0,1,1
chr11,7987107,7987316,3,"1,2,3",1,1,1
chr11,7987316,7987471,2,"1,3",1,0,1
chr11,8682490,8682854,2,"2,3",0,1,1
chr11,9460658,9460662,2,"2,3",0,1,1
chr11,9460662,9461022,3,"1,2,3",1,1,1
chr11,9461022,9461026,2,"1,3",1,0,1
chr11,9566039,9566403,2,"1,3",1,0,1
chr11,10293415,10293452,2,"1,3",1,0,1
chr11,10293452,10293767,3,"1,2,3",1,1,1
chr11,10293767,10293816,2,"2,3",0,1,1
chr11,10304526,10304817,2,"2,3",0,1,1
chr11,10305094,10305209,2,"2,3",0,1,1
chr11,10307722,10307835,2,"2,3",0,1,1
chr11,10307835,10308029,3,"1,2,3",1,1,1
chr11,10308029,10308287,2,"2,3",0,1,1
chr11,10541137,10541501,2,"1,3",1,0,1
chr11,10857823,10858497,2,"2,3",0,1,1
chr11,12067079,12067443,2,"1,3",1,0,1
chr11,12080036,12080344,2,"1,3",1,0,1
chr11,12377981,12378066,2,"1,3",1,0,1
chr11,12378066,12378345,3,"1,2,3",1,1,1
chr11,12378345,12378430,2,"2,3",0,1,1
chr11,12674065,12674175,2,"2,3",0,1,1
chr11,12674175,12674429,3,"1,2,3",1,1,1
chr11,12674429,12674740,2,"1,3",1,0,1
chr11,13277288,13277652,2,"2,3",0,1,1
chr11,13668566,13668571,2,"1,3",1,0,1
chr11,13668571,13668675,3,"1,2,3",1,1,1
chr11,13668675,13668682,2,"2,3",0,1,1
chr11,15649981,15650345,2,"1,3",1,0,1
chr11,20387103,20387467,2,"1,3",1,0,1
chr11,27363074,27363088,2,"2,3",0,1,1
chr11,27363088,27363478,3,"1,2,3",1,1,1
chr11,27363478,27363483,2,"2,3",0,1,1
chr11,30322848,30323212,2,"1,3",1,0,1
chr11,31509644,31510008,2,"1,3",1,0,1
chr11,33802610,33802974,2,"2,3",0,1,1
chr11,43880462,43881028,2,"2,3",0,1,1
chr11,45846982,45847346,2,"2,3",0,1,1
chr11,45917815,45917879,2,"2,3",0,1,1
chr11,45917879,45918179,3,"1,2,3",1,1,1
chr11,45918179,45918243,2,"1,3",1,0,1
chr11,46700777,46701138,2,"1,3",1,0,1
chr11,46846032,46846396,2,"2,3",0,1,1
chr11,46936536,46936877,2,"1,3",1,0,1
chr11,47214252,47214578,3,"1,2,3",1,1,1
chr11,47248717,47249006,2,"2,3",0,1,1
chr11,47408042,47408406,2,"2,3",0,1,1
chr11,47578819,47579183,2,"1,3",1,0,1
chr11,57530637,57531163,2,"1,3",1,0,1
chr11,57667677,57668240,2,"1,3",1,0,1
chr11,57712018,57712382,2,"1,3",1,0,1
chr11,57741660,57741717,2,"1,3",1,0,1
chr11,57741717,57741840,3,"1,2,3",1,1,1
chr11,57741840,57741949,2,"1,3",1,0,1
chr11,59142855,59142924,2,"2,3",0,1,1
chr11,59142924,59143288,3,"1,2,3",1,1,1
chr11,59143288,59143315,2,"2,3",0,1,1
chr11,59615901,59616265,2,"2,3",0,1,1
chr11,61362165,61362221,2,"2,3",0,1,1
chr11,61362221,61362467,3,"1,2,3",1,1,1
chr11,61581288,61581350,2,"2,3",0,1,1
chr11,61581350,61581652,3,"1,2,3",1,1,1
chr11,61581652,61581705,2,"1,3",1,0,1
chr11,61816704,61816722,2,"2,3",0,1,1
chr11,61816722,61817068,3,"1,2,3",1,1,1
chr11,61817068,61817086,2,"1,3",1,0,1
chr11,62554003,62554363,2,"1,3",1,0,1
chr11,62556191,62556671,3,"1,2,3",1,1,1
chr11,62556671,62556702,2,"1,3",1,0,1
chr11,62560568,62560895,2,"1,3",1,0,1
chr11,62573779,62574397,2,"1,3",1,0,1
chr11,62591490,62591854,2,"1,3",1,0,1
chr11,62601754,62602118,2,"1,3",1,0,1
chr11,62622046,62622410,2,"2,3",0,1,1
chr11,62653209,62653256,2,"1,3",1,0,1
chr11,62653256,62653568,3,"1,2,3",1,1,1
chr11,62727369,62727391,2,"1,3",1,0,1
chr11,62727391,62728280,3,"1,2,3",1,1,1
chr11,62728280,62728305,2,"1,3",1,0,1
chr11,62753967,62754331,2,"2,3",0,1,1
chr11,62787290,62787848,2,"1,3",1,0,1
chr11,62805115,62805679,2,"2,3",0,1,1
chr11,63974495,63975059,2,"2,3",0,1,1
chr11,64240793,64241157,2,"1,3",1,0,1
chr11,64317373,64317654,2,"2,3",0,1,1
chr11,64778768,64779256,2,"2,3",0,1,1
chr11,64917161,64917190,2,"1,3",1,0,1
chr11,64917190,64917525,3,"1,2,3",1,1,1
chr11,64917525,64917554,2,"2,3",0,1,1
chr11,65095996,65096317,2,"2,3",0,1,1
chr11,65122158,65122522,2,"2,3",0,1,1
chr11,65134943,65135008,2,"1,3",1,0,1
chr11,65135008,65135317,3,"1,2,3",1,1,1
chr11,65382181,65382545,2,"1,3",1,0,1
chr11,65418561,65418611,2,"2,3",0,1,1
chr11,65418611,65418925,3,"1,2,3",1,1,1
chr11,65418925,65418975,2,"1,3",1,0,1
chr11,65487426,65487436,2,"1,3",1,0,1
chr11,65487436,65487895,3,"1,2,3",1,1,1
chr11,65487895,65487922,2,"1,3",1,0,1
chr11,65988984,65989540,2,"1,3",1,0,1
chr11,66002100,66002204,2,"1,3",1,0,1
chr11,66002204,66002568,3,"1,2,3",1,1,1
chr11,66002568,66002665,2,"1,3",1,0,1
chr11,66282468,66282832,2,"1,3",1,0,1
chr11,66289008,66289372,2,"1,3",1,0,1
chr11,66638319,66638683,2,"1,3",1,0,1
chr11,66677883,66678256,2,"1,3",1,0,1
chr11,66678315,66678447,2,"1,3",1,0,1
chr11,67055174,67055471,2,"1,3",1,0,1
chr11,67353381,67353745,2,"2,3",0,1,1
chr11,67428262,67428626,2,"1,3",1,0,1
chr11,67508070,67508167,2,"2,3",0,1,1
chr11,67508167,67508434,3,"1,2,3",1,1,1
chr11,67508434,67508516,2,"1,3",1,0,1
chr11,67508599,67508870,2,"2,3",0,1,1
chr11,67583552,67583916,2,"2,3",0,1,1
chr11,68010636,68010709,2,"2,3",0,1,1
chr11,68030424,68030542,2,"1,3",1,0,1
chr11,68030542,68030788,3,"1,2,3",1,1,1
chr11,68030788,68030906,2,"2,3",0,1,1
chr11,68121323,68121481,2,"1,3",1,0,1
chr11,68121481,68121687,3,"1,2,3",1,1,1
chr11,68121687,68121845,2,"2,3",0,1,1
chr11,69443358,69443667,2,"2,3",0,1,1
chr11,69638982,69639396,3,"1,2,3",1,1,1
chr11,69639396,69639438,2,"1,3",1,0,1
chr11,71448317,71448681,2,"1,3",1,0,1
chr11,72080538,72080555,2,"1,3",1,0,1
chr11,72080555,72081071,3,"1,2,3",1,1,1
chr11,72081071,72081098,2,"1,3",1,0,1
chr11,73761025,73761032,2,"2,3",0,1,1
chr11,73761032,73761389,3,"1,2,3",1,1,1
chr11,73761389,73761396,2,"1,3",1,0,1
chr11,73787761,73788032,3,"1,2,3",1,1,1
chr11,73788032,73788125,2,"2,3",0,1,1
chr11,73983206,73983278,2,"2,3",0,1,1
chr11,73983278,73983713,3,"1,2,3",1,1,1
chr11,74726563,74726875,2,"1,3",1,0,1
chr11,74948947,74949513,2,"1,3",1,0,1
chr11,76444511,76444875,2,"2,3",0,1,1
chr11,82901470,82901834,2,"1,3",1,0,1
chr11,83156562,83156578,2,"1,3",1,0,1
chr11,83156578,83157191,3,"1,2,3",1,1,1
chr11,83157191,83157198,2,"2,3",0,1,1
chr11,85628027,85628593,2,"1,3",1,0,1
chr11,95254329,95254612,3,"1,2,3",1,1,1
chr11,95254612,95254615,2,"1,3",1,0,1
chr11,101914898,101915262,2,"2,3",0,1,1
chr11,108664755,108664797,2,"2,3",0,1,1
chr11,108664797,108665119,3,"1,2,3",1,1,1
chr11,108665119,108665161,2,"1,3",1,0,1
chr11,117098574,117098718,2,"2,3",0,1,1
chr11,117231960,117232534,2,"2,3",0,1,1
chr11,117327656,117327994,3,"1,2,3",1,1,1
