chrom,start,end,num,list,ENCFF359DIP_MAX_sorted.bed,ENCFF545CNM_MAX_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,16236993,16237383,2,"2,3",0,1,1
chr1,16440422,16440526,2,"1,3",1,0,1
chr1,16440526,16440725,3,"1,2,3",1,1,1
chr1,16440725,16440846,2,"1,3",1,0,1
chr1,16451715,16452435,2,"1,3",1,0,1
chr1,16613201,16613543,2,"2,3",0,1,1
chr1,16613560,16613984,2,"1,3",1,0,1
chr1,16644503,16644658,2,"1,3",1,0,1
chr1,16644658,16644927,3,"1,2,3",1,1,1
chr1,16644927,16645109,2,"2,3",0,1,1
chr1,16904766,16904973,2,"2,3",0,1,1
chr1,16904973,16905397,3,"1,2,3",1,1,1
chr1,16905397,16905449,2,"2,3",0,1,1
chr1,17536264,17536654,2,"2,3",0,1,1
chr1,18902744,18902746,2,"1,3",1,0,1
chr1,18902746,18903136,3,"1,2,3",1,1,1
chr1,18903136,18903168,2,"1,3",1,0,1
chr1,19210139,19210218,2,"1,3",1,0,1
chr1,19210218,19210563,3,"1,2,3",1,1,1
chr1,19210563,19210608,2,"2,3",0,1,1
chr1,19251685,19251690,2,"2,3",0,1,1
chr1,19251690,19251909,3,"1,2,3",1,1,1
chr1,19251909,19251932,2,"2,3",0,1,1
chr1,19597251,19597571,2,"2,3",0,1,1
chr1,19882133,19882175,2,"1,3",1,0,1
chr1,19882175,19882557,3,"1,2,3",1,1,1
chr1,19882557,19882565,2,"2,3",0,1,1
chr1,20633280,20633526,2,"2,3",0,1,1
chr1,20661258,20661634,2,"2,3",0,1,1
chr1,20696843,20697233,2,"2,3",0,1,1
chr1,20733062,20733391,2,"2,3",0,1,1
chr1,21290721,21290972,2,"2,3",0,1,1
chr1,21909768,21909784,2,"1,3",1,0,1
chr1,21909784,21910174,3,"1,2,3",1,1,1
chr1,21910174,21910192,2,"1,3",1,0,1
chr1,22025483,22025907,2,"1,3",1,0,1
chr1,22052460,22052850,2,"2,3",0,1,1
chr1,22451639,22452014,3,"1,2,3",1,1,1
chr1,22452344,22452656,2,"1,3",1,0,1
chr1,23019172,23019538,2,"2,3",0,1,1
chr1,23368761,23369111,2,"1,3",1,0,1
chr1,23554716,23554854,2,"2,3",0,1,1
chr1,23554854,23555106,3,"1,2,3",1,1,1
chr1,23555106,23555278,2,"1,3",1,0,1
chr1,23559361,23559751,2,"2,3",0,1,1
chr1,23590485,23590771,3,"1,2,3",1,1,1
chr1,23691681,23692105,2,"1,3",1,0,1
chr1,23742966,23743486,2,"1,3",1,0,1
chr1,23743660,23744084,2,"1,3",1,0,1
chr1,23800590,23800613,2,"1,3",1,0,1
chr1,23800613,23801003,3,"1,2,3",1,1,1
chr1,23801003,23801014,2,"1,3",1,0,1
chr1,23868086,23868510,2,"1,3",1,0,1
chr1,23910927,23910936,2,"1,3",1,0,1
chr1,23910936,23911184,3,"1,2,3",1,1,1
chr1,23958933,23959323,2,"2,3",0,1,1
chr1,24415668,24416092,2,"1,3",1,0,1
chr1,24744864,24745407,2,"2,3",0,1,1
chr1,24923691,24923924,2,"2,3",0,1,1
chr1,24965039,24965429,2,"2,3",0,1,1
chr1,25030820,25031139,2,"2,3",0,1,1
chr1,25032210,25032600,2,"2,3",0,1,1
chr1,25033931,25033965,2,"1,3",1,0,1
chr1,25033965,25034355,3,"1,2,3",1,1,1
chr1,25239628,25240078,2,"1,3",1,0,1
chr1,25549425,25549700,3,"1,2,3",1,1,1
chr1,25549700,25550069,2,"1,3",1,0,1
chr1,25859222,25859646,2,"1,3",1,0,1
chr1,25859738,25860267,2,"2,3",0,1,1
chr1,25875498,25875523,2,"1,3",1,0,1
chr1,25875523,25875913,3,"1,2,3",1,1,1
chr1,25875913,25875922,2,"1,3",1,0,1
chr1,25905605,25906029,2,"1,3",1,0,1
chr1,25906258,25906285,2,"1,3",1,0,1
chr1,25906285,25906675,3,"1,2,3",1,1,1
chr1,25906675,25906682,2,"1,3",1,0,1
chr1,25998106,25998496,3,"1,2,3",1,1,1
chr1,25998496,25998530,2,"1,3",1,0,1
chr1,26111619,26112009,2,"2,3",0,1,1
chr1,26169735,26169747,2,"1,3",1,0,1
chr1,26169747,26170137,3,"1,2,3",1,1,1
chr1,26170137,26170373,2,"1,3",1,0,1
chr1,26233693,26234083,2,"2,3",0,1,1
chr1,26279865,26280255,2,"2,3",0,1,1
chr1,26289735,26289959,2,"1,3",1,0,1
chr1,26336634,26336688,2,"1,3",1,0,1
chr1,26432015,26432026,2,"2,3",0,1,1
chr1,26432026,26432235,3,"1,2,3",1,1,1
chr1,26432235,26432536,2,"1,3",1,0,1
chr1,26472209,26472232,2,"1,3",1,0,1
chr1,26472232,26472622,3,"1,2,3",1,1,1
chr1,26472622,26472833,2,"1,3",1,0,1
chr1,26692916,26692949,2,"1,3",1,0,1
chr1,26692949,26693269,3,"1,2,3",1,1,1
chr1,26693269,26693339,2,"2,3",0,1,1
chr1,26695524,26695546,2,"1,3",1,0,1
chr1,26695546,26695936,3,"1,2,3",1,1,1
chr1,26695936,26695948,2,"1,3",1,0,1
chr1,26787364,26787898,2,"1,3",1,0,1
chr1,26787898,26787988,3,"1,2,3",1,1,1
chr1,26787988,26788485,2,"2,3",0,1,1
chr1,26833318,26833521,2,"1,3",1,0,1
chr1,26833521,26833660,3,"1,2,3",1,1,1
chr1,26833660,26833911,2,"2,3",0,1,1
chr1,26864800,26865053,2,"1,3",1,0,1
chr1,26865053,26865425,3,"1,2,3",1,1,1
chr1,26865425,26865443,2,"2,3",0,1,1
chr1,26900236,26900626,2,"2,3",0,1,1
chr1,27106656,27106818,2,"2,3",0,1,1
chr1,27234301,27234894,2,"2,3",0,1,1
chr1,27321967,27321970,2,"1,3",1,0,1
chr1,27321970,27322360,3,"1,2,3",1,1,1
chr1,27322360,27322391,2,"1,3",1,0,1
chr1,27343193,27343583,2,"2,3",0,1,1
chr1,27659592,27659982,2,"2,3",0,1,1
chr1,27662779,27662953,2,"1,3",1,0,1
chr1,27663065,27663115,2,"1,3",1,0,1
chr1,27671828,27671900,2,"2,3",0,1,1
chr1,27671900,27672324,3,"1,2,3",1,1,1
chr1,27672324,27672609,2,"2,3",0,1,1
chr1,27725475,27725518,2,"1,3",1,0,1
chr1,27725518,27725680,3,"1,2,3",1,1,1
chr1,27725680,27726017,2,"1,3",1,0,1
chr1,27772942,27773332,2,"2,3",0,1,1
chr1,27773531,27773543,2,"2,3",0,1,1
chr1,27830617,27830993,3,"1,2,3",1,1,1
chr1,27830993,27831013,2,"1,3",1,0,1
chr1,27875259,27875260,2,"2,3",0,1,1
chr1,27875260,27875643,3,"1,2,3",1,1,1
chr1,27959983,27960362,2,"2,3",0,1,1
chr1,28088405,28088795,2,"2,3",0,1,1
chr1,28232911,28232980,2,"1,3",1,0,1
chr1,28232980,28233110,3,"1,2,3",1,1,1
chr1,28233110,28233160,2,"1,3",1,0,1
chr1,28235921,28236345,2,"1,3",1,0,1
chr1,28328732,28329071,2,"2,3",0,1,1
chr1,28518036,28518426,2,"2,3",0,1,1
chr1,28518443,28518712,2,"1,3",1,0,1
chr1,28518850,28519197,2,"1,3",1,0,1
chr1,28552837,28553227,2,"2,3",0,1,1
chr1,28581791,28581814,2,"1,3",1,0,1
chr1,28581814,28582204,3,"1,2,3",1,1,1
chr1,28582204,28582215,2,"1,3",1,0,1
chr1,28642998,28643106,2,"1,3",1,0,1
chr1,28643106,28643270,3,"1,2,3",1,1,1
chr1,28643270,28643422,2,"1,3",1,0,1
chr1,28648011,28648436,2,"1,3",1,0,1
chr1,28736560,28737156,2,"2,3",0,1,1
chr1,28877203,28877454,2,"2,3",0,1,1
chr1,28885019,28885352,3,"1,2,3",1,1,1
chr1,28885352,28885355,2,"1,3",1,0,1
chr1,29230688,29230733,2,"1,3",1,0,1
chr1,29230733,29231112,3,"1,2,3",1,1,1
chr1,29231112,29231123,2,"2,3",0,1,1
chr1,30718633,30718683,2,"2,3",0,1,1
chr1,30718683,30719023,3,"1,2,3",1,1,1
chr1,30719023,30719107,2,"1,3",1,0,1
chr1,30854161,30854446,2,"2,3",0,1,1
chr1,31296552,31297162,2,"2,3",0,1,1
chr1,31423407,31423797,2,"2,3",0,1,1
chr1,31505960,31506350,2,"2,3",0,1,1
chr1,31509152,31509542,2,"2,3",0,1,1
chr1,31644479,31644869,2,"2,3",0,1,1
chr1,31788218,31788223,2,"1,3",1,0,1
chr1,31788223,31788613,3,"1,2,3",1,1,1
chr1,31788613,31788642,2,"1,3",1,0,1
chr1,31938452,31938501,2,"2,3",0,1,1
chr1,31938501,31938703,3,"1,2,3",1,1,1
chr1,31938703,31938842,2,"2,3",0,1,1
chr1,32013431,32013436,2,"1,3",1,0,1
chr1,32013436,32013826,3,"1,2,3",1,1,1
chr1,32013826,32013855,2,"1,3",1,0,1
chr1,32072694,32072876,2,"2,3",0,1,1
chr1,32072876,32073084,3,"1,2,3",1,1,1
chr1,32073084,32073300,2,"1,3",1,0,1
chr1,32108133,32108557,2,"1,3",1,0,1
chr1,32179605,32179745,2,"2,3",0,1,1
chr1,32179745,32179995,3,"1,2,3",1,1,1
chr1,32179995,32180169,2,"1,3",1,0,1
chr1,32200587,32200977,2,"2,3",0,1,1
chr1,32205479,32205781,3,"1,2,3",1,1,1
chr1,32205781,32205851,2,"2,3",0,1,1
chr1,32222265,32222655,2,"2,3",0,1,1
chr1,32291758,32292090,2,"2,3",0,1,1
chr1,32337490,32337721,2,"1,3",1,0,1
chr1,32337832,32337914,2,"1,3",1,0,1
chr1,32351058,32351300,3,"1,2,3",1,1,1
chr1,32351300,32351328,2,"1,3",1,0,1
chr1,32351434,32351824,2,"2,3",0,1,1
chr1,32394199,32394623,2,"1,3",1,0,1
chr1,32650305,32650517,2,"2,3",0,1,1
chr1,32650843,32651290,2,"1,3",1,0,1
chr1,32651290,32651364,3,"1,2,3",1,1,1
chr1,32651364,32651770,2,"2,3",0,1,1
chr1,32817147,32817277,2,"1,3",1,0,1
chr1,32817277,32817428,3,"1,2,3",1,1,1
chr1,32817428,32817571,2,"1,3",1,0,1
chr1,32964083,32964381,2,"1,3",1,0,1
chr1,32964506,32964800,2,"1,3",1,0,1
chr1,32992421,32992811,2,"2,3",0,1,1
chr1,33349907,33350190,2,"2,3",0,1,1
chr1,33350190,33350297,3,"1,2,3",1,1,1
chr1,33350297,33350581,2,"1,3",1,0,1
chr1,33472466,33472856,2,"2,3",0,1,1
chr1,34859700,34859853,2,"1,3",1,0,1
chr1,34859853,34859996,3,"1,2,3",1,1,1
chr1,34859996,34860124,2,"1,3",1,0,1
chr1,34866247,34866637,2,"2,3",0,1,1
chr1,35718731,35719121,2,"2,3",0,1,1
chr1,35931022,35931412,2,"2,3",0,1,1
chr1,36088698,36088721,2,"2,3",0,1,1
chr1,36088721,36089088,3,"1,2,3",1,1,1
chr1,36089088,36089145,2,"1,3",1,0,1
chr1,36149316,36149911,2,"2,3",0,1,1
chr1,36156906,36157110,2,"1,3",1,0,1
chr1,36160871,36161156,2,"2,3",0,1,1
chr1,36224062,36224068,2,"2,3",0,1,1
chr1,36224068,36224452,3,"1,2,3",1,1,1
chr1,36224452,36224492,2,"1,3",1,0,1
chr1,36306921,36307345,2,"1,3",1,0,1
chr1,36464171,36464255,2,"1,3",1,0,1
chr1,36464255,36464645,3,"1,2,3",1,1,1
chr1,36464645,36464799,2,"1,3",1,0,1
chr1,37479637,37479934,3,"1,2,3",1,1,1
chr1,37554180,37554521,2,"2,3",0,1,1
chr1,37692182,37692192,2,"1,3",1,0,1
chr1,37692192,37692607,3,"1,2,3",1,1,1
chr1,37808028,37808418,2,"2,3",0,1,1
chr1,37859568,37859573,2,"2,3",0,1,1
chr1,37859573,37859958,3,"1,2,3",1,1,1
chr1,37859958,37859997,2,"1,3",1,0,1
chr1,37946975,37947260,3,"1,2,3",1,1,1
chr1,37947260,37947265,2,"2,3",0,1,1
chr1,37989871,37989894,2,"1,3",1,0,1
chr1,37989894,37990284,3,"1,2,3",1,1,1
chr1,37990284,37990295,2,"1,3",1,0,1
chr1,38012353,38012357,2,"1,3",1,0,1
chr1,38012357,38012612,3,"1,2,3",1,1,1
chr1,38012612,38012622,2,"2,3",0,1,1
chr1,38046883,38047273,2,"2,3",0,1,1
chr1,38475259,38475649,2,"2,3",0,1,1
chr1,38859684,38859823,2,"1,3",1,0,1
chr1,38859823,38859968,3,"1,2,3",1,1,1
chr1,38859968,38860108,2,"1,3",1,0,1
chr1,38873285,38873815,2,"2,3",0,1,1
chr1,38991040,38991663,2,"1,3",1,0,1
chr1,39026556,39026837,2,"2,3",0,1,1
chr1,39026837,39026946,3,"1,2,3",1,1,1
chr1,39026946,39026981,2,"1,3",1,0,1
chr1,39215196,39215375,2,"2,3",0,1,1
chr1,39215487,39215586,2,"2,3",0,1,1
chr1,39788613,39789383,2,"1,3",1,0,1
chr1,39799097,39799126,2,"2,3",0,1,1
chr1,39799126,39799487,3,"1,2,3",1,1,1
chr1,39799487,39799550,2,"1,3",1,0,1
chr1,39954890,39955207,2,"2,3",0,1,1
chr1,39960662,39961052,2,"2,3",0,1,1
chr1,40040262,40040988,2,"1,3",1,0,1
chr1,40161170,40161176,2,"2,3",0,1,1
chr1,40161176,40161560,3,"1,2,3",1,1,1
chr1,40161560,40161600,2,"1,3",1,0,1
chr1,40186467,40186811,2,"2,3",0,1,1
chr1,40257999,40258389,2,"2,3",0,1,1
chr1,40373545,40373969,2,"1,3",1,0,1
chr1,40374365,40374755,2,"2,3",0,1,1
chr1,40449918,40450882,2,"1,3",1,0,1
chr1,40508539,40508929,2,"2,3",0,1,1
chr1,40531466,40532059,2,"2,3",0,1,1
chr1,40628268,40628603,2,"2,3",0,1,1
chr1,40668836,40669152,2,"2,3",0,1,1
chr1,40691799,40692223,2,"1,3",1,0,1
chr1,40979621,40979815,2,"2,3",0,1,1
chr1,40979815,40980214,3,"1,2,3",1,1,1
chr1,40980214,40980239,2,"1,3",1,0,1
chr1,41241254,41241514,3,"1,2,3",1,1,1
chr1,41241514,41241597,2,"1,3",1,0,1
chr1,41353713,41353748,2,"2,3",0,1,1
chr1,41353748,41354103,3,"1,2,3",1,1,1
chr1,41354103,41354172,2,"1,3",1,0,1
chr1,42035311,42035735,2,"1,3",1,0,1
chr1,42035981,42036239,2,"2,3",0,1,1
chr1,42335142,42335150,2,"1,3",1,0,1
chr1,42335150,42335540,3,"1,2,3",1,1,1
chr1,42335540,42335566,2,"1,3",1,0,1
chr1,42455864,42456254,2,"2,3",0,1,1
chr1,42463021,42463411,2,"2,3",0,1,1
chr1,42658067,42658145,2,"1,3",1,0,1
chr1,42658145,42658535,3,"1,2,3",1,1,1
chr1,42658535,42658699,2,"1,3",1,0,1
chr1,42681992,42682322,3,"1,2,3",1,1,1
chr1,42682322,42682344,2,"1,3",1,0,1
chr1,42682934,42683128,2,"1,3",1,0,1
chr1,42683128,42683243,3,"1,2,3",1,1,1
chr1,42683243,42683278,2,"1,3",1,0,1
chr1,42766826,42767216,2,"2,3",0,1,1
chr1,42816807,42817421,2,"2,3",0,1,1
chr1,42846108,42846540,2,"1,3",1,0,1
chr1,42958153,42958281,2,"1,3",1,0,1
chr1,42958281,42958429,3,"1,2,3",1,1,1
chr1,42958429,42958926,2,"1,3",1,0,1
chr1,43172037,43172187,2,"2,3",0,1,1
chr1,43172187,43172312,3,"1,2,3",1,1,1
chr1,43172312,43172427,2,"2,3",0,1,1
chr1,43172581,43172832,2,"2,3",0,1,1
chr1,43358728,43358767,2,"1,3",1,0,1
chr1,43358767,43359152,3,"1,2,3",1,1,1
chr1,43359152,43359157,2,"2,3",0,1,1
chr1,43367731,43368121,2,"2,3",0,1,1
chr1,43368181,43368605,2,"1,3",1,0,1
chr1,43389454,43390102,2,"2,3",0,1,1
chr1,43454397,43454640,2,"1,3",1,0,1
chr1,43649973,43650108,2,"2,3",0,1,1
chr1,43650108,43650363,3,"1,2,3",1,1,1
chr1,43650363,43650644,2,"1,3",1,0,1
chr1,43707117,43707146,2,"1,3",1,0,1
chr1,43707146,43707743,3,"1,2,3",1,1,1
chr1,43707743,43707864,2,"1,3",1,0,1
chr1,43946441,43946447,2,"2,3",0,1,1
chr1,43946447,43946831,3,"1,2,3",1,1,1
chr1,43946831,43946871,2,"1,3",1,0,1
chr1,43969914,43970056,2,"2,3",0,1,1
chr1,43974850,43974855,2,"2,3",0,1,1
chr1,43974855,43974961,3,"1,2,3",1,1,1
chr1,43974961,43974970,2,"2,3",0,1,1
chr1,43991352,43991742,2,"2,3",0,1,1
chr1,44030059,44030449,2,"2,3",0,1,1
chr1,44213266,44213773,2,"1,3",1,0,1
chr1,44631753,44631759,2,"2,3",0,1,1
chr1,44631759,44632143,3,"1,2,3",1,1,1
chr1,44632143,44632183,2,"1,3",1,0,1
chr1,44674159,44674187,2,"2,3",0,1,1
chr1,44674187,44674769,3,"1,2,3",1,1,1
chr1,44674769,44674787,2,"1,3",1,0,1
chr1,44731138,44731528,2,"2,3",0,1,1
chr1,44739666,44740056,2,"2,3",0,1,1
chr1,44775232,44775256,2,"1,3",1,0,1
chr1,44775256,44775656,3,"1,2,3",1,1,1
chr1,44775656,44775874,2,"2,3",0,1,1
chr1,44786268,44786285,2,"2,3",0,1,1
chr1,44786285,44786658,3,"1,2,3",1,1,1
chr1,44786658,44786709,2,"1,3",1,0,1
chr1,44799727,44799835,2,"1,3",1,0,1
chr1,44799835,44800082,3,"1,2,3",1,1,1
chr1,44800082,44800582,2,"2,3",0,1,1
chr1,44807334,44807724,2,"2,3",0,1,1
chr1,44813701,44814124,2,"1,3",1,0,1
chr1,44986429,44986555,2,"1,3",1,0,1
chr1,44986555,44986712,3,"1,2,3",1,1,1
chr1,44986712,44986853,2,"1,3",1,0,1
chr1,45011991,45012335,2,"2,3",0,1,1
chr1,45326703,45327093,2,"2,3",0,1,1
chr1,45327297,45327419,2,"1,3",1,0,1
chr1,45339809,45340233,2,"1,3",1,0,1
chr1,45340266,45340626,2,"2,3",0,1,1
chr1,45491095,45491131,2,"1,3",1,0,1
chr1,45491131,45491519,3,"1,2,3",1,1,1
chr1,45491519,45491521,2,"2,3",0,1,1
chr1,45499864,45500254,2,"2,3",0,1,1
chr1,45521951,45522341,2,"2,3",0,1,1
chr1,45550587,45550607,2,"1,3",1,0,1
chr1,45550607,45550997,3,"1,2,3",1,1,1
chr1,45550997,45551011,2,"1,3",1,0,1
chr1,45583262,45583646,2,"2,3",0,1,1
chr1,45586506,45586510,2,"1,3",1,0,1
chr1,45586510,45586609,3,"1,2,3",1,1,1
chr1,45586609,45586626,2,"1,3",1,0,1
chr1,45686442,45686832,2,"2,3",0,1,1
chr1,45686930,45686959,2,"2,3",0,1,1
chr1,45686959,45687383,3,"1,2,3",1,1,1
chr1,45687383,45687615,2,"2,3",0,1,1
chr1,45688045,45688150,2,"1,3",1,0,1
chr1,45688150,45688236,3,"1,2,3",1,1,1
chr1,46132751,46132926,2,"1,3",1,0,1
chr1,46132926,46133068,3,"1,2,3",1,1,1
chr1,46133068,46133175,2,"1,3",1,0,1
chr1,46246911,46247255,2,"2,3",0,1,1
chr1,46247492,46247857,2,"1,3",1,0,1
chr1,46303126,46303516,2,"2,3",0,1,1
chr1,46340617,46341041,2,"1,3",1,0,1
chr1,46604317,46604562,2,"1,3",1,0,1
chr1,46616239,46616590,2,"2,3",0,1,1
chr1,46668374,46668432,2,"1,3",1,0,1
chr1,46668432,46668762,3,"1,2,3",1,1,1
chr1,47333546,47334169,2,"2,3",0,1,1
chr1,47436498,47436749,2,"1,3",1,0,1
chr1,50960207,50960264,2,"2,3",0,1,1
chr1,50960264,50960413,3,"1,2,3",1,1,1
