chrom,start,end,num,list,ENCFF148BUA_RFX5_sorted.bed,ENCFF752PVS_RFX5_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,16904863,16905223,2,"2,3",0,1,1
chr1,19210176,19210180,2,"1,3",1,0,1
chr1,19210180,19210480,3,"1,2,3",1,1,1
chr1,19210480,19210540,2,"2,3",0,1,1
chr1,19596701,19597005,2,"1,3",1,0,1
chr1,20476457,20476761,2,"1,3",1,0,1
chr1,22052512,22052816,2,"1,3",1,0,1
chr1,22451619,22451922,3,"1,2,3",1,1,1
chr1,22451922,22451950,2,"2,3",0,1,1
chr1,23168746,23169015,2,"1,3",1,0,1
chr1,23562334,23562371,2,"2,3",0,1,1
chr1,23562371,23562639,3,"1,2,3",1,1,1
chr1,23959555,23959582,2,"2,3",0,1,1
chr1,23959582,23959908,3,"1,2,3",1,1,1
chr1,23959908,23959931,2,"2,3",0,1,1
chr1,24502348,24502411,2,"1,3",1,0,1
chr1,24502411,24502564,3,"1,2,3",1,1,1
chr1,24502564,24502652,2,"1,3",1,0,1
chr1,24744867,24745160,3,"1,2,3",1,1,1
chr1,24745160,24745174,2,"2,3",0,1,1
chr1,25430091,25430137,2,"2,3",0,1,1
chr1,25430137,25430441,3,"1,2,3",1,1,1
chr1,25430441,25430634,2,"2,3",0,1,1
chr1,26035299,26035659,2,"2,3",0,1,1
chr1,26112116,26112476,2,"2,3",0,1,1
chr1,26169674,26169710,2,"2,3",0,1,1
chr1,26169710,26170014,3,"1,2,3",1,1,1
chr1,26170014,26170034,2,"2,3",0,1,1
chr1,26225089,26225102,2,"1,3",1,0,1
chr1,26225102,26225393,3,"1,2,3",1,1,1
chr1,26225393,26225462,2,"2,3",0,1,1
chr1,26233962,26234266,2,"1,3",1,0,1
chr1,26432132,26432139,2,"2,3",0,1,1
chr1,26432139,26432443,3,"1,2,3",1,1,1
chr1,26432443,26432492,2,"2,3",0,1,1
chr1,26529586,26529625,2,"2,3",0,1,1
chr1,26529625,26529929,3,"1,2,3",1,1,1
chr1,26529929,26529946,2,"2,3",0,1,1
chr1,26692888,26693247,2,"2,3",0,1,1
chr1,26784119,26784482,2,"1,3",1,0,1
chr1,26787719,26788079,2,"2,3",0,1,1
chr1,26914297,26914601,2,"1,3",1,0,1
chr1,26921380,26921489,2,"1,3",1,0,1
chr1,26990608,26990912,2,"1,3",1,0,1
chr1,27012794,27012841,2,"2,3",0,1,1
chr1,27012841,27013145,3,"1,2,3",1,1,1
chr1,27013145,27013154,2,"2,3",0,1,1
chr1,27234309,27234669,2,"2,3",0,1,1
chr1,27366119,27366188,2,"2,3",0,1,1
chr1,27366188,27366479,3,"1,2,3",1,1,1
chr1,27366479,27366492,2,"1,3",1,0,1
chr1,27392374,27392383,2,"2,3",0,1,1
chr1,27392383,27392687,3,"1,2,3",1,1,1
chr1,27392687,27392734,2,"2,3",0,1,1
chr1,27672098,27672402,2,"1,3",1,0,1
chr1,27725620,27725980,2,"2,3",0,1,1
chr1,28235873,28236233,2,"2,3",0,1,1
chr1,28247119,28247137,2,"2,3",0,1,1
chr1,28247137,28247548,3,"1,2,3",1,1,1
chr1,28247548,28247553,2,"1,3",1,0,1
chr1,28259172,28259212,2,"2,3",0,1,1
chr1,28259212,28259482,3,"1,2,3",1,1,1
chr1,28259482,28259516,2,"1,3",1,0,1
chr1,28328772,28329064,2,"1,3",1,0,1
chr1,29181280,29181285,2,"2,3",0,1,1
chr1,29230801,29231105,2,"1,3",1,0,1
chr1,30824444,30824459,2,"2,3",0,1,1
chr1,30824459,30824723,3,"1,2,3",1,1,1
chr1,30824723,30824740,2,"2,3",0,1,1
chr1,31296739,31296882,2,"2,3",0,1,1
chr1,31296882,31296978,3,"1,2,3",1,1,1
chr1,31296978,31297099,2,"2,3",0,1,1
chr1,31644679,31644739,2,"2,3",0,1,1
chr1,31644739,31645039,3,"1,2,3",1,1,1
chr1,31645039,31645043,2,"1,3",1,0,1
chr1,31788612,31788746,2,"1,3",1,0,1
chr1,32179572,32179573,2,"1,3",1,0,1
chr1,32179573,32179876,3,"1,2,3",1,1,1
chr1,32179876,32180142,2,"2,3",0,1,1
chr1,32222231,32222535,2,"1,3",1,0,1
chr1,32291789,32292093,2,"1,3",1,0,1
chr1,33080888,33081186,2,"1,3",1,0,1
chr1,34859621,34859981,2,"2,3",0,1,1
chr1,36401181,36401428,2,"2,3",0,1,1
chr1,36401428,36401732,3,"1,2,3",1,1,1
chr1,36401732,36401742,2,"2,3",0,1,1
chr1,36464259,36464563,2,"1,3",1,0,1
chr1,37692252,37692556,2,"1,3",1,0,1
chr1,37859492,37859790,2,"1,3",1,0,1
chr1,37989915,37990219,2,"1,3",1,0,1
chr1,38012541,38012845,2,"1,3",1,0,1
chr1,38991074,38991077,2,"2,3",0,1,1
chr1,38991077,38991381,3,"1,2,3",1,1,1
chr1,38991381,38991434,2,"2,3",0,1,1
chr1,39158658,39158962,2,"1,3",1,0,1
chr1,40161115,40161140,2,"2,3",0,1,1
chr1,40161140,40161438,3,"1,2,3",1,1,1
chr1,40161438,40161444,2,"1,3",1,0,1
chr1,40862153,40862513,2,"2,3",0,1,1
chr1,41360970,41360974,2,"1,3",1,0,1
chr1,41360974,41361274,3,"1,2,3",1,1,1
chr1,41361274,41361334,2,"2,3",0,1,1
chr1,42335458,42335762,2,"1,3",1,0,1
chr1,42462983,42462993,2,"2,3",0,1,1
chr1,42462993,42463297,3,"1,2,3",1,1,1
chr1,42463297,42463343,2,"2,3",0,1,1
chr1,42958723,42959083,2,"2,3",0,1,1
chr1,43649821,43649823,2,"1,3",1,0,1
chr1,43649823,43650187,3,"1,2,3",1,1,1
chr1,43650187,43650196,2,"2,3",0,1,1
chr1,43974767,43975071,2,"1,3",1,0,1
chr1,44674396,44674424,2,"2,3",0,1,1
chr1,44674424,44674728,3,"1,2,3",1,1,1
chr1,44674728,44674756,2,"2,3",0,1,1
chr1,44775327,44775687,2,"2,3",0,1,1
chr1,44799766,44800331,2,"2,3",0,1,1
chr1,44807291,44807595,2,"1,3",1,0,1
chr1,44808309,44808553,2,"1,3",1,0,1
chr1,44808553,44808586,3,"1,2,3",1,1,1
chr1,44819974,44820278,2,"1,3",1,0,1
chr1,45491260,45491564,2,"1,3",1,0,1
chr1,45521675,45521979,2,"1,3",1,0,1
chr1,45583311,45583332,2,"2,3",0,1,1
chr1,45583332,45583964,3,"1,2,3",1,1,1
chr1,45583964,45584085,2,"2,3",0,1,1
chr1,45687063,45687110,2,"2,3",0,1,1
chr1,45687110,45687414,3,"1,2,3",1,1,1
chr1,45687414,45687423,2,"2,3",0,1,1
chr1,46132995,46132999,2,"2,3",0,1,1
chr1,46132999,46133229,3,"1,2,3",1,1,1
chr1,46133229,46133230,2,"2,3",0,1,1
chr1,46247497,46247857,2,"2,3",0,1,1
chr1,48494402,48494706,2,"1,3",1,0,1
chr1,51729520,51729880,2,"2,3",0,1,1
chr1,52366015,52366375,2,"2,3",0,1,1
chr1,52629342,52629347,2,"2,3",0,1,1
chr1,52629347,52629651,3,"1,2,3",1,1,1
chr1,52629651,52629702,2,"2,3",0,1,1
chr1,52702922,52703488,2,"2,3",0,1,1
chr1,53111287,53111333,2,"1,3",1,0,1
chr1,53111333,53111452,3,"1,2,3",1,1,1
chr1,53111452,53111474,2,"1,3",1,0,1
chr1,53238408,53238712,2,"1,3",1,0,1
chr1,53326192,53326496,2,"1,3",1,0,1
chr1,53838208,53838512,2,"1,3",1,0,1
chr1,54764550,54764854,2,"1,3",1,0,1
chr1,58783896,58783921,2,"1,3",1,0,1
chr1,58783921,58784200,3,"1,2,3",1,1,1
chr1,58784200,58784281,2,"2,3",0,1,1
chr1,62436283,62436290,2,"2,3",0,1,1
chr1,62436290,62436643,3,"1,2,3",1,1,1
chr1,62436643,62436819,2,"1,3",1,0,1
chr1,63523390,63523694,2,"1,3",1,0,1
chr1,64915786,64916090,2,"1,3",1,0,1
chr1,64987409,64987538,2,"2,3",0,1,1
chr1,64987538,64987671,3,"1,2,3",1,1,1
chr1,64987671,64987769,2,"2,3",0,1,1
chr1,67684983,67685026,2,"2,3",0,1,1
chr1,67685026,67685330,3,"1,2,3",1,1,1
chr1,67685330,67685343,2,"2,3",0,1,1
chr1,70205477,70205837,2,"2,3",0,1,1
chr1,70410965,70411325,2,"2,3",0,1,1
chr1,75724157,75724461,2,"1,3",1,0,1
chr1,75786070,75786108,2,"2,3",0,1,1
chr1,75786108,75786412,3,"1,2,3",1,1,1
chr1,75786412,75786430,2,"2,3",0,1,1
chr1,87328274,87328578,2,"1,3",1,0,1
chr1,89524436,89524796,2,"2,3",0,1,1
chr1,92831783,92831885,2,"1,3",1,0,1
chr1,92831885,92832087,3,"1,2,3",1,1,1
chr1,92832087,92832245,2,"2,3",0,1,1
chr1,93180503,93180807,2,"1,3",1,0,1
chr1,94418025,94418329,2,"1,3",1,0,1
chr1,95233815,95234175,2,"2,3",0,1,1
chr1,108692115,108692475,2,"2,3",0,1,1
chr1,108746409,108746432,2,"2,3",0,1,1
chr1,108746432,108746736,3,"1,2,3",1,1,1
chr1,108746736,108746769,2,"2,3",0,1,1
chr1,109299377,109299681,2,"1,3",1,0,1
chr1,109984481,109984641,2,"2,3",0,1,1
chr1,109984641,109984728,3,"1,2,3",1,1,1
chr1,109984728,109984841,2,"2,3",0,1,1
chr1,110338273,110338477,2,"1,3",1,0,1
chr1,110338972,110338981,2,"2,3",0,1,1
chr1,110338981,110339285,3,"1,2,3",1,1,1
chr1,110339285,110339332,2,"2,3",0,1,1
chr1,110407612,110407972,2,"2,3",0,1,1
chr1,110964038,110964342,2,"1,3",1,0,1
chr1,113929319,113929361,2,"1,3",1,0,1
chr1,113929361,113929623,3,"1,2,3",1,1,1
chr1,113929623,113929721,2,"2,3",0,1,1
chr1,116373008,116373037,2,"2,3",0,1,1
chr1,116373037,116373341,3,"1,2,3",1,1,1
chr1,116373341,116373368,2,"2,3",0,1,1
chr1,117367260,117367278,2,"1,3",1,0,1
chr1,117367278,117367564,3,"1,2,3",1,1,1
chr1,117367564,117367638,2,"2,3",0,1,1
chr1,117929646,117930006,2,"2,3",0,1,1
chr1,119140209,119140513,2,"1,3",1,0,1
chr1,119140525,119140829,2,"1,3",1,0,1
chr1,146052002,146052306,2,"1,3",1,0,1
chr1,149939236,149939540,2,"1,3",1,0,1
chr1,150236026,150236386,2,"2,3",0,1,1
chr1,150515510,150515814,2,"1,3",1,0,1
chr1,150562096,150562109,2,"2,3",0,1,1
chr1,150562109,150562411,3,"1,2,3",1,1,1
chr1,150562411,150562434,2,"2,3",0,1,1
chr1,150611459,150611742,2,"1,3",1,0,1
chr1,150697072,150697095,2,"2,3",0,1,1
chr1,150697095,150697399,3,"1,2,3",1,1,1
chr1,150697399,150697432,2,"2,3",0,1,1
chr1,151008203,151008444,3,"1,2,3",1,1,1
chr1,151008444,151008494,2,"2,3",0,1,1
chr1,151013023,151013327,2,"1,3",1,0,1
chr1,151165865,151166169,2,"1,3",1,0,1
chr1,151281928,151281955,2,"2,3",0,1,1
chr1,151281955,151282259,3,"1,2,3",1,1,1
chr1,151282259,151282288,2,"2,3",0,1,1
chr1,151347062,151347108,2,"2,3",0,1,1
chr1,151347108,151347610,3,"1,2,3",1,1,1
chr1,151347610,151347633,2,"2,3",0,1,1
chr1,151790508,151790551,2,"2,3",0,1,1
chr1,151790551,151790855,3,"1,2,3",1,1,1
chr1,151790855,151790868,2,"2,3",0,1,1
chr1,151830803,151831107,2,"1,3",1,0,1
chr1,153670902,153670978,2,"2,3",0,1,1
chr1,153670978,153671262,3,"1,2,3",1,1,1
chr1,153671262,153671282,2,"1,3",1,0,1
chr1,153671486,153671498,2,"1,3",1,0,1
chr1,153671498,153671706,3,"1,2,3",1,1,1
chr1,153671706,153671719,2,"1,3",1,0,1
chr1,153727759,153727780,2,"2,3",0,1,1
chr1,153727780,153728084,3,"1,2,3",1,1,1
chr1,153728084,153728119,2,"2,3",0,1,1
chr1,154936516,154936876,2,"2,3",0,1,1
chr1,154974347,154974409,2,"2,3",0,1,1
chr1,154974409,154974707,3,"1,2,3",1,1,1
chr1,154974707,154974713,2,"1,3",1,0,1
chr1,155000770,155001331,2,"2,3",0,1,1
chr1,155126676,155126870,2,"2,3",0,1,1
chr1,155126870,155126967,3,"1,2,3",1,1,1
chr1,155127150,155127174,2,"1,3",1,0,1
chr1,155127292,155127534,2,"1,3",1,0,1
chr1,155135094,155135398,2,"1,3",1,0,1
chr1,155194766,155195070,2,"1,3",1,0,1
chr1,155308537,155308551,2,"2,3",0,1,1
chr1,155308551,155308855,3,"1,2,3",1,1,1
chr1,155308855,155308897,2,"2,3",0,1,1
chr1,156054524,156054800,3,"1,2,3",1,1,1
chr1,156054800,156054839,2,"2,3",0,1,1
chr1,156338390,156338694,2,"1,3",1,0,1
chr1,156371883,156372185,2,"1,3",1,0,1
chr1,156456474,156456753,2,"1,3",1,0,1
chr1,156457170,156457732,2,"2,3",0,1,1
chr1,157240828,157241154,2,"1,3",1,0,1
chr1,161045059,161045335,3,"1,2,3",1,1,1
chr1,161045335,161045375,2,"2,3",0,1,1
chr1,161166060,161166566,2,"1,3",1,0,1
chr1,161314273,161314577,2,"1,3",1,0,1
chr1,165598064,165598095,2,"1,3",1,0,1
chr1,165598095,165598368,3,"1,2,3",1,1,1
chr1,165598368,165598455,2,"2,3",0,1,1
chr1,167803294,167803598,2,"1,3",1,0,1
chr1,167935927,167935965,2,"2,3",0,1,1
chr1,167935965,167936269,3,"1,2,3",1,1,1
chr1,167936269,167936287,2,"2,3",0,1,1
chr1,169367599,169368102,2,"1,3",1,0,1
chr1,169485883,169485905,2,"2,3",0,1,1
chr1,169485905,169486209,3,"1,2,3",1,1,1
chr1,169486209,169486243,2,"2,3",0,1,1
chr1,171485310,171485614,2,"1,3",1,0,1
chr1,171781400,171781412,2,"2,3",0,1,1
chr1,171781412,171781716,3,"1,2,3",1,1,1
chr1,171781716,171781760,2,"2,3",0,1,1
chr1,172532379,172532645,2,"1,3",1,0,1
chr1,172532814,172532923,2,"2,3",0,1,1
chr1,172532923,172533174,3,"1,2,3",1,1,1
chr1,172533174,172533227,2,"1,3",1,0,1
chr1,173867872,173868015,2,"2,3",0,1,1
chr1,173868015,173868102,3,"1,2,3",1,1,1
chr1,173868102,173868232,2,"2,3",0,1,1
chr1,174999658,174999689,2,"2,3",0,1,1
chr1,174999689,175000018,3,"1,2,3",1,1,1
chr1,175000018,175000208,2,"1,3",1,0,1
chr1,178093522,178094030,2,"1,3",1,0,1
chr1,179293587,179293594,2,"2,3",0,1,1
chr1,179293594,179293898,3,"1,2,3",1,1,1
chr1,179293898,179293947,2,"2,3",0,1,1
chr1,179882401,179882705,2,"1,3",1,0,1
chr1,181033829,181034041,3,"1,2,3",1,1,1
chr1,182839083,182839387,2,"1,3",1,0,1
chr1,183471631,183471715,2,"2,3",0,1,1
chr1,183471715,183471799,3,"1,2,3",1,1,1
chr1,183471799,183471991,2,"2,3",0,1,1
chr1,184051504,184051864,2,"2,3",0,1,1
chr1,185156829,185157189,2,"2,3",0,1,1
chr1,185646284,185646588,2,"1,3",1,0,1
chr1,200620683,200620987,2,"1,3",1,0,1
chr1,201396822,201396829,2,"1,3",1,0,1
chr1,201396829,201397126,3,"1,2,3",1,1,1
chr1,201397126,201397189,2,"2,3",0,1,1
chr1,202010419,202010723,2,"1,3",1,0,1
chr1,202034805,202035109,2,"1,3",1,0,1
chr1,202341931,202342235,2,"1,3",1,0,1
chr1,202348532,202348836,2,"1,3",1,0,1
chr1,202349251,202349500,2,"1,3",1,0,1
chr1,203007141,203007156,2,"2,3",0,1,1
chr1,203007156,203007460,3,"1,2,3",1,1,1
chr1,203007460,203007501,2,"2,3",0,1,1
chr1,203327298,203327319,2,"2,3",0,1,1
chr1,203327319,203327597,3,"1,2,3",1,1,1
chr1,203327597,203327619,2,"2,3",0,1,1
chr1,204398500,204398804,2,"1,3",1,0,1
chr1,204516128,204516633,2,"1,3",1,0,1
chr1,206691665,206691686,2,"2,3",0,1,1
chr1,206691686,206691916,3,"1,2,3",1,1,1
chr1,206691916,206691930,2,"2,3",0,1,1
chr1,207053029,207053389,2,"2,3",0,1,1
chr1,207241573,207241877,2,"1,3",1,0,1
chr1,209747688,209747736,2,"2,3",0,1,1
chr1,209747736,209748040,3,"1,2,3",1,1,1
chr1,209748040,209748048,2,"2,3",0,1,1
chr1,210328986,210329290,2,"1,3",1,0,1
chr1,210373786,210373904,2,"2,3",0,1,1
chr1,210373904,210374006,3,"1,2,3",1,1,1
chr1,210374006,210374146,2,"2,3",0,1,1
chr1,211579089,211579153,2,"2,3",0,1,1
chr1,211579153,211579449,3,"1,2,3",1,1,1
chr1,211579449,211579457,2,"1,3",1,0,1
chr1,212035590,212035842,2,"1,3",1,0,1
chr1,212858007,212858034,2,"2,3",0,1,1
chr1,212858034,212858338,3,"1,2,3",1,1,1
chr1,212858338,212858367,2,"2,3",0,1,1
chr1,213989457,213989761,2,"1,3",1,0,1
chr1,220089721,220089791,2,"2,3",0,1,1
chr1,220089791,220089995,3,"1,2,3",1,1,1
chr1,220786171,220786519,2,"2,3",0,1,1
chr1,221961734,221962038,2,"1,3",1,0,1
chr1,223992510,223992814,2,"1,3",1,0,1
chr1,224183401,224183761,2,"2,3",0,1,1
chr1,225700231,225700535,2,"1,3",1,0,1
chr1,227563356,227563660,2,"1,3",1,0,1
chr1,228103160,228103202,2,"1,3",1,0,1
chr1,228103202,228103464,3,"1,2,3",1,1,1
chr1,228103464,228103556,2,"2,3",0,1,1
chr1,228109148,228109175,2,"2,3",0,1,1
chr1,228109175,228109479,3,"1,2,3",1,1,1
chr1,228109479,228109508,2,"2,3",0,1,1
chr1,228139873,228140233,2,"2,3",0,1,1
chr1,228165769,228165972,2,"2,3",0,1,1
chr1,228165972,228166129,3,"1,2,3",1,1,1
chr1,228166129,228166276,2,"1,3",1,0,1
chr1,228486482,228486545,3,"1,2,3",1,1,1
chr1,228486545,228486548,2,"2,3",0,1,1
chr1,229507929,229508171,3,"1,2,3",1,1,1
chr1,229508171,229508457,2,"2,3",0,1,1
chr1,229625937,229626297,2,"2,3",0,1,1
chr1,231337363,231337886,2,"1,3",1,0,1
chr1,234610839,234611143,2,"1,3",1,0,1
chr1,234639432,234639440,2,"1,3",1,0,1
chr1,234639440,234639653,3,"1,2,3",1,1,1
chr1,234639653,234639659,2,"1,3",1,0,1
chr1,234963518,234963822,2,"1,3",1,0,1
chr1,235128627,235128987,2,"2,3",0,1,1
chr1,241847985,241848289,2,"1,3",1,0,1
chr1,244835194,244835498,2,"1,3",1,0,1
chr1,245045532,245045836,2,"1,3",1,0,1
chr1,247210799,247211103,2,"1,3",1,0,1
chr1,248838015,248838081,2,"2,3",0,1,1
chr1,248838081,248839179,3,"1,2,3",1,1,1
chr1,248858841,248858863,2,"2,3",0,1,1
chr1,248858863,248859167,3,"1,2,3",1,1,1
chr1,248859167,248859201,2,"2,3",0,1,1
chr1,248906198,248906558,2,"2,3",0,1,1
chr10,931645,931689,2,"2,3",0,1,1
chr10,931689,931993,3,"1,2,3",1,1,1
chr10,931993,932005,2,"2,3",0,1,1
chr10,988186,988490,2,"1,3",1,0,1
chr10,1048840,1048903,2,"1,3",1,0,1
chr10,1048903,1049144,3,"1,2,3",1,1,1
chr10,1049144,1049396,2,"2,3",0,1,1
chr10,3785410,3785770,2,"2,3",0,1,1
chr10,5813603,5814164,2,"2,3",0,1,1
chr10,6088758,6089062,2,"1,3",1,0,1
chr10,7541164,7541468,2,"1,3",1,0,1
chr10,11611468,11611574,2,"1,3",1,0,1
chr10,11611574,11611730,3,"1,2,3",1,1,1
chr10,11611730,11611772,2,"1,3",1,0,1
chr10,12196007,12196367,2,"2,3",0,1,1
chr10,13161267,13161314,2,"2,3",0,1,1
chr10,13161314,13161618,3,"1,2,3",1,1,1
chr10,13161618,13161627,2,"2,3",0,1,1
chr10,13586766,13587070,2,"1,3",1,0,1
chr10,14837744,14837747,2,"1,3",1,0,1
chr10,14837747,14838295,3,"1,2,3",1,1,1
chr10,14838295,14838324,2,"2,3",0,1,1
chr10,14878613,14878917,2,"1,3",1,0,1
chr10,14953950,14954254,2,"1,3",1,0,1
chr10,15084484,15084624,2,"2,3",0,1,1
chr10,15084624,15084844,3,"1,2,3",1,1,1
chr10,15084844,15084928,2,"1,3",1,0,1
chr10,25016090,25016331,2,"1,3",1,0,1
chr10,27155153,27155457,2,"1,3",1,0,1
chr10,28303079,28303383,2,"1,3",1,0,1
chr10,35126898,35126953,2,"2,3",0,1,1
chr10,35126953,35127257,3,"1,2,3",1,1,1
chr10,35127257,35127258,2,"2,3",0,1,1
chr10,38010441,38010745,2,"1,3",1,0,1
chr10,42782584,42782944,2,"2,3",0,1,1
chr10,43436301,43436918,2,"2,3",0,1,1
chr10,45672650,45672669,2,"2,3",0,1,1
chr10,45672669,45673042,3,"1,2,3",1,1,1
chr10,45673042,45673060,2,"2,3",0,1,1
chr10,46023322,46023626,2,"1,3",1,0,1
chr10,50808508,50808520,2,"2,3",0,1,1
chr10,50808520,50808730,3,"1,2,3",1,1,1
chr10,50808730,50808733,2,"2,3",0,1,1
chr10,60778288,60778592,2,"1,3",1,0,1
chr10,63133066,63133120,2,"2,3",0,1,1
chr10,63133120,63133424,3,"1,2,3",1,1,1
chr10,63133424,63133426,2,"2,3",0,1,1
chr10,65570184,65570263,3,"1,2,3",1,1,1
chr10,65570263,65570580,2,"2,3",0,1,1
chr10,67803641,67803945,2,"1,3",1,0,1
chr10,68331920,68332280,2,"2,3",0,1,1
chr10,70146550,70146576,2,"2,3",0,1,1
chr10,70146576,70146880,3,"1,2,3",1,1,1
chr10,70146880,70146910,2,"2,3",0,1,1
chr10,70170375,70170679,2,"1,3",1,0,1
chr10,70387633,70387830,3,"1,2,3",1,1,1
chr10,70387830,70387847,2,"2,3",0,1,1
chr10,71851192,71851496,2,"1,3",1,0,1
chr10,72044706,72045066,2,"2,3",0,1,1
chr10,72272806,72272988,2,"2,3",0,1,1
chr10,72272988,72273102,3,"1,2,3",1,1,1
chr10,72273102,72273292,2,"1,3",1,0,1
chr10,72273652,72273680,2,"2,3",0,1,1
chr10,72273680,72273936,3,"1,2,3",1,1,1
chr10,72273936,72273960,2,"2,3",0,1,1
chr10,72331968,72332008,2,"2,3",0,1,1
chr10,72332008,72332360,3,"1,2,3",1,1,1
chr10,72332360,72332365,2,"2,3",0,1,1
chr10,73167924,73168228,2,"1,3",1,0,1
chr10,74826164,74826468,2,"1,3",1,0,1
chr10,75210506,75210810,2,"1,3",1,0,1
chr10,75235276,75235843,2,"2,3",0,1,1
chr10,75402239,75402567,2,"2,3",0,1,1
chr10,80272831,80273135,2,"1,3",1,0,1
chr10,84139330,84139835,2,"1,3",1,0,1
chr10,87862262,87862566,2,"1,3",1,0,1
chr10,89643836,89644196,2,"2,3",0,1,1
chr10,91632970,91633090,2,"2,3",0,1,1
chr10,91633090,91633330,3,"1,2,3",1,1,1
chr10,91633330,91633394,2,"1,3",1,0,1
chr10,91798194,91798529,2,"2,3",0,1,1
chr10,91923599,91923903,2,"1,3",1,0,1
chr10,93601173,93601477,2,"1,3",1,0,1
chr10,96043300,96044119,2,"2,3",0,1,1
chr10,97401407,97401488,2,"1,3",1,0,1
chr10,97445870,97446174,2,"1,3",1,0,1
chr10,97584058,97584418,2,"2,3",0,1,1
chr10,97633400,97633704,2,"1,3",1,0,1
chr10,97640383,97640506,2,"2,3",0,1,1
chr10,97640506,97640584,3,"1,2,3",1,1,1
chr10,97640584,97640743,2,"2,3",0,1,1
chr10,97687311,97687424,2,"2,3",0,1,1
chr10,97736912,97736918,2,"2,3",0,1,1
