chrom,start,end,num,list,ENCFF110FKC_MAX_sorted.bed,ENCFF204YUM_MAX_sorted.bed,ENCFF608XFL_MAX_sorted.bed,ENCFF770REJ_MAX_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,1746670,1746732,2,"4,5",0,0,0,1,1
chr1,1778364,1778369,2,"2,5",0,1,0,0,1
chr1,1778369,1778397,3,"1,2,5",1,1,0,0,1
chr1,1778397,1778398,4,"1,2,4,5",1,1,0,1,1
chr1,1778398,1778648,5,"1,2,3,4,5",1,1,1,1,1
chr1,1778648,1778679,4,"1,2,3,5",1,1,1,0,1
chr1,1778679,1778684,3,"2,3,5",0,1,1,0,1
chr1,1778684,1778768,2,"3,5",0,0,1,0,1
chr1,1778768,1779017,3,"3,4,5",0,0,1,1,1
chr1,1779017,1779055,2,"3,5",0,0,1,0,1
chr1,1906272,1906538,2,"4,5",0,0,0,1,1
chr1,1909154,1909289,2,"3,5",0,0,1,0,1
chr1,1909289,1909440,3,"3,4,5",0,0,1,1,1
chr1,1919542,1919825,2,"3,5",0,0,1,0,1
chr1,2050065,2050488,2,"3,5",0,0,1,0,1
chr1,2189409,2189489,2,"3,5",0,0,1,0,1
chr1,2189489,2189987,3,"3,4,5",0,0,1,1,1
chr1,2189987,2190059,2,"4,5",0,0,0,1,1
chr1,2212570,2212625,2,"1,5",1,0,0,0,1
chr1,2212625,2212640,3,"1,4,5",1,0,0,1,1
chr1,2212640,2212880,4,"1,3,4,5",1,0,1,1,1
chr1,2212880,2213090,3,"3,4,5",0,0,1,1,1
chr1,2213090,2213195,2,"4,5",0,0,0,1,1
chr1,2227575,2227834,2,"3,5",0,0,1,0,1
chr1,2412719,2412768,2,"4,5",0,0,0,1,1
chr1,2412768,2413098,3,"3,4,5",0,0,1,1,1
chr1,2413192,2413282,2,"3,5",0,0,1,0,1
chr1,2413795,2413849,2,"4,5",0,0,0,1,1
chr1,2413849,2413964,3,"3,4,5",0,0,1,1,1
chr1,2546141,2546488,2,"4,5",0,0,0,1,1
chr1,2546488,2546925,3,"3,4,5",0,0,1,1,1
chr1,2546925,2546938,2,"3,5",0,0,1,0,1
chr1,3313075,3313095,2,"4,5",0,0,0,1,1
chr1,3313095,3313117,3,"3,4,5",0,0,1,1,1
chr1,3313117,3313427,4,"1,3,4,5",1,0,1,1,1
chr1,3313427,3313470,3,"3,4,5",0,0,1,1,1
chr1,3454245,3454637,3,"3,4,5",0,0,1,1,1
chr1,3454637,3454724,2,"4,5",0,0,0,1,1
chr1,3624665,3625016,3,"3,4,5",0,0,1,1,1
chr1,3625016,3625079,2,"4,5",0,0,0,1,1
chr1,3649841,3650246,3,"3,4,5",0,0,1,1,1
chr1,3772378,3772443,2,"4,5",0,0,0,1,1
chr1,3857167,3857246,2,"2,5",0,1,0,0,1
chr1,3857246,3857266,3,"2,4,5",0,1,0,1,1
chr1,3857266,3857437,4,"2,3,4,5",0,1,1,1,1
chr1,3857437,3857487,3,"2,4,5",0,1,0,1,1
chr1,3857487,3857811,2,"4,5",0,0,0,1,1
chr1,3900012,3900511,2,"4,5",0,0,0,1,1
chr1,3900973,3901092,2,"4,5",0,0,0,1,1
chr1,3901092,3901542,3,"3,4,5",0,0,1,1,1
chr1,3901542,3901543,2,"4,5",0,0,0,1,1
chr1,4656265,4656657,2,"3,5",0,0,1,0,1
chr1,5992230,5992611,2,"1,5",1,0,0,0,1
chr1,5992611,5992754,3,"1,4,5",1,0,0,1,1
chr1,5992754,5992775,2,"1,5",1,0,0,0,1
chr1,6199342,6199372,2,"4,5",0,0,0,1,1
chr1,6199372,6199395,3,"2,4,5",0,1,0,1,1
chr1,6199395,6199402,4,"2,3,4,5",0,1,1,1,1
chr1,6199402,6199692,5,"1,2,3,4,5",1,1,1,1,1
chr1,6199692,6199712,4,"1,3,4,5",1,0,1,1,1
chr1,6199712,6199778,3,"3,4,5",0,0,1,1,1
chr1,6199778,6199831,2,"4,5",0,0,0,1,1
chr1,6204912,6205166,4,"1,3,4,5",1,0,1,1,1
chr1,6205166,6205503,3,"3,4,5",0,0,1,1,1
chr1,6205856,6206606,2,"4,5",0,0,0,1,1
chr1,6235805,6236015,2,"3,5",0,0,1,0,1
chr1,6393949,6393989,2,"4,5",0,0,0,1,1
chr1,6393989,6394034,3,"1,4,5",1,0,0,1,1
chr1,6394034,6394107,4,"1,3,4,5",1,0,1,1,1
chr1,6394107,6394194,5,"1,2,3,4,5",1,1,1,1,1
chr1,6554279,6554326,2,"4,5",0,0,0,1,1
chr1,6554326,6554356,3,"3,4,5",0,0,1,1,1
chr1,6554404,6554745,3,"3,4,5",0,0,1,1,1
chr1,6613313,6613390,2,"3,5",0,0,1,0,1
chr1,6613390,6613763,3,"1,3,5",1,0,1,0,1
chr1,6613763,6613899,2,"1,5",1,0,0,0,1
chr1,6624674,6624885,2,"3,5",0,0,1,0,1
chr1,6625004,6625113,2,"4,5",0,0,0,1,1
chr1,6625113,6625563,3,"3,4,5",0,0,1,1,1
chr1,6625563,6625574,2,"4,5",0,0,0,1,1
chr1,6784814,6784826,2,"1,5",1,0,0,0,1
chr1,6784826,6784847,3,"1,2,5",1,1,0,0,1
chr1,6784847,6784880,4,"1,2,3,5",1,1,1,0,1
chr1,6784880,6785070,5,"1,2,3,4,5",1,1,1,1,1
chr1,6785070,6785103,4,"1,2,4,5",1,1,0,1,1
chr1,6785103,6785124,3,"1,2,5",1,1,0,0,1
chr1,6785124,6785146,2,"2,5",0,1,0,0,1
chr1,7784141,7784166,2,"1,5",1,0,0,0,1
chr1,7784166,7784334,3,"1,3,5",1,0,1,0,1
chr1,7954032,7954057,2,"3,5",0,0,1,0,1
chr1,7954057,7954469,3,"3,4,5",0,0,1,1,1
chr1,7954469,7954557,2,"3,5",0,0,1,0,1
chr1,7961396,7961444,2,"4,5",0,0,0,1,1
chr1,7961444,7961467,3,"1,4,5",1,0,0,1,1
chr1,7961467,7961693,4,"1,3,4,5",1,0,1,1,1
chr1,7961693,7961754,3,"1,3,5",1,0,1,0,1
chr1,7961754,7961917,2,"3,5",0,0,1,0,1
chr1,8004686,8004999,2,"4,5",0,0,0,1,1
chr1,8004999,8005166,3,"3,4,5",0,0,1,1,1
chr1,8005166,8005449,4,"1,3,4,5",1,0,1,1,1
chr1,8005449,8005476,3,"1,4,5",1,0,0,1,1
chr1,8005476,8005538,2,"4,5",0,0,0,1,1
chr1,8026294,8026300,2,"1,5",1,0,0,0,1
chr1,8026300,8026317,3,"1,2,5",1,1,0,0,1
chr1,8026317,8026353,4,"1,2,4,5",1,1,0,1,1
chr1,8026353,8026557,5,"1,2,3,4,5",1,1,1,1,1
chr1,8026557,8026604,4,"1,2,4,5",1,1,0,1,1
chr1,8026604,8026620,3,"2,4,5",0,1,0,1,1
chr1,8026620,8026630,2,"4,5",0,0,0,1,1
chr1,8027234,8027415,2,"3,5",0,0,1,0,1
chr1,8027415,8027605,3,"3,4,5",0,0,1,1,1
chr1,8027605,8027684,2,"3,5",0,0,1,0,1
chr1,8047688,8048073,2,"3,5",0,0,1,0,1
chr1,8061217,8061227,2,"4,5",0,0,0,1,1
chr1,8061227,8061601,3,"3,4,5",0,0,1,1,1
chr1,8182143,8182373,5,"1,2,3,4,5",1,1,1,1,1
chr1,8182373,8182387,4,"2,3,4,5",0,1,1,1,1
chr1,8182387,8182396,3,"3,4,5",0,0,1,1,1
chr1,8182396,8182454,2,"4,5",0,0,0,1,1
chr1,8194536,8194583,2,"3,5",0,0,1,0,1
chr1,8194583,8194986,3,"3,4,5",0,0,1,1,1
chr1,8194986,8195092,2,"4,5",0,0,0,1,1
chr1,8197789,8197910,2,"4,5",0,0,0,1,1
chr1,8197910,8198006,3,"3,4,5",0,0,1,1,1
chr1,8202178,8202258,3,"1,4,5",1,0,0,1,1
chr1,8202258,8202378,4,"1,3,4,5",1,0,1,1,1
chr1,8202378,8202475,3,"1,4,5",1,0,0,1,1
chr1,8202475,8202630,2,"4,5",0,0,0,1,1
chr1,8211960,8211975,2,"2,5",0,1,0,0,1
chr1,8211975,8211979,3,"1,2,5",1,1,0,0,1
chr1,8211979,8212014,4,"1,2,4,5",1,1,0,1,1
chr1,8212014,8212268,5,"1,2,3,4,5",1,1,1,1,1
chr1,8212268,8212280,4,"1,2,4,5",1,1,0,1,1
chr1,8212280,8212285,3,"1,4,5",1,0,0,1,1
chr1,8212285,8212522,2,"4,5",0,0,0,1,1
chr1,8314353,8314660,2,"3,5",0,0,1,0,1
chr1,8343430,8343460,2,"4,5",0,0,0,1,1
chr1,8343460,8343779,3,"3,4,5",0,0,1,1,1
chr1,8343779,8343798,2,"4,5",0,0,0,1,1
chr1,8343805,8343885,2,"4,5",0,0,0,1,1
chr1,8343885,8343947,3,"3,4,5",0,0,1,1,1
chr1,8343947,8343977,2,"3,5",0,0,1,0,1
chr1,8873701,8873709,2,"1,5",1,0,0,0,1
chr1,8873709,8873716,3,"1,2,5",1,1,0,0,1
chr1,8873716,8873760,4,"1,2,4,5",1,1,0,1,1
chr1,8873760,8873963,5,"1,2,3,4,5",1,1,1,1,1
chr1,8878500,8878528,3,"3,4,5",0,0,1,1,1
chr1,8878528,8878597,2,"4,5",0,0,0,1,1
chr1,8878742,8878862,2,"4,5",0,0,0,1,1
chr1,8878862,8879040,3,"2,4,5",0,1,0,1,1
chr1,8879040,8879109,4,"2,3,4,5",0,1,1,1,1
chr1,8879109,8879419,5,"1,2,3,4,5",1,1,1,1,1
chr1,8879419,8879426,4,"2,3,4,5",0,1,1,1,1
chr1,8880107,8880314,2,"3,5",0,0,1,0,1
chr1,8890123,8890496,2,"4,5",0,0,0,1,1
chr1,8890496,8890632,3,"3,4,5",0,0,1,1,1
chr1,8904012,8904058,2,"4,5",0,0,0,1,1
chr1,8904058,8904170,3,"3,4,5",0,0,1,1,1
chr1,8986142,8986512,2,"4,5",0,0,0,1,1
chr1,9234279,9234689,2,"4,5",0,0,0,1,1
chr1,9234689,9235139,3,"3,4,5",0,0,1,1,1
chr1,9235139,9235173,2,"4,5",0,0,0,1,1
chr1,9290089,9290123,2,"4,5",0,0,0,1,1
chr1,9290123,9290458,3,"3,4,5",0,0,1,1,1
chr1,9428863,9428956,2,"2,5",0,1,0,0,1
chr1,9428956,9429025,3,"1,2,5",1,1,0,0,1
chr1,9429025,9429061,4,"1,2,4,5",1,1,0,1,1
chr1,9429061,9429183,5,"1,2,3,4,5",1,1,1,1,1
chr1,9429183,9429225,4,"1,3,4,5",1,0,1,1,1
chr1,9429225,9429266,3,"1,4,5",1,0,0,1,1
chr1,9429266,9429318,2,"4,5",0,0,0,1,1
chr1,9438576,9438607,2,"4,5",0,0,0,1,1
chr1,9438607,9439057,3,"3,4,5",0,0,1,1,1
chr1,9439057,9439081,2,"4,5",0,0,0,1,1
chr1,9539298,9539305,3,"1,2,5",1,1,0,0,1
chr1,9539305,9539377,4,"1,2,4,5",1,1,0,1,1
chr1,9539377,9539505,5,"1,2,3,4,5",1,1,1,1,1
chr1,9539505,9539552,4,"1,2,4,5",1,1,0,1,1
chr1,9539552,9539608,3,"1,2,5",1,1,0,0,1
chr1,9539608,9539618,2,"2,5",0,1,0,0,1
chr1,9588680,9589006,2,"3,5",0,0,1,0,1
chr1,9824088,9824423,2,"4,5",0,0,0,1,1
chr1,9825402,9825972,2,"4,5",0,0,0,1,1
chr1,9943240,9943333,2,"4,5",0,0,0,1,1
chr1,9943333,9943470,3,"3,4,5",0,0,1,1,1
chr1,9943470,9943501,2,"4,5",0,0,0,1,1
chr1,10032422,10032715,3,"3,4,5",0,0,1,1,1
chr1,10032715,10032872,4,"1,3,4,5",1,0,1,1,1
chr1,10032872,10033025,3,"1,3,5",1,0,1,0,1
chr1,10033025,10033181,2,"3,5",0,0,1,0,1
chr1,10210295,10210695,2,"3,5",0,0,1,0,1
chr1,10388592,10388620,2,"4,5",0,0,0,1,1
chr1,10398613,10398643,2,"3,5",0,0,1,0,1
chr1,10398643,10398726,3,"2,3,5",0,1,1,0,1
chr1,10398726,10398736,4,"2,3,4,5",0,1,1,1,1
chr1,10398736,10398943,5,"1,2,3,4,5",1,1,1,1,1
chr1,10398943,10398963,4,"1,2,3,5",1,1,1,0,1
chr1,10398963,10399046,3,"1,3,5",1,0,1,0,1
chr1,10399046,10399063,2,"3,5",0,0,1,0,1
chr1,10399283,10399524,2,"4,5",0,0,0,1,1
chr1,10472306,10472439,2,"4,5",0,0,0,1,1
chr1,10472439,10472451,3,"3,4,5",0,0,1,1,1
chr1,10472451,10472455,4,"2,3,4,5",0,1,1,1,1
chr1,10472455,10472745,5,"1,2,3,4,5",1,1,1,1,1
chr1,10472745,10472765,4,"1,2,4,5",1,1,0,1,1
chr1,10472765,10472766,3,"2,4,5",0,1,0,1,1
chr1,10472766,10472771,2,"2,5",0,1,0,0,1
chr1,10474768,10475163,3,"3,4,5",0,0,1,1,1
chr1,10475163,10475224,2,"4,5",0,0,0,1,1
chr1,11012537,11012610,2,"3,5",0,0,1,0,1
chr1,11012610,11013180,3,"3,4,5",0,0,1,1,1
chr1,11013180,11013193,2,"3,5",0,0,1,0,1
chr1,11059523,11059720,3,"3,4,5",0,0,1,1,1
chr1,11059720,11059743,2,"4,5",0,0,0,1,1
chr1,11060040,11060044,2,"4,5",0,0,0,1,1
chr1,11060044,11060048,3,"2,4,5",0,1,0,1,1
chr1,11060048,11060069,4,"1,2,4,5",1,1,0,1,1
chr1,11060069,11060294,5,"1,2,3,4,5",1,1,1,1,1
chr1,11060294,11060358,4,"1,2,4,5",1,1,0,1,1
chr1,11060358,11060364,3,"2,4,5",0,1,0,1,1
chr1,11060364,11060366,2,"4,5",0,0,0,1,1
chr1,11099319,11100026,2,"4,5",0,0,0,1,1
chr1,11273348,11273352,2,"4,5",0,0,0,1,1
chr1,11273352,11273374,3,"2,4,5",0,1,0,1,1
chr1,11273374,11273386,4,"1,2,4,5",1,1,0,1,1
chr1,11273386,11273670,5,"1,2,3,4,5",1,1,1,1,1
chr1,11273670,11273672,4,"1,2,4,5",1,1,0,1,1
chr1,11273672,11273684,3,"1,4,5",1,0,0,1,1
chr1,11273684,11273735,2,"4,5",0,0,0,1,1
chr1,11663969,11664352,3,"3,4,5",0,0,1,1,1
chr1,11664352,11664469,2,"4,5",0,0,0,1,1
chr1,11735795,11735831,2,"4,5",0,0,0,1,1
chr1,11735831,11735898,3,"3,4,5",0,0,1,1,1
chr1,11735898,11736218,4,"2,3,4,5",0,1,1,1,1
chr1,11736218,11736281,3,"3,4,5",0,0,1,1,1
chr1,11736281,11736552,2,"4,5",0,0,0,1,1
chr1,11805852,11805943,2,"4,5",0,0,0,1,1
chr1,11805943,11806018,3,"3,4,5",0,0,1,1,1
chr1,11806018,11806091,4,"1,3,4,5",1,0,1,1,1
chr1,11806091,11806236,5,"1,2,3,4,5",1,1,1,1,1
chr1,11806236,11806328,4,"1,3,4,5",1,0,1,1,1
chr1,11806328,11806422,3,"3,4,5",0,0,1,1,1
chr1,11806422,11806501,2,"3,5",0,0,1,0,1
chr1,11908172,11908348,2,"3,5",0,0,1,0,1
chr1,11908613,11908731,2,"4,5",0,0,0,1,1
chr1,11908731,11909160,3,"3,4,5",0,0,1,1,1
chr1,11909536,11909907,2,"3,5",0,0,1,0,1
chr1,11934568,11934711,2,"3,5",0,0,1,0,1
chr1,11934711,11934876,3,"3,4,5",0,0,1,1,1
chr1,11934876,11935018,2,"3,5",0,0,1,0,1
chr1,11979946,11980055,2,"4,5",0,0,0,1,1
chr1,11980055,11980704,3,"3,4,5",0,0,1,1,1
chr1,11980704,11980725,2,"4,5",0,0,0,1,1
chr1,12019240,12019872,2,"4,5",0,0,0,1,1
chr1,12528295,12528354,2,"4,5",0,0,0,1,1
chr1,12528354,12528833,3,"3,4,5",0,0,1,1,1
chr1,12573740,12573764,2,"4,5",0,0,0,1,1
chr1,12573764,12574166,3,"3,4,5",0,0,1,1,1
chr1,12617962,12618532,2,"4,5",0,0,0,1,1
chr1,12619024,12619096,2,"4,5",0,0,0,1,1
chr1,12619096,12619313,3,"3,4,5",0,0,1,1,1
chr1,12619313,12619628,2,"4,5",0,0,0,1,1
chr1,13699907,13699955,2,"3,5",0,0,1,0,1
chr1,13699955,13700254,3,"3,4,5",0,0,1,1,1
chr1,13700254,13700534,2,"4,5",0,0,0,1,1
chr1,13700534,13700544,3,"2,4,5",0,1,0,1,1
chr1,13700544,13700705,4,"1,2,4,5",1,1,0,1,1
chr1,15152361,15152598,4,"1,3,4,5",1,0,1,1,1
chr1,15152598,15152649,3,"3,4,5",0,0,1,1,1
chr1,15152649,15152684,2,"4,5",0,0,0,1,1
chr1,15153067,15153856,2,"4,5",0,0,0,1,1
chr1,15153917,15154047,2,"4,5",0,0,0,1,1
chr1,15154047,15154073,3,"3,4,5",0,0,1,1,1
chr1,15154073,15154306,2,"3,5",0,0,1,0,1
chr1,15168516,15168836,3,"3,4,5",0,0,1,1,1
chr1,15323460,15323840,2,"3,5",0,0,1,0,1
chr1,15409565,15410206,2,"3,5",0,0,1,0,1
chr1,15524380,15524950,2,"4,5",0,0,0,1,1
chr1,15526458,15526652,2,"4,5",0,0,0,1,1
chr1,15526652,15526672,3,"3,4,5",0,0,1,1,1
chr1,15526672,15526675,4,"2,3,4,5",0,1,1,1,1
chr1,15526675,15526985,5,"1,2,3,4,5",1,1,1,1,1
chr1,15526985,15526992,4,"2,3,4,5",0,1,1,1,1
chr1,15526992,15527028,3,"3,4,5",0,0,1,1,1
chr1,15527028,15527128,2,"3,5",0,0,1,0,1
chr1,15584512,15584517,2,"4,5",0,0,0,1,1
chr1,15584517,15584524,3,"1,4,5",1,0,0,1,1
chr1,15584524,15584541,4,"1,2,4,5",1,1,0,1,1
chr1,15584541,15584749,5,"1,2,3,4,5",1,1,1,1,1
chr1,15584749,15584769,4,"1,2,4,5",1,1,0,1,1
chr1,15584769,15584827,5,"1,2,3,4,5",1,1,1,1,1
chr1,15584827,15584844,4,"2,3,4,5",0,1,1,1,1
chr1,15584844,15585219,3,"3,4,5",0,0,1,1,1
chr1,15585219,15585324,2,"4,5",0,0,0,1,1
chr1,15603462,15603567,2,"4,5",0,0,0,1,1
chr1,15603567,15603584,3,"3,4,5",0,0,1,1,1
chr1,15603584,15603604,4,"2,3,4,5",0,1,1,1,1
chr1,15603604,15603756,5,"1,2,3,4,5",1,1,1,1,1
chr1,15603756,15603781,4,"1,3,4,5",1,0,1,1,1
chr1,15603781,15603867,3,"3,4,5",0,0,1,1,1
chr1,15617228,15617405,2,"4,5",0,0,0,1,1
chr1,15617405,15617798,3,"3,4,5",0,0,1,1,1
chr1,15617798,15617927,2,"3,5",0,0,1,0,1
chr1,15799085,15799138,2,"4,5",0,0,0,1,1
chr1,15799138,15799346,3,"3,4,5",0,0,1,1,1
chr1,15799521,15799685,3,"3,4,5",0,0,1,1,1
chr1,15799685,15799745,2,"4,5",0,0,0,1,1
chr1,15800082,15800537,2,"4,5",0,0,0,1,1
chr1,15800537,15800559,3,"3,4,5",0,0,1,1,1
chr1,15800559,15800652,4,"2,3,4,5",0,1,1,1,1
chr1,15800652,15800677,3,"2,3,5",0,1,1,0,1
chr1,15800677,15800818,2,"2,5",0,1,0,0,1
chr1,15834645,15834711,2,"4,5",0,0,0,1,1
chr1,15834711,15834851,3,"3,4,5",0,0,1,1,1
chr1,15834851,15834929,2,"4,5",0,0,0,1,1
chr1,15835925,15836198,2,"1,5",1,0,0,0,1
chr1,15847421,15847459,2,"4,5",0,0,0,1,1
chr1,15847459,15847769,3,"1,4,5",1,0,0,1,1
chr1,15847769,15847901,2,"4,5",0,0,0,1,1
chr1,15975807,15975949,2,"4,5",0,0,0,1,1
chr1,15975949,15976279,3,"3,4,5",0,0,1,1,1
chr1,16155892,16156342,2,"3,5",0,0,1,0,1
chr1,16164203,16164321,3,"3,4,5",0,0,1,1,1
chr1,16164321,16164631,4,"1,3,4,5",1,0,1,1,1
chr1,16164631,16164694,3,"3,4,5",0,0,1,1,1
chr1,16206715,16206744,2,"3,5",0,0,1,0,1
chr1,16206744,16207271,3,"3,4,5",0,0,1,1,1
chr1,16236846,16236994,2,"4,5",0,0,0,1,1
chr1,16236994,16237416,3,"3,4,5",0,0,1,1,1
chr1,16237416,16237419,2,"3,5",0,0,1,0,1
chr1,16352353,16352363,2,"4,5",0,0,0,1,1
chr1,16352363,16352813,3,"3,4,5",0,0,1,1,1
chr1,16352813,16352877,2,"4,5",0,0,0,1,1
chr1,16366914,16367407,2,"3,5",0,0,1,0,1
chr1,16367407,16367811,3,"3,4,5",0,0,1,1,1
chr1,16386411,16386692,2,"3,5",0,0,1,0,1
chr1,16440431,16440447,2,"4,5",0,0,0,1,1
chr1,16440447,16440466,3,"1,4,5",1,0,0,1,1
chr1,16440466,16440478,4,"1,2,4,5",1,1,0,1,1
chr1,16440478,16440754,5,"1,2,3,4,5",1,1,1,1,1
chr1,16440754,16440757,4,"1,2,4,5",1,1,0,1,1
chr1,16440757,16440786,3,"2,4,5",0,1,0,1,1
chr1,16440786,16440802,2,"4,5",0,0,0,1,1
chr1,16513686,16513817,2,"4,5",0,0,0,1,1
chr1,16513817,16514090,3,"3,4,5",0,0,1,1,1
chr1,16514090,16514190,2,"3,5",0,0,1,0,1
chr1,16534421,16534905,2,"4,5",0,0,0,1,1
chr1,16535008,16535689,2,"4,5",0,0,0,1,1
chr1,16613660,16613760,2,"4,5",0,0,0,1,1
chr1,16613760,16613778,3,"2,4,5",0,1,0,1,1
chr1,16613778,16614024,4,"2,3,4,5",0,1,1,1,1
chr1,16614024,16614042,5,"1,2,3,4,5",1,1,1,1,1
chr1,16621072,16621100,3,"2,3,5",0,1,1,0,1
chr1,16621100,16621321,4,"1,2,3,5",1,1,1,0,1
chr1,16621321,16621356,3,"1,3,5",1,0,1,0,1
chr1,16644558,16644600,2,"4,5",0,0,0,1,1
chr1,16644600,16644611,4,"1,3,4,5",1,0,1,1,1
chr1,16644611,16644910,5,"1,2,3,4,5",1,1,1,1,1
chr1,16644910,16644954,4,"2,3,4,5",0,1,1,1,1
chr1,16644954,16645130,3,"2,3,5",0,1,1,0,1
chr1,16645130,16645155,2,"3,5",0,0,1,0,1
chr1,16677985,16678025,2,"4,5",0,0,0,1,1
chr1,16678025,16678106,3,"3,4,5",0,0,1,1,1
chr1,16678106,16678139,4,"1,3,4,5",1,0,1,1,1
chr1,16678139,16678416,5,"1,2,3,4,5",1,1,1,1,1
chr1,16861882,16862577,2,"4,5",0,0,0,1,1
chr1,16872504,16873074,2,"4,5",0,0,0,1,1
chr1,16873218,16873743,2,"4,5",0,0,0,1,1
chr1,16905068,16905074,2,"1,5",1,0,0,0,1
chr1,16905074,16905080,3,"1,2,5",1,1,0,0,1
chr1,16905080,16905086,4,"1,2,3,5",1,1,1,0,1
chr1,16905086,16905360,5,"1,2,3,4,5",1,1,1,1,1
chr1,16905360,16905378,4,"1,2,4,5",1,1,0,1,1
chr1,16905378,16905394,3,"2,4,5",0,1,0,1,1
chr1,16905394,16905397,2,"4,5",0,0,0,1,1
chr1,16913702,16914150,2,"4,5",0,0,0,1,1
chr1,17011445,17012257,2,"4,5",0,0,0,1,1
