chrom,start,end,num,list,ENCFF093TVZ_CEBPB_sorted.bed,ENCFF623VYN_CEBPB_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,24632835,24633071,2,"1,3",1,0,1
chr1,25247430,25247666,2,"1,3",1,0,1
chr1,25573640,25573642,2,"1,3",1,0,1
chr1,25573642,25573773,3,"1,2,3",1,1,1
chr1,25573773,25573803,2,"2,3",0,1,1
chr1,25998011,25998096,2,"2,3",0,1,1
chr1,25998096,25998332,3,"1,2,3",1,1,1
chr1,25998332,25998375,2,"2,3",0,1,1
chr1,26004532,26004752,2,"1,3",1,0,1
chr1,26473085,26473321,2,"1,3",1,0,1
chr1,26831801,26832037,2,"1,3",1,0,1
chr1,26900366,26900373,2,"2,3",0,1,1
chr1,26900373,26900609,3,"1,2,3",1,1,1
chr1,26900609,26900730,2,"2,3",0,1,1
chr1,27008151,27008232,2,"2,3",0,1,1
chr1,27008232,27008315,3,"1,2,3",1,1,1
chr1,27008315,27008515,2,"2,3",0,1,1
chr1,27097535,27097545,2,"2,3",0,1,1
chr1,27097545,27097706,3,"1,2,3",1,1,1
chr1,27322129,27322237,2,"2,3",0,1,1
chr1,27322237,27322326,3,"1,2,3",1,1,1
chr1,27322326,27322493,2,"2,3",0,1,1
chr1,27660053,27660289,2,"1,3",1,0,1
chr1,27959535,27959771,2,"1,3",1,0,1
chr1,28247316,28247552,2,"1,3",1,0,1
chr1,28259191,28259427,2,"1,3",1,0,1
chr1,28581482,28581718,2,"1,3",1,0,1
chr1,28648843,28649079,2,"1,3",1,0,1
chr1,28886735,28886971,2,"1,3",1,0,1
chr1,29136649,29136885,2,"1,3",1,0,1
chr1,29239315,29239318,2,"1,3",1,0,1
chr1,29239318,29239500,3,"1,2,3",1,1,1
chr1,29239500,29239508,2,"1,3",1,0,1
chr1,29245773,29245924,2,"2,3",0,1,1
chr1,29245924,29246137,3,"1,2,3",1,1,1
chr1,29246137,29246160,2,"1,3",1,0,1
chr1,31185662,31185789,2,"2,3",0,1,1
chr1,31185789,31185852,3,"1,2,3",1,1,1
chr1,31185852,31185981,2,"2,3",0,1,1
chr1,31645060,31645296,2,"1,3",1,0,1
chr1,31855132,31855368,2,"1,3",1,0,1
chr1,31940083,31940139,2,"2,3",0,1,1
chr1,31940139,31940140,3,"1,2,3",1,1,1
chr1,32716679,32716697,2,"1,3",1,0,1
chr1,32716697,32716821,3,"1,2,3",1,1,1
chr1,32716821,32716849,2,"1,3",1,0,1
chr1,32817198,32817302,2,"2,3",0,1,1
chr1,32817302,32817426,3,"1,2,3",1,1,1
chr1,32817426,32817562,2,"2,3",0,1,1
chr1,33007290,33007526,2,"1,3",1,0,1
chr1,33008596,33008665,2,"2,3",0,1,1
chr1,33008665,33008901,3,"1,2,3",1,1,1
chr1,33008901,33008960,2,"2,3",0,1,1
chr1,33149653,33149775,3,"1,2,3",1,1,1
chr1,33149775,33149843,2,"2,3",0,1,1
chr1,35345670,35345767,2,"2,3",0,1,1
chr1,35345767,35345816,3,"1,2,3",1,1,1
chr1,35506078,35506217,2,"2,3",0,1,1
chr1,35506217,35506316,3,"1,2,3",1,1,1
chr1,35506316,35506442,2,"2,3",0,1,1
chr1,36300147,36300275,2,"1,3",1,0,1
chr1,36386546,36386566,2,"1,3",1,0,1
chr1,36386566,36386726,3,"1,2,3",1,1,1
chr1,36386726,36386731,2,"2,3",0,1,1
chr1,36415633,36415687,2,"2,3",0,1,1
chr1,36415687,36415923,3,"1,2,3",1,1,1
chr1,36415923,36415997,2,"2,3",0,1,1
chr1,36450738,36450965,2,"1,3",1,0,1
chr1,36463970,36464094,2,"1,3",1,0,1
chr1,36464330,36464339,2,"2,3",0,1,1
chr1,36464339,36464538,3,"1,2,3",1,1,1
chr1,36464538,36464539,2,"2,3",0,1,1
chr1,37448805,37449035,2,"1,3",1,0,1
chr1,37479831,37479837,2,"1,3",1,0,1
chr1,37479837,37480030,3,"1,2,3",1,1,1
chr1,37480030,37480039,2,"2,3",0,1,1
chr1,37495547,37495604,2,"1,3",1,0,1
chr1,37534510,37534562,2,"2,3",0,1,1
chr1,37534562,37534625,3,"1,2,3",1,1,1
chr1,37534625,37534626,2,"2,3",0,1,1
chr1,37691617,37691684,2,"1,3",1,0,1
chr1,39026649,39026748,2,"2,3",0,1,1
chr1,39026748,39026864,3,"1,2,3",1,1,1
chr1,39026864,39027013,2,"2,3",0,1,1
chr1,39899095,39899331,2,"1,3",1,0,1
chr1,40339127,40339172,2,"2,3",0,1,1
chr1,40339172,40339408,3,"1,2,3",1,1,1
chr1,40339408,40339491,2,"2,3",0,1,1
chr1,40868381,40868617,2,"1,3",1,0,1
chr1,41484179,41484415,2,"1,3",1,0,1
chr1,41500621,41500857,2,"1,3",1,0,1
chr1,42035445,42035681,2,"1,3",1,0,1
chr1,42135415,42135468,2,"2,3",0,1,1
chr1,42135468,42135704,3,"1,2,3",1,1,1
chr1,42135704,42135779,2,"2,3",0,1,1
chr1,42146935,42146976,2,"2,3",0,1,1
chr1,42146976,42147212,3,"1,2,3",1,1,1
chr1,42147212,42147299,2,"2,3",0,1,1
chr1,42335855,42335944,2,"2,3",0,1,1
chr1,42335944,42335968,3,"1,2,3",1,1,1
chr1,42340129,42340173,2,"2,3",0,1,1
chr1,42340173,42340409,3,"1,2,3",1,1,1
chr1,42340409,42340493,2,"2,3",0,1,1
chr1,43523172,43523408,2,"1,3",1,0,1
chr1,43650606,43650644,2,"1,3",1,0,1
chr1,43858052,43858214,2,"1,3",1,0,1
chr1,44327886,44327912,2,"2,3",0,1,1
chr1,44327912,44328117,3,"1,2,3",1,1,1
chr1,44328117,44328143,2,"2,3",0,1,1
chr1,44800114,44800350,2,"1,3",1,0,1
chr1,45491111,45491172,2,"2,3",0,1,1
chr1,45491172,45491408,3,"1,2,3",1,1,1
chr1,45491408,45491475,2,"2,3",0,1,1
chr1,45687137,45687373,2,"1,3",1,0,1
chr1,46341045,46341256,2,"1,3",1,0,1
chr1,46348227,46348463,2,"1,3",1,0,1
chr1,46402364,46402569,2,"1,3",1,0,1
chr1,46757272,46757508,2,"1,3",1,0,1
chr1,47436746,47436764,2,"1,3",1,0,1
chr1,47478014,47478059,2,"2,3",0,1,1
chr1,47478059,47478295,3,"1,2,3",1,1,1
chr1,47478295,47478378,2,"2,3",0,1,1
chr1,50960010,50960246,2,"1,3",1,0,1
chr1,51344641,51344877,2,"1,3",1,0,1
chr1,51567800,51567823,2,"2,3",0,1,1
chr1,51567823,51568059,3,"1,2,3",1,1,1
chr1,51568059,51568164,2,"2,3",0,1,1
chr1,52002345,52002581,2,"1,3",1,0,1
chr1,52055585,52055659,2,"2,3",0,1,1
chr1,52055659,52055784,3,"1,2,3",1,1,1
chr1,52404376,52404390,2,"2,3",0,1,1
chr1,52404390,52404583,3,"1,2,3",1,1,1
chr1,52404583,52404592,2,"2,3",0,1,1
chr1,52703330,52703458,2,"1,3",1,0,1
chr1,53176557,53176793,2,"1,3",1,0,1
chr1,53688767,53688973,2,"1,3",1,0,1
chr1,54016546,54016682,2,"2,3",0,1,1
chr1,54016682,54016776,3,"1,2,3",1,1,1
chr1,54016776,54016854,2,"2,3",0,1,1
chr1,55035882,55036117,2,"1,3",1,0,1
chr1,56547924,56548085,2,"2,3",0,1,1
chr1,56548085,56548209,3,"1,2,3",1,1,1
chr1,56548209,56548269,2,"2,3",0,1,1
chr1,58584494,58584627,2,"2,3",0,1,1
chr1,58584627,58584758,3,"1,2,3",1,1,1
chr1,58584758,58584858,2,"2,3",0,1,1
chr1,58814223,58814236,2,"1,3",1,0,1
chr1,58814236,58814365,3,"1,2,3",1,1,1
chr1,58814365,58814375,2,"1,3",1,0,1
chr1,59759593,59759807,2,"1,3",1,0,1
chr1,62437628,62437665,2,"2,3",0,1,1
chr1,63523129,63523365,2,"1,3",1,0,1
chr1,63594382,63594597,2,"1,3",1,0,1
chr1,64987350,64987403,2,"2,3",0,1,1
chr1,64987403,64987639,3,"1,2,3",1,1,1
chr1,64987639,64987719,2,"2,3",0,1,1
chr1,65002934,65003072,2,"2,3",0,1,1
chr1,65003072,65003163,3,"1,2,3",1,1,1
chr1,65003163,65003258,2,"2,3",0,1,1
chr1,65297612,65297794,2,"2,3",0,1,1
chr1,65297794,65297863,3,"1,2,3",1,1,1
chr1,65297863,65297976,2,"2,3",0,1,1
chr1,67686635,67686871,2,"1,3",1,0,1
chr1,78237731,78237967,2,"1,3",1,0,1
chr1,84634591,84634654,2,"2,3",0,1,1
chr1,84634654,84634890,3,"1,2,3",1,1,1
chr1,84634890,84634955,2,"2,3",0,1,1
chr1,85134663,85134821,2,"1,3",1,0,1
chr1,85135178,85135208,2,"2,3",0,1,1
chr1,85135208,85135409,3,"1,2,3",1,1,1
chr1,85135409,85135436,2,"2,3",0,1,1
chr1,85283570,85283730,2,"1,3",1,0,1
chr1,86793141,86793377,2,"1,3",1,0,1
chr1,87328765,87329001,2,"1,3",1,0,1
chr1,91500665,91500677,2,"2,3",0,1,1
chr1,91500677,91500844,3,"1,2,3",1,1,1
chr1,91500844,91500865,2,"1,3",1,0,1
chr1,92961879,92962115,2,"1,3",1,0,1
chr1,93179626,93179807,2,"1,3",1,0,1
chr1,93180280,93180334,2,"2,3",0,1,1
chr1,93180334,93180570,3,"1,2,3",1,1,1
chr1,93180570,93180644,2,"2,3",0,1,1
chr1,93847457,93847689,2,"1,3",1,0,1
chr1,94417975,94418211,2,"1,3",1,0,1
chr1,97938018,97938089,2,"2,3",0,1,1
chr1,97938089,97938325,3,"1,2,3",1,1,1
chr1,97938325,97938382,2,"2,3",0,1,1
chr1,107572566,107572625,2,"2,3",0,1,1
chr1,107572625,107572861,3,"1,2,3",1,1,1
chr1,107572861,107572930,2,"2,3",0,1,1
chr1,108191009,108191112,2,"2,3",0,1,1
chr1,108191112,108191294,3,"1,2,3",1,1,1
chr1,108191294,108191373,2,"2,3",0,1,1
chr1,108199265,108199501,2,"1,3",1,0,1
chr1,108554046,108554282,2,"1,3",1,0,1
chr1,109056971,109057335,2,"2,3",0,1,1
chr1,109066383,109066619,2,"1,3",1,0,1
chr1,109240019,109240090,2,"2,3",0,1,1
chr1,109240090,109240248,3,"1,2,3",1,1,1
chr1,109240248,109240350,2,"2,3",0,1,1
chr1,109246304,109246540,2,"1,3",1,0,1
chr1,109274818,109275054,2,"1,3",1,0,1
chr1,109299370,109299512,2,"1,3",1,0,1
chr1,109548476,109548712,2,"1,3",1,0,1
chr1,110034523,110034624,2,"1,3",1,0,1
chr1,110116959,110117021,2,"2,3",0,1,1
chr1,110117021,110117257,3,"1,2,3",1,1,1
chr1,110117257,110117315,2,"2,3",0,1,1
chr1,110383546,110383560,2,"1,3",1,0,1
chr1,110383560,110383702,3,"1,2,3",1,1,1
chr1,110383702,110383705,2,"1,3",1,0,1
chr1,110964023,110964114,2,"2,3",0,1,1
chr1,110964114,110964253,3,"1,2,3",1,1,1
chr1,110964253,110964387,2,"2,3",0,1,1
chr1,111203853,111204089,2,"1,3",1,0,1
chr1,111422596,111422832,2,"1,3",1,0,1
chr1,111755576,111755812,2,"1,3",1,0,1
chr1,112620095,112620101,2,"1,3",1,0,1
chr1,113206449,113206569,2,"2,3",0,1,1
chr1,113206569,113206706,3,"1,2,3",1,1,1
chr1,113206706,113206813,2,"2,3",0,1,1
chr1,115829312,115829493,2,"1,3",1,0,1
chr1,115906681,115906816,2,"2,3",0,1,1
chr1,115906816,115906889,3,"1,2,3",1,1,1
chr1,115906889,115907021,2,"2,3",0,1,1
chr1,115911364,115911589,3,"1,2,3",1,1,1
chr1,115911589,115911631,2,"2,3",0,1,1
chr1,116020731,116020958,2,"1,3",1,0,1
chr1,116109810,116109980,2,"2,3",0,1,1
chr1,116109980,116110067,3,"1,2,3",1,1,1
chr1,116110067,116110174,2,"2,3",0,1,1
chr1,116373096,116373332,2,"1,3",1,0,1
chr1,116508752,116508988,3,"1,2,3",1,1,1
chr1,116508988,116509116,2,"2,3",0,1,1
chr1,116537404,116537736,2,"2,3",0,1,1
chr1,116569843,116569954,3,"1,2,3",1,1,1
chr1,116569954,116570091,2,"2,3",0,1,1
chr1,116674795,116675031,2,"1,3",1,0,1
chr1,117541124,117541138,2,"2,3",0,1,1
chr1,117541138,117541351,3,"1,2,3",1,1,1
chr1,117541351,117541371,2,"2,3",0,1,1
chr1,117590758,117590994,2,"1,3",1,0,1
chr1,120850649,120850802,2,"2,3",0,1,1
chr1,120850802,120850915,3,"1,2,3",1,1,1
chr1,120850915,120851013,2,"2,3",0,1,1
chr1,144412565,144412801,2,"1,3",1,0,1
chr1,145281109,145281345,2,"1,3",1,0,1
chr1,145711303,145711539,2,"1,3",1,0,1
chr1,145740249,145740613,2,"2,3",0,1,1
chr1,145859300,145859664,2,"2,3",0,1,1
chr1,145918360,145918596,2,"1,3",1,0,1
chr1,145927032,145927268,2,"1,3",1,0,1
chr1,145964286,145964389,2,"2,3",0,1,1
chr1,145964389,145964625,3,"1,2,3",1,1,1
chr1,145964625,145964650,2,"2,3",0,1,1
chr1,146013039,146013275,2,"1,3",1,0,1
chr1,146052129,146052365,2,"1,3",1,0,1
chr1,146377020,146377256,2,"1,3",1,0,1
chr1,147030373,147030429,2,"2,3",0,1,1
chr1,147030429,147030665,3,"1,2,3",1,1,1
chr1,147030665,147030737,2,"2,3",0,1,1
chr1,147237664,147237682,2,"1,3",1,0,1
chr1,147237682,147237805,3,"1,2,3",1,1,1
chr1,147237805,147237829,2,"1,3",1,0,1
chr1,147539056,147539279,2,"1,3",1,0,1
chr1,147850847,147850962,2,"1,3",1,0,1
chr1,148038657,148038893,2,"1,3",1,0,1
chr1,148263384,148263620,2,"1,3",1,0,1
chr1,148334199,148334337,2,"2,3",0,1,1
chr1,148334337,148334448,3,"1,2,3",1,1,1
chr1,148334448,148334563,2,"2,3",0,1,1
chr1,148388348,148388437,2,"2,3",0,1,1
chr1,148388437,148388621,3,"1,2,3",1,1,1
chr1,148388621,148388712,2,"2,3",0,1,1
chr1,149740132,149740244,2,"2,3",0,1,1
chr1,149740244,149740376,3,"1,2,3",1,1,1
chr1,149740376,149740496,2,"2,3",0,1,1
chr1,149811164,149811231,2,"1,3",1,0,1
chr1,149811231,149811400,3,"1,2,3",1,1,1
chr1,149811400,149811430,2,"2,3",0,1,1
chr1,149811610,149811794,2,"2,3",0,1,1
chr1,149927646,149927882,2,"1,3",1,0,1
chr1,149939308,149939363,2,"1,3",1,0,1
chr1,149939363,149939544,3,"1,2,3",1,1,1
chr1,149939544,149939727,2,"2,3",0,1,1
chr1,150067191,150067199,2,"1,3",1,0,1
chr1,150067199,150067389,3,"1,2,3",1,1,1
chr1,150067389,150067394,2,"1,3",1,0,1
chr1,150213579,150213619,2,"2,3",0,1,1
chr1,150213619,150213855,3,"1,2,3",1,1,1
chr1,150213855,150213943,2,"2,3",0,1,1
chr1,150221623,150221859,2,"1,3",1,0,1
chr1,150269159,150269395,2,"1,3",1,0,1
chr1,150281745,150281981,2,"1,3",1,0,1
chr1,150293720,150293956,2,"1,3",1,0,1
chr1,150363530,150363541,3,"1,2,3",1,1,1
chr1,150363541,150363551,2,"2,3",0,1,1
chr1,150364056,150364292,2,"1,3",1,0,1
chr1,150364605,150364841,2,"1,3",1,0,1
chr1,150548926,150549162,2,"1,3",1,0,1
chr1,150552383,150552401,2,"2,3",0,1,1
chr1,150552401,150552585,3,"1,2,3",1,1,1
chr1,150552585,150552590,2,"2,3",0,1,1
chr1,150579682,150579845,2,"2,3",0,1,1
chr1,150579845,150579908,3,"1,2,3",1,1,1
chr1,150579908,150580046,2,"2,3",0,1,1
chr1,150604783,150605019,2,"1,3",1,0,1
chr1,150876797,150876817,2,"2,3",0,1,1
chr1,150876817,150877051,3,"1,2,3",1,1,1
chr1,150877051,150877077,2,"2,3",0,1,1
chr1,150895629,150895691,2,"2,3",0,1,1
chr1,150895691,150895927,3,"1,2,3",1,1,1
chr1,150895927,150895993,2,"2,3",0,1,1
chr1,151059518,151059541,2,"2,3",0,1,1
chr1,151059541,151059770,3,"1,2,3",1,1,1
chr1,151059770,151059789,2,"2,3",0,1,1
chr1,151070379,151070407,2,"2,3",0,1,1
chr1,151070407,151070643,3,"1,2,3",1,1,1
chr1,151070643,151070743,2,"2,3",0,1,1
chr1,151165965,151166201,2,"1,3",1,0,1
chr1,151371462,151371504,2,"2,3",0,1,1
chr1,151371504,151371668,3,"1,2,3",1,1,1
chr1,151371668,151371691,2,"2,3",0,1,1
chr1,151372650,151373014,2,"2,3",0,1,1
chr1,151399322,151399327,2,"1,3",1,0,1
chr1,151399327,151399528,3,"1,2,3",1,1,1
chr1,151399528,151399542,2,"2,3",0,1,1
chr1,151563386,151563505,2,"2,3",0,1,1
chr1,151563505,151563668,3,"1,2,3",1,1,1
chr1,151563668,151563727,2,"2,3",0,1,1
chr1,151606579,151606593,2,"2,3",0,1,1
chr1,151606593,151606769,3,"1,2,3",1,1,1
chr1,151606769,151606792,2,"2,3",0,1,1
chr1,151608400,151608416,2,"2,3",0,1,1
chr1,151608416,151608629,3,"1,2,3",1,1,1
chr1,151611400,151611417,2,"2,3",0,1,1
chr1,151611417,151611611,3,"1,2,3",1,1,1
chr1,151611611,151611619,2,"1,3",1,0,1
chr1,151612461,151612697,2,"1,3",1,0,1
chr1,151619721,151619924,2,"1,3",1,0,1
chr1,151705814,151706050,2,"1,3",1,0,1
chr1,151768433,151768444,2,"2,3",0,1,1
chr1,151768444,151768601,3,"1,2,3",1,1,1
chr1,151768601,151768640,2,"2,3",0,1,1
chr1,151945742,151945807,2,"2,3",0,1,1
chr1,151945807,151946043,3,"1,2,3",1,1,1
chr1,151946043,151946106,2,"2,3",0,1,1
chr1,151946405,151946626,2,"1,3",1,0,1
chr1,151973057,151973259,2,"1,3",1,0,1
chr1,152089419,152089708,2,"2,3",0,1,1
chr1,152392856,152392867,2,"2,3",0,1,1
chr1,152392867,152393103,3,"1,2,3",1,1,1
chr1,152393103,152393421,2,"2,3",0,1,1
chr1,152399250,152399486,2,"1,3",1,0,1
chr1,152743507,152743670,2,"1,3",1,0,1
chr1,152908336,152908572,2,"1,3",1,0,1
chr1,153032968,153033204,2,"1,3",1,0,1
chr1,153348819,153349055,2,"1,3",1,0,1
chr1,153365241,153365320,2,"2,3",0,1,1
chr1,153365320,153365477,3,"1,2,3",1,1,1
chr1,153365477,153365605,2,"2,3",0,1,1
chr1,153391072,153391104,2,"2,3",0,1,1
chr1,153391104,153391270,3,"1,2,3",1,1,1
chr1,153394046,153394086,2,"2,3",0,1,1
chr1,153394086,153394322,3,"1,2,3",1,1,1
chr1,153394322,153394369,2,"2,3",0,1,1
chr1,153609354,153609541,2,"1,3",1,0,1
chr1,153616217,153616325,2,"2,3",0,1,1
chr1,153616325,153616474,3,"1,2,3",1,1,1
chr1,153616474,153616574,2,"2,3",0,1,1
chr1,153633935,153634171,2,"1,3",1,0,1
chr1,153708643,153708848,2,"1,3",1,0,1
chr1,153728025,153728193,2,"1,3",1,0,1
chr1,153967230,153967466,2,"1,3",1,0,1
chr1,153967757,153967965,2,"2,3",0,1,1
chr1,153968105,153968323,2,"2,3",0,1,1
chr1,153990582,153990818,2,"1,3",1,0,1
chr1,154190548,154190647,2,"2,3",0,1,1
chr1,154190647,154190816,3,"1,2,3",1,1,1
chr1,154190816,154190912,2,"2,3",0,1,1
chr1,154405169,154405177,2,"2,3",0,1,1
chr1,154405177,154405385,3,"1,2,3",1,1,1
chr1,154608187,154608224,2,"1,3",1,0,1
chr1,154608224,154608346,3,"1,2,3",1,1,1
chr1,154608346,154608376,2,"1,3",1,0,1
chr1,154936463,154936699,2,"1,3",1,0,1
chr1,155011991,155012227,2,"1,3",1,0,1
chr1,155117680,155117916,2,"1,3",1,0,1
chr1,155127137,155127237,2,"2,3",0,1,1
chr1,155127237,155127390,3,"1,2,3",1,1,1
chr1,155127390,155127501,2,"2,3",0,1,1
chr1,155173241,155173477,2,"1,3",1,0,1
chr1,155177262,155177498,2,"1,3",1,0,1
chr1,155651444,155651508,2,"2,3",0,1,1
chr1,155651508,155651744,3,"1,2,3",1,1,1
chr1,155651744,155651808,2,"2,3",0,1,1
chr1,155859629,155859663,2,"1,3",1,0,1
chr1,156153369,156153434,2,"2,3",0,1,1
chr1,156153434,156153670,3,"1,2,3",1,1,1
chr1,156153670,156153733,2,"2,3",0,1,1
chr1,156471731,156471967,2,"1,3",1,0,1
chr1,156591565,156591801,2,"1,3",1,0,1
chr1,157132161,157132397,2,"1,3",1,0,1
chr1,157132580,157132626,2,"1,3",1,0,1
chr1,157132626,157132816,3,"1,2,3",1,1,1
chr1,157132816,157132990,2,"2,3",0,1,1
chr1,157138287,157138362,2,"1,3",1,0,1
chr1,159780518,159780580,2,"2,3",0,1,1
chr1,159780580,159780741,3,"1,2,3",1,1,1
chr1,159780741,159780870,2,"2,3",0,1,1
chr1,159900427,159900663,2,"1,3",1,0,1
chr1,159946326,159946461,2,"1,3",1,0,1
chr1,160124701,160124768,2,"2,3",0,1,1
chr1,160124768,160124864,3,"1,2,3",1,1,1
chr1,160124864,160125065,2,"2,3",0,1,1
chr1,160252070,160252110,2,"1,3",1,0,1
chr1,160252110,160252204,3,"1,2,3",1,1,1
chr1,160252204,160252220,2,"1,3",1,0,1
chr1,160777540,160777770,2,"1,3",1,0,1
chr1,160943013,160943249,2,"1,3",1,0,1
chr1,160993641,160993777,3,"1,2,3",1,1,1
chr1,160993777,160993856,2,"2,3",0,1,1
chr1,161083567,161083582,2,"2,3",0,1,1
chr1,161083582,161083807,3,"1,2,3",1,1,1
chr1,161083807,161083835,2,"2,3",0,1,1
chr1,161092566,161092579,2,"2,3",0,1,1
chr1,161092579,161092815,3,"1,2,3",1,1,1
chr1,161092815,161092896,2,"2,3",0,1,1
chr1,161117946,161118182,2,"1,3",1,0,1
chr1,161540063,161540175,2,"2,3",0,1,1
chr1,161540175,161540331,3,"1,2,3",1,1,1
chr1,161540331,161540427,2,"2,3",0,1,1
chr1,161765299,161765462,3,"1,2,3",1,1,1
chr1,161765462,161765541,2,"2,3",0,1,1
chr1,162070456,162070612,2,"1,3",1,0,1
chr1,162152334,162152347,2,"2,3",0,1,1
chr1,162152347,162152561,3,"1,2,3",1,1,1
chr1,162152561,162152566,2,"2,3",0,1,1
chr1,162159495,162159665,2,"2,3",0,1,1
chr1,162159665,162159754,3,"1,2,3",1,1,1
chr1,162159754,162159859,2,"2,3",0,1,1
chr1,164598648,164598667,2,"2,3",0,1,1
chr1,164598667,164598903,3,"1,2,3",1,1,1
chr1,164598903,164599077,2,"2,3",0,1,1
chr1,165630633,165630869,2,"1,3",1,0,1
chr1,165828153,165828389,2,"1,3",1,0,1
chr1,166603314,166603399,2,"2,3",0,1,1
chr1,166603399,166603635,3,"1,2,3",1,1,1
chr1,166603635,166603678,2,"2,3",0,1,1
chr1,166839042,166839100,3,"1,2,3",1,1,1
chr1,166839100,166839146,2,"2,3",0,1,1
chr1,168546104,168546107,2,"2,3",0,1,1
chr1,168546107,168546237,3,"1,2,3",1,1,1
chr1,168574331,168574526,2,"1,3",1,0,1
chr1,168906997,168907021,2,"2,3",0,1,1
chr1,168907021,168907173,3,"1,2,3",1,1,1
chr1,168907173,168907262,2,"2,3",0,1,1
chr1,169124500,169124864,2,"2,3",0,1,1
chr1,169485232,169485426,2,"1,3",1,0,1
chr1,169849606,169849970,2,"2,3",0,1,1
