chrom,start,end,num,list,ENCFF053XIP_REST_sorted.bed,ENCFF321FXG_REST_sorted.bed,ENCFF377BCP_REST_sorted.bed,ENCFF462FTK_REST_sorted.bed,ENCFF625JMY_REST_sorted.bed,ENCFF681JCX_REST_sorted.bed,ENCFF800ESB_REST_sorted.bed,ENCFF807IYF_REST_sorted.bed,ENCFF873JLN_REST_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,1778299,1778358,5,"4,6,7,8,10",0,0,0,1,0,1,1,1,0,1
chr1,1778358,1778383,4,"4,6,8,10",0,0,0,1,0,1,0,1,0,1
chr1,1778383,1778404,3,"4,6,10",0,0,0,1,0,1,0,0,0,1
chr1,1778404,1778410,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,1778806,1779052,2,"7,10",0,0,0,0,0,0,1,0,0,1
chr1,1890971,1890984,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,1890984,1891332,3,"6,8,10",0,0,0,0,0,1,0,1,0,1
chr1,1891332,1891364,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,1906267,1906526,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,1908647,1909093,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,1909255,1909276,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,1909276,1909450,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,1909450,1909453,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,1919018,1919036,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,1919036,1919398,3,"4,6,10",0,0,0,1,0,1,0,0,0,1
chr1,1919398,1919440,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,2180448,2180764,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,2189849,2189878,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,2189878,2189940,3,"4,6,10",0,0,0,1,0,1,0,0,0,1
chr1,2189975,2190071,3,"4,6,10",0,0,0,1,0,1,0,0,0,1
chr1,2205303,2205380,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,2205380,2205413,3,"4,8,10",0,0,0,1,0,0,0,1,0,1
chr1,2205413,2205692,4,"4,7,8,10",0,0,0,1,0,0,1,1,0,1
chr1,2212700,2212728,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,2212728,2213104,3,"4,8,10",0,0,0,1,0,0,0,1,0,1
chr1,2213104,2213108,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,2227549,2227746,2,"7,10",0,0,0,0,0,0,1,0,0,1
chr1,2381801,2381819,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,2381819,2381967,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,2381967,2382054,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,2391732,2391842,2,"7,10",0,0,0,0,0,0,1,0,0,1
chr1,2391842,2391933,3,"7,9,10",0,0,0,0,0,0,1,0,1,1
chr1,2526145,2526194,3,"6,8,10",0,0,0,0,0,1,0,1,0,1
chr1,2526194,2526354,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,2546030,2546210,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,2546210,2546224,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,2546936,2546955,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,2546955,2547224,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,2586311,2586348,3,"1,2,10",1,1,0,0,0,0,0,0,0,1
chr1,2586348,2586355,4,"1,2,7,10",1,1,0,0,0,0,1,0,0,1
chr1,2586355,2586379,5,"1,2,6,7,10",1,1,0,0,0,1,1,0,0,1
chr1,2586379,2586384,6,"1,2,5,6,7,10",1,1,0,0,1,1,1,0,0,1
chr1,2586384,2586439,7,"1,2,4,5,6,7,10",1,1,0,1,1,1,1,0,0,1
chr1,2586439,2586571,8,"1,2,4,5,6,7,9,10",1,1,0,1,1,1,1,0,1,1
chr1,2586571,2586579,7,"1,2,4,5,6,7,10",1,1,0,1,1,1,1,0,0,1
chr1,2586579,2586614,6,"1,2,4,6,7,10",1,1,0,1,0,1,1,0,0,1
chr1,2586614,2586637,5,"1,2,6,7,10",1,1,0,0,0,1,1,0,0,1
chr1,2586637,2586735,4,"1,2,6,10",1,1,0,0,0,1,0,0,0,1
chr1,2586735,2586840,3,"1,2,10",1,1,0,0,0,0,0,0,0,1
chr1,2586840,2586966,2,"2,10",0,1,0,0,0,0,0,0,0,1
chr1,3619041,3619043,2,"7,10",0,0,0,0,0,0,1,0,0,1
chr1,3619043,3619302,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,3718028,3718029,8,"1,2,3,4,6,7,8,10",1,1,1,1,0,1,1,1,0,1
chr1,3718029,3718039,9,"1,2,3,4,6,7,8,9,10",1,1,1,1,0,1,1,1,1,1
chr1,3718039,3718303,10,"1,2,3,4,5,6,7,8,9,10",1,1,1,1,1,1,1,1,1,1
chr1,3718303,3718308,9,"1,2,4,5,6,7,8,9,10",1,1,0,1,1,1,1,1,1,1
chr1,3718308,3718309,8,"1,2,4,6,7,8,9,10",1,1,0,1,0,1,1,1,1,1
chr1,3857236,3857466,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,3900077,3900105,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,3900105,3900481,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,3900481,3900485,2,"7,10",0,0,0,0,0,0,1,0,0,1
chr1,3900642,3901022,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,5885813,5885857,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,5885857,5885895,3,"4,9,10",0,0,0,1,0,0,0,0,1,1
chr1,5885895,5886095,4,"4,5,9,10",0,0,0,1,1,0,0,0,1,1
chr1,5886095,5886101,3,"4,9,10",0,0,0,1,0,0,0,0,1,1
chr1,5886101,5886169,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,5992190,5992359,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,5992359,5992505,3,"4,6,10",0,0,0,1,0,1,0,0,0,1
chr1,5992505,5992763,4,"4,6,7,10",0,0,0,1,0,1,1,0,0,1
chr1,5992763,5992773,3,"6,7,10",0,0,0,0,0,1,1,0,0,1
chr1,5992773,5992785,2,"7,10",0,0,0,0,0,0,1,0,0,1
chr1,6199454,6199472,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,6199472,6199478,3,"8,9,10",0,0,0,0,0,0,0,1,1,1
chr1,6199478,6199505,4,"4,8,9,10",0,0,0,1,0,0,0,1,1,1
chr1,6199505,6199716,5,"4,7,8,9,10",0,0,0,1,0,0,1,1,1,1
chr1,6199716,6199721,4,"4,7,8,10",0,0,0,1,0,0,1,1,0,1
chr1,6199721,6199762,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,6199762,6199877,4,"4,6,7,10",0,0,0,1,0,1,1,0,0,1
chr1,6199877,6199891,3,"4,6,10",0,0,0,1,0,1,0,0,0,1
chr1,6205174,6205219,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,6205219,6205256,3,"8,9,10",0,0,0,0,0,0,0,1,1,1
chr1,6205256,6205266,4,"5,8,9,10",0,0,0,0,1,0,0,1,1,1
chr1,6205266,6205282,5,"4,5,8,9,10",0,0,0,1,1,0,0,1,1,1
chr1,6205282,6205396,4,"4,5,9,10",0,0,0,1,1,0,0,0,1,1
chr1,6205396,6205456,3,"5,9,10",0,0,0,0,1,0,0,0,1,1
chr1,6205456,6205463,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,6235667,6235779,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,6235779,6235857,4,"2,4,7,10",0,1,0,1,0,0,1,0,0,1
chr1,6235857,6235902,3,"2,4,10",0,1,0,1,0,0,0,0,0,1
chr1,6235902,6236256,2,"2,10",0,1,0,0,0,0,0,0,0,1
chr1,6245103,6245142,9,"1,2,4,5,6,7,8,9,10",1,1,0,1,1,1,1,1,1,1
chr1,6245142,6245328,10,"1,2,3,4,5,6,7,8,9,10",1,1,1,1,1,1,1,1,1,1
chr1,6245328,6245378,9,"1,2,4,5,6,7,8,9,10",1,1,0,1,1,1,1,1,1,1
chr1,6393531,6393911,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,6394004,6394184,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,6554225,6554284,3,"2,6,10",0,1,0,0,0,1,0,0,0,1
chr1,6554284,6554347,4,"1,2,6,10",1,1,0,0,0,1,0,0,0,1
chr1,6554347,6554439,5,"1,2,6,9,10",1,1,0,0,0,1,0,0,1,1
chr1,6554439,6554482,6,"1,2,3,6,9,10",1,1,1,0,0,1,0,0,1,1
chr1,6554482,6554556,5,"1,2,3,9,10",1,1,1,0,0,0,0,0,1,1
chr1,6554556,6554591,6,"1,2,3,4,9,10",1,1,1,1,0,0,0,0,1,1
chr1,6554591,6554663,5,"1,2,3,4,10",1,1,1,1,0,0,0,0,0,1
chr1,6554663,6554725,4,"1,2,4,10",1,1,0,1,0,0,0,0,0,1
chr1,6554725,6554757,3,"1,2,10",1,1,0,0,0,0,0,0,0,1
chr1,6613073,6613306,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,6784470,6784545,3,"7,9,10",0,0,0,0,0,0,1,0,1,1
chr1,6784545,6784617,4,"4,7,9,10",0,0,0,1,0,0,1,0,1,1
chr1,6784617,6784663,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,6784663,6784720,2,"7,10",0,0,0,0,0,0,1,0,0,1
chr1,6784720,6784810,3,"7,8,10",0,0,0,0,0,0,1,1,0,1
chr1,6784810,6784842,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,6784842,6785086,3,"8,9,10",0,0,0,0,0,0,0,1,1,1
chr1,6785086,6785100,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,7954290,7954433,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,7961275,7961494,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,7961494,7961504,3,"2,9,10",0,1,0,0,0,0,0,0,1,1
chr1,7961504,7961519,4,"2,6,9,10",0,1,0,0,0,1,0,0,1,1
chr1,7961519,7961705,3,"2,6,10",0,1,0,0,0,1,0,0,0,1
chr1,7961705,7961884,4,"2,6,8,10",0,1,0,0,0,1,0,1,0,1
chr1,7961884,7961990,3,"2,8,10",0,1,0,0,0,0,0,1,0,1
chr1,8004775,8005019,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,8026137,8026222,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,8026222,8026466,3,"4,9,10",0,0,0,1,0,0,0,0,1,1
chr1,8026466,8026629,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,8197680,8197782,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,8197782,8197825,3,"4,9,10",0,0,0,1,0,0,0,0,1,1
chr1,8197825,8197876,4,"4,8,9,10",0,0,0,1,0,0,0,1,1,1
chr1,8197876,8198026,5,"4,5,8,9,10",0,0,0,1,1,0,0,1,1,1
chr1,8198026,8198076,4,"4,5,8,10",0,0,0,1,1,0,0,1,0,1
chr1,8198076,8198205,3,"4,8,10",0,0,0,1,0,0,0,1,0,1
chr1,8198205,8198235,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,8877985,8878047,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,8878047,8878229,3,"8,9,10",0,0,0,0,0,0,0,1,1,1
chr1,8878229,8878237,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,8878596,8878633,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,8878792,8878930,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,8878930,8879086,3,"6,8,10",0,0,0,0,0,1,0,1,0,1
chr1,8879086,8879104,4,"6,8,9,10",0,0,0,0,0,1,0,1,1,1
chr1,8879104,8879197,5,"6,7,8,9,10",0,0,0,0,0,1,1,1,1,1
chr1,8879197,8879310,6,"4,6,7,8,9,10",0,0,0,1,0,1,1,1,1,1
chr1,8879310,8879330,5,"4,7,8,9,10",0,0,0,1,0,0,1,1,1,1
chr1,8879330,8879391,4,"4,7,8,10",0,0,0,1,0,0,1,1,0,1
chr1,8879391,8879484,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,8879484,8879532,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,9234750,9235130,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,9428883,9428902,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,9428902,9429207,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,9539134,9539417,4,"2,4,7,10",0,1,0,1,0,0,1,0,0,1
chr1,9539417,9539423,5,"2,4,6,7,10",0,1,0,1,0,1,1,0,0,1
chr1,9539423,9539530,4,"4,6,7,10",0,0,0,1,0,1,1,0,0,1
chr1,9539530,9539546,3,"6,7,10",0,0,0,0,0,1,1,0,0,1
chr1,9539546,9539797,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,9588440,9588776,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,9593466,9593564,6,"1,4,6,7,8,10",1,0,0,1,0,1,1,1,0,1
chr1,9593564,9593565,7,"1,4,6,7,8,9,10",1,0,0,1,0,1,1,1,1,1
chr1,9593565,9593595,8,"1,2,4,6,7,8,9,10",1,1,0,1,0,1,1,1,1,1
chr1,9593595,9593749,9,"1,2,4,5,6,7,8,9,10",1,1,0,1,1,1,1,1,1,1
chr1,9593749,9593754,8,"1,2,4,6,7,8,9,10",1,1,0,1,0,1,1,1,1,1
chr1,9719152,9719162,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,9719162,9719406,3,"4,9,10",0,0,0,1,0,0,0,0,1,1
chr1,9719406,9719409,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,9823860,9823924,3,"6,9,10",0,0,0,0,0,1,0,0,1,1
chr1,9823924,9824093,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,9943093,9943158,2,"2,10",0,1,0,0,0,0,0,0,0,1
chr1,9943158,9943378,3,"2,8,10",0,1,0,0,0,0,0,1,0,1
chr1,9943378,9943538,4,"2,8,9,10",0,1,0,0,0,0,0,1,1,1
chr1,9943538,9943587,3,"2,9,10",0,1,0,0,0,0,0,0,1,1
chr1,10032536,10032795,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,10032795,10033045,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,10033045,10033056,2,"7,10",0,0,0,0,0,0,1,0,0,1
chr1,10209967,10210002,2,"2,10",0,1,0,0,0,0,0,0,0,1
chr1,10210002,10210132,3,"2,6,10",0,1,0,0,0,1,0,0,0,1
chr1,10210132,10210209,4,"2,6,7,10",0,1,0,0,0,1,1,0,0,1
chr1,10210209,10210514,5,"2,4,6,7,10",0,1,0,1,0,1,1,0,0,1
chr1,10210514,10210554,4,"2,6,7,10",0,1,0,0,0,1,1,0,0,1
chr1,10210554,10210588,3,"6,7,10",0,0,0,0,0,1,1,0,0,1
chr1,10210588,10210686,2,"7,10",0,0,0,0,0,0,1,0,0,1
chr1,10398532,10398697,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,10398697,10398740,3,"4,6,10",0,0,0,1,0,1,0,0,0,1
chr1,10398740,10398780,4,"4,6,7,10",0,0,0,1,0,1,1,0,0,1
chr1,10398780,10398799,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,10398799,10398986,4,"4,7,9,10",0,0,0,1,0,0,1,0,1,1
chr1,10398986,10398993,5,"4,6,7,9,10",0,0,0,1,0,1,1,0,1,1
chr1,10398993,10399043,6,"4,6,7,8,9,10",0,0,0,1,0,1,1,1,1,1
chr1,10399043,10399056,5,"4,6,7,8,10",0,0,0,1,0,1,1,1,0,1
chr1,10399056,10399102,4,"4,6,8,10",0,0,0,1,0,1,0,1,0,1
chr1,10399102,10399198,3,"6,8,10",0,0,0,0,0,1,0,1,0,1
chr1,10430244,10430311,4,"4,7,8,10",0,0,0,1,0,0,1,1,0,1
chr1,10430311,10430476,5,"4,7,8,9,10",0,0,0,1,0,0,1,1,1,1
chr1,10430476,10430555,4,"4,7,9,10",0,0,0,1,0,0,1,0,1,1
chr1,10430555,10430570,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,10472244,10472280,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,10472280,10472406,3,"1,6,10",1,0,0,0,0,1,0,0,0,1
chr1,10472406,10472489,4,"1,6,7,10",1,0,0,0,0,1,1,0,0,1
chr1,10472489,10472503,5,"1,3,6,7,10",1,0,1,0,0,1,1,0,0,1
chr1,10472503,10472522,6,"1,2,3,6,7,10",1,1,1,0,0,1,1,0,0,1
chr1,10472522,10472558,7,"1,2,3,4,6,7,10",1,1,1,1,0,1,1,0,0,1
chr1,10472558,10472723,6,"1,2,3,4,7,10",1,1,1,1,0,0,1,0,0,1
chr1,10472723,10472778,5,"1,2,3,7,10",1,1,1,0,0,0,1,0,0,1
chr1,10474760,10474847,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,10474847,10475080,4,"4,7,9,10",0,0,0,1,0,0,1,0,1,1
chr1,11012176,11012222,2,"1,10",1,0,0,0,0,0,0,0,0,1
chr1,11012222,11012395,3,"1,2,10",1,1,0,0,0,0,0,0,0,1
chr1,11012395,11012516,4,"1,2,3,10",1,1,1,0,0,0,0,0,0,1
chr1,11012516,11012587,5,"1,2,3,6,10",1,1,1,0,0,1,0,0,0,1
chr1,11012587,11012860,6,"1,2,3,6,8,10",1,1,1,0,0,1,0,1,0,1
chr1,11012860,11012923,5,"1,3,6,8,10",1,0,1,0,0,1,0,1,0,1
chr1,11012923,11012945,4,"1,6,8,10",1,0,0,0,0,1,0,1,0,1
chr1,11012995,11013130,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,11060051,11060067,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,11060067,11060091,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,11060091,11060150,4,"4,6,7,10",0,0,0,1,0,1,1,0,0,1
chr1,11060150,11060362,5,"4,6,7,8,10",0,0,0,1,0,1,1,1,0,1
chr1,11060362,11060471,4,"4,6,8,10",0,0,0,1,0,1,0,1,0,1
chr1,11060471,11060495,3,"4,8,10",0,0,0,1,0,0,0,1,0,1
chr1,11099456,11099517,2,"1,10",1,0,0,0,0,0,0,0,0,1
chr1,11099517,11099699,3,"1,6,10",1,0,0,0,0,1,0,0,0,1
chr1,11099699,11099897,4,"1,2,6,10",1,1,0,0,0,1,0,0,0,1
chr1,11099897,11099964,3,"1,2,10",1,1,0,0,0,0,0,0,0,1
chr1,11099964,11099976,4,"1,2,9,10",1,1,0,0,0,0,0,0,1,1
chr1,11099976,11100022,3,"1,9,10",1,0,0,0,0,0,0,0,1,1
chr1,11272778,11273019,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,11273153,11273192,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,11273192,11273533,3,"6,8,10",0,0,0,0,0,1,0,1,0,1
chr1,11273533,11273572,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,11478711,11478725,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,11478725,11478761,3,"4,9,10",0,0,0,1,0,0,0,0,1,1
chr1,11478761,11478831,4,"4,5,9,10",0,0,0,1,1,0,0,0,1,1
chr1,11478831,11478844,5,"4,5,8,9,10",0,0,0,1,1,0,0,1,1,1
chr1,11478844,11478955,6,"4,5,6,8,9,10",0,0,0,1,1,1,0,1,1,1
chr1,11478955,11478961,5,"4,5,6,8,10",0,0,0,1,1,1,0,1,0,1
chr1,11478961,11479069,4,"4,6,8,10",0,0,0,1,0,1,0,1,0,1
chr1,11479069,11479112,5,"4,6,7,8,10",0,0,0,1,0,1,1,1,0,1
chr1,11479112,11479136,6,"4,6,7,8,9,10",0,0,0,1,0,1,1,1,1,1
chr1,11479136,11479139,5,"6,7,8,9,10",0,0,0,0,0,1,1,1,1,1
chr1,11479139,11479149,4,"6,7,9,10",0,0,0,0,0,1,1,0,1,1
chr1,11479149,11479159,3,"7,9,10",0,0,0,0,0,0,1,0,1,1
