chrom,start,end,num,list,ENCFF287HLG_MAZ_sorted.bed,ENCFF494YAO_MAZ_sorted.bed,ENCFF662EQM_MAZ_sorted.bed,ENCFF815AXO_MAZ_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,1273581,1273706,3,"1,3,5",1,0,1,0,1
chr1,1273706,1274090,4,"1,3,4,5",1,0,1,1,1
chr1,1274090,1274152,3,"1,3,5",1,0,1,0,1
chr1,1274152,1274388,2,"1,5",1,0,0,0,1
chr1,1281473,1281499,2,"3,5",0,0,1,0,1
chr1,1281499,1281528,3,"1,3,5",1,0,1,0,1
chr1,1281528,1281611,4,"1,3,4,5",1,0,1,1,1
chr1,1281611,1281871,5,"1,2,3,4,5",1,1,1,1,1
chr1,1281871,1282075,4,"1,3,4,5",1,0,1,1,1
chr1,1282075,1282117,3,"3,4,5",0,0,1,1,1
chr1,1282117,1282411,2,"3,5",0,0,1,0,1
chr1,1305632,1305911,3,"1,4,5",1,0,0,1,1
chr1,1307906,1307985,3,"1,3,5",1,0,1,0,1
chr1,1307985,1308574,4,"1,3,4,5",1,0,1,1,1
chr1,1308574,1308638,3,"1,3,5",1,0,1,0,1
chr1,1308638,1308719,2,"1,5",1,0,0,0,1
chr1,1324355,1324590,2,"1,5",1,0,0,0,1
chr1,1324590,1324875,3,"1,3,5",1,0,1,0,1
chr1,1324875,1324978,2,"3,5",0,0,1,0,1
chr1,1324978,1325234,3,"3,4,5",0,0,1,1,1
chr1,1325234,1325362,2,"4,5",0,0,0,1,1
chr1,1347618,1348194,2,"1,5",1,0,0,0,1
chr1,1358457,1358499,2,"3,5",0,0,1,0,1
chr1,1358499,1358698,3,"3,4,5",0,0,1,1,1
chr1,1358698,1358883,4,"1,3,4,5",1,0,1,1,1
chr1,1358883,1359074,3,"1,3,5",1,0,1,0,1
chr1,1360008,1360105,2,"3,5",0,0,1,0,1
chr1,1360105,1360652,3,"1,3,5",1,0,1,0,1
chr1,1360652,1360681,2,"1,5",1,0,0,0,1
chr1,1375059,1375112,3,"1,3,5",1,0,1,0,1
chr1,1375112,1375164,4,"1,3,4,5",1,0,1,1,1
chr1,1375164,1375424,5,"1,2,3,4,5",1,1,1,1,1
chr1,1375424,1375496,4,"1,3,4,5",1,0,1,1,1
chr1,1375496,1375548,3,"1,3,5",1,0,1,0,1
chr1,1375548,1375614,2,"3,5",0,0,1,0,1
chr1,1399251,1399271,3,"1,3,5",1,0,1,0,1
chr1,1399271,1399778,4,"1,3,4,5",1,0,1,1,1
chr1,1399778,1399852,3,"3,4,5",0,0,1,1,1
chr1,1399852,1399868,2,"4,5",0,0,0,1,1
chr1,1400747,1401096,3,"1,4,5",1,0,0,1,1
chr1,1401096,1401237,2,"1,5",1,0,0,0,1
chr1,1407010,1407070,2,"1,5",1,0,0,0,1
chr1,1407070,1407198,3,"1,3,5",1,0,1,0,1
chr1,1407198,1407582,4,"1,3,4,5",1,0,1,1,1
chr1,1407582,1407714,3,"1,3,5",1,0,1,0,1
chr1,1407714,1407815,2,"1,5",1,0,0,0,1
chr1,1421173,1421329,2,"3,5",0,0,1,0,1
chr1,1425718,1425804,2,"3,5",0,0,1,0,1
chr1,1425804,1426307,3,"1,3,5",1,0,1,0,1
chr1,1431718,1431731,2,"3,5",0,0,1,0,1
chr1,1431731,1431811,3,"1,3,5",1,0,1,0,1
chr1,1431811,1432195,4,"1,3,4,5",1,0,1,1,1
chr1,1432195,1432307,3,"1,3,5",1,0,1,0,1
chr1,1432307,1432362,2,"3,5",0,0,1,0,1
chr1,1433028,1433057,2,"3,5",0,0,1,0,1
chr1,1433057,1433099,3,"1,3,5",1,0,1,0,1
chr1,1433099,1433176,4,"1,3,4,5",1,0,1,1,1
chr1,1433176,1433436,5,"1,2,3,4,5",1,1,1,1,1
chr1,1433436,1433483,4,"1,3,4,5",1,0,1,1,1
chr1,1433483,1433664,3,"1,3,5",1,0,1,0,1
chr1,1438089,1438357,4,"1,3,4,5",1,0,1,1,1
chr1,1440926,1440934,2,"1,5",1,0,0,0,1
chr1,1440934,1441178,3,"1,4,5",1,0,0,1,1
chr1,1471433,1471988,3,"1,3,5",1,0,1,0,1
chr1,1471988,1471990,2,"1,5",1,0,0,0,1
chr1,1504971,1505220,2,"1,5",1,0,0,0,1
chr1,1505388,1505741,2,"1,5",1,0,0,0,1
chr1,1511634,1511770,2,"3,5",0,0,1,0,1
chr1,1511770,1512346,3,"1,3,5",1,0,1,0,1
chr1,1512346,1512479,2,"3,5",0,0,1,0,1
chr1,1574458,1574606,2,"1,5",1,0,0,0,1
chr1,1574606,1575217,3,"1,3,5",1,0,1,0,1
chr1,1575217,1575418,2,"3,5",0,0,1,0,1
chr1,1615322,1615334,2,"1,5",1,0,0,0,1
chr1,1615334,1615594,3,"1,2,5",1,1,0,0,1
chr1,1615594,1615976,2,"1,5",1,0,0,0,1
chr1,1678755,1678849,2,"1,5",1,0,0,0,1
chr1,1678849,1679197,3,"1,4,5",1,0,0,1,1
chr1,1724227,1724611,2,"4,5",0,0,0,1,1
chr1,1778335,1778587,2,"3,5",0,0,1,0,1
chr1,1778698,1778884,2,"3,5",0,0,1,0,1
chr1,1778884,1779268,3,"3,4,5",0,0,1,1,1
chr1,1779268,1779342,2,"3,5",0,0,1,0,1
chr1,1890973,1891450,2,"3,5",0,0,1,0,1
chr1,1891450,1891468,3,"2,3,5",0,1,1,0,1
chr1,1891468,1891883,2,"2,5",0,1,0,0,1
chr1,1908766,1908771,2,"3,5",0,0,1,0,1
chr1,1908771,1908914,3,"1,3,5",1,0,1,0,1
chr1,1908914,1909298,4,"1,3,4,5",1,0,1,1,1
chr1,1909298,1909410,3,"1,3,5",1,0,1,0,1
chr1,1909410,1909460,2,"1,5",1,0,0,0,1
chr1,1919189,1919496,2,"3,5",0,0,1,0,1
chr1,1919496,1919756,3,"2,3,5",0,1,1,0,1
chr1,1919756,1919833,2,"3,5",0,0,1,0,1
chr1,2047261,2047454,2,"3,5",0,0,1,0,1
chr1,2047454,2047541,3,"1,3,5",1,0,1,0,1
chr1,2049457,2049597,2,"3,5",0,0,1,0,1
chr1,2049597,2050071,3,"1,3,5",1,0,1,0,1
chr1,2050071,2050394,2,"1,5",1,0,0,0,1
chr1,2134682,2134720,3,"1,3,5",1,0,1,0,1
chr1,2134720,2135104,4,"1,3,4,5",1,0,1,1,1
chr1,2135104,2135238,3,"1,3,5",1,0,1,0,1
chr1,2135238,2135517,2,"3,5",0,0,1,0,1
chr1,2189491,2189499,3,"1,3,5",1,0,1,0,1
chr1,2189499,2189519,4,"1,2,3,5",1,1,1,0,1
chr1,2189519,2189759,5,"1,2,3,4,5",1,1,1,1,1
chr1,2189759,2189903,4,"1,3,4,5",1,0,1,1,1
chr1,2189903,2190067,3,"1,3,5",1,0,1,0,1
chr1,2190067,2190135,2,"3,5",0,0,1,0,1
chr1,2208168,2208306,3,"1,3,5",1,0,1,0,1
chr1,2208306,2208334,2,"3,5",0,0,1,0,1
chr1,2208550,2208810,2,"2,5",0,1,0,0,1
chr1,2215115,2215494,2,"1,5",1,0,0,0,1
chr1,2227599,2227828,3,"2,3,5",0,1,1,0,1
chr1,2227828,2228010,2,"3,5",0,0,1,0,1
chr1,2234493,2234733,3,"1,3,5",1,0,1,0,1
chr1,2381775,2382125,3,"3,4,5",0,0,1,1,1
chr1,2382125,2382201,2,"3,5",0,0,1,0,1
chr1,2391406,2391619,2,"1,5",1,0,0,0,1
chr1,2391619,2391644,3,"1,3,5",1,0,1,0,1
chr1,2391644,2391982,4,"1,3,4,5",1,0,1,1,1
chr1,2391982,2392028,3,"3,4,5",0,0,1,1,1
chr1,2392028,2392133,2,"3,5",0,0,1,0,1
chr1,2412501,2412590,2,"1,5",1,0,0,0,1
chr1,2412590,2412623,3,"1,4,5",1,0,0,1,1
chr1,2412623,2412883,4,"1,2,4,5",1,1,0,1,1
chr1,2412883,2413276,3,"1,4,5",1,0,0,1,1
chr1,2413276,2413298,2,"4,5",0,0,0,1,1
chr1,2526107,2526606,2,"3,5",0,0,1,0,1
chr1,2545981,2546250,4,"1,3,4,5",1,0,1,1,1
chr1,2546250,2546494,5,"1,2,3,4,5",1,1,1,1,1
chr1,2546827,2547147,3,"3,4,5",0,0,1,1,1
chr1,2556742,2557216,2,"1,5",1,0,0,0,1
chr1,2575886,2576471,2,"3,5",0,0,1,0,1
chr1,2578281,2578715,2,"1,5",1,0,0,0,1
chr1,2642764,2643010,2,"3,5",0,0,1,0,1
chr1,2643010,2643071,3,"1,3,5",1,0,1,0,1
chr1,2643071,2643104,4,"1,3,4,5",1,0,1,1,1
chr1,2643104,2643364,5,"1,2,3,4,5",1,1,1,1,1
chr1,2643364,2643443,4,"1,3,4,5",1,0,1,1,1
chr1,3197713,3197780,2,"1,5",1,0,0,0,1
chr1,3197780,3198164,3,"1,4,5",1,0,0,1,1
chr1,3198164,3198192,2,"1,5",1,0,0,0,1
chr1,3456724,3457482,2,"1,5",1,0,0,0,1
chr1,3460117,3460339,2,"1,5",1,0,0,0,1
chr1,3460642,3460662,2,"4,5",0,0,0,1,1
chr1,3460662,3460918,3,"2,4,5",0,1,0,1,1
chr1,3624363,3624507,2,"3,5",0,0,1,0,1
chr1,3624507,3624564,3,"1,3,5",1,0,1,0,1
chr1,3624564,3624948,4,"1,3,4,5",1,0,1,1,1
chr1,3624948,3625304,3,"1,3,5",1,0,1,0,1
chr1,3625304,3625361,2,"3,5",0,0,1,0,1
chr1,3652385,3653029,2,"3,5",0,0,1,0,1
chr1,3668688,3668784,2,"3,5",0,0,1,0,1
chr1,3668784,3668824,3,"1,3,5",1,0,1,0,1
chr1,3668824,3668938,4,"1,3,4,5",1,0,1,1,1
chr1,3746877,3747182,2,"1,5",1,0,0,0,1
chr1,3747212,3747591,2,"4,5",0,0,0,1,1
chr1,3772051,3772064,2,"3,5",0,0,1,0,1
chr1,3772085,3772508,2,"1,5",1,0,0,0,1
chr1,3772508,3772661,3,"1,4,5",1,0,0,1,1
chr1,3772661,3772879,2,"4,5",0,0,0,1,1
chr1,3775361,3775461,2,"3,5",0,0,1,0,1
chr1,3775461,3775538,3,"1,3,5",1,0,1,0,1
chr1,3775538,3775798,4,"1,2,3,5",1,1,1,0,1
chr1,3775798,3775865,3,"1,3,5",1,0,1,0,1
chr1,3775971,3776005,3,"1,3,5",1,0,1,0,1
chr1,3776005,3776268,2,"1,5",1,0,0,0,1
chr1,3785324,3785736,2,"1,5",1,0,0,0,1
chr1,3856959,3856964,2,"1,5",1,0,0,0,1
chr1,3856964,3857055,3,"1,3,5",1,0,1,0,1
chr1,3857055,3857439,4,"1,3,4,5",1,0,1,1,1
chr1,3857439,3857535,3,"1,3,5",1,0,1,0,1
chr1,3857535,3857801,2,"3,5",0,0,1,0,1
chr1,3900026,3900512,3,"1,4,5",1,0,0,1,1
chr1,3900512,3900611,2,"4,5",0,0,0,1,1
chr1,6205178,6205514,2,"4,5",0,0,0,1,1
chr1,6205781,6205834,2,"1,5",1,0,0,0,1
chr1,6205834,6205903,3,"1,3,5",1,0,1,0,1
chr1,6205903,6205961,4,"1,3,4,5",1,0,1,1,1
chr1,6205961,6206221,5,"1,2,3,4,5",1,1,1,1,1
chr1,6206221,6206478,4,"1,3,4,5",1,0,1,1,1
chr1,6206478,6206498,3,"1,4,5",1,0,0,1,1
chr1,6206498,6206559,2,"1,5",1,0,0,0,1
chr1,6393849,6394164,2,"4,5",0,0,0,1,1
chr1,6440379,6440946,2,"3,5",0,0,1,0,1
chr1,6446988,6447149,2,"3,5",0,0,1,0,1
chr1,6447149,6447184,3,"1,3,5",1,0,1,0,1
chr1,6447184,6447568,4,"1,3,4,5",1,0,1,1,1
chr1,6447568,6447600,3,"1,3,5",1,0,1,0,1
chr1,6447757,6447760,3,"1,3,5",1,0,1,0,1
chr1,6447760,6448101,2,"1,5",1,0,0,0,1
chr1,6450902,6451393,2,"1,5",1,0,0,0,1
chr1,6554252,6554377,2,"3,5",0,0,1,0,1
chr1,6554377,6554758,3,"3,4,5",0,0,1,1,1
chr1,6579761,6579808,2,"1,5",1,0,0,0,1
chr1,6579808,6580068,3,"1,2,5",1,1,0,0,1
chr1,6580068,6580319,2,"1,5",1,0,0,0,1
chr1,6613081,6613167,2,"2,5",0,1,0,0,1
chr1,6613167,6613341,3,"2,3,5",0,1,1,0,1
chr1,6613341,6613366,2,"3,5",0,0,1,0,1
chr1,6613366,6613942,3,"1,3,5",1,0,1,0,1
chr1,6613942,6614014,2,"3,5",0,0,1,0,1
chr1,6624930,6624942,2,"3,5",0,0,1,0,1
chr1,6624942,6624985,3,"1,3,5",1,0,1,0,1
chr1,6624985,6625369,4,"1,3,4,5",1,0,1,1,1
chr1,6625369,6625518,3,"1,3,5",1,0,1,0,1
chr1,6625518,6625574,2,"3,5",0,0,1,0,1
chr1,6784599,6784663,2,"1,5",1,0,0,0,1
chr1,6784663,6785130,3,"1,3,5",1,0,1,0,1
chr1,6785130,6785307,4,"1,2,3,5",1,1,1,0,1
chr1,6785307,6785390,3,"1,2,5",1,1,0,0,1
chr1,6785390,6785398,2,"1,5",1,0,0,0,1
chr1,7704451,7704970,2,"3,5",0,0,1,0,1
chr1,7771094,7771166,2,"1,5",1,0,0,0,1
chr1,7771166,7771810,3,"1,3,5",1,0,1,0,1
chr1,7771810,7771900,2,"1,5",1,0,0,0,1
chr1,7783646,7783654,2,"1,5",1,0,0,0,1
chr1,7783654,7783928,3,"1,3,5",1,0,1,0,1
chr1,7783928,7783974,4,"1,3,4,5",1,0,1,1,1
chr1,7783974,7784222,5,"1,2,3,4,5",1,1,1,1,1
chr1,7784222,7784234,4,"2,3,4,5",0,1,1,1,1
chr1,7784234,7784312,3,"3,4,5",0,0,1,1,1
chr1,7784312,7784317,2,"3,5",0,0,1,0,1
chr1,7953996,7954577,2,"3,5",0,0,1,0,1
chr1,7961362,7961375,2,"4,5",0,0,0,1,1
chr1,7961375,7961453,3,"2,4,5",0,1,0,1,1
chr1,7961453,7961464,4,"1,2,4,5",1,1,0,1,1
chr1,7961464,7961635,5,"1,2,3,4,5",1,1,1,1,1
chr1,7961635,7961951,4,"1,3,4,5",1,0,1,1,1
chr1,7961951,7962029,3,"1,3,5",1,0,1,0,1
chr1,7962029,7962034,2,"3,5",0,0,1,0,1
chr1,8026112,8026540,3,"1,3,5",1,0,1,0,1
chr1,8026540,8026816,2,"3,5",0,0,1,0,1
chr1,8027006,8027321,2,"1,5",1,0,0,0,1
chr1,8027321,8027705,3,"1,4,5",1,0,0,1,1
chr1,8027705,8027785,2,"1,5",1,0,0,0,1
chr1,8211777,8211861,2,"1,5",1,0,0,0,1
chr1,8211861,8212353,3,"1,3,5",1,0,1,0,1
chr1,8212353,8212425,2,"3,5",0,0,1,0,1
chr1,8424116,8424437,2,"3,5",0,0,1,0,1
chr1,8878959,8879101,2,"4,5",0,0,0,1,1
chr1,8879101,8879104,3,"3,4,5",0,0,1,1,1
chr1,8879104,8879304,4,"1,3,4,5",1,0,1,1,1
chr1,8879304,8879305,3,"3,4,5",0,0,1,1,1
chr1,8879305,8879343,2,"4,5",0,0,0,1,1
chr1,9181332,9181684,3,"3,4,5",0,0,1,1,1
chr1,9181684,9181805,2,"3,5",0,0,1,0,1
chr1,9182068,9182549,3,"1,3,5",1,0,1,0,1
chr1,9182549,9182672,2,"3,5",0,0,1,0,1
chr1,9233185,9233279,2,"3,5",0,0,1,0,1
chr1,9233279,9233326,3,"1,3,5",1,0,1,0,1
chr1,9233326,9233675,4,"1,3,4,5",1,0,1,1,1
chr1,9234271,9234443,2,"3,5",0,0,1,0,1
chr1,9234443,9234518,3,"2,3,5",0,1,1,0,1
chr1,9234518,9234520,4,"2,3,4,5",0,1,1,1,1
chr1,9234520,9234657,5,"1,2,3,4,5",1,1,1,1,1
chr1,9234657,9234703,4,"1,2,3,5",1,1,1,0,1
chr1,9234703,9234915,3,"1,3,5",1,0,1,0,1
chr1,9234915,9235120,2,"1,5",1,0,0,0,1
chr1,9239683,9240157,3,"1,3,5",1,0,1,0,1
chr1,9428774,9428845,2,"4,5",0,0,0,1,1
chr1,9428845,9429105,3,"2,4,5",0,1,0,1,1
chr1,9429105,9429158,2,"4,5",0,0,0,1,1
chr1,9438518,9438564,3,"1,3,5",1,0,1,0,1
chr1,9438564,9438897,4,"1,3,4,5",1,0,1,1,1
chr1,9438897,9438948,3,"3,4,5",0,0,1,1,1
chr1,9438948,9439055,2,"3,5",0,0,1,0,1
chr1,9539139,9539155,2,"3,5",0,0,1,0,1
chr1,9539155,9539665,3,"1,3,5",1,0,1,0,1
chr1,9588440,9588474,4,"1,3,4,5",1,0,1,1,1
chr1,9588474,9588734,5,"1,2,3,4,5",1,1,1,1,1
chr1,9588734,9588798,4,"1,3,4,5",1,0,1,1,1
chr1,9588798,9588940,3,"1,3,5",1,0,1,0,1
chr1,9588940,9589006,2,"1,5",1,0,0,0,1
chr1,9823667,9823783,3,"1,3,5",1,0,1,0,1
chr1,9823783,9824222,4,"1,3,4,5",1,0,1,1,1
chr1,9824222,9824240,3,"3,4,5",0,0,1,1,1
chr1,9824240,9824425,2,"4,5",0,0,0,1,1
chr1,9835719,9836495,2,"3,5",0,0,1,0,1
chr1,9943068,9943164,2,"3,5",0,0,1,0,1
chr1,9943164,9943205,3,"1,3,5",1,0,1,0,1
chr1,9943205,9943589,4,"1,3,4,5",1,0,1,1,1
chr1,9943589,9943601,3,"1,3,5",1,0,1,0,1
chr1,10032482,10032855,4,"1,3,4,5",1,0,1,1,1
chr1,10032855,10032972,3,"1,3,5",1,0,1,0,1
chr1,10032972,10033020,2,"3,5",0,0,1,0,1
chr1,10210106,10210195,2,"3,5",0,0,1,0,1
chr1,10210195,10210209,3,"3,4,5",0,0,1,1,1
chr1,10210209,10210469,4,"2,3,4,5",0,1,1,1,1
chr1,10210469,10210579,3,"3,4,5",0,0,1,1,1
chr1,10210579,10210750,2,"3,5",0,0,1,0,1
chr1,10398669,10398919,2,"4,5",0,0,0,1,1
chr1,10398919,10399272,3,"1,4,5",1,0,0,1,1
chr1,10399272,10399643,2,"1,5",1,0,0,0,1
chr1,10430233,10430460,3,"1,3,5",1,0,1,0,1
chr1,10430460,10430742,4,"1,3,4,5",1,0,1,1,1
chr1,10430742,10430808,3,"3,4,5",0,0,1,1,1
chr1,10430808,10430844,2,"4,5",0,0,0,1,1
chr1,10472220,10472353,3,"1,3,5",1,0,1,0,1
chr1,10472353,10472365,4,"1,3,4,5",1,0,1,1,1
chr1,10472365,10472625,5,"1,2,3,4,5",1,1,1,1,1
chr1,10472625,10472694,4,"1,3,4,5",1,0,1,1,1
chr1,10472694,10472704,3,"3,4,5",0,0,1,1,1
chr1,10472704,10472737,2,"4,5",0,0,0,1,1
chr1,10474753,10474790,3,"3,4,5",0,0,1,1,1
chr1,10474790,10475050,4,"2,3,4,5",0,1,1,1,1
chr1,10475050,10475095,3,"3,4,5",0,0,1,1,1
chr1,10475095,10475242,2,"3,5",0,0,1,0,1
chr1,10937247,10937823,2,"1,5",1,0,0,0,1
chr1,11012283,11012428,2,"3,5",0,0,1,0,1
chr1,11012428,11012486,3,"3,4,5",0,0,1,1,1
chr1,11012486,11012521,4,"2,3,4,5",0,1,1,1,1
chr1,11012521,11012746,5,"1,2,3,4,5",1,1,1,1,1
chr1,11012746,11012812,4,"1,3,4,5",1,0,1,1,1
chr1,11012812,11012927,3,"1,3,5",1,0,1,0,1
chr1,11012927,11013097,2,"1,5",1,0,0,0,1
chr1,11046931,11047464,2,"1,5",1,0,0,0,1
chr1,11059508,11060004,2,"3,5",0,0,1,0,1
chr1,11060004,11060470,3,"1,3,5",1,0,1,0,1
chr1,11060470,11060519,2,"1,5",1,0,0,0,1
chr1,11099628,11100012,2,"4,5",0,0,0,1,1
chr1,11273003,11273091,2,"3,5",0,0,1,0,1
chr1,11273091,11273647,3,"1,3,5",1,0,1,0,1
chr1,11273647,11273667,2,"1,5",1,0,0,0,1
chr1,11478680,11479054,4,"1,3,4,5",1,0,1,1,1
chr1,11479054,11479190,3,"1,3,5",1,0,1,0,1
chr1,11479190,11479252,2,"3,5",0,0,1,0,1
chr1,11654404,11654531,2,"1,5",1,0,0,0,1
chr1,11654531,11654791,3,"1,2,5",1,1,0,0,1
chr1,11654791,11654973,2,"1,5",1,0,0,0,1
chr1,11663948,11664456,2,"1,5",1,0,0,0,1
chr1,11671451,11671994,2,"3,5",0,0,1,0,1
chr1,11680857,11680904,2,"3,5",0,0,1,0,1
chr1,11680904,11681033,3,"1,3,5",1,0,1,0,1
chr1,11681033,11681480,4,"1,3,4,5",1,0,1,1,1
chr1,11681480,11681618,3,"3,4,5",0,0,1,1,1
chr1,11681618,11681752,2,"3,5",0,0,1,0,1
chr1,11735781,11736679,2,"1,5",1,0,0,0,1
chr1,11785137,11785521,2,"4,5",0,0,0,1,1
chr1,11805545,11805579,2,"1,5",1,0,0,0,1
chr1,11805579,11805963,3,"1,4,5",1,0,0,1,1
chr1,11805963,11806023,2,"1,5",1,0,0,0,1
chr1,11806023,11806331,3,"1,4,5",1,0,0,1,1
chr1,11806331,11806407,2,"4,5",0,0,0,1,1
chr1,11842638,11843297,2,"1,5",1,0,0,0,1
chr1,11859131,11859202,2,"3,5",0,0,1,0,1
chr1,11859202,11859571,3,"1,3,5",1,0,1,0,1
chr1,11908107,11908148,2,"3,5",0,0,1,0,1
chr1,11908148,11908751,3,"1,3,5",1,0,1,0,1
chr1,11908751,11908925,2,"1,5",1,0,0,0,1
chr1,11926328,11926663,4,"1,3,4,5",1,0,1,1,1
chr1,11926663,11926676,3,"1,3,5",1,0,1,0,1
chr1,11934451,11935023,2,"3,5",0,0,1,0,1
chr1,11980116,11980117,2,"3,5",0,0,1,0,1
chr1,11980117,11980300,3,"1,3,5",1,0,1,0,1
chr1,11980300,11980306,4,"1,2,3,5",1,1,1,0,1
chr1,11980306,11980519,5,"1,2,3,4,5",1,1,1,1,1
chr1,11980519,11980560,4,"1,2,3,5",1,1,1,0,1
chr1,11980560,11980693,3,"1,3,5",1,0,1,0,1
chr1,11980693,11980751,2,"3,5",0,0,1,0,1
chr1,12019115,12019713,3,"3,4,5",0,0,1,1,1
chr1,12019713,12019949,2,"3,5",0,0,1,0,1
chr1,12229713,12229740,2,"1,5",1,0,0,0,1
chr1,12229740,12229789,3,"1,3,5",1,0,1,0,1
chr1,12229789,12230173,4,"1,3,4,5",1,0,1,1,1
chr1,12230173,12230289,3,"1,3,5",1,0,1,0,1
chr1,12230289,12230384,2,"3,5",0,0,1,0,1
chr1,12525351,12526024,2,"1,5",1,0,0,0,1
chr1,12528344,12528473,2,"1,5",1,0,0,0,1
chr1,12528473,12528857,3,"1,4,5",1,0,0,1,1
chr1,12528857,12528904,2,"1,5",1,0,0,0,1
chr1,12618971,12618991,3,"1,3,5",1,0,1,0,1
chr1,12618991,12619350,4,"1,3,4,5",1,0,1,1,1
chr1,15153424,15153622,2,"4,5",0,0,0,1,1
chr1,15153622,15153808,3,"1,4,5",1,0,0,1,1
chr1,15153808,15154198,2,"1,5",1,0,0,0,1
chr1,15189652,15190228,2,"1,5",1,0,0,0,1
chr1,15409548,15410124,2,"1,5",1,0,0,0,1
chr1,15526466,15526613,2,"1,5",1,0,0,0,1
chr1,15526613,15526673,3,"1,3,5",1,0,1,0,1
chr1,15526673,15526719,4,"1,3,4,5",1,0,1,1,1
chr1,15526719,15526979,5,"1,2,3,4,5",1,1,1,1,1
chr1,15526979,15527042,4,"1,3,4,5",1,0,1,1,1
chr1,15527042,15527057,3,"3,4,5",0,0,1,1,1
chr1,15527057,15527267,2,"3,5",0,0,1,0,1
chr1,15584759,15584789,2,"3,5",0,0,1,0,1
chr1,15584789,15584916,3,"1,3,5",1,0,1,0,1
chr1,15584916,15585067,4,"1,3,4,5",1,0,1,1,1
chr1,15585067,15585300,5,"1,2,3,4,5",1,1,1,1,1
chr1,15585300,15585327,4,"1,2,3,5",1,1,1,0,1
chr1,15585327,15585365,3,"1,3,5",1,0,1,0,1
chr1,15585365,15585393,2,"3,5",0,0,1,0,1
chr1,15603432,15604072,2,"3,5",0,0,1,0,1
chr1,15617193,15617346,4,"1,3,4,5",1,0,1,1,1
chr1,15617346,15617606,5,"1,2,3,4,5",1,1,1,1,1
chr1,15617606,15617727,4,"1,3,4,5",1,0,1,1,1
chr1,15617727,15617918,3,"1,3,5",1,0,1,0,1
chr1,15617918,15617967,2,"1,5",1,0,0,0,1
chr1,15741428,15741832,2,"1,5",1,0,0,0,1
chr1,15799918,15800053,2,"1,5",1,0,0,0,1
chr1,15800053,15800216,3,"1,3,5",1,0,1,0,1
chr1,15800216,15800299,4,"1,2,3,5",1,1,1,0,1
chr1,15800299,15800420,5,"1,2,3,4,5",1,1,1,1,1
chr1,15800420,15800476,4,"1,2,3,5",1,1,1,0,1
chr1,15800476,15800828,3,"1,3,5",1,0,1,0,1
