chrom,start,end,num,list,ENCFF324SPP_SIN3A_sorted.bed,ENCFF701HQE_SIN3A_sorted.bed,ENCFF763YLV_SIN3A_sorted.bed,ENCFF873MAF_SIN3A_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,1440940,1441179,2,"3,5",0,0,1,0,1
chr1,1471450,1471592,3,"2,4,5",0,1,0,1,1
chr1,1471592,1471610,4,"2,3,4,5",0,1,1,1,1
chr1,1471610,1471682,5,"1,2,3,4,5",1,1,1,1,1
chr1,1471682,1471760,4,"1,2,4,5",1,1,0,1,1
chr1,1471760,1471811,3,"2,4,5",0,1,0,1,1
chr1,1471811,1471857,2,"2,5",0,1,0,0,1
chr1,1511622,1511789,2,"3,5",0,0,1,0,1
chr1,1511848,1511858,2,"1,5",1,0,0,0,1
chr1,1511858,1511898,3,"1,4,5",1,0,0,1,1
chr1,1511898,1511998,4,"1,3,4,5",1,0,1,1,1
chr1,1511998,1512186,3,"3,4,5",0,0,1,1,1
chr1,1512186,1512188,2,"3,5",0,0,1,0,1
chr1,1574495,1574573,2,"3,5",0,0,1,0,1
chr1,1574573,1574723,3,"1,3,5",1,0,1,0,1
chr1,1574723,1574762,2,"3,5",0,0,1,0,1
chr1,1574798,1575044,2,"4,5",0,0,0,1,1
chr1,1615184,1615608,4,"2,3,4,5",0,1,1,1,1
chr1,1615694,1615703,3,"2,4,5",0,1,0,1,1
chr1,1615703,1615866,2,"4,5",0,0,0,1,1
chr1,1658841,1658864,2,"4,5",0,0,0,1,1
chr1,1658864,1658898,3,"3,4,5",0,0,1,1,1
chr1,1658898,1659048,4,"1,3,4,5",1,0,1,1,1
chr1,1659048,1659154,3,"3,4,5",0,0,1,1,1
chr1,1659154,1659391,2,"4,5",0,0,0,1,1
chr1,1724236,1724238,2,"4,5",0,0,0,1,1
chr1,1724238,1724251,3,"2,4,5",0,1,0,1,1
chr1,1724251,1724297,4,"1,2,4,5",1,1,0,1,1
chr1,1724297,1724382,5,"1,2,3,4,5",1,1,1,1,1
chr1,1724382,1724401,4,"1,2,4,5",1,1,0,1,1
chr1,1724401,1724521,3,"2,4,5",0,1,0,1,1
chr1,1724521,1724614,2,"2,5",0,1,0,0,1
chr1,1758989,1759219,2,"3,5",0,0,1,0,1
chr1,1778806,1779221,2,"3,5",0,0,1,0,1
chr1,1890971,1891097,3,"3,4,5",0,0,1,1,1
chr1,1891097,1891218,4,"2,3,4,5",0,1,1,1,1
chr1,1891218,1891473,3,"2,4,5",0,1,0,1,1
chr1,1891473,1891588,2,"4,5",0,0,0,1,1
chr1,1891588,1891873,3,"3,4,5",0,0,1,1,1
chr1,1909210,1909453,2,"3,5",0,0,1,0,1
chr1,1919017,1919131,2,"4,5",0,0,0,1,1
chr1,1919131,1919421,3,"3,4,5",0,0,1,1,1
chr1,1919421,1919587,2,"4,5",0,0,0,1,1
chr1,2133104,2133377,3,"3,4,5",0,0,1,1,1
chr1,2133377,2133505,2,"4,5",0,0,0,1,1
chr1,2189597,2189661,2,"4,5",0,0,0,1,1
chr1,2189661,2189672,3,"2,4,5",0,1,0,1,1
chr1,2189672,2189688,4,"2,3,4,5",0,1,1,1,1
chr1,2189688,2189838,5,"1,2,3,4,5",1,1,1,1,1
chr1,2189838,2189851,4,"2,3,4,5",0,1,1,1,1
chr1,2189851,2189861,3,"3,4,5",0,0,1,1,1
chr1,2189861,2189940,2,"4,5",0,0,0,1,1
chr1,2204502,2204890,2,"3,5",0,0,1,0,1
chr1,2391446,2391450,2,"4,5",0,0,0,1,1
chr1,2391450,2391471,3,"1,4,5",1,0,0,1,1
chr1,2391471,2391600,4,"1,3,4,5",1,0,1,1,1
chr1,2391600,2391610,3,"3,4,5",0,0,1,1,1
chr1,2391610,2391784,2,"4,5",0,0,0,1,1
chr1,2391784,2391813,3,"3,4,5",0,0,1,1,1
chr1,2391813,2391933,4,"1,3,4,5",1,0,1,1,1
chr1,2412477,2412610,5,"1,2,3,4,5",1,1,1,1,1
chr1,2412610,2412618,4,"1,2,4,5",1,1,0,1,1
chr1,2412618,2412708,3,"2,4,5",0,1,0,1,1
chr1,2412708,2413113,2,"4,5",0,0,0,1,1
chr1,2526145,2526147,3,"2,3,5",0,1,1,0,1
chr1,2526147,2526188,2,"2,5",0,1,0,0,1
chr1,2526188,2526271,3,"2,3,5",0,1,1,0,1
chr1,2526271,2526478,2,"3,5",0,0,1,0,1
chr1,2546030,2546116,2,"2,5",0,1,0,0,1
chr1,2546392,2546457,2,"2,5",0,1,0,0,1
chr1,2643176,2643192,2,"3,5",0,0,1,0,1
chr1,2643192,2643263,3,"3,4,5",0,0,1,1,1
chr1,2643263,2643377,4,"1,3,4,5",1,0,1,1,1
chr1,2643377,2643400,3,"1,3,5",1,0,1,0,1
chr1,3624683,3624929,2,"4,5",0,0,0,1,1
chr1,3624929,3624960,3,"3,4,5",0,0,1,1,1
chr1,3624960,3625046,4,"1,3,4,5",1,0,1,1,1
chr1,3625046,3625110,3,"1,3,5",1,0,1,0,1
chr1,3625110,3625125,2,"3,5",0,0,1,0,1
chr1,3649929,3650145,3,"3,4,5",0,0,1,1,1
chr1,3650145,3650231,2,"4,5",0,0,0,1,1
chr1,3747209,3747499,2,"3,5",0,0,1,0,1
chr1,3772564,3772681,2,"3,5",0,0,1,0,1
chr1,3772681,3772784,3,"3,4,5",0,0,1,1,1
chr1,3775496,3775724,2,"3,5",0,0,1,0,1
chr1,3856949,3857132,2,"3,5",0,0,1,0,1
chr1,3857132,3857239,3,"3,4,5",0,0,1,1,1
chr1,3857239,3857478,2,"4,5",0,0,0,1,1
chr1,3857478,3857530,3,"2,4,5",0,1,0,1,1
chr1,3857530,3857772,4,"2,3,4,5",0,1,1,1,1
chr1,3900036,3900082,2,"4,5",0,0,0,1,1
chr1,3900082,3900372,3,"3,4,5",0,0,1,1,1
chr1,3900372,3900456,2,"4,5",0,0,0,1,1
chr1,3900821,3900827,2,"4,5",0,0,0,1,1
chr1,3900827,3901167,3,"2,4,5",0,1,0,1,1
chr1,3901235,3901399,4,"2,3,4,5",0,1,1,1,1
chr1,3901399,3901503,3,"2,3,5",0,1,1,0,1
chr1,3901503,3901511,2,"2,5",0,1,0,0,1
chr1,5992168,5992185,2,"3,5",0,0,1,0,1
chr1,5992185,5992209,3,"3,4,5",0,0,1,1,1
chr1,5992209,5992359,4,"1,3,4,5",1,0,1,1,1
chr1,5992359,5992430,3,"3,4,5",0,0,1,1,1
chr1,5992430,5992442,2,"4,5",0,0,0,1,1
chr1,5992716,5992785,2,"3,5",0,0,1,0,1
chr1,6199454,6199700,3,"3,4,5",0,0,1,1,1
chr1,6199700,6199891,2,"4,5",0,0,0,1,1
chr1,6205174,6205517,2,"4,5",0,0,0,1,1
chr1,6235667,6235737,2,"4,5",0,0,0,1,1
chr1,6235737,6236027,3,"3,4,5",0,0,1,1,1
chr1,6236027,6236105,2,"4,5",0,0,0,1,1
chr1,6245164,6245167,2,"1,5",1,0,0,0,1
chr1,6245167,6245182,3,"1,4,5",1,0,0,1,1
chr1,6245182,6245285,4,"1,3,4,5",1,0,1,1,1
chr1,6245285,6245314,3,"1,4,5",1,0,0,1,1
chr1,6245314,6245378,2,"4,5",0,0,0,1,1
chr1,6392947,6393007,2,"3,5",0,0,1,0,1
chr1,6393007,6393149,3,"3,4,5",0,0,1,1,1
chr1,6393149,6393548,2,"4,5",0,0,0,1,1
chr1,6393548,6393838,3,"3,4,5",0,0,1,1,1
chr1,6393838,6393973,2,"4,5",0,0,0,1,1
chr1,6393973,6394009,3,"3,4,5",0,0,1,1,1
chr1,6394009,6394090,2,"3,5",0,0,1,0,1
chr1,6394090,6394184,3,"1,3,5",1,0,1,0,1
chr1,6554292,6554372,2,"4,5",0,0,0,1,1
chr1,6554372,6554450,3,"3,4,5",0,0,1,1,1
chr1,6554450,6554600,4,"1,3,4,5",1,0,1,1,1
chr1,6554600,6554662,3,"3,4,5",0,0,1,1,1
chr1,6554662,6554757,2,"4,5",0,0,0,1,1
chr1,6579943,6579998,2,"3,5",0,0,1,0,1
chr1,6579998,6580107,3,"2,3,5",0,1,1,0,1
chr1,6613104,6613269,2,"2,5",0,1,0,0,1
chr1,6613269,6613480,3,"2,4,5",0,1,0,1,1
chr1,6613480,6613898,2,"4,5",0,0,0,1,1
chr1,6624703,6624718,2,"4,5",0,0,0,1,1
chr1,6624718,6625008,3,"3,4,5",0,0,1,1,1
chr1,6625008,6625631,2,"4,5",0,0,0,1,1
chr1,6784470,6784649,2,"4,5",0,0,0,1,1
chr1,6784649,6784891,3,"3,4,5",0,0,1,1,1
chr1,6784891,6784939,2,"3,5",0,0,1,0,1
chr1,7771161,7771248,2,"3,5",0,0,1,0,1
chr1,7771248,7771673,3,"3,4,5",0,0,1,1,1
chr1,7771673,7771706,2,"4,5",0,0,0,1,1
chr1,7953986,7954276,2,"3,5",0,0,1,0,1
chr1,7961220,7961229,2,"3,5",0,0,1,0,1
chr1,7961229,7961265,3,"3,4,5",0,0,1,1,1
chr1,7961265,7961336,4,"2,3,4,5",0,1,1,1,1
chr1,7961336,7961486,5,"1,2,3,4,5",1,1,1,1,1
chr1,7961486,7961510,4,"2,3,4,5",0,1,1,1,1
chr1,7961510,7961756,3,"2,4,5",0,1,0,1,1
chr1,7961756,7961799,4,"2,3,4,5",0,1,1,1,1
chr1,7961799,7961845,3,"2,3,5",0,1,1,0,1
chr1,7961845,7961990,2,"3,5",0,0,1,0,1
chr1,8004705,8004955,2,"3,5",0,0,1,0,1
chr1,8877952,8877977,2,"3,5",0,0,1,0,1
chr1,8877977,8878127,3,"1,3,5",1,0,1,0,1
chr1,8878127,8878237,2,"3,5",0,0,1,0,1
chr1,8878596,8878798,2,"3,5",0,0,1,0,1
chr1,9234888,9235178,2,"3,5",0,0,1,0,1
chr1,9428758,9428972,2,"4,5",0,0,0,1,1
chr1,9428972,9429207,3,"2,4,5",0,1,0,1,1
chr1,9539462,9539752,2,"3,5",0,0,1,0,1
chr1,9539803,9540093,2,"3,5",0,0,1,0,1
chr1,9588837,9588873,2,"3,5",0,0,1,0,1
chr1,9593493,9593754,2,"3,5",0,0,1,0,1
chr1,9719124,9719409,2,"3,5",0,0,1,0,1
chr1,9943184,9943209,2,"2,5",0,1,0,0,1
chr1,9943209,9943316,3,"2,3,5",0,1,1,0,1
chr1,9943316,9943466,4,"1,2,3,5",1,1,1,0,1
chr1,9943466,9943499,3,"2,3,5",0,1,1,0,1
chr1,9943499,9943560,2,"2,5",0,1,0,0,1
chr1,10032891,10033240,2,"3,5",0,0,1,0,1
chr1,10210398,10210686,2,"3,5",0,0,1,0,1
chr1,10398586,10398602,2,"2,5",0,1,0,0,1
chr1,10398602,10398684,3,"2,4,5",0,1,0,1,1
chr1,10398684,10398714,4,"2,3,4,5",0,1,1,1,1
chr1,10398714,10398864,5,"1,2,3,4,5",1,1,1,1,1
chr1,10398864,10398899,4,"2,3,4,5",0,1,1,1,1
chr1,10398899,10398962,3,"2,3,5",0,1,1,0,1
chr1,10398962,10398974,2,"3,5",0,0,1,0,1
chr1,10430244,10430529,2,"3,5",0,0,1,0,1
chr1,10430656,10430867,2,"3,5",0,0,1,0,1
chr1,10472403,10472458,2,"2,5",0,1,0,0,1
chr1,10472458,10472485,3,"2,4,5",0,1,0,1,1
chr1,10472485,10472587,4,"2,3,4,5",0,1,1,1,1
chr1,10472587,10472667,5,"1,2,3,4,5",1,1,1,1,1
chr1,10472667,10472737,4,"1,2,3,5",1,1,1,0,1
chr1,10472737,10472775,3,"2,3,5",0,1,1,0,1
chr1,10472775,10472778,2,"2,5",0,1,0,0,1
chr1,10474866,10474882,2,"3,5",0,0,1,0,1
chr1,10474882,10475065,3,"3,4,5",0,0,1,1,1
chr1,10475065,10475080,2,"3,5",0,0,1,0,1
chr1,11012553,11012843,2,"3,5",0,0,1,0,1
chr1,11012999,11013086,2,"3,5",0,0,1,0,1
chr1,11013086,11013177,3,"1,3,5",1,0,1,0,1
chr1,11059581,11059707,2,"3,5",0,0,1,0,1
chr1,11059960,11060107,2,"1,5",1,0,0,0,1
chr1,11060107,11060110,3,"1,4,5",1,0,0,1,1
chr1,11060110,11060115,2,"4,5",0,0,0,1,1
chr1,11060115,11060296,3,"3,4,5",0,0,1,1,1
chr1,11060296,11060456,2,"4,5",0,0,0,1,1
chr1,11099281,11099508,2,"3,5",0,0,1,0,1
chr1,11099665,11099955,2,"3,5",0,0,1,0,1
chr1,11273162,11273173,2,"2,5",0,1,0,0,1
chr1,11273173,11273323,3,"1,2,5",1,1,0,0,1
chr1,11273323,11273337,2,"2,5",0,1,0,0,1
chr1,11273337,11273452,3,"2,3,5",0,1,1,0,1
chr1,11273452,11273538,4,"2,3,4,5",0,1,1,1,1
chr1,11273538,11273627,3,"3,4,5",0,0,1,1,1
chr1,11273627,11273754,2,"4,5",0,0,0,1,1
chr1,11680910,11680997,2,"4,5",0,0,0,1,1
chr1,11680997,11681074,3,"3,4,5",0,0,1,1,1
chr1,11681074,11681287,2,"3,5",0,0,1,0,1
chr1,11681382,11681672,2,"3,5",0,0,1,0,1
chr1,11735854,11735913,2,"2,5",0,1,0,0,1
chr1,11735913,11735940,3,"2,4,5",0,1,0,1,1
chr1,11735940,11735962,4,"2,3,4,5",0,1,1,1,1
chr1,11735962,11736112,5,"1,2,3,4,5",1,1,1,1,1
chr1,11736112,11736230,3,"2,4,5",0,1,0,1,1
chr1,11736230,11736236,2,"4,5",0,0,0,1,1
chr1,11736367,11736657,2,"4,5",0,0,0,1,1
chr1,11803503,11803707,2,"3,5",0,0,1,0,1
chr1,11805590,11805649,2,"3,5",0,0,1,0,1
chr1,11806075,11806111,2,"3,5",0,0,1,0,1
chr1,11806111,11806125,3,"2,3,5",0,1,1,0,1
chr1,11806125,11806162,4,"1,2,3,5",1,1,1,0,1
chr1,11806162,11806275,5,"1,2,3,4,5",1,1,1,1,1
chr1,11806275,11806355,4,"2,3,4,5",0,1,1,1,1
chr1,11806355,11806365,5,"1,2,3,4,5",1,1,1,1,1
chr1,11806365,11806487,4,"1,2,4,5",1,1,0,1,1
chr1,11806487,11806495,3,"1,4,5",1,0,0,1,1
chr1,11842177,11842263,2,"4,5",0,0,0,1,1
chr1,11842263,11842553,3,"3,4,5",0,0,1,1,1
chr1,11842553,11842622,2,"4,5",0,0,0,1,1
chr1,11882909,11883199,2,"3,5",0,0,1,0,1
chr1,11907964,11907966,2,"2,5",0,1,0,0,1
chr1,11908084,11908167,2,"2,5",0,1,0,0,1
chr1,11908167,11908220,3,"1,2,5",1,1,0,0,1
chr1,11908220,11908317,4,"1,2,3,5",1,1,1,0,1
chr1,11908317,11908340,3,"2,3,5",0,1,1,0,1
chr1,11908340,11908369,2,"3,5",0,0,1,0,1
chr1,11908369,11908373,3,"3,4,5",0,0,1,1,1
chr1,11908373,11908523,4,"1,3,4,5",1,0,1,1,1
chr1,11908523,11908616,3,"3,4,5",0,0,1,1,1
chr1,11908616,11909138,2,"4,5",0,0,0,1,1
chr1,11909575,11909633,2,"1,5",1,0,0,0,1
chr1,11909633,11909648,3,"1,4,5",1,0,0,1,1
chr1,11909648,11909725,4,"1,3,4,5",1,0,1,1,1
chr1,11909725,11909818,3,"3,4,5",0,0,1,1,1
chr1,11909818,11909938,2,"3,5",0,0,1,0,1
chr1,11926295,11926557,2,"3,5",0,0,1,0,1
chr1,11934524,11934656,2,"3,5",0,0,1,0,1
chr1,11934656,11934674,3,"3,4,5",0,0,1,1,1
chr1,11934674,11934814,4,"2,3,4,5",0,1,1,1,1
chr1,11934814,11935040,3,"2,4,5",0,1,0,1,1
chr1,11979916,11980146,2,"3,5",0,0,1,0,1
chr1,11980146,11980206,3,"3,4,5",0,0,1,1,1
chr1,11980206,11980261,2,"4,5",0,0,0,1,1
chr1,11980261,11980552,3,"2,4,5",0,1,0,1,1
chr1,12019230,12019425,2,"4,5",0,0,0,1,1
chr1,12019425,12019645,3,"3,4,5",0,0,1,1,1
chr1,12161839,12162080,3,"3,4,5",0,0,1,1,1
chr1,12162080,12162199,2,"4,5",0,0,0,1,1
chr1,12218645,12219070,2,"4,5",0,0,0,1,1
chr1,12229832,12230030,2,"2,5",0,1,0,0,1
chr1,12230030,12230162,3,"2,3,5",0,1,1,0,1
chr1,12230162,12230310,2,"3,5",0,0,1,0,1
chr1,12529412,12529602,2,"4,5",0,0,0,1,1
chr1,12617965,12618040,2,"3,5",0,0,1,0,1
chr1,12618040,12618063,3,"2,3,5",0,1,1,0,1
chr1,12618063,12618337,2,"2,5",0,1,0,0,1
chr1,12618337,12618528,3,"2,3,5",0,1,1,0,1
chr1,15524118,15524332,2,"3,5",0,0,1,0,1
chr1,15524651,15524941,2,"3,5",0,0,1,0,1
chr1,15524985,15525215,2,"4,5",0,0,0,1,1
chr1,15526459,15526562,3,"1,3,5",1,0,1,0,1
chr1,15526562,15526592,2,"3,5",0,0,1,0,1
chr1,15526592,15526672,3,"3,4,5",0,0,1,1,1
chr1,15526672,15527162,2,"4,5",0,0,0,1,1
chr1,15617324,15617409,2,"4,5",0,0,0,1,1
chr1,15617409,15617699,3,"3,4,5",0,0,1,1,1
chr1,15617699,15617783,2,"4,5",0,0,0,1,1
chr1,15834598,15834651,3,"3,4,5",0,0,1,1,1
chr1,15834651,15834814,2,"4,5",0,0,0,1,1
chr1,15834814,15835104,3,"3,4,5",0,0,1,1,1
chr1,15835104,15835183,2,"4,5",0,0,0,1,1
chr1,15975546,15975586,2,"3,5",0,0,1,0,1
chr1,15975586,15975596,3,"3,4,5",0,0,1,1,1
chr1,15975596,15975746,4,"1,3,4,5",1,0,1,1,1
chr1,15975746,15975780,3,"3,4,5",0,0,1,1,1
chr1,15975780,15975790,4,"2,3,4,5",0,1,1,1,1
chr1,15975790,15975836,3,"2,3,5",0,1,1,0,1
chr1,15975836,15975865,2,"2,5",0,1,0,0,1
chr1,15975865,15975932,3,"2,4,5",0,1,0,1,1
chr1,15975932,15976156,4,"2,3,4,5",0,1,1,1,1
chr1,15976156,15976198,3,"3,4,5",0,0,1,1,1
chr1,15976198,15976222,2,"3,5",0,0,1,0,1
chr1,16012816,16013366,2,"4,5",0,0,0,1,1
chr1,16206843,16207133,2,"3,5",0,0,1,0,1
chr1,16217202,16217492,2,"3,5",0,0,1,0,1
chr1,16237054,16237068,2,"2,5",0,1,0,0,1
chr1,16237068,16237084,3,"1,2,5",1,1,0,0,1
chr1,16237084,16237175,4,"1,2,3,5",1,1,1,0,1
chr1,16237175,16237218,3,"1,2,5",1,1,0,0,1
chr1,16237218,16237412,2,"2,5",0,1,0,0,1
chr1,16352155,16352182,2,"4,5",0,0,0,1,1
chr1,16352182,16352472,3,"3,4,5",0,0,1,1,1
chr1,16352472,16352725,2,"4,5",0,0,0,1,1
chr1,16366982,16367313,2,"3,5",0,0,1,0,1
chr1,16367313,16367487,3,"3,4,5",0,0,1,1,1
chr1,16367487,16367779,2,"4,5",0,0,0,1,1
chr1,16440658,16440705,2,"2,5",0,1,0,0,1
chr1,16440705,16440750,3,"2,4,5",0,1,0,1,1
chr1,16440750,16440829,4,"2,3,4,5",0,1,1,1,1
chr1,16440829,16440838,5,"1,2,3,4,5",1,1,1,1,1
chr1,16513725,16513907,2,"4,5",0,0,0,1,1
chr1,16513907,16513968,3,"3,4,5",0,0,1,1,1
chr1,16513968,16514118,4,"1,3,4,5",1,0,1,1,1
chr1,16514118,16514197,3,"3,4,5",0,0,1,1,1
chr1,16514197,16514295,2,"4,5",0,0,0,1,1
chr1,16621016,16621504,2,"4,5",0,0,0,1,1
chr1,16644322,16644522,2,"2,5",0,1,0,0,1
chr1,16644522,16644571,3,"2,3,5",0,1,1,0,1
chr1,16644571,16644812,4,"2,3,4,5",0,1,1,1,1
chr1,16644812,16645250,3,"2,4,5",0,1,0,1,1
chr1,16895969,16896064,2,"4,5",0,0,0,1,1
chr1,16896064,16896141,3,"3,4,5",0,0,1,1,1
chr1,16896141,16896291,4,"1,3,4,5",1,0,1,1,1
chr1,16896291,16896354,3,"3,4,5",0,0,1,1,1
chr1,16896354,16896539,2,"4,5",0,0,0,1,1
chr1,16896655,16896664,2,"2,5",0,1,0,0,1
chr1,16905224,16905230,2,"3,5",0,0,1,0,1
chr1,16905230,16905296,3,"2,3,5",0,1,1,0,1
chr1,16905296,16905313,2,"2,5",0,1,0,0,1
chr1,16905313,16905318,3,"2,4,5",0,1,0,1,1
chr1,16905318,16905468,4,"1,2,4,5",1,1,0,1,1
chr1,16905468,16905696,3,"2,4,5",0,1,0,1,1
chr1,17011879,17012169,2,"3,5",0,0,1,0,1
chr1,18902406,18902598,2,"3,5",0,0,1,0,1
chr1,18902859,18903149,2,"3,5",0,0,1,0,1
chr1,19209963,19210393,2,"4,5",0,0,0,1,1
chr1,19251395,19251411,4,"1,2,4,5",1,1,0,1,1
chr1,19251411,19251421,3,"2,4,5",0,1,0,1,1
chr1,19251421,19251792,2,"4,5",0,0,0,1,1
chr1,19251792,19251864,3,"3,4,5",0,0,1,1,1
chr1,19251864,19251886,2,"4,5",0,0,0,1,1
chr1,19312080,19312149,2,"2,5",0,1,0,0,1
chr1,19312149,19312169,3,"2,3,5",0,1,1,0,1
chr1,19312169,19312439,4,"2,3,4,5",0,1,1,1,1
chr1,19312439,19312458,3,"2,4,5",0,1,0,1,1
chr1,19312458,19312565,2,"2,5",0,1,0,0,1
chr1,19312609,19312934,2,"2,5",0,1,0,0,1
chr1,19596675,19597109,2,"4,5",0,0,0,1,1
chr1,19597109,19597240,3,"3,4,5",0,0,1,1,1
chr1,19597240,19597288,4,"2,3,4,5",0,1,1,1,1
chr1,19597288,19597309,3,"2,3,5",0,1,1,0,1
chr1,19882153,19882365,2,"4,5",0,0,0,1,1
chr1,19882365,19882666,3,"3,4,5",0,0,1,1,1
chr1,19882666,19882849,2,"3,5",0,0,1,0,1
chr1,20185942,20185970,2,"2,5",0,1,0,0,1
chr1,20185970,20186028,3,"2,3,5",0,1,1,0,1
chr1,20186028,20186041,4,"2,3,4,5",0,1,1,1,1
chr1,20186041,20186191,5,"1,2,3,4,5",1,1,1,1,1
chr1,20186191,20186217,4,"2,3,4,5",0,1,1,1,1
chr1,20507978,20508063,2,"3,5",0,0,1,0,1
chr1,20508063,20508268,3,"3,4,5",0,0,1,1,1
chr1,20508268,20508289,2,"4,5",0,0,0,1,1
chr1,20633270,20633357,2,"4,5",0,0,0,1,1
chr1,20633357,20633647,3,"3,4,5",0,0,1,1,1
chr1,20633647,20634115,2,"4,5",0,0,0,1,1
chr1,20661300,20661325,2,"4,5",0,0,0,1,1
chr1,20661325,20661345,3,"3,4,5",0,0,1,1,1
chr1,20661345,20661495,4,"1,3,4,5",1,0,1,1,1
chr1,20661495,20661615,3,"3,4,5",0,0,1,1,1
chr1,20661615,20661642,2,"4,5",0,0,0,1,1
chr1,20661753,20661985,2,"3,5",0,0,1,0,1
chr1,21904970,21905346,2,"2,5",0,1,0,0,1
chr1,22025366,22025584,2,"2,5",0,1,0,0,1
chr1,22025663,22025815,2,"2,5",0,1,0,0,1
chr1,22052490,22052603,2,"4,5",0,0,0,1,1
chr1,22052603,22052842,3,"3,4,5",0,0,1,1,1
chr1,22053037,22053060,3,"2,4,5",0,1,0,1,1
chr1,22053060,22053260,2,"2,5",0,1,0,0,1
chr1,22053260,22053396,3,"2,3,5",0,1,1,0,1
chr1,22053396,22053507,2,"3,5",0,0,1,0,1
chr1,22451621,22451801,2,"2,5",0,1,0,0,1
chr1,22451801,22451858,3,"2,3,5",0,1,1,0,1
chr1,22451858,22451879,4,"2,3,4,5",0,1,1,1,1
chr1,22451879,22452029,5,"1,2,3,4,5",1,1,1,1,1
chr1,22452029,22452091,4,"2,3,4,5",0,1,1,1,1
chr1,22452091,22452115,3,"2,4,5",0,1,0,1,1
chr1,22452115,22452142,2,"2,5",0,1,0,0,1
chr1,23019193,23019216,2,"4,5",0,0,0,1,1
chr1,23019216,23019705,3,"3,4,5",0,0,1,1,1
chr1,23019705,23019775,2,"4,5",0,0,0,1,1
chr1,23168468,23168516,2,"3,5",0,0,1,0,1
chr1,23368078,23368368,2,"3,5",0,0,1,0,1
chr1,23368773,23368885,3,"2,4,5",0,1,0,1,1
chr1,23368885,23369118,4,"2,3,4,5",0,1,1,1,1
