chrom,start,end,num,list,ENCFF181MKU_RCOR1_sorted.bed,ENCFF204NAG_RCOR1_sorted.bed,ENCFF360FBK_RCOR1_sorted.bed,ENCFF757RIY_RCOR1_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,6245286,6245378,2,"1,5",1,0,0,0,1
chr1,6393602,6393892,2,"2,5",0,1,0,0,1
chr1,6554408,6554449,2,"4,5",0,0,0,1,1
chr1,6554449,6554704,3,"2,4,5",0,1,0,1,1
chr1,6554704,6554739,2,"2,5",0,1,0,0,1
chr1,6613073,6613215,2,"3,5",0,0,1,0,1
chr1,6613421,6613711,2,"2,5",0,1,0,0,1
chr1,7783961,7784251,2,"2,5",0,1,0,0,1
chr1,7961222,7961312,2,"3,5",0,0,1,0,1
chr1,7961312,7961321,3,"3,4,5",0,0,1,1,1
chr1,7961321,7961608,4,"2,3,4,5",0,1,1,1,1
chr1,7961608,7961611,3,"2,3,5",0,1,1,0,1
chr1,7961611,7961734,2,"3,5",0,0,1,0,1
chr1,8004772,8004834,2,"4,5",0,0,0,1,1
chr1,8004834,8004996,3,"2,4,5",0,1,0,1,1
chr1,8004996,8005068,2,"4,5",0,0,0,1,1
chr1,8005275,8005449,2,"4,5",0,0,0,1,1
chr1,8026201,8026491,2,"2,5",0,1,0,0,1
chr1,8197806,8197822,2,"2,5",0,1,0,0,1
chr1,8197822,8197885,3,"2,3,5",0,1,1,0,1
chr1,8197885,8198074,4,"2,3,4,5",0,1,1,1,1
chr1,8198074,8198093,3,"2,3,5",0,1,1,0,1
chr1,8198093,8198132,2,"3,5",0,0,1,0,1
chr1,8789305,8789307,2,"3,5",0,0,1,0,1
chr1,8789307,8789456,3,"3,4,5",0,0,1,1,1
chr1,8789456,8789532,4,"2,3,4,5",0,1,1,1,1
chr1,8789532,8789579,3,"3,4,5",0,0,1,1,1
chr1,8789579,8789603,2,"4,5",0,0,0,1,1
chr1,8877952,8878203,2,"2,5",0,1,0,0,1
chr1,9234268,9234276,3,"1,3,5",1,0,1,0,1
chr1,9234276,9234383,4,"1,3,4,5",1,0,1,1,1
chr1,9234383,9234385,5,"1,2,3,4,5",1,1,1,1,1
chr1,9234385,9234436,4,"1,2,3,5",1,1,1,0,1
chr1,9234436,9234487,3,"1,2,5",1,1,0,0,1
chr1,9234487,9234673,2,"2,5",0,1,0,0,1
chr1,9428850,9428902,2,"4,5",0,0,0,1,1
chr1,9428902,9429146,3,"2,4,5",0,1,0,1,1
chr1,9429146,9429192,2,"2,5",0,1,0,0,1
chr1,9539296,9539586,2,"2,5",0,1,0,0,1
chr1,9539978,9540217,2,"2,5",0,1,0,0,1
chr1,9593466,9593698,3,"2,4,5",0,1,0,1,1
chr1,9593698,9593735,2,"2,5",0,1,0,0,1
chr1,9719121,9719389,4,"2,3,4,5",0,1,1,1,1
chr1,9719389,9719390,3,"3,4,5",0,0,1,1,1
chr1,9719390,9719395,2,"3,5",0,0,1,0,1
chr1,9823860,9824070,2,"4,5",0,0,0,1,1
chr1,9943240,9943253,2,"1,5",1,0,0,0,1
chr1,9943253,9943285,3,"1,4,5",1,0,0,1,1
chr1,9943285,9943549,4,"1,2,4,5",1,1,0,1,1
chr1,9943549,9943575,3,"1,2,5",1,1,0,0,1
chr1,9943575,9943587,2,"1,5",1,0,0,0,1
chr1,10032512,10032802,2,"2,5",0,1,0,0,1
chr1,10210330,10210626,2,"4,5",0,0,0,1,1
chr1,10398614,10398660,2,"3,5",0,0,1,0,1
chr1,10398660,10398805,3,"3,4,5",0,0,1,1,1
chr1,10398805,10398924,4,"2,3,4,5",0,1,1,1,1
chr1,10398924,10398937,3,"2,4,5",0,1,0,1,1
chr1,10398937,10398956,2,"4,5",0,0,0,1,1
chr1,10430244,10430249,3,"1,3,5",1,0,1,0,1
chr1,10430249,10430277,4,"1,2,3,5",1,1,1,0,1
chr1,10430277,10430515,5,"1,2,3,4,5",1,1,1,1,1
chr1,10430515,10430573,4,"1,2,4,5",1,1,0,1,1
chr1,10430573,10430599,3,"1,2,5",1,1,0,0,1
chr1,10430599,10430739,2,"2,5",0,1,0,0,1
chr1,10472280,10472376,2,"3,5",0,0,1,0,1
chr1,10472376,10472413,3,"2,3,5",0,1,1,0,1
chr1,10472413,10472590,4,"2,3,4,5",0,1,1,1,1
chr1,10472590,10472666,3,"2,4,5",0,1,0,1,1
chr1,10472666,10472709,2,"4,5",0,0,0,1,1
chr1,10474800,10475080,2,"2,5",0,1,0,0,1
chr1,11273127,11273642,2,"2,5",0,1,0,0,1
chr1,11664014,11664304,2,"2,5",0,1,0,0,1
chr1,11671446,11671549,4,"1,3,4,5",1,0,1,1,1
chr1,11671549,11671672,5,"1,2,3,4,5",1,1,1,1,1
chr1,11671672,11671701,4,"1,3,4,5",1,0,1,1,1
chr1,11671701,11671726,3,"1,4,5",1,0,0,1,1
chr1,11671726,11671751,2,"1,5",1,0,0,0,1
chr1,11681004,11681024,2,"2,5",0,1,0,0,1
chr1,11681024,11681294,3,"2,4,5",0,1,0,1,1
chr1,11681294,11681320,2,"4,5",0,0,0,1,1
chr1,11681415,11681705,2,"2,5",0,1,0,0,1
chr1,11797810,11797819,2,"4,5",0,0,0,1,1
chr1,11797819,11798106,3,"2,4,5",0,1,0,1,1
chr1,11798106,11798109,2,"2,5",0,1,0,0,1
chr1,11803552,11803813,2,"2,5",0,1,0,0,1
chr1,11806006,11806011,2,"4,5",0,0,0,1,1
chr1,11806011,11806301,3,"2,4,5",0,1,0,1,1
chr1,11806301,11806495,2,"4,5",0,0,0,1,1
chr1,11842225,11842247,2,"4,5",0,0,0,1,1
chr1,11842247,11842329,3,"3,4,5",0,0,1,1,1
chr1,11842329,11842521,4,"2,3,4,5",0,1,1,1,1
chr1,11842521,11842557,3,"2,3,5",0,1,1,0,1
chr1,11882888,11882892,2,"3,5",0,0,1,0,1
chr1,11882892,11882938,3,"2,3,5",0,1,1,0,1
chr1,11882938,11883073,4,"2,3,4,5",0,1,1,1,1
chr1,11883073,11883182,3,"2,3,5",0,1,1,0,1
chr1,11883182,11883198,2,"3,5",0,0,1,0,1
chr1,11907898,11907966,2,"1,5",1,0,0,0,1
chr1,11908084,11908111,2,"1,5",1,0,0,0,1
chr1,11908111,11908114,3,"1,4,5",1,0,0,1,1
chr1,11908114,11908258,4,"1,2,4,5",1,1,0,1,1
chr1,11908258,11908350,3,"2,4,5",0,1,0,1,1
chr1,11908350,11908407,4,"2,3,4,5",0,1,1,1,1
chr1,11908407,11908622,3,"2,3,5",0,1,1,0,1
chr1,11908622,11908660,2,"3,5",0,0,1,0,1
chr1,11909589,11909660,2,"1,5",1,0,0,0,1
chr1,11909660,11909668,3,"1,4,5",1,0,0,1,1
chr1,11909668,11909944,4,"1,2,4,5",1,1,0,1,1
chr1,11926305,11926595,2,"2,5",0,1,0,0,1
chr1,11934440,11934705,2,"4,5",0,0,0,1,1
chr1,11980272,11980552,2,"3,5",0,0,1,0,1
chr1,12161839,12161883,2,"1,5",1,0,0,0,1
chr1,12161883,12161885,3,"1,4,5",1,0,0,1,1
chr1,12161885,12161918,4,"1,2,4,5",1,1,0,1,1
chr1,12161918,12162062,5,"1,2,3,4,5",1,1,1,1,1
chr1,12162062,12162148,4,"1,2,4,5",1,1,0,1,1
chr1,12162148,12162150,3,"1,2,5",1,1,0,0,1
chr1,12162150,12162194,2,"1,5",1,0,0,0,1
chr1,12218561,12218610,2,"3,5",0,0,1,0,1
chr1,12218610,12218685,3,"2,3,5",0,1,1,0,1
chr1,12218685,12218789,4,"2,3,4,5",0,1,1,1,1
chr1,12218789,12218829,3,"2,3,5",0,1,1,0,1
chr1,12218829,12218871,2,"3,5",0,0,1,0,1
chr1,12229843,12230133,2,"2,5",0,1,0,0,1
chr1,12529416,12529417,2,"4,5",0,0,0,1,1
chr1,12529417,12529533,3,"3,4,5",0,0,1,1,1
chr1,12529533,12529639,4,"2,3,4,5",0,1,1,1,1
chr1,12529639,12529690,3,"3,4,5",0,0,1,1,1
chr1,15524869,15524931,2,"2,5",0,1,0,0,1
chr1,15524931,15525159,3,"2,4,5",0,1,0,1,1
chr1,15525159,15525215,2,"4,5",0,0,0,1,1
chr1,15526459,15526560,3,"2,4,5",0,1,0,1,1
chr1,15526560,15526696,2,"2,5",0,1,0,0,1
chr1,15543652,15543687,2,"3,5",0,0,1,0,1
chr1,15543687,15543736,3,"2,3,5",0,1,1,0,1
chr1,15543736,15543781,4,"1,2,3,5",1,1,1,0,1
chr1,15543781,15543897,5,"1,2,3,4,5",1,1,1,1,1
chr1,15543897,15543915,4,"1,2,3,5",1,1,1,0,1
chr1,15543915,15543962,3,"1,3,5",1,0,1,0,1
chr1,15543962,15544050,2,"1,5",1,0,0,0,1
chr1,15617116,15617362,3,"2,3,5",0,1,1,0,1
chr1,15617362,15617404,2,"3,5",0,0,1,0,1
chr1,15795144,15795150,2,"4,5",0,0,0,1,1
chr1,15795150,15795185,3,"1,4,5",1,0,0,1,1
chr1,15795185,15795223,4,"1,3,4,5",1,0,1,1,1
chr1,15795223,15795435,5,"1,2,3,4,5",1,1,1,1,1
chr1,15795435,15795440,4,"1,3,4,5",1,0,1,1,1
chr1,15795440,15795495,3,"1,3,5",1,0,1,0,1
chr1,15795495,15795510,2,"1,5",1,0,0,0,1
chr1,15834598,15834611,2,"4,5",0,0,0,1,1
chr1,15834822,15834827,2,"2,5",0,1,0,0,1
chr1,15834827,15834868,3,"1,2,5",1,1,0,0,1
chr1,15834868,15835112,4,"1,2,4,5",1,1,0,1,1
chr1,15835112,15835164,3,"1,4,5",1,0,0,1,1
chr1,15835164,15835183,2,"1,5",1,0,0,0,1
chr1,15847507,15847529,2,"4,5",0,0,0,1,1
chr1,15847529,15847803,3,"2,4,5",0,1,0,1,1
chr1,15847803,15847819,2,"2,5",0,1,0,0,1
chr1,15975507,15976056,2,"2,5",0,1,0,0,1
chr1,16012816,16012952,3,"2,4,5",0,1,0,1,1
chr1,16012952,16012997,2,"2,5",0,1,0,0,1
chr1,16013289,16013484,2,"2,5",0,1,0,0,1
chr1,16032808,16032840,2,"1,5",1,0,0,0,1
chr1,16032840,16032864,3,"1,2,5",1,1,0,0,1
chr1,16032864,16032871,4,"1,2,3,5",1,1,1,0,1
chr1,16032871,16033130,5,"1,2,3,4,5",1,1,1,1,1
chr1,16033130,16033151,4,"1,3,4,5",1,0,1,1,1
chr1,16033151,16033167,3,"3,4,5",0,0,1,1,1
chr1,16033167,16033174,2,"3,5",0,0,1,0,1
chr1,16056127,16056407,2,"2,5",0,1,0,0,1
chr1,16164249,16164519,2,"2,5",0,1,0,0,1
chr1,16206732,16206858,2,"1,5",1,0,0,0,1
chr1,16206858,16207011,3,"1,3,5",1,0,1,0,1
chr1,16207011,16207168,4,"1,2,3,5",1,1,1,0,1
chr1,16207168,16207273,3,"1,2,5",1,1,0,0,1
chr1,16237106,16237122,2,"2,5",0,1,0,0,1
chr1,16237122,16237396,3,"2,4,5",0,1,0,1,1
chr1,16237396,16237418,2,"4,5",0,0,0,1,1
chr1,16352365,16352384,2,"2,5",0,1,0,0,1
chr1,16352384,16352490,3,"2,4,5",0,1,0,1,1
chr1,16352490,16352655,4,"1,2,4,5",1,1,0,1,1
chr1,16352655,16352680,3,"1,4,5",1,0,0,1,1
chr1,16352680,16352850,2,"1,5",1,0,0,0,1
chr1,16366931,16367221,2,"2,5",0,1,0,0,1
chr1,16440506,16440525,2,"2,5",0,1,0,0,1
chr1,16440525,16440796,3,"2,4,5",0,1,0,1,1
chr1,16440796,16440821,2,"4,5",0,0,0,1,1
chr1,16613259,16613362,2,"2,5",0,1,0,0,1
chr1,16613363,16613659,2,"4,5",0,0,0,1,1
chr1,16613662,16613733,2,"4,5",0,0,0,1,1
chr1,16613733,16613805,3,"1,4,5",1,0,0,1,1
chr1,16613805,16613958,4,"1,3,4,5",1,0,1,1,1
chr1,16613958,16613986,3,"1,3,5",1,0,1,0,1
chr1,16621016,16621062,4,"1,2,3,5",1,1,1,0,1
chr1,16621062,16621150,5,"1,2,3,4,5",1,1,1,1,1
chr1,16621150,16621266,4,"1,2,3,5",1,1,1,0,1
chr1,16621266,16621284,3,"1,3,5",1,0,1,0,1
chr1,16621284,16621371,2,"1,5",1,0,0,0,1
chr1,16624986,16625037,4,"1,3,4,5",1,0,1,1,1
chr1,16625037,16625167,5,"1,2,3,4,5",1,1,1,1,1
chr1,16625167,16625217,4,"1,3,4,5",1,0,1,1,1
chr1,16644322,16644474,2,"2,5",0,1,0,0,1
chr1,16644656,16644688,2,"2,5",0,1,0,0,1
chr1,16644688,16644776,3,"2,4,5",0,1,0,1,1
chr1,16644776,16644815,2,"2,5",0,1,0,0,1
chr1,16904755,16904948,2,"2,5",0,1,0,0,1
chr1,16904948,16904983,3,"1,2,5",1,1,0,0,1
chr1,16904983,16905265,2,"1,5",1,0,0,0,1
chr1,16905265,16905549,3,"1,3,5",1,0,1,0,1
chr1,16905549,16905696,2,"3,5",0,0,1,0,1
chr1,17406200,17406464,2,"2,5",0,1,0,0,1
chr1,18902459,18902652,2,"2,5",0,1,0,0,1
chr1,18902742,18902749,2,"2,5",0,1,0,0,1
chr1,18913089,18913097,2,"4,5",0,0,0,1,1
chr1,18913097,18913342,3,"2,4,5",0,1,0,1,1
chr1,18913342,18913352,2,"2,5",0,1,0,0,1
chr1,19210126,19210215,2,"4,5",0,0,0,1,1
chr1,19210215,19210422,3,"2,4,5",0,1,0,1,1
chr1,19210422,19210505,2,"2,5",0,1,0,0,1
chr1,19251441,19251731,2,"2,5",0,1,0,0,1
chr1,19312609,19312636,2,"3,5",0,0,1,0,1
chr1,19312636,19312926,3,"2,3,5",0,1,1,0,1
chr1,19312926,19312934,2,"3,5",0,0,1,0,1
chr1,19596689,19596749,2,"4,5",0,0,0,1,1
chr1,19596749,19596985,3,"2,4,5",0,1,0,1,1
chr1,19596985,19597039,2,"2,5",0,1,0,0,1
chr1,19659817,19659842,2,"1,5",1,0,0,0,1
chr1,19659842,19659870,3,"1,3,5",1,0,1,0,1
chr1,19659870,19660093,5,"1,2,3,4,5",1,1,1,1,1
chr1,19660093,19660111,4,"1,3,4,5",1,0,1,1,1
chr1,19660111,19660112,3,"1,3,5",1,0,1,0,1
chr1,19882153,19882433,2,"2,5",0,1,0,0,1
chr1,20185363,20185399,2,"2,5",0,1,0,0,1
chr1,20185399,20185604,3,"2,4,5",0,1,0,1,1
chr1,20185604,20185695,2,"4,5",0,0,0,1,1
chr1,20508227,20508313,2,"3,5",0,0,1,0,1
chr1,20633270,20633498,4,"2,3,4,5",0,1,1,1,1
chr1,20633498,20633534,3,"2,4,5",0,1,0,1,1
chr1,20633534,20633549,2,"2,5",0,1,0,0,1
chr1,20661344,20661634,2,"2,5",0,1,0,0,1
chr1,20696899,20696905,2,"4,5",0,0,0,1,1
chr1,20696905,20697177,3,"2,4,5",0,1,0,1,1
chr1,21905010,21905080,2,"1,5",1,0,0,0,1
chr1,21905080,21905081,3,"1,3,5",1,0,1,0,1
chr1,21905081,21905084,4,"1,3,4,5",1,0,1,1,1
chr1,21905084,21905244,5,"1,2,3,4,5",1,1,1,1,1
chr1,21905244,21905260,4,"1,2,3,5",1,1,1,0,1
chr1,21905260,21905268,3,"1,3,5",1,0,1,0,1
chr1,21905268,21905370,2,"1,5",1,0,0,0,1
chr1,22019085,22019088,2,"2,5",0,1,0,0,1
chr1,22019088,22019384,3,"2,4,5",0,1,0,1,1
chr1,22019384,22019519,2,"2,5",0,1,0,0,1
chr1,22025366,22025538,2,"4,5",0,0,0,1,1
chr1,22025542,22025584,2,"1,5",1,0,0,0,1
chr1,22025663,22025855,2,"1,5",1,0,0,0,1
chr1,22025855,22025877,3,"1,3,5",1,0,1,0,1
chr1,22025877,22025950,4,"1,3,4,5",1,0,1,1,1
chr1,22025950,22026022,5,"1,2,3,4,5",1,1,1,1,1
chr1,22026022,22026140,4,"1,3,4,5",1,0,1,1,1
chr1,22026140,22026165,3,"3,4,5",0,0,1,1,1
chr1,22026165,22026173,2,"4,5",0,0,0,1,1
chr1,22052454,22052744,2,"2,5",0,1,0,0,1
chr1,22053497,22053507,2,"2,5",0,1,0,0,1
chr1,22451770,22452060,2,"2,5",0,1,0,0,1
chr1,22452184,22452413,2,"2,5",0,1,0,0,1
chr1,23019193,23019200,2,"1,5",1,0,0,0,1
chr1,23019200,23019244,3,"1,2,5",1,1,0,0,1
chr1,23019244,23019297,2,"2,5",0,1,0,0,1
chr1,23019297,23019490,3,"2,4,5",0,1,0,1,1
chr1,23019490,23019593,2,"4,5",0,0,0,1,1
chr1,23368951,23369250,2,"3,5",0,0,1,0,1
chr1,23539858,23539870,2,"1,5",1,0,0,0,1
chr1,23539870,23539972,3,"1,3,5",1,0,1,0,1
chr1,23539972,23539994,4,"1,2,3,5",1,1,1,0,1
chr1,23539994,23540164,5,"1,2,3,4,5",1,1,1,1,1
chr1,23540164,23540172,4,"1,3,4,5",1,0,1,1,1
chr1,23540172,23540180,3,"1,3,5",1,0,1,0,1
chr1,23540180,23540199,2,"1,5",1,0,0,0,1
chr1,23554787,23555043,2,"1,5",1,0,0,0,1
chr1,23559497,23559505,2,"3,5",0,0,1,0,1
chr1,23559505,23559594,3,"1,3,5",1,0,1,0,1
chr1,23559594,23559729,4,"1,2,3,5",1,1,1,0,1
chr1,23562372,23562420,3,"3,4,5",0,0,1,1,1
chr1,23562420,23562594,4,"2,3,4,5",0,1,1,1,1
chr1,23562594,23562613,3,"2,4,5",0,1,0,1,1
chr1,23562613,23562662,2,"2,5",0,1,0,0,1
chr1,23743308,23743535,3,"2,4,5",0,1,0,1,1
chr1,23743535,23743552,2,"4,5",0,0,0,1,1
chr1,23777874,23777912,2,"4,5",0,0,0,1,1
chr1,23777912,23778170,3,"2,4,5",0,1,0,1,1
chr1,23778170,23778202,2,"2,5",0,1,0,0,1
chr1,23800734,23801024,2,"2,5",0,1,0,0,1
chr1,23809778,23810009,2,"2,5",0,1,0,0,1
chr1,23810848,23811106,2,"2,5",0,1,0,0,1
chr1,23959059,23959098,2,"3,5",0,0,1,0,1
chr1,23959098,23959369,3,"3,4,5",0,0,1,1,1
chr1,23959369,23959394,2,"4,5",0,0,0,1,1
chr1,23959491,23959981,2,"2,5",0,1,0,0,1
chr1,24413639,24413871,3,"2,4,5",0,1,0,1,1
chr1,24413871,24413887,2,"4,5",0,0,0,1,1
chr1,24415455,24415482,2,"1,5",1,0,0,0,1
chr1,24415482,24415485,3,"1,2,5",1,1,0,0,1
chr1,24415485,24415606,4,"1,2,4,5",1,1,0,1,1
chr1,24415606,24415772,5,"1,2,3,4,5",1,1,1,1,1
chr1,24415772,24415786,4,"1,3,4,5",1,0,1,1,1
chr1,24415786,24415859,3,"3,4,5",0,0,1,1,1
chr1,24744864,24745138,3,"2,4,5",0,1,0,1,1
chr1,24745138,24745147,2,"2,5",0,1,0,0,1
chr1,25233109,25233358,3,"1,2,5",1,1,0,0,1
chr1,25233358,25233436,2,"1,5",1,0,0,0,1
chr1,25239918,25240208,2,"2,5",0,1,0,0,1
chr1,25247368,25247421,2,"3,5",0,0,1,0,1
chr1,25247421,25247499,3,"2,3,5",0,1,1,0,1
chr1,25247499,25247599,4,"2,3,4,5",0,1,1,1,1
chr1,25247599,25247711,3,"2,4,5",0,1,0,1,1
chr1,25247711,25247994,2,"4,5",0,0,0,1,1
chr1,25279838,25279841,2,"4,5",0,0,0,1,1
chr1,25279841,25279855,3,"2,4,5",0,1,0,1,1
chr1,25279855,25280131,4,"2,3,4,5",0,1,1,1,1
chr1,25280131,25280134,3,"3,4,5",0,0,1,1,1
chr1,25280134,25280165,2,"3,5",0,0,1,0,1
chr1,25338204,25338494,2,"2,5",0,1,0,0,1
chr1,25430120,25430362,2,"2,5",0,1,0,0,1
chr1,25543338,25543438,5,"1,2,3,4,5",1,1,1,1,1
chr1,25543438,25543453,4,"1,2,3,5",1,1,1,0,1
chr1,25543453,25543490,3,"1,3,5",1,0,1,0,1
chr1,25543490,25543501,2,"3,5",0,0,1,0,1
chr1,25549546,25549952,2,"2,5",0,1,0,0,1
chr1,25859265,25859272,2,"4,5",0,0,0,1,1
chr1,25859272,25859562,3,"2,4,5",0,1,0,1,1
chr1,25859562,25859679,2,"4,5",0,0,0,1,1
chr1,25875450,25875740,2,"2,5",0,1,0,0,1
chr1,25895437,25895452,2,"2,5",0,1,0,0,1
chr1,25895452,25895711,3,"2,4,5",0,1,0,1,1
chr1,25905415,25905586,2,"2,5",0,1,0,0,1
chr1,25905586,25905612,3,"2,4,5",0,1,0,1,1
chr1,25905612,25905713,2,"4,5",0,0,0,1,1
chr1,25905713,25905882,3,"3,4,5",0,0,1,1,1
chr1,25905882,25906023,2,"3,5",0,0,1,0,1
chr1,25906297,25906587,2,"2,5",0,1,0,0,1
chr1,25998184,25998212,2,"1,5",1,0,0,0,1
chr1,25998212,25998288,3,"1,3,5",1,0,1,0,1
chr1,25998288,25998292,4,"1,2,3,5",1,1,1,0,1
chr1,25998292,25998400,5,"1,2,3,4,5",1,1,1,1,1
chr1,25998400,25998427,4,"1,3,4,5",1,0,1,1,1
chr1,25998427,25998499,3,"1,3,5",1,0,1,0,1
chr1,26035319,26035609,2,"2,5",0,1,0,0,1
chr1,26036032,26036042,2,"3,5",0,0,1,0,1
chr1,26036042,26036281,3,"2,3,5",0,1,1,0,1
chr1,26070492,26070502,2,"3,5",0,0,1,0,1
chr1,26070502,26070527,3,"2,3,5",0,1,1,0,1
chr1,26070527,26070528,4,"1,2,3,5",1,1,1,0,1
chr1,26070528,26070720,5,"1,2,3,4,5",1,1,1,1,1
chr1,26070720,26070802,4,"1,3,4,5",1,0,1,1,1
chr1,26070802,26070824,3,"1,4,5",1,0,0,1,1
chr1,26070824,26070835,2,"1,5",1,0,0,0,1
chr1,26110911,26111201,2,"2,5",0,1,0,0,1
chr1,26111563,26111569,2,"4,5",0,0,0,1,1
chr1,26111569,26111609,3,"2,4,5",0,1,0,1,1
chr1,26111609,26111859,4,"2,3,4,5",0,1,1,1,1
chr1,26111859,26111919,2,"3,5",0,0,1,0,1
chr1,26112113,26112336,2,"2,5",0,1,0,0,1
chr1,26161853,26162135,2,"4,5",0,0,0,1,1
chr1,26169670,26169688,3,"1,3,5",1,0,1,0,1
chr1,26169688,26169853,4,"1,2,3,5",1,1,1,0,1
chr1,26169853,26169883,3,"1,2,5",1,1,0,0,1
chr1,26169883,26169978,2,"2,5",0,1,0,0,1
chr1,26201155,26201199,2,"4,5",0,0,0,1,1
chr1,26201199,26201327,3,"3,4,5",0,0,1,1,1
chr1,26201327,26201407,4,"2,3,4,5",0,1,1,1,1
chr1,26201407,26201451,3,"3,4,5",0,0,1,1,1
chr1,26201451,26201509,2,"3,5",0,0,1,0,1
chr1,26233816,26233975,3,"2,3,5",0,1,1,0,1
chr1,26233975,26234092,2,"2,5",0,1,0,0,1
chr1,26275662,26275860,3,"2,4,5",0,1,0,1,1
chr1,26284791,26285020,5,"1,2,3,4,5",1,1,1,1,1
chr1,26285020,26285045,4,"1,3,4,5",1,0,1,1,1
chr1,26285045,26285052,3,"1,4,5",1,0,0,1,1
chr1,26285052,26285069,2,"1,5",1,0,0,0,1
chr1,26287065,26287130,3,"3,4,5",0,0,1,1,1
