chrom,start,end,num,list,ENCFF089XUG_MAZ_sorted.bed,ENCFF147KVT_MAZ_sorted.bed,ENCFF372CNC_MAZ_sorted.bed,ENCFF547ETZ_MAZ_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,1157473,1157760,5,"1,2,3,4,5",1,1,1,1,1
chr1,1157760,1157793,4,"1,2,3,5",1,1,1,0,1
chr1,1157793,1157829,3,"1,3,5",1,0,1,0,1
chr1,1157829,1157866,2,"1,5",1,0,0,0,1
chr1,1157976,1158016,2,"1,5",1,0,0,0,1
chr1,1158016,1158120,3,"1,4,5",1,0,0,1,1
chr1,1158120,1158412,4,"1,2,4,5",1,1,0,1,1
chr1,1158412,1158544,3,"1,2,5",1,1,0,0,1
chr1,1171688,1171714,2,"2,5",0,1,0,0,1
chr1,1171714,1171790,3,"2,4,5",0,1,0,1,1
chr1,1171790,1172008,4,"1,2,4,5",1,1,0,1,1
chr1,1172008,1172206,3,"1,4,5",1,0,0,1,1
chr1,1172206,1172304,2,"4,5",0,0,0,1,1
chr1,1200851,1201061,2,"2,5",0,1,0,0,1
chr1,1201318,1201351,2,"1,5",1,0,0,0,1
chr1,1201351,1201389,3,"1,4,5",1,0,0,1,1
chr1,1201389,1201709,4,"1,2,4,5",1,1,0,1,1
chr1,1201709,1201747,3,"1,4,5",1,0,0,1,1
chr1,1201747,1201844,2,"1,5",1,0,0,0,1
chr1,1212847,1213243,2,"4,5",0,0,0,1,1
chr1,1231799,1231815,2,"1,5",1,0,0,0,1
chr1,1231815,1231820,3,"1,4,5",1,0,0,1,1
chr1,1231820,1231863,4,"1,3,4,5",1,0,1,1,1
chr1,1231863,1232183,5,"1,2,3,4,5",1,1,1,1,1
chr1,1232183,1232211,4,"1,3,4,5",1,0,1,1,1
chr1,1232211,1232215,3,"1,3,5",1,0,1,0,1
chr1,1232215,1232244,2,"3,5",0,0,1,0,1
chr1,1250915,1251267,2,"1,5",1,0,0,0,1
chr1,1273612,1273693,2,"1,5",1,0,0,0,1
chr1,1273693,1273810,3,"1,3,5",1,0,1,0,1
chr1,1273810,1273960,4,"1,3,4,5",1,0,1,1,1
chr1,1273960,1274028,3,"1,3,5",1,0,1,0,1
chr1,1274028,1274117,2,"3,5",0,0,1,0,1
chr1,1290237,1290459,2,"4,5",0,0,0,1,1
chr1,1305456,1305512,2,"1,5",1,0,0,0,1
chr1,1305512,1305872,4,"1,3,4,5",1,0,1,1,1
chr1,1305872,1305896,3,"3,4,5",0,0,1,1,1
chr1,1307895,1308098,2,"4,5",0,0,0,1,1
chr1,1308098,1308120,3,"2,4,5",0,1,0,1,1
chr1,1308120,1308249,4,"1,2,4,5",1,1,0,1,1
chr1,1308249,1308418,3,"1,2,5",1,1,0,0,1
chr1,1308418,1308536,2,"1,5",1,0,0,0,1
chr1,1308691,1308743,2,"1,5",1,0,0,0,1
chr1,1324669,1324758,2,"2,5",0,1,0,0,1
chr1,1324758,1324805,3,"1,2,5",1,1,0,0,1
chr1,1324805,1324989,4,"1,2,3,5",1,1,1,0,1
chr1,1324989,1325174,3,"1,3,5",1,0,1,0,1
chr1,1325174,1325229,2,"3,5",0,0,1,0,1
chr1,1349262,1349517,2,"4,5",0,0,0,1,1
chr1,1349517,1349565,3,"2,4,5",0,1,0,1,1
chr1,1349565,1349811,4,"1,2,4,5",1,1,0,1,1
chr1,1349811,1349837,3,"1,2,5",1,1,0,0,1
chr1,1349837,1349981,2,"1,5",1,0,0,0,1
chr1,1371971,1371978,2,"1,5",1,0,0,0,1
chr1,1371978,1372356,3,"1,4,5",1,0,0,1,1
chr1,1375072,1375131,2,"3,5",0,0,1,0,1
chr1,1375131,1375158,3,"2,3,5",0,1,1,0,1
chr1,1375158,1375235,4,"1,2,3,5",1,1,1,0,1
chr1,1375235,1375346,5,"1,2,3,4,5",1,1,1,1,1
chr1,1375346,1375403,4,"1,2,3,5",1,1,1,0,1
chr1,1375403,1375451,3,"2,3,5",0,1,1,0,1
chr1,1375451,1375496,2,"3,5",0,0,1,0,1
chr1,1399273,1399277,3,"3,4,5",0,0,1,1,1
chr1,1399277,1399287,4,"2,3,4,5",0,1,1,1,1
chr1,1399287,1399597,5,"1,2,3,4,5",1,1,1,1,1
chr1,1399597,1399669,4,"1,3,4,5",1,0,1,1,1
chr1,1399669,1399703,3,"1,3,5",1,0,1,0,1
chr1,1399703,1399891,2,"3,5",0,0,1,0,1
chr1,1407155,1407159,2,"2,5",0,1,0,0,1
chr1,1407159,1407171,3,"2,3,5",0,1,1,0,1
chr1,1407171,1407213,4,"2,3,4,5",0,1,1,1,1
chr1,1407213,1407567,5,"1,2,3,4,5",1,1,1,1,1
chr1,1407567,1407583,4,"1,2,3,5",1,1,1,0,1
chr1,1407583,1407629,3,"1,2,5",1,1,0,0,1
chr1,1407629,1407688,2,"2,5",0,1,0,0,1
chr1,1435398,1435427,2,"1,5",1,0,0,0,1
chr1,1435427,1435814,3,"1,4,5",1,0,0,1,1
chr1,1435814,1435823,2,"4,5",0,0,0,1,1
chr1,1437988,1438052,2,"3,5",0,0,1,0,1
chr1,1438052,1438160,3,"3,4,5",0,0,1,1,1
chr1,1438160,1438308,4,"1,3,4,5",1,0,1,1,1
chr1,1438308,1438404,3,"3,4,5",0,0,1,1,1
chr1,1462271,1462665,2,"4,5",0,0,0,1,1
chr1,1471466,1471494,2,"1,5",1,0,0,0,1
chr1,1471494,1471629,3,"1,2,5",1,1,0,0,1
chr1,1471629,1471751,4,"1,2,4,5",1,1,0,1,1
chr1,1471751,1471814,3,"1,2,5",1,1,0,0,1
chr1,1471814,1471882,2,"1,5",1,0,0,0,1
chr1,1504895,1504993,2,"2,5",0,1,0,0,1
chr1,1504993,1505409,3,"1,2,5",1,1,0,0,1
chr1,1505409,1505422,2,"2,5",0,1,0,0,1
chr1,1511713,1511802,2,"1,5",1,0,0,0,1
chr1,1511802,1512129,3,"1,4,5",1,0,0,1,1
chr1,1512129,1512198,2,"4,5",0,0,0,1,1
chr1,1574306,1574316,2,"2,5",0,1,0,0,1
chr1,1574316,1574348,3,"1,2,5",1,1,0,0,1
chr1,1574348,1574772,2,"1,5",1,0,0,0,1
chr1,1574772,1575092,3,"1,2,5",1,1,0,0,1
chr1,1575092,1575097,2,"1,5",1,0,0,0,1
chr1,1615238,1615325,2,"3,5",0,0,1,0,1
chr1,1615325,1615381,3,"2,3,5",0,1,1,0,1
chr1,1615381,1615382,4,"1,2,3,5",1,1,1,0,1
chr1,1615382,1615493,5,"1,2,3,4,5",1,1,1,1,1
chr1,1615493,1615645,4,"1,2,3,5",1,1,1,0,1
chr1,1615645,1615662,3,"1,3,5",1,0,1,0,1
chr1,1615662,1615889,2,"1,5",1,0,0,0,1
chr1,1616058,1616346,2,"4,5",0,0,0,1,1
chr1,1629231,1629490,2,"1,5",1,0,0,0,1
chr1,1629490,1629810,3,"1,2,5",1,1,0,0,1
chr1,1629810,1629856,2,"1,5",1,0,0,0,1
chr1,1630349,1630405,2,"1,5",1,0,0,0,1
chr1,1630405,1630570,3,"1,4,5",1,0,0,1,1
chr1,1630570,1630695,2,"1,5",1,0,0,0,1
chr1,1658752,1658927,2,"1,5",1,0,0,0,1
chr1,1658927,1659168,3,"1,2,5",1,1,0,0,1
chr1,1659168,1659247,2,"2,5",0,1,0,0,1
chr1,1677713,1677739,2,"1,5",1,0,0,0,1
chr1,1677739,1678059,3,"1,2,5",1,1,0,0,1
chr1,1678059,1678129,2,"1,5",1,0,0,0,1
chr1,1678188,1678604,2,"1,5",1,0,0,0,1
chr1,1678812,1678819,2,"1,5",1,0,0,0,1
chr1,1678819,1678841,3,"1,2,5",1,1,0,0,1
chr1,1678841,1678847,4,"1,2,3,5",1,1,1,0,1
chr1,1678847,1679139,5,"1,2,3,4,5",1,1,1,1,1
chr1,1679139,1679197,4,"1,3,4,5",1,0,1,1,1
chr1,1692321,1692737,2,"1,5",1,0,0,0,1
chr1,1724217,1724613,2,"4,5",0,0,0,1,1
chr1,1746279,1746695,2,"1,5",1,0,0,0,1
chr1,1778783,1778818,2,"2,5",0,1,0,0,1
chr1,1778818,1778840,3,"2,3,5",0,1,1,0,1
chr1,1778840,1778845,4,"1,2,3,5",1,1,1,0,1
chr1,1778845,1779063,5,"1,2,3,4,5",1,1,1,1,1
chr1,1779063,1779097,4,"2,3,4,5",0,1,1,1,1
chr1,1779097,1779103,3,"2,3,5",0,1,1,0,1
chr1,1779103,1779242,2,"3,5",0,0,1,0,1
chr1,1780368,1780370,2,"4,5",0,0,0,1,1
chr1,1780370,1780710,3,"2,4,5",0,1,0,1,1
chr1,1890973,1891238,4,"1,2,4,5",1,1,0,1,1
chr1,1891238,1891297,3,"1,4,5",1,0,0,1,1
chr1,1891297,1891454,2,"4,5",0,0,0,1,1
chr1,1891454,1891507,3,"2,4,5",0,1,0,1,1
chr1,1891507,1891510,4,"1,2,4,5",1,1,0,1,1
chr1,1891510,1891555,3,"1,2,5",1,1,0,0,1
chr1,1891555,1891774,4,"1,2,4,5",1,1,0,1,1
chr1,1891774,1891892,3,"1,4,5",1,0,0,1,1
chr1,1908882,1909298,2,"1,5",1,0,0,0,1
chr1,1918959,1919318,2,"3,5",0,0,1,0,1
chr1,1919318,1919409,3,"1,3,5",1,0,1,0,1
chr1,1919409,1919436,4,"1,3,4,5",1,0,1,1,1
chr1,1919436,1919734,5,"1,2,3,4,5",1,1,1,1,1
chr1,1919734,1919756,4,"2,3,4,5",0,1,1,1,1
chr1,1919756,1919805,3,"3,4,5",0,0,1,1,1
chr1,1919805,1919820,2,"3,5",0,0,1,0,1
chr1,2189448,2189496,2,"4,5",0,0,0,1,1
chr1,2189496,2189844,3,"1,4,5",1,0,0,1,1
chr1,2189844,2189871,2,"1,5",1,0,0,0,1
chr1,2204616,2205012,2,"4,5",0,0,0,1,1
chr1,2205294,2205710,2,"1,5",1,0,0,0,1
chr1,2227547,2227572,3,"1,2,5",1,1,0,0,1
chr1,2227572,2227645,4,"1,2,4,5",1,1,0,1,1
chr1,2227645,2227747,3,"2,4,5",0,1,0,1,1
chr1,2227747,2227824,2,"2,5",0,1,0,0,1
chr1,2234416,2234667,2,"3,5",0,0,1,0,1
chr1,2391619,2391660,2,"3,5",0,0,1,0,1
chr1,2391660,2391686,3,"2,3,5",0,1,1,0,1
chr1,2391686,2391894,5,"1,2,3,4,5",1,1,1,1,1
chr1,2391894,2391896,4,"1,2,3,5",1,1,1,0,1
chr1,2391896,2391980,3,"2,3,5",0,1,1,0,1
chr1,2391980,2392043,2,"3,5",0,0,1,0,1
chr1,2412405,2412506,2,"3,5",0,0,1,0,1
chr1,2412506,2412514,3,"1,3,5",1,0,1,0,1
chr1,2412514,2412553,4,"1,3,4,5",1,0,1,1,1
chr1,2412553,2412829,5,"1,2,3,4,5",1,1,1,1,1
chr1,2412829,2412873,4,"1,2,4,5",1,1,0,1,1
chr1,2412873,2412910,3,"1,4,5",1,0,0,1,1
chr1,2412910,2413060,2,"1,5",1,0,0,0,1
chr1,2526032,2526064,2,"1,5",1,0,0,0,1
chr1,2526064,2526092,3,"1,3,5",1,0,1,0,1
chr1,2526092,2526154,4,"1,3,4,5",1,0,1,1,1
chr1,2526154,2526448,5,"1,2,3,4,5",1,1,1,1,1
chr1,2526448,2526474,4,"2,3,4,5",0,1,1,1,1
chr1,2526474,2526488,3,"3,4,5",0,0,1,1,1
chr1,2526488,2526765,2,"4,5",0,0,0,1,1
chr1,2526862,2527205,2,"1,5",1,0,0,0,1
chr1,2546046,2546101,3,"2,3,5",0,1,1,0,1
chr1,2546101,2546121,4,"2,3,4,5",0,1,1,1,1
chr1,2546121,2546383,3,"3,4,5",0,0,1,1,1
chr1,2546383,2546497,2,"4,5",0,0,0,1,1
chr1,2546877,2546926,3,"1,3,5",1,0,1,0,1
chr1,2546926,2547025,4,"1,3,4,5",1,0,1,1,1
chr1,2547025,2547105,5,"1,2,3,4,5",1,1,1,1,1
chr1,2547105,2547107,4,"1,3,4,5",1,0,1,1,1
chr1,2547107,2547211,5,"1,2,3,4,5",1,1,1,1,1
chr1,2547211,2547243,4,"2,3,4,5",0,1,1,1,1
chr1,2547700,2547815,3,"1,4,5",1,0,0,1,1
chr1,2547815,2547946,4,"1,3,4,5",1,0,1,1,1
chr1,2548068,2548074,3,"3,4,5",0,0,1,1,1
chr1,2548074,2548239,2,"3,5",0,0,1,0,1
chr1,2555571,2555669,2,"4,5",0,0,0,1,1
chr1,2555669,2555744,3,"1,4,5",1,0,0,1,1
chr1,2555744,2556064,4,"1,2,4,5",1,1,0,1,1
chr1,2556064,2556158,3,"1,4,5",1,0,0,1,1
chr1,2556158,2556270,3,"1,3,5",1,0,1,0,1
chr1,2556270,2556287,4,"1,2,3,5",1,1,1,0,1
chr1,2556287,2556582,3,"2,3,5",0,1,1,0,1
chr1,2556582,2556590,2,"2,5",0,1,0,0,1
chr1,2576589,2576775,3,"1,2,5",1,1,0,0,1
chr1,2576775,2576822,2,"1,5",1,0,0,0,1
chr1,2577021,2577258,2,"1,5",1,0,0,0,1
chr1,2577661,2577982,2,"4,5",0,0,0,1,1
chr1,2578207,2578233,2,"4,5",0,0,0,1,1
chr1,2578233,2578249,3,"1,4,5",1,0,0,1,1
chr1,2578249,2578292,4,"1,3,4,5",1,0,1,1,1
chr1,2578292,2578603,5,"1,2,3,4,5",1,1,1,1,1
chr1,2578603,2578612,4,"1,2,3,5",1,1,1,0,1
chr1,2578612,2578673,3,"1,3,5",1,0,1,0,1
chr1,2578673,2578723,2,"1,5",1,0,0,0,1
chr1,2585276,2585313,2,"2,5",0,1,0,0,1
chr1,2585313,2585538,3,"1,2,5",1,1,0,0,1
chr1,2585538,2585729,2,"1,5",1,0,0,0,1
chr1,2586295,2586346,2,"1,5",1,0,0,0,1
chr1,2586346,2586350,3,"1,3,5",1,0,1,0,1
chr1,2586350,2586366,4,"1,2,3,5",1,1,1,0,1
chr1,2586366,2586670,5,"1,2,3,4,5",1,1,1,1,1
chr1,2586670,2586680,4,"1,3,4,5",1,0,1,1,1
chr1,2586680,2586762,3,"3,4,5",0,0,1,1,1
chr1,2586762,2586770,2,"3,5",0,0,1,0,1
chr1,2586987,2587146,2,"1,5",1,0,0,0,1
chr1,2642441,2642837,2,"4,5",0,0,0,1,1
chr1,2643015,2643060,2,"3,5",0,0,1,0,1
chr1,2643060,2643158,3,"2,3,5",0,1,1,0,1
chr1,2643158,2643162,4,"2,3,4,5",0,1,1,1,1
chr1,2643162,2643322,5,"1,2,3,4,5",1,1,1,1,1
chr1,2643322,2643380,3,"2,3,5",0,1,1,0,1
chr1,2643380,2643439,2,"3,5",0,0,1,0,1
chr1,3624491,3624609,2,"1,5",1,0,0,0,1
chr1,3624609,3624907,3,"1,4,5",1,0,0,1,1
chr1,3624907,3625005,2,"4,5",0,0,0,1,1
chr1,3652249,3652336,2,"1,5",1,0,0,0,1
chr1,3652336,3652358,3,"1,2,5",1,1,0,0,1
chr1,3652358,3652656,4,"1,2,4,5",1,1,0,1,1
chr1,3652656,3652665,3,"1,4,5",1,0,0,1,1
chr1,3652665,3652754,2,"4,5",0,0,0,1,1
chr1,3656713,3657302,2,"1,5",1,0,0,0,1
chr1,3666429,3666833,2,"1,5",1,0,0,0,1
chr1,3667283,3667600,2,"1,5",1,0,0,0,1
chr1,3747227,3747611,2,"4,5",0,0,0,1,1
chr1,3772005,3772078,2,"4,5",0,0,0,1,1
chr1,3772078,3772175,3,"1,4,5",1,0,0,1,1
chr1,3772175,3772348,4,"1,2,4,5",1,1,0,1,1
chr1,3772348,3772494,3,"1,2,5",1,1,0,0,1
chr1,3772494,3772495,2,"2,5",0,1,0,0,1
chr1,3772741,3772981,2,"1,5",1,0,0,0,1
chr1,3857047,3857102,2,"2,5",0,1,0,0,1
chr1,3857102,3857176,3,"1,2,5",1,1,0,0,1
chr1,3857176,3857367,4,"1,2,3,5",1,1,1,0,1
chr1,3857367,3857518,3,"1,3,5",1,0,1,0,1
chr1,3857518,3857600,2,"3,5",0,0,1,0,1
chr1,3900000,3900082,3,"1,2,5",1,1,0,0,1
chr1,3900082,3900186,4,"1,2,3,5",1,1,1,0,1
chr1,3900186,3900221,3,"1,3,5",1,0,1,0,1
chr1,3900221,3900504,2,"3,5",0,0,1,0,1
chr1,3900504,3900715,3,"3,4,5",0,0,1,1,1
chr1,3900715,3900889,2,"4,5",0,0,0,1,1
chr1,3900889,3900900,3,"1,4,5",1,0,0,1,1
chr1,3900900,3901305,2,"1,5",1,0,0,0,1
chr1,5991970,5992034,2,"1,5",1,0,0,0,1
chr1,5992034,5992354,3,"1,2,5",1,1,0,0,1
chr1,5992354,5992586,2,"1,5",1,0,0,0,1
chr1,6199406,6199529,2,"1,5",1,0,0,0,1
chr1,6199529,6199897,3,"1,3,5",1,0,1,0,1
chr1,6205236,6205543,2,"4,5",0,0,0,1,1
chr1,6205876,6205954,2,"4,5",0,0,0,1,1
chr1,6205954,6205988,3,"3,4,5",0,0,1,1,1
chr1,6205988,6205996,4,"1,3,4,5",1,0,1,1,1
chr1,6205996,6206272,5,"1,2,3,4,5",1,1,1,1,1
chr1,6206272,6206316,4,"1,2,3,5",1,1,1,0,1
chr1,6206316,6206378,3,"1,3,5",1,0,1,0,1
chr1,6206378,6206498,2,"1,5",1,0,0,0,1
chr1,6235870,6235985,2,"4,5",0,0,0,1,1
chr1,6235985,6236257,3,"1,4,5",1,0,0,1,1
chr1,6245098,6245434,4,"1,3,4,5",1,0,1,1,1
chr1,6245434,6245440,3,"1,4,5",1,0,0,1,1
chr1,6245440,6245478,2,"1,5",1,0,0,0,1
chr1,6246749,6247017,4,"1,3,4,5",1,0,1,1,1
chr1,6259947,6260302,2,"1,5",1,0,0,0,1
chr1,6260462,6260532,2,"1,5",1,0,0,0,1
chr1,6260532,6260558,3,"1,2,5",1,1,0,0,1
chr1,6260558,6260809,4,"1,2,4,5",1,1,0,1,1
chr1,6260809,6260852,3,"2,4,5",0,1,0,1,1
chr1,6260852,6260896,2,"4,5",0,0,0,1,1
chr1,6260999,6261319,2,"2,5",0,1,0,0,1
chr1,6393187,6393449,2,"4,5",0,0,0,1,1
chr1,6393449,6393459,3,"2,4,5",0,1,0,1,1
chr1,6393459,6393769,4,"1,2,4,5",1,1,0,1,1
chr1,6393769,6393865,3,"1,4,5",1,0,0,1,1
chr1,6393865,6393875,2,"1,5",1,0,0,0,1
chr1,6414299,6414715,2,"1,5",1,0,0,0,1
chr1,6554324,6554358,2,"2,5",0,1,0,0,1
chr1,6554358,6554389,3,"1,2,5",1,1,0,0,1
chr1,6554389,6554774,4,"1,2,4,5",1,1,0,1,1
chr1,6554774,6554785,3,"2,4,5",0,1,0,1,1
chr1,6554785,6554846,2,"2,5",0,1,0,0,1
chr1,6579752,6579764,2,"1,5",1,0,0,0,1
chr1,6579764,6579767,3,"1,4,5",1,0,0,1,1
chr1,6579767,6580160,4,"1,3,4,5",1,0,1,1,1
chr1,6580160,6580367,3,"1,3,5",1,0,1,0,1
chr1,6580367,6580390,2,"3,5",0,0,1,0,1
chr1,6613022,6613333,2,"3,5",0,0,1,0,1
chr1,6613333,6613379,3,"1,3,5",1,0,1,0,1
chr1,6613379,6613403,2,"1,5",1,0,0,0,1
chr1,6613403,6613407,3,"1,2,5",1,1,0,0,1
chr1,6613407,6613723,4,"1,2,4,5",1,1,0,1,1
chr1,6613723,6613892,3,"1,4,5",1,0,0,1,1
chr1,6624919,6625203,2,"4,5",0,0,0,1,1
chr1,6625203,6625315,3,"1,4,5",1,0,0,1,1
chr1,6625315,6625619,2,"1,5",1,0,0,0,1
chr1,6784457,6784662,3,"3,4,5",0,0,1,1,1
chr1,6784662,6784678,4,"2,3,4,5",0,1,1,1,1
chr1,6784678,6784849,5,"1,2,3,4,5",1,1,1,1,1
chr1,6784849,6784851,4,"1,2,3,5",1,1,1,0,1
chr1,6784851,6785107,3,"1,2,5",1,1,0,0,1
chr1,6785107,6785181,4,"1,2,4,5",1,1,0,1,1
chr1,6785181,6785299,3,"1,4,5",1,0,0,1,1
chr1,6785299,6785503,2,"4,5",0,0,0,1,1
chr1,7771071,7771084,2,"4,5",0,0,0,1,1
chr1,7771084,7771089,3,"3,4,5",0,0,1,1,1
chr1,7771089,7771378,4,"1,3,4,5",1,0,1,1,1
chr1,7771378,7771467,5,"1,2,3,4,5",1,1,1,1,1
chr1,7771467,7771508,4,"1,2,3,5",1,1,1,0,1
chr1,7771508,7771698,3,"1,2,5",1,1,0,0,1
chr1,7771698,7771804,2,"1,5",1,0,0,0,1
chr1,7783858,7783859,2,"1,5",1,0,0,0,1
chr1,7783859,7784274,3,"1,2,5",1,1,0,0,1
chr1,7784274,7784329,2,"2,5",0,1,0,0,1
chr1,7953993,7954159,2,"1,5",1,0,0,0,1
chr1,7954159,7954286,3,"1,4,5",1,0,0,1,1
chr1,7954286,7954555,4,"1,2,4,5",1,1,0,1,1
chr1,7954555,7954606,3,"1,2,5",1,1,0,0,1
chr1,7954606,7954611,2,"1,5",1,0,0,0,1
chr1,7961361,7961407,2,"4,5",0,0,0,1,1
chr1,7961407,7961539,3,"1,4,5",1,0,0,1,1
chr1,7961539,7961757,4,"1,2,4,5",1,1,0,1,1
chr1,7961757,7961823,3,"1,2,5",1,1,0,0,1
chr1,7961823,7961859,2,"2,5",0,1,0,0,1
chr1,8423626,8423694,2,"1,5",1,0,0,0,1
chr1,8423908,8424324,2,"1,5",1,0,0,0,1
chr1,8427413,8427420,2,"4,5",0,0,0,1,1
chr1,8427420,8427809,3,"3,4,5",0,0,1,1,1
chr1,8427809,8427844,2,"3,5",0,0,1,0,1
chr1,8877941,8878204,4,"1,2,4,5",1,1,0,1,1
chr1,8878500,8878503,2,"4,5",0,0,0,1,1
chr1,8878912,8879045,2,"3,5",0,0,1,0,1
chr1,8879045,8879066,3,"1,3,5",1,0,1,0,1
chr1,8879066,8879219,4,"1,3,4,5",1,0,1,1,1
chr1,8879219,8879268,3,"3,4,5",0,0,1,1,1
chr1,8879268,8879336,2,"3,5",0,0,1,0,1
chr1,9010783,9011179,2,"4,5",0,0,0,1,1
chr1,9037214,9037762,2,"1,5",1,0,0,0,1
chr1,9078251,9078347,2,"1,5",1,0,0,0,1
chr1,9078347,9078467,3,"1,2,5",1,1,0,0,1
chr1,9182092,9182176,2,"1,5",1,0,0,0,1
chr1,9182176,9182189,3,"1,2,5",1,1,0,0,1
chr1,9182189,9182496,4,"1,2,4,5",1,1,0,1,1
chr1,9182496,9182508,3,"1,4,5",1,0,0,1,1
chr1,9182508,9182585,2,"4,5",0,0,0,1,1
chr1,9234282,9234375,2,"2,5",0,1,0,0,1
chr1,9234375,9234526,3,"2,3,5",0,1,1,0,1
chr1,9234526,9234602,4,"2,3,4,5",0,1,1,1,1
chr1,9234602,9234644,3,"3,4,5",0,0,1,1,1
chr1,9234644,9234758,2,"3,5",0,0,1,0,1
chr1,9234758,9234799,3,"1,3,5",1,0,1,0,1
chr1,9234799,9234853,2,"1,5",1,0,0,0,1
chr1,9234853,9234945,3,"1,2,5",1,1,0,0,1
chr1,9234945,9235173,2,"2,5",0,1,0,0,1
chr1,9428743,9428810,2,"1,5",1,0,0,0,1
chr1,9428810,9428815,3,"1,3,5",1,0,1,0,1
chr1,9428815,9428997,4,"1,3,4,5",1,0,1,1,1
chr1,9428997,9429159,5,"1,2,3,4,5",1,1,1,1,1
chr1,9429159,9429211,4,"2,3,4,5",0,1,1,1,1
