chrom,start,end,num,list,ENCFF081XKA_EP300_sorted.bed,ENCFF264QTE_EP300_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,109240664,109240948,2,"2,3",0,1,1
chr1,109246329,109246355,2,"1,3",1,0,1
chr1,109246355,109246472,3,"1,2,3",1,1,1
chr1,109246472,109246508,2,"1,3",1,0,1
chr1,109274769,109274794,2,"1,3",1,0,1
chr1,109274794,109275078,3,"1,2,3",1,1,1
chr1,109275078,109275105,2,"1,3",1,0,1
chr1,109725620,109725744,2,"2,3",0,1,1
chr1,110166038,110166322,2,"2,3",0,1,1
chr1,110383388,110383724,2,"1,3",1,0,1
chr1,112464524,112464860,2,"1,3",1,0,1
chr1,112904204,112904488,2,"2,3",0,1,1
chr1,113388674,113388697,2,"1,3",1,0,1
chr1,113388697,113388981,3,"1,2,3",1,1,1
chr1,113388981,113389010,2,"1,3",1,0,1
chr1,116373112,116373448,2,"1,3",1,0,1
chr1,116508420,116508704,2,"2,3",0,1,1
chr1,116509121,116509405,2,"2,3",0,1,1
chr1,116666786,116667122,2,"1,3",1,0,1
chr1,116674750,116675086,2,"1,3",1,0,1
chr1,117590292,117590328,2,"1,3",1,0,1
chr1,117590328,117590612,3,"1,2,3",1,1,1
chr1,117590612,117590613,2,"1,3",1,0,1
chr1,144412515,144412586,2,"1,3",1,0,1
chr1,144412586,144412851,3,"1,2,3",1,1,1
chr1,144412851,144412870,2,"2,3",0,1,1
chr1,145281119,145281403,2,"2,3",0,1,1
chr1,145711247,145711253,2,"1,3",1,0,1
chr1,145711253,145711537,3,"1,2,3",1,1,1
chr1,145711537,145711583,2,"1,3",1,0,1
chr1,145740262,145740321,2,"2,3",0,1,1
chr1,145740321,145740546,3,"1,2,3",1,1,1
chr1,145740546,145740657,2,"1,3",1,0,1
chr1,145891166,145891170,2,"2,3",0,1,1
chr1,145891170,145891450,3,"1,2,3",1,1,1
chr1,145891450,145891506,2,"1,3",1,0,1
chr1,145892139,145892144,2,"2,3",0,1,1
chr1,145892144,145892423,3,"1,2,3",1,1,1
chr1,145892423,145892456,2,"1,3",1,0,1
chr1,145996499,145996808,2,"1,3",1,0,1
chr1,146052014,146052350,2,"1,3",1,0,1
chr1,147030402,147030686,2,"2,3",0,1,1
chr1,147172393,147172677,2,"2,3",0,1,1
chr1,147242450,147242986,2,"1,3",1,0,1
chr1,148388448,148388784,2,"1,3",1,0,1
chr1,148522559,148522895,2,"1,3",1,0,1
chr1,149900114,149900307,2,"1,3",1,0,1
chr1,149939300,149939636,2,"1,3",1,0,1
chr1,150067136,150067472,2,"1,3",1,0,1
chr1,150293666,150294002,2,"1,3",1,0,1
chr1,150364662,150364992,2,"1,3",1,0,1
chr1,150926344,150926772,2,"1,3",1,0,1
chr1,151047805,151048141,2,"1,3",1,0,1
chr1,151058661,151058980,2,"1,3",1,0,1
chr1,151070652,151071195,2,"1,3",1,0,1
chr1,151400069,151400206,2,"1,3",1,0,1
chr1,151606461,151606838,2,"1,3",1,0,1
chr1,151739961,151740004,2,"1,3",1,0,1
chr1,151740004,151740288,3,"1,2,3",1,1,1
chr1,151740288,151740297,2,"1,3",1,0,1
chr1,152111266,152111602,2,"1,3",1,0,1
chr1,152392916,152392919,2,"1,3",1,0,1
chr1,152392919,152393203,3,"1,2,3",1,1,1
chr1,152393203,152393252,2,"1,3",1,0,1
chr1,152743173,152743446,2,"2,3",0,1,1
chr1,152906319,152906605,2,"1,3",1,0,1
chr1,152908282,152908613,2,"1,3",1,0,1
chr1,153365379,153365478,2,"1,3",1,0,1
chr1,153365478,153365715,3,"1,2,3",1,1,1
chr1,153365715,153365762,2,"2,3",0,1,1
chr1,153566167,153566243,2,"1,3",1,0,1
chr1,153566536,153566872,2,"1,3",1,0,1
chr1,153608200,153608268,2,"1,3",1,0,1
chr1,153608268,153608536,3,"1,2,3",1,1,1
chr1,153608536,153608552,2,"2,3",0,1,1
chr1,153608836,153608889,2,"1,3",1,0,1
chr1,153608889,153609376,3,"1,2,3",1,1,1
chr1,153609376,153609377,2,"2,3",0,1,1
chr1,153708515,153708799,2,"2,3",0,1,1
chr1,153922767,153923103,2,"1,3",1,0,1
chr1,153967396,153967934,2,"1,3",1,0,1
chr1,154190579,154190863,2,"2,3",0,1,1
chr1,154418095,154418277,2,"1,3",1,0,1
chr1,154418277,154418561,3,"1,2,3",1,1,1
chr1,154418561,154418618,2,"1,3",1,0,1
chr1,154558936,154559272,2,"1,3",1,0,1
chr1,154936804,154937293,2,"2,3",0,1,1
chr1,155001070,155001085,2,"1,3",1,0,1
chr1,155001085,155001369,3,"1,2,3",1,1,1
chr1,155001369,155001406,2,"1,3",1,0,1
chr1,155017225,155017509,2,"2,3",0,1,1
chr1,155117654,155117743,2,"1,3",1,0,1
chr1,155117743,155117986,3,"1,2,3",1,1,1
chr1,155117986,155118027,2,"2,3",0,1,1
chr1,155127685,155127988,2,"1,3",1,0,1
chr1,155177237,155177573,2,"1,3",1,0,1
chr1,155262359,155262695,2,"1,3",1,0,1
chr1,155562914,155563250,2,"1,3",1,0,1
chr1,156471603,156471939,2,"1,3",1,0,1
chr1,156616553,156616594,2,"1,3",1,0,1
chr1,156616594,156616729,3,"1,2,3",1,1,1
chr1,156616729,156616754,2,"1,3",1,0,1
chr1,156692639,156692689,2,"1,3",1,0,1
chr1,156692689,156692973,3,"1,2,3",1,1,1
chr1,156692973,156692975,2,"1,3",1,0,1
chr1,157132106,157132442,2,"1,3",1,0,1
chr1,157132661,157132945,2,"2,3",0,1,1
chr1,157234896,157235180,2,"2,3",0,1,1
chr1,159900426,159900977,2,"1,3",1,0,1
chr1,159924473,159924809,2,"1,3",1,0,1
chr1,159945986,159946322,2,"1,3",1,0,1
chr1,159971066,159971402,2,"1,3",1,0,1
chr1,161083535,161083544,2,"2,3",0,1,1
chr1,161083544,161083819,3,"1,2,3",1,1,1
chr1,161083819,161083880,2,"1,3",1,0,1
chr1,161766208,161766492,2,"2,3",0,1,1
chr1,162152359,162152417,2,"2,3",0,1,1
chr1,162152417,162152535,3,"1,2,3",1,1,1
chr1,162152535,162152643,2,"2,3",0,1,1
chr1,162159497,162159554,2,"1,3",1,0,1
chr1,162159554,162159750,3,"1,2,3",1,1,1
chr1,162159750,162159789,2,"1,3",1,0,1
chr1,164598771,164599077,2,"1,3",1,0,1
chr1,164772795,164772806,2,"2,3",0,1,1
chr1,164772806,164773079,3,"1,2,3",1,1,1
chr1,164773079,164773142,2,"1,3",1,0,1
chr1,166603405,166603689,2,"2,3",0,1,1
chr1,168907023,168907158,2,"1,3",1,0,1
chr1,168907158,168907442,3,"1,2,3",1,1,1
chr1,168907442,168907560,2,"1,3",1,0,1
chr1,168939546,168939830,2,"2,3",0,1,1
chr1,172358947,172358977,2,"2,3",0,1,1
chr1,172358977,172359231,3,"1,2,3",1,1,1
chr1,172359231,172359313,2,"1,3",1,0,1
chr1,172746390,172746493,2,"1,3",1,0,1
chr1,172746493,172746726,3,"1,2,3",1,1,1
chr1,172746726,172746777,2,"2,3",0,1,1
chr1,173824650,173824986,2,"1,3",1,0,1
chr1,178655746,178655770,2,"1,3",1,0,1
chr1,178655770,178656054,3,"1,2,3",1,1,1
chr1,178656054,178656082,2,"1,3",1,0,1
chr1,179017101,179017385,2,"2,3",0,1,1
chr1,179930971,179931005,2,"1,3",1,0,1
chr1,179931005,179931269,3,"1,2,3",1,1,1
chr1,180555471,180555755,2,"2,3",0,1,1
chr1,182088047,182088331,2,"2,3",0,1,1
chr1,182181149,182181485,2,"1,3",1,0,1
chr1,182633711,182633835,2,"2,3",0,1,1
chr1,182633835,182633995,3,"1,2,3",1,1,1
chr1,182633995,182634171,2,"1,3",1,0,1
chr1,182953423,182953759,2,"1,3",1,0,1
chr1,183023803,183024139,2,"1,3",1,0,1
chr1,184408578,184408607,2,"2,3",0,1,1
chr1,184408607,184408862,3,"1,2,3",1,1,1
chr1,184408862,184408943,2,"1,3",1,0,1
chr1,185646220,185646268,2,"1,3",1,0,1
chr1,185646268,185646552,3,"1,2,3",1,1,1
chr1,185646552,185646556,2,"1,3",1,0,1
chr1,188706819,188706858,2,"2,3",0,1,1
chr1,188706858,188707103,3,"1,2,3",1,1,1
chr1,188707103,188707181,2,"1,3",1,0,1
chr1,188713337,188713371,2,"2,3",0,1,1
chr1,188713371,188713621,3,"1,2,3",1,1,1
chr1,188713621,188713707,2,"1,3",1,0,1
chr1,189774762,189774768,2,"1,3",1,0,1
chr1,189774768,189775052,3,"1,2,3",1,1,1
chr1,189775052,189775098,2,"1,3",1,0,1
chr1,191153020,191153356,2,"1,3",1,0,1
chr1,198669139,198669147,2,"1,3",1,0,1
chr1,198669147,198669431,3,"1,2,3",1,1,1
chr1,198669431,198669454,2,"1,3",1,0,1
chr1,200016790,200016851,2,"1,3",1,0,1
chr1,200016851,200017036,3,"1,2,3",1,1,1
chr1,200017036,200017135,2,"2,3",0,1,1
chr1,200669351,200669687,2,"1,3",1,0,1
chr1,200738881,200739217,2,"1,3",1,0,1
chr1,201275255,201275329,2,"1,3",1,0,1
chr1,201275329,201275591,3,"1,2,3",1,1,1
chr1,201275591,201275613,2,"2,3",0,1,1
chr1,201283214,201283550,2,"1,3",1,0,1
chr1,201285986,201286234,2,"1,3",1,0,1
chr1,201353185,201353672,2,"2,3",0,1,1
chr1,201512217,201512501,2,"2,3",0,1,1
chr1,201517657,201517675,2,"1,3",1,0,1
chr1,201517675,201517959,3,"1,2,3",1,1,1
chr1,201517959,201517993,2,"1,3",1,0,1
chr1,201713514,201713826,2,"1,3",1,0,1
chr1,201916671,201917216,2,"1,3",1,0,1
chr1,202008189,202008205,2,"1,3",1,0,1
chr1,202008205,202008489,3,"1,2,3",1,1,1
chr1,202008489,202008493,2,"1,3",1,0,1
chr1,202018777,202018836,2,"1,3",1,0,1
chr1,202018836,202018947,3,"1,2,3",1,1,1
chr1,202018947,202018959,2,"1,3",1,0,1
chr1,202023107,202023139,2,"2,3",0,1,1
chr1,202023139,202023314,3,"1,2,3",1,1,1
chr1,202023314,202023391,2,"2,3",0,1,1
chr1,202034819,202034849,2,"1,3",1,0,1
chr1,202034849,202035133,3,"1,2,3",1,1,1
chr1,202035133,202035155,2,"1,3",1,0,1
chr1,202046321,202046358,2,"1,3",1,0,1
chr1,202046358,202046499,3,"1,2,3",1,1,1
chr1,202046499,202046530,2,"1,3",1,0,1
chr1,202047028,202047065,2,"1,3",1,0,1
chr1,202047065,202047349,3,"1,2,3",1,1,1
chr1,202047349,202047364,2,"1,3",1,0,1
chr1,202132091,202132375,2,"2,3",0,1,1
chr1,202132596,202132659,2,"2,3",0,1,1
chr1,202132659,202132750,3,"1,2,3",1,1,1
chr1,202132750,202132880,2,"2,3",0,1,1
chr1,202142936,202143272,2,"1,3",1,0,1
chr1,202589275,202589559,2,"2,3",0,1,1
chr1,202812479,202812763,2,"2,3",0,1,1
chr1,203089333,203089377,2,"1,3",1,0,1
chr1,203089377,203089661,3,"1,2,3",1,1,1
chr1,203089661,203089722,2,"1,3",1,0,1
chr1,203169700,203170032,2,"1,3",1,0,1
chr1,203316678,203316687,2,"1,3",1,0,1
chr1,203316687,203316971,3,"1,2,3",1,1,1
chr1,203316971,203317014,2,"1,3",1,0,1
chr1,203861424,203861708,2,"2,3",0,1,1
chr1,203996120,203996404,2,"2,3",0,1,1
chr1,204001560,204001841,2,"2,3",0,1,1
chr1,204226346,204226682,2,"1,3",1,0,1
chr1,204286854,204287005,2,"2,3",0,1,1
chr1,204380508,204380594,2,"1,3",1,0,1
chr1,204380594,204380684,3,"1,2,3",1,1,1
chr1,204380684,204380817,2,"1,3",1,0,1
chr1,204411435,204411771,2,"1,3",1,0,1
chr1,204417094,204417123,2,"1,3",1,0,1
chr1,204417123,204417407,3,"1,2,3",1,1,1
chr1,204417407,204417430,2,"1,3",1,0,1
chr1,204417648,204417932,2,"2,3",0,1,1
chr1,204565666,204565950,3,"1,2,3",1,1,1
chr1,204565950,204566002,2,"1,3",1,0,1
chr1,205664363,205664699,2,"1,3",1,0,1
chr1,205798679,205798963,2,"2,3",0,1,1
chr1,206694600,206694884,2,"2,3",0,1,1
chr1,206865124,206865408,2,"2,3",0,1,1
chr1,206895342,206895361,2,"1,3",1,0,1
chr1,206895361,206895645,3,"1,2,3",1,1,1
chr1,206895645,206895678,2,"1,3",1,0,1
chr1,207240758,207240990,2,"2,3",0,1,1
chr1,207241557,207241841,2,"2,3",0,1,1
chr1,207316119,207316403,2,"2,3",0,1,1
chr1,207316592,207316651,2,"1,3",1,0,1
chr1,207316651,207316928,3,"1,2,3",1,1,1
chr1,207316928,207316935,2,"2,3",0,1,1
chr1,207321264,207321548,2,"2,3",0,1,1
chr1,211928272,211928359,2,"1,3",1,0,1
chr1,211928359,211928608,3,"1,2,3",1,1,1
chr1,211928608,211928643,2,"2,3",0,1,1
chr1,215566934,215567050,2,"2,3",0,1,1
chr1,215567050,215567386,3,"1,2,3",1,1,1
chr1,215567386,215567440,2,"2,3",0,1,1
chr1,217630941,217631187,2,"1,3",1,0,1
chr1,217631187,217631277,3,"1,2,3",1,1,1
chr1,217631277,217631471,2,"2,3",0,1,1
chr1,218025488,218025824,2,"1,3",1,0,1
chr1,221839868,221839893,2,"1,3",1,0,1
chr1,221839893,221840177,3,"1,2,3",1,1,1
chr1,221840177,221840204,2,"1,3",1,0,1
chr1,221845914,221846198,2,"2,3",0,1,1
chr1,223212607,223212612,2,"1,3",1,0,1
chr1,223212612,223212896,3,"1,2,3",1,1,1
chr1,223212896,223212926,2,"1,3",1,0,1
chr1,224204900,224205174,2,"2,3",0,1,1
chr1,224205406,224205635,2,"2,3",0,1,1
chr1,224305782,224306066,2,"2,3",0,1,1
chr1,228739421,228739705,2,"2,3",0,1,1
chr1,228861119,228861403,2,"2,3",0,1,1
chr1,229093616,229093876,2,"2,3",0,1,1
chr1,229221249,229221804,2,"1,3",1,0,1
chr1,230825130,230825414,2,"2,3",0,1,1
chr1,234612708,234612992,2,"2,3",0,1,1
chr1,234639039,234639323,2,"2,3",0,1,1
chr1,234655624,234655796,2,"2,3",0,1,1
chr1,234724133,234724417,2,"2,3",0,1,1
chr1,234957407,234957690,3,"1,2,3",1,1,1
chr1,234957690,234957703,2,"1,3",1,0,1
chr1,234960832,234961005,2,"2,3",0,1,1
chr1,234975081,234975205,2,"1,3",1,0,1
chr1,234975205,234975296,3,"1,2,3",1,1,1
chr1,234975296,234975417,2,"1,3",1,0,1
chr1,235296029,235296045,2,"2,3",0,1,1
chr1,235296045,235296313,3,"1,2,3",1,1,1
chr1,235296313,235296381,2,"1,3",1,0,1
chr1,246503422,246503448,2,"1,3",1,0,1
chr1,246503448,246503732,3,"1,2,3",1,1,1
chr1,246503732,246503758,2,"1,3",1,0,1
chr1,246608807,246608856,2,"1,3",1,0,1
chr1,246608856,246609140,3,"1,2,3",1,1,1
chr1,246609140,246609143,2,"1,3",1,0,1
chr1,247103921,247104257,2,"1,3",1,0,1
chr10,436118,436146,2,"1,3",1,0,1
chr10,436146,436430,3,"1,2,3",1,1,1
chr10,436430,436454,2,"1,3",1,0,1
chr10,970417,970701,2,"2,3",0,1,1
chr10,1359479,1359751,2,"1,3",1,0,1
chr10,3748101,3748373,2,"1,3",1,0,1
chr10,4663110,4663122,2,"1,3",1,0,1
chr10,4663122,4663406,3,"1,2,3",1,1,1
chr10,4663406,4663446,2,"1,3",1,0,1
chr10,5488774,5489058,2,"2,3",0,1,1
chr10,5493750,5493798,2,"1,3",1,0,1
chr10,5493798,5493972,3,"1,2,3",1,1,1
chr10,5493972,5494009,2,"2,3",0,1,1
chr10,5496655,5496695,2,"1,3",1,0,1
chr10,5496695,5496841,3,"1,2,3",1,1,1
chr10,5496841,5496882,2,"1,3",1,0,1
chr10,5503500,5503590,2,"1,3",1,0,1
chr10,5503590,5503751,3,"1,2,3",1,1,1
chr10,5503751,5503836,2,"1,3",1,0,1
chr10,5518129,5518256,2,"1,3",1,0,1
chr10,5518256,5518451,3,"1,2,3",1,1,1
chr10,5518451,5518540,2,"2,3",0,1,1
chr10,5585086,5585370,2,"2,3",0,1,1
chr10,5623212,5623548,2,"1,3",1,0,1
chr10,5685190,5685526,2,"1,3",1,0,1
chr10,5715878,5716214,2,"1,3",1,0,1
chr10,6279463,6279783,2,"1,3",1,0,1
chr10,6296803,6297028,2,"1,3",1,0,1
chr10,6298001,6298011,2,"2,3",0,1,1
chr10,6298011,6298179,3,"1,2,3",1,1,1
chr10,6298179,6298285,2,"2,3",0,1,1
chr10,8054272,8054514,2,"1,3",1,0,1
chr10,8163931,8164267,2,"1,3",1,0,1
chr10,8407467,8407803,2,"1,3",1,0,1
chr10,8407904,8408188,2,"2,3",0,1,1
chr10,8616300,8616636,2,"1,3",1,0,1
chr10,8628387,8628671,2,"2,3",0,1,1
chr10,8726025,8726052,2,"1,3",1,0,1
chr10,8726052,8726291,3,"1,2,3",1,1,1
chr10,8726291,8726386,2,"1,3",1,0,1
chr10,11687319,11687363,2,"1,3",1,0,1
chr10,11687363,11687647,3,"1,2,3",1,1,1
chr10,11687647,11687655,2,"1,3",1,0,1
chr10,11687815,11688118,2,"1,3",1,0,1
chr10,11831660,11831944,2,"2,3",0,1,1
chr10,12720527,12720599,2,"2,3",0,1,1
chr10,13587308,13587644,2,"1,3",1,0,1
chr10,14878172,14878749,2,"1,3",1,0,1
chr10,17388235,17388279,2,"1,3",1,0,1
chr10,17388279,17388563,3,"1,2,3",1,1,1
chr10,17388563,17388571,2,"1,3",1,0,1
chr10,22683953,22684109,2,"2,3",0,1,1
chr10,23081098,23081457,2,"1,3",1,0,1
chr10,25384676,25384788,2,"1,3",1,0,1
chr10,25384788,25384927,3,"1,2,3",1,1,1
chr10,25384927,25385012,2,"1,3",1,0,1
chr10,28685229,28685267,2,"2,3",0,1,1
chr10,28685267,28685513,3,"1,2,3",1,1,1
chr10,28685513,28685543,2,"1,3",1,0,1
chr10,30365188,30365524,2,"1,3",1,0,1
chr10,30605839,30606123,2,"2,3",0,1,1
chr10,32197629,32197725,2,"2,3",0,1,1
chr10,32197725,32197809,3,"1,2,3",1,1,1
chr10,32197809,32197913,2,"2,3",0,1,1
chr10,33290572,33291055,2,"2,3",0,1,1
chr10,33291264,33291548,2,"2,3",0,1,1
chr10,33335881,33336217,2,"1,3",1,0,1
chr10,35090519,35090803,2,"2,3",0,1,1
chr10,35126696,35127032,2,"1,3",1,0,1
chr10,43350144,43350219,2,"1,3",1,0,1
chr10,43350219,43350480,3,"1,2,3",1,1,1
chr10,43350480,43350503,2,"2,3",0,1,1
chr10,43375531,43375975,2,"2,3",0,1,1
chr10,43854191,43854475,2,"2,3",0,1,1
chr10,44259138,44259474,2,"1,3",1,0,1
chr10,44301144,44301166,2,"1,3",1,0,1
chr10,44301166,44301450,3,"1,2,3",1,1,1
chr10,44301450,44301480,2,"1,3",1,0,1
chr10,44492676,44492697,2,"1,3",1,0,1
chr10,44492697,44492981,3,"1,2,3",1,1,1
chr10,44492981,44493012,2,"1,3",1,0,1
chr10,46033662,46033905,2,"1,3",1,0,1
chr10,46558625,46558993,2,"1,3",1,0,1
chr10,48288062,48288072,2,"1,3",1,0,1
chr10,48288072,48288184,3,"1,2,3",1,1,1
chr10,48288184,48288186,2,"2,3",0,1,1
chr10,49419030,49419080,2,"1,3",1,0,1
chr10,49419080,49419364,3,"1,2,3",1,1,1
chr10,49419364,49419366,2,"1,3",1,0,1
chr10,49734617,49734942,2,"1,3",1,0,1
chr10,50470886,50471222,2,"1,3",1,0,1
chr10,50600261,50600518,3,"1,2,3",1,1,1
chr10,50600518,50600524,2,"2,3",0,1,1
chr10,51699494,51700076,2,"1,3",1,0,1
chr10,59965398,59965430,2,"1,3",1,0,1
chr10,61398764,61399080,2,"1,3",1,0,1
chr10,61923386,61923670,2,"2,3",0,1,1
chr10,62112333,62112386,2,"1,3",1,0,1
chr10,62112386,62112669,3,"1,2,3",1,1,1
chr10,62112669,62112670,2,"2,3",0,1,1
chr10,62381795,62382079,2,"2,3",0,1,1
chr10,62384123,62384192,2,"2,3",0,1,1
chr10,63630955,63630981,2,"1,3",1,0,1
chr10,67819878,67820162,2,"2,3",0,1,1
chr10,68153509,68153565,2,"1,3",1,0,1
chr10,68153565,68153845,3,"1,2,3",1,1,1
chr10,68153845,68153849,2,"2,3",0,1,1
chr10,69360705,69360749,2,"1,3",1,0,1
chr10,69360749,69361033,3,"1,2,3",1,1,1
chr10,69361033,69361041,2,"1,3",1,0,1
chr10,69425862,69426146,2,"2,3",0,1,1
chr10,69439382,69439413,2,"1,3",1,0,1
chr10,69439413,69439577,3,"1,2,3",1,1,1
chr10,69439577,69439632,2,"1,3",1,0,1
chr10,69446650,69446911,3,"1,2,3",1,1,1
chr10,69458768,69458829,2,"1,3",1,0,1
chr10,69458829,69459104,3,"1,2,3",1,1,1
chr10,69459104,69459113,2,"2,3",0,1,1
chr10,70874054,70874338,2,"2,3",0,1,1
chr10,71868356,71868543,2,"1,3",1,0,1
chr10,71871310,71871594,2,"2,3",0,1,1
chr10,72272680,72272944,3,"1,2,3",1,1,1
chr10,72272944,72272970,2,"1,3",1,0,1
