chrom,start,end,num,list,ENCFF304EAE_SIN3A_sorted.bed,ENCFF544UFD_SIN3A_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,2643090,2643443,2,"2,3",0,1,1
chr1,3624531,3624981,2,"2,3",0,1,1
chr1,3747041,3747491,2,"2,3",0,1,1
chr1,5992102,5992606,2,"1,3",1,0,1
chr1,6199316,6199766,2,"2,3",0,1,1
chr1,6205797,6206247,2,"2,3",0,1,1
chr1,6235673,6236123,2,"2,3",0,1,1
chr1,6245098,6245172,2,"1,3",1,0,1
chr1,6245172,6245313,3,"1,2,3",1,1,1
chr1,6245313,6245558,2,"1,3",1,0,1
chr1,6393099,6393492,2,"1,3",1,0,1
chr1,6393492,6393603,3,"1,2,3",1,1,1
chr1,6393603,6394162,2,"2,3",0,1,1
chr1,6579873,6580323,2,"2,3",0,1,1
chr1,6613402,6613892,2,"1,3",1,0,1
chr1,6784457,6785096,2,"2,3",0,1,1
chr1,7771186,7771636,2,"2,3",0,1,1
chr1,7961225,7961279,2,"2,3",0,1,1
chr1,7961279,7961783,3,"1,2,3",1,1,1
chr1,7961783,7961877,2,"2,3",0,1,1
chr1,8878865,8879201,2,"2,3",0,1,1
chr1,8879201,8879459,3,"1,2,3",1,1,1
chr1,9182311,9182761,2,"2,3",0,1,1
chr1,9428812,9428928,2,"1,3",1,0,1
chr1,9428928,9429238,3,"1,2,3",1,1,1
chr1,9539300,9539750,2,"2,3",0,1,1
chr1,9588706,9589104,2,"1,3",1,0,1
chr1,9593460,9593469,2,"1,3",1,0,1
chr1,9593469,9593841,3,"1,2,3",1,1,1
chr1,9655051,9655126,2,"2,3",0,1,1
chr1,9943049,9943165,2,"1,3",1,0,1
chr1,9943165,9943553,3,"1,2,3",1,1,1
chr1,9943553,9943583,2,"2,3",0,1,1
chr1,10032563,10032725,2,"1,3",1,0,1
chr1,10032725,10033067,3,"1,2,3",1,1,1
chr1,10033067,10033175,2,"2,3",0,1,1
chr1,10210094,10210544,2,"2,3",0,1,1
chr1,10398573,10398622,2,"1,3",1,0,1
chr1,10398622,10399072,3,"1,2,3",1,1,1
chr1,10399072,10399077,2,"1,3",1,0,1
chr1,10430346,10430360,2,"2,3",0,1,1
chr1,10430360,10430594,3,"1,2,3",1,1,1
chr1,10430594,10430611,2,"2,3",0,1,1
chr1,10472325,10472829,2,"1,3",1,0,1
chr1,10474755,10475089,2,"2,3",0,1,1
chr1,11012856,11013254,2,"2,3",0,1,1
chr1,11273217,11273293,2,"1,3",1,0,1
chr1,11273293,11273721,3,"1,2,3",1,1,1
chr1,11273721,11273743,2,"2,3",0,1,1
chr1,11680948,11680950,2,"2,3",0,1,1
chr1,11680950,11681454,3,"1,2,3",1,1,1
chr1,11681454,11681647,2,"2,3",0,1,1
chr1,11735897,11735987,2,"1,3",1,0,1
chr1,11735987,11736113,3,"1,2,3",1,1,1
chr1,11736113,11736277,2,"1,3",1,0,1
chr1,11803477,11803631,2,"2,3",0,1,1
chr1,11805959,11806024,2,"2,3",0,1,1
chr1,11806024,11806539,3,"1,2,3",1,1,1
chr1,11908082,11908857,2,"1,3",1,0,1
chr1,11934299,11935002,2,"1,3",1,0,1
chr1,11980185,11980217,2,"1,3",1,0,1
chr1,11980217,11980667,3,"1,2,3",1,1,1
chr1,11980667,11980815,2,"1,3",1,0,1
chr1,12059670,12060118,2,"2,3",0,1,1
chr1,12063146,12063264,2,"2,3",0,1,1
chr1,12063264,12063363,3,"1,2,3",1,1,1
chr1,12166823,12167273,2,"2,3",0,1,1
chr1,13700477,13700927,2,"2,3",0,1,1
chr1,13702892,13703339,2,"2,3",0,1,1
chr1,15409368,15409721,2,"1,3",1,0,1
chr1,15526469,15526823,3,"1,2,3",1,1,1
chr1,15526823,15526900,2,"1,3",1,0,1
chr1,15618126,15618150,2,"1,3",1,0,1
chr1,15834312,15835269,2,"1,3",1,0,1
chr1,15835377,15835427,2,"1,3",1,0,1
chr1,15966115,15966565,2,"2,3",0,1,1
chr1,15975374,15975718,2,"2,3",0,1,1
chr1,15975718,15976222,3,"1,2,3",1,1,1
chr1,15976222,15976264,2,"2,3",0,1,1
chr1,16236824,16236971,2,"1,3",1,0,1
chr1,16236971,16237328,3,"1,2,3",1,1,1
chr1,16237328,16237398,2,"2,3",0,1,1
chr1,16367686,16368059,2,"2,3",0,1,1
chr1,16644405,16644442,2,"1,3",1,0,1
chr1,16644442,16644909,3,"1,2,3",1,1,1
chr1,16644909,16645091,2,"2,3",0,1,1
chr1,16904962,16905412,2,"2,3",0,1,1
chr1,17011750,17012182,2,"1,3",1,0,1
chr1,18902896,18903225,2,"2,3",0,1,1
chr1,19251428,19251563,2,"1,3",1,0,1
chr1,19251563,19252013,3,"1,2,3",1,1,1
chr1,19252013,19252132,2,"1,3",1,0,1
chr1,19312063,19312465,2,"2,3",0,1,1
chr1,19597252,19597571,2,"2,3",0,1,1
chr1,20508009,20508456,2,"2,3",0,1,1
chr1,20661258,20661659,3,"1,2,3",1,1,1
chr1,20661659,20661757,2,"1,3",1,0,1
chr1,21293628,21293953,2,"2,3",0,1,1
chr1,21294173,21294323,2,"2,3",0,1,1
chr1,21294358,21294963,2,"1,3",1,0,1
chr1,21295044,21295089,2,"1,3",1,0,1
chr1,22024920,22025374,2,"1,3",1,0,1
chr1,22052495,22053146,2,"2,3",0,1,1
chr1,22451711,22451738,2,"1,3",1,0,1
chr1,22451738,22452442,3,"1,2,3",1,1,1
chr1,22452442,22452470,2,"1,3",1,0,1
chr1,23019172,23019547,2,"2,3",0,1,1
chr1,23168647,23169010,2,"2,3",0,1,1
chr1,23368761,23369040,2,"2,3",0,1,1
chr1,23369040,23369134,3,"1,2,3",1,1,1
chr1,23369134,23369288,2,"1,3",1,0,1
chr1,23554871,23555321,2,"2,3",0,1,1
chr1,23691759,23691820,2,"2,3",0,1,1
chr1,23691820,23692374,3,"1,2,3",1,1,1
chr1,23743570,23743622,2,"1,3",1,0,1
chr1,23743622,23744072,3,"1,2,3",1,1,1
chr1,23744072,23744074,2,"1,3",1,0,1
chr1,23790906,23791356,2,"2,3",0,1,1
chr1,23800473,23801083,2,"2,3",0,1,1
chr1,23868118,23868561,2,"1,3",1,0,1
chr1,23958930,23959598,2,"2,3",0,1,1
chr1,23959762,23960142,2,"1,3",1,0,1
chr1,24744864,24745221,2,"1,3",1,0,1
chr1,24745221,24745358,3,"1,2,3",1,1,1
chr1,24745358,24745652,2,"2,3",0,1,1
chr1,24964901,24965405,2,"2,3",0,1,1
chr1,25022665,25023169,2,"1,3",1,0,1
chr1,25232261,25232264,2,"2,3",0,1,1
chr1,25232264,25232711,3,"1,2,3",1,1,1
chr1,25232711,25232768,2,"1,3",1,0,1
chr1,25239657,25239769,2,"1,3",1,0,1
chr1,25239769,25240161,3,"1,2,3",1,1,1
chr1,25240161,25240219,2,"2,3",0,1,1
chr1,25247086,25247179,2,"1,3",1,0,1
chr1,25247179,25247590,3,"1,2,3",1,1,1
chr1,25247590,25247843,2,"2,3",0,1,1
chr1,25338196,25338646,2,"2,3",0,1,1
chr1,25430057,25430316,2,"1,3",1,0,1
chr1,25819808,25820312,2,"1,3",1,0,1
chr1,25820836,25820967,2,"1,3",1,0,1
chr1,25859333,25859350,2,"2,3",0,1,1
chr1,25859350,25859534,3,"1,2,3",1,1,1
chr1,25859534,25859535,2,"2,3",0,1,1
chr1,25905398,25905804,2,"2,3",0,1,1
chr1,25906213,25906689,2,"2,3",0,1,1
chr1,25998133,25998637,2,"1,3",1,0,1
chr1,26111639,26112143,2,"1,3",1,0,1
chr1,26169724,26169760,2,"2,3",0,1,1
chr1,26169760,26170174,3,"1,2,3",1,1,1
chr1,26170174,26170421,2,"1,3",1,0,1
chr1,26234006,26234044,2,"1,3",1,0,1
chr1,26234044,26234633,3,"1,2,3",1,1,1
chr1,26431905,26432558,2,"2,3",0,1,1
chr1,26471952,26472096,2,"2,3",0,1,1
chr1,26472979,26472981,2,"1,3",1,0,1
chr1,26472981,26473334,3,"1,2,3",1,1,1
chr1,26545743,26545941,2,"1,3",1,0,1
chr1,26695406,26695435,2,"1,3",1,0,1
chr1,26695435,26695885,3,"1,2,3",1,1,1
chr1,26695885,26696005,2,"1,3",1,0,1
chr1,26786891,26787122,2,"2,3",0,1,1
chr1,26833525,26833565,2,"1,3",1,0,1
chr1,26833565,26834015,3,"1,2,3",1,1,1
chr1,26834015,26834019,2,"1,3",1,0,1
chr1,26889939,26889985,2,"1,3",1,0,1
chr1,26889985,26890435,3,"1,2,3",1,1,1
chr1,26890435,26890661,2,"1,3",1,0,1
chr1,26900142,26900232,2,"1,3",1,0,1
chr1,26900232,26900646,3,"1,2,3",1,1,1
chr1,26900646,26900682,2,"2,3",0,1,1
chr1,26921285,26921489,2,"2,3",0,1,1
chr1,27234171,27234904,2,"1,3",1,0,1
chr1,27235115,27235186,2,"2,3",0,1,1
chr1,27235253,27235565,2,"2,3",0,1,1
chr1,27321914,27322083,2,"1,3",1,0,1
chr1,27322083,27322377,3,"1,2,3",1,1,1
chr1,27322377,27322631,2,"2,3",0,1,1
chr1,27341537,27341987,2,"2,3",0,1,1
chr1,27392413,27392853,2,"2,3",0,1,1
chr1,27603936,27604331,2,"2,3",0,1,1
chr1,27671932,27672382,2,"2,3",0,1,1
chr1,27725475,27725775,2,"2,3",0,1,1
chr1,27725775,27725782,3,"1,2,3",1,1,1
chr1,27725782,27726279,2,"1,3",1,0,1
chr1,28088232,28088274,2,"2,3",0,1,1
chr1,28088274,28088682,3,"1,2,3",1,1,1
chr1,28088682,28088778,2,"1,3",1,0,1
chr1,28505823,28505845,2,"2,3",0,1,1
chr1,28505845,28506273,3,"1,2,3",1,1,1
chr1,28506273,28506349,2,"1,3",1,0,1
chr1,28518104,28518531,2,"1,3",1,0,1
chr1,28518531,28518712,3,"1,2,3",1,1,1
chr1,28518850,28518896,3,"1,2,3",1,1,1
chr1,28518896,28519060,2,"2,3",0,1,1
chr1,28552788,28553492,2,"1,3",1,0,1
chr1,28581526,28582030,2,"1,3",1,0,1
chr1,28642524,28643282,2,"1,3",1,0,1
chr1,28648011,28648436,2,"2,3",0,1,1
chr1,28648536,28648943,2,"2,3",0,1,1
chr1,28668447,28668897,2,"2,3",0,1,1
chr1,28669529,28669720,2,"2,3",0,1,1
chr1,28669862,28670119,2,"2,3",0,1,1
chr1,28736699,28737149,2,"2,3",0,1,1
chr1,28885019,28885347,2,"2,3",0,1,1
chr1,28887046,28887288,2,"2,3",0,1,1
chr1,29230676,29230701,2,"1,3",1,0,1
chr1,29230701,29231151,3,"1,2,3",1,1,1
chr1,29231151,29231180,2,"1,3",1,0,1
chr1,30718947,30719532,2,"2,3",0,1,1
chr1,31644454,31644958,2,"1,3",1,0,1
chr1,31788329,31788513,2,"1,3",1,0,1
chr1,31788513,31788963,3,"1,2,3",1,1,1
chr1,31788963,31789040,2,"1,3",1,0,1
chr1,31937727,31937996,2,"1,3",1,0,1
chr1,32013976,32014426,2,"2,3",0,1,1
chr1,32072588,32072799,2,"2,3",0,1,1
chr1,32072799,32073258,3,"1,2,3",1,1,1
chr1,32073258,32073303,2,"1,3",1,0,1
chr1,32107869,32108019,2,"1,3",1,0,1
chr1,32108019,32108373,3,"1,2,3",1,1,1
chr1,32108373,32108469,2,"2,3",0,1,1
chr1,32179638,32180228,2,"2,3",0,1,1
chr1,32200451,32200955,2,"1,3",1,0,1
chr1,32201441,32201786,2,"2,3",0,1,1
chr1,32205479,32205849,3,"1,2,3",1,1,1
chr1,32205849,32205853,2,"2,3",0,1,1
chr1,32222099,32222193,2,"1,3",1,0,1
chr1,32222193,32222643,3,"1,2,3",1,1,1
chr1,32222643,32222805,2,"1,3",1,0,1
chr1,32291758,32291928,2,"2,3",0,1,1
chr1,32291928,32292400,3,"1,2,3",1,1,1
chr1,32292400,32292432,2,"1,3",1,0,1
chr1,32339604,32339688,2,"1,3",1,0,1
chr1,32394046,32394081,2,"1,3",1,0,1
chr1,32394081,32394531,3,"1,2,3",1,1,1
chr1,32394531,32394807,2,"1,3",1,0,1
chr1,32650344,32650719,2,"2,3",0,1,1
chr1,32650843,32651142,2,"2,3",0,1,1
chr1,32651152,32651441,2,"1,3",1,0,1
chr1,32651441,32651656,3,"1,2,3",1,1,1
chr1,32651656,32651770,2,"2,3",0,1,1
chr1,32817083,32817279,2,"1,3",1,0,1
chr1,32817279,32817478,3,"1,2,3",1,1,1
chr1,32817478,32817587,2,"1,3",1,0,1
chr1,33350019,33350469,2,"2,3",0,1,1
chr1,34859541,34860045,2,"1,3",1,0,1
chr1,35557321,35557825,2,"1,3",1,0,1
chr1,35882941,35883368,2,"2,3",0,1,1
chr1,36088719,36089027,2,"2,3",0,1,1
chr1,36089027,36089169,3,"1,2,3",1,1,1
chr1,36089169,36089422,2,"1,3",1,0,1
chr1,36089587,36089735,2,"1,3",1,0,1
chr1,36149319,36149769,2,"2,3",0,1,1
chr1,36155555,36156158,2,"2,3",0,1,1
chr1,36160871,36160899,2,"2,3",0,1,1
chr1,36224247,36224280,2,"1,3",1,0,1
chr1,36224280,36224751,3,"1,2,3",1,1,1
chr1,36224751,36224950,2,"2,3",0,1,1
chr1,36385778,36386228,2,"2,3",0,1,1
chr1,36386419,36386852,3,"1,2,3",1,1,1
chr1,36386852,36386882,2,"1,3",1,0,1
chr1,36450164,36450357,2,"1,3",1,0,1
chr1,36450357,36450492,3,"1,2,3",1,1,1
chr1,36450492,36450886,2,"1,3",1,0,1
chr1,36464122,36464179,2,"1,3",1,0,1
chr1,36464179,36464629,3,"1,2,3",1,1,1
chr1,36464629,36464834,2,"1,3",1,0,1
chr1,37474293,37474732,2,"2,3",0,1,1
chr1,37477189,37477515,2,"2,3",0,1,1
chr1,37479637,37479643,2,"1,3",1,0,1
chr1,37479643,37479926,3,"1,2,3",1,1,1
chr1,37479926,37479934,2,"2,3",0,1,1
chr1,37554180,37554181,2,"1,3",1,0,1
chr1,37554181,37554521,3,"1,2,3",1,1,1
chr1,37692363,37692415,2,"2,3",0,1,1
chr1,37692415,37692607,3,"1,2,3",1,1,1
chr1,37807949,37807974,2,"2,3",0,1,1
chr1,37807974,37808399,3,"1,2,3",1,1,1
chr1,37808399,37808478,2,"1,3",1,0,1
chr1,37859322,37859330,2,"1,3",1,0,1
chr1,37859330,37859780,3,"1,2,3",1,1,1
chr1,37859780,37859826,2,"1,3",1,0,1
chr1,37989838,37989869,2,"1,3",1,0,1
chr1,37989869,37990319,3,"1,2,3",1,1,1
chr1,37990319,37990342,2,"1,3",1,0,1
chr1,38474846,38475350,2,"1,3",1,0,1
chr1,38858980,38859717,2,"1,3",1,0,1
chr1,38859762,38860117,2,"2,3",0,1,1
chr1,38873229,38873245,2,"1,3",1,0,1
chr1,38873245,38873695,3,"1,2,3",1,1,1
chr1,38873695,38873733,2,"1,3",1,0,1
chr1,38990970,38991635,2,"2,3",0,1,1
chr1,39026402,39026852,2,"2,3",0,1,1
chr1,39845608,39846058,2,"2,3",0,1,1
chr1,39955619,39955942,2,"2,3",0,1,1
chr1,40040073,40040523,2,"2,3",0,1,1
chr1,40040585,40041015,2,"2,3",0,1,1
chr1,40161021,40161022,2,"2,3",0,1,1
chr1,40161022,40161767,3,"1,2,3",1,1,1
chr1,40161767,40161785,2,"2,3",0,1,1
chr1,40257948,40258036,2,"1,3",1,0,1
chr1,40258036,40258486,3,"1,2,3",1,1,1
chr1,40258486,40258515,2,"1,3",1,0,1
chr1,40373564,40374014,2,"2,3",0,1,1
chr1,40374319,40374555,2,"2,3",0,1,1
chr1,40374555,40374766,3,"1,2,3",1,1,1
chr1,40509154,40509376,2,"2,3",0,1,1
chr1,40531458,40531908,2,"2,3",0,1,1
chr1,40691965,40692415,2,"2,3",0,1,1
chr1,41242136,41242640,2,"1,3",1,0,1
chr1,42035539,42036239,2,"2,3",0,1,1
chr1,42334519,42334969,2,"2,3",0,1,1
chr1,42456373,42456823,2,"2,3",0,1,1
chr1,42463040,42463049,2,"1,3",1,0,1
chr1,42463049,42463499,3,"1,2,3",1,1,1
chr1,42463499,42463544,2,"1,3",1,0,1
chr1,42658227,42658338,2,"1,3",1,0,1
chr1,42658338,42658623,3,"1,2,3",1,1,1
chr1,42658623,42658896,2,"1,3",1,0,1
chr1,42681992,42682225,2,"1,3",1,0,1
chr1,42682225,42682376,3,"1,2,3",1,1,1
chr1,42682376,42682864,2,"2,3",0,1,1
chr1,42682934,42682946,2,"2,3",0,1,1
chr1,42682946,42682948,3,"1,2,3",1,1,1
chr1,42682948,42683278,2,"1,3",1,0,1
chr1,42766537,42767041,2,"1,3",1,0,1
chr1,42816735,42817185,2,"2,3",0,1,1
chr1,42958601,42959293,2,"1,3",1,0,1
chr1,43172107,43172142,2,"2,3",0,1,1
chr1,43172142,43172557,3,"1,2,3",1,1,1
chr1,43172557,43172646,2,"1,3",1,0,1
chr1,43358803,43358832,2,"2,3",0,1,1
chr1,43358832,43359109,3,"1,2,3",1,1,1
chr1,43359109,43359127,2,"2,3",0,1,1
chr1,43389557,43390238,2,"1,3",1,0,1
chr1,43650271,43650319,2,"1,3",1,0,1
chr1,43650319,43650644,3,"1,2,3",1,1,1
chr1,43946477,43946981,2,"1,3",1,0,1
chr1,43969810,43970260,2,"2,3",0,1,1
chr1,43974676,43975376,2,"2,3",0,1,1
chr1,43991361,43991811,2,"2,3",0,1,1
chr1,44030007,44030457,2,"2,3",0,1,1
chr1,44212763,44213009,2,"1,3",1,0,1
chr1,44213189,44213267,2,"1,3",1,0,1
chr1,44213381,44213773,2,"2,3",0,1,1
chr1,44631771,44632221,2,"2,3",0,1,1
chr1,44674201,44674787,2,"2,3",0,1,1
chr1,44739691,44739707,2,"2,3",0,1,1
chr1,44739707,44739970,3,"1,2,3",1,1,1
chr1,44739970,44740007,2,"2,3",0,1,1
chr1,44775223,44775471,2,"1,3",1,0,1
chr1,44775471,44775921,3,"1,2,3",1,1,1
chr1,44775921,44776155,2,"1,3",1,0,1
chr1,44799727,44800324,2,"2,3",0,1,1
chr1,44807265,44807299,2,"1,3",1,0,1
chr1,44807299,44807749,3,"1,2,3",1,1,1
chr1,44807749,44807769,2,"1,3",1,0,1
chr1,44986385,44986386,2,"2,3",0,1,1
chr1,44986386,44986835,3,"1,2,3",1,1,1
chr1,44986835,44986871,2,"1,3",1,0,1
chr1,45011069,45011205,2,"1,3",1,0,1
chr1,45011205,45011350,3,"1,2,3",1,1,1
chr1,45011350,45011573,2,"1,3",1,0,1
chr1,45011850,45012103,2,"1,3",1,0,1
chr1,45012103,45012234,3,"1,2,3",1,1,1
chr1,45012234,45012335,2,"1,3",1,0,1
chr1,45326707,45327157,2,"2,3",0,1,1
chr1,45339844,45340556,2,"1,3",1,0,1
chr1,45491401,45491694,2,"2,3",0,1,1
chr1,45499841,45500043,2,"2,3",0,1,1
chr1,45500043,45500163,3,"1,2,3",1,1,1
chr1,45500163,45500495,2,"1,3",1,0,1
chr1,45521548,45521594,2,"1,3",1,0,1
chr1,45521594,45522044,3,"1,2,3",1,1,1
chr1,45522044,45522052,2,"1,3",1,0,1
chr1,45550613,45551318,2,"1,3",1,0,1
chr1,45583885,45583929,2,"2,3",0,1,1
chr1,45583929,45584303,3,"1,2,3",1,1,1
chr1,45584386,45584433,2,"1,3",1,0,1
chr1,45586446,45586725,3,"1,2,3",1,1,1
chr1,45686424,45686722,2,"2,3",0,1,1
chr1,45686860,45686884,2,"1,3",1,0,1
chr1,45686884,45687334,3,"1,2,3",1,1,1
chr1,45687334,45687645,2,"1,3",1,0,1
chr1,45688045,45688236,3,"1,2,3",1,1,1
chr1,46132473,46132511,2,"2,3",0,1,1
chr1,46132700,46133150,2,"2,3",0,1,1
chr1,46247555,46247563,2,"2,3",0,1,1
chr1,46247563,46247857,3,"1,2,3",1,1,1
chr1,46302346,46302519,2,"1,3",1,0,1
chr1,46303060,46303483,2,"2,3",0,1,1
chr1,46331808,46331831,2,"2,3",0,1,1
chr1,46604048,46604498,2,"2,3",0,1,1
chr1,46616239,46616649,2,"2,3",0,1,1
chr1,47333666,47334170,2,"1,3",1,0,1
chr1,47437167,47437371,2,"1,3",1,0,1
chr1,47437371,47437784,3,"1,2,3",1,1,1
chr1,47437784,47437821,2,"2,3",0,1,1
chr1,50960133,50960134,2,"2,3",0,1,1
chr1,50960134,50960568,3,"1,2,3",1,1,1
chr1,50968201,50968701,2,"1,3",1,0,1
chr1,50968701,50968705,3,"1,2,3",1,1,1
chr1,50968705,50969151,2,"2,3",0,1,1
chr1,51235976,51236423,2,"1,3",1,0,1
chr1,51729246,51729750,2,"1,3",1,0,1
chr1,52055058,52055685,2,"2,3",0,1,1
chr1,52056168,52056974,2,"2,3",0,1,1
chr1,52365692,52366397,2,"1,3",1,0,1
chr1,52404275,52404451,2,"2,3",0,1,1
chr1,52552575,52552853,2,"2,3",0,1,1
chr1,52842496,52842570,2,"1,3",1,0,1
chr1,52842570,52843020,3,"1,2,3",1,1,1
chr1,52843020,52843199,2,"1,3",1,0,1
chr1,53196591,53196958,2,"2,3",0,1,1
chr1,53220236,53220740,2,"1,3",1,0,1
chr1,53238219,53238311,2,"1,3",1,0,1
chr1,53238311,53238723,3,"1,2,3",1,1,1
chr1,53238723,53238761,2,"2,3",0,1,1
chr1,53326421,53326599,2,"2,3",0,1,1
chr1,53326599,53326619,3,"1,2,3",1,1,1
chr1,53326619,53326804,2,"1,3",1,0,1
chr1,53837994,53838775,2,"1,3",1,0,1
chr1,54715633,54716137,2,"1,3",1,0,1
chr1,54764255,54764912,2,"2,3",0,1,1
chr1,54886860,54887310,2,"2,3",0,1,1
chr1,56578309,56578466,2,"1,3",1,0,1
chr1,58546166,58546316,2,"2,3",0,1,1
chr1,58783882,58784735,2,"1,3",1,0,1
chr1,58784936,58785286,2,"1,3",1,0,1
chr1,62435941,62436328,2,"2,3",0,1,1
chr1,62783934,62784273,2,"2,3",0,1,1
chr1,62784399,62784597,2,"2,3",0,1,1
chr1,63522869,63523116,2,"2,3",0,1,1
chr1,63523116,63523804,3,"1,2,3",1,1,1
chr1,63523804,63523829,2,"1,3",1,0,1
chr1,63593237,63593314,2,"1,3",1,0,1
chr1,63593314,63593941,3,"1,2,3",1,1,1
chr1,63593941,63593969,2,"2,3",0,1,1
chr1,64966234,64966684,2,"2,3",0,1,1
chr1,66924708,66925249,2,"2,3",0,1,1
chr1,66929974,66930250,2,"2,3",0,1,1
chr1,68496926,68496948,2,"2,3",0,1,1
chr1,68496948,68497195,3,"1,2,3",1,1,1
chr1,68497195,68497231,2,"2,3",0,1,1
chr1,70205407,70205441,2,"1,3",1,0,1
chr1,70205441,70205891,3,"1,2,3",1,1,1
chr1,70205891,70205911,2,"1,3",1,0,1
chr1,70354148,70354202,2,"2,3",0,1,1
chr1,70354202,70354598,3,"1,2,3",1,1,1
chr1,70354598,70354706,2,"1,3",1,0,1
chr1,70410646,70411071,2,"2,3",0,1,1
chr1,71080688,71081138,2,"2,3",0,1,1
chr1,74732957,74733516,2,"2,3",0,1,1
chr1,75724527,75724977,2,"2,3",0,1,1
chr1,75786147,75786472,2,"2,3",0,1,1
chr1,77979195,77979662,2,"1,3",1,0,1
chr1,78004758,78005036,2,"2,3",0,1,1
chr1,84505647,84505937,3,"1,2,3",1,1,1
chr1,84505937,84506734,2,"1,3",1,0,1
chr1,85259469,85259937,2,"1,3",1,0,1
chr1,85276537,85276710,2,"1,3",1,0,1
chr1,85276710,85277038,3,"1,2,3",1,1,1
chr1,86395989,86396014,2,"2,3",0,1,1
chr1,86396014,86396439,3,"1,2,3",1,1,1
chr1,86396439,86396508,2,"1,3",1,0,1
chr1,86703965,86704205,2,"2,3",0,1,1
chr1,86704205,86704709,3,"1,2,3",1,1,1
chr1,86704709,86704747,2,"2,3",0,1,1
chr1,86913501,86913690,2,"1,3",1,0,1
chr1,86913858,86914350,2,"1,3",1,0,1
chr1,86915394,86915788,2,"1,3",1,0,1
chr1,87331531,87331811,2,"2,3",0,1,1
chr1,88683982,88684035,2,"1,3",1,0,1
chr1,88684035,88684486,3,"1,2,3",1,1,1
chr1,88684486,88684695,2,"2,3",0,1,1
chr1,89633378,89633691,2,"1,3",1,0,1
chr1,89994978,89995730,2,"2,3",0,1,1
chr1,91021807,91021913,2,"2,3",0,1,1
chr1,91021913,91022417,3,"1,2,3",1,1,1
chr1,91022417,91022475,2,"2,3",0,1,1
chr1,92831902,92832406,2,"1,3",1,0,1
chr1,92960446,92960799,2,"2,3",0,1,1
chr1,93078969,93079020,2,"2,3",0,1,1
chr1,93079020,93079419,3,"1,2,3",1,1,1
chr1,93079419,93079524,2,"1,3",1,0,1
chr1,93180516,93180636,2,"1,3",1,0,1
chr1,93180636,93180873,3,"1,2,3",1,1,1
chr1,93180873,93181020,2,"1,3",1,0,1
chr1,93345579,93346252,2,"2,3",0,1,1
chr1,93847139,93847164,2,"2,3",0,1,1
chr1,93847164,93847668,3,"1,2,3",1,1,1
chr1,93847668,93847819,2,"2,3",0,1,1
chr1,93878996,93879542,2,"2,3",0,1,1
chr1,94417900,94418154,3,"1,2,3",1,1,1
chr1,94418154,94418291,2,"2,3",0,1,1
chr1,95233897,95233958,2,"1,3",1,0,1
chr1,95233958,95234408,3,"1,2,3",1,1,1
chr1,95234408,95234598,2,"1,3",1,0,1
chr1,96722263,96722543,2,"2,3",0,1,1
