chrom,start,end,num,list,ENCFF033OLJ_RAD21_sorted.bed,ENCFF708PXY_RAD21_sorted.bed,ENCFF717LNZ_RAD21_sorted.bed,ENCFF856BXY_RAD21_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,2045132,2045147,2,"3,5",0,0,1,0,1
chr1,2046524,2046592,2,"1,5",1,0,0,0,1
chr1,2046592,2046596,3,"1,2,5",1,1,0,0,1
chr1,2046596,2046602,4,"1,2,3,5",1,1,1,0,1
chr1,2046602,2046666,5,"1,2,3,4,5",1,1,1,1,1
chr1,2046666,2046696,4,"1,3,4,5",1,0,1,1,1
chr1,2046696,2046708,3,"1,4,5",1,0,0,1,1
chr1,2046708,2046776,2,"1,5",1,0,0,0,1
chr1,2049484,2049485,2,"3,5",0,0,1,0,1
chr1,2049485,2049502,3,"2,3,5",0,1,1,0,1
chr1,2049502,2049732,4,"2,3,4,5",0,1,1,1,1
chr1,2049732,2049745,2,"2,5",0,1,0,0,1
chr1,2174338,2174341,2,"3,5",0,0,1,0,1
chr1,2174341,2174349,3,"3,4,5",0,0,1,1,1
chr1,2174349,2174571,4,"2,3,4,5",0,1,1,1,1
chr1,2174571,2174609,3,"2,3,5",0,1,1,0,1
chr1,2174609,2174622,2,"3,5",0,0,1,0,1
chr1,2208304,2208564,2,"2,5",0,1,0,0,1
chr1,2311526,2311786,2,"2,5",0,1,0,0,1
chr1,2381805,2381835,2,"4,5",0,0,0,1,1
chr1,2381835,2381851,3,"1,4,5",1,0,0,1,1
chr1,2381851,2381882,4,"1,2,4,5",1,1,0,1,1
chr1,2381882,2381950,5,"1,2,3,4,5",1,1,1,1,1
chr1,2381950,2381976,4,"1,3,4,5",1,0,1,1,1
chr1,2381976,2381993,3,"1,4,5",1,0,0,1,1
chr1,2381993,2382035,2,"4,5",0,0,0,1,1
chr1,2382690,2382899,2,"2,5",0,1,0,0,1
chr1,2534951,2535211,2,"2,5",0,1,0,0,1
chr1,2801850,2801889,4,"2,3,4,5",0,1,1,1,1
chr1,2801889,2801911,3,"2,3,5",0,1,1,0,1
chr1,2801911,2801932,2,"3,5",0,0,1,0,1
chr1,2821970,2822040,2,"1,5",1,0,0,0,1
chr1,2822040,2822106,3,"1,2,5",1,1,0,0,1
chr1,2822106,2822127,4,"1,2,3,5",1,1,1,0,1
chr1,2822127,2822192,5,"1,2,3,4,5",1,1,1,1,1
chr1,2822192,2822216,4,"1,2,3,5",1,1,1,0,1
chr1,2822216,2822300,3,"1,2,5",1,1,0,0,1
chr1,2822300,2822394,2,"1,5",1,0,0,0,1
chr1,3012533,3012551,3,"2,3,5",0,1,1,0,1
chr1,3012551,3012781,4,"2,3,4,5",0,1,1,1,1
chr1,3012781,3012786,3,"2,3,5",0,1,1,0,1
chr1,3012786,3012816,2,"3,5",0,0,1,0,1
chr1,3069544,3069630,2,"1,5",1,0,0,0,1
chr1,3069630,3069639,3,"1,3,5",1,0,1,0,1
chr1,3069639,3069640,4,"1,3,4,5",1,0,1,1,1
chr1,3069640,3069869,5,"1,2,3,4,5",1,1,1,1,1
chr1,3069869,3069900,4,"1,2,3,5",1,1,1,0,1
chr1,3069900,3069914,3,"1,3,5",1,0,1,0,1
chr1,3069914,3069968,2,"1,5",1,0,0,0,1
chr1,3453215,3453219,2,"3,5",0,0,1,0,1
chr1,3453219,3453241,3,"1,3,5",1,0,1,0,1
chr1,3453241,3453263,4,"1,3,4,5",1,0,1,1,1
chr1,3453263,3453393,5,"1,2,3,4,5",1,1,1,1,1
chr1,3453393,3453394,4,"1,3,4,5",1,0,1,1,1
chr1,3453394,3453409,3,"1,3,5",1,0,1,0,1
chr1,3453409,3453715,2,"1,5",1,0,0,0,1
chr1,3454238,3454487,2,"2,5",0,1,0,0,1
chr1,3491271,3491326,2,"2,5",0,1,0,0,1
chr1,3491326,3491339,3,"2,3,5",0,1,1,0,1
chr1,3491339,3491348,4,"1,2,3,5",1,1,1,0,1
chr1,3491348,3491440,5,"1,2,3,4,5",1,1,1,1,1
chr1,3491440,3491473,4,"1,2,3,5",1,1,1,0,1
chr1,3491473,3491478,3,"1,2,5",1,1,0,0,1
chr1,3491478,3491531,2,"2,5",0,1,0,0,1
chr1,3619026,3619034,2,"1,5",1,0,0,0,1
chr1,3619034,3619059,3,"1,3,5",1,0,1,0,1
chr1,3619059,3619073,4,"1,2,3,5",1,1,1,0,1
chr1,3619073,3619303,5,"1,2,3,4,5",1,1,1,1,1
chr1,3619303,3619318,4,"1,2,3,5",1,1,1,0,1
chr1,3619318,3619319,3,"1,2,5",1,1,0,0,1
chr1,3619319,3619391,2,"1,5",1,0,0,0,1
chr1,3668880,3668938,2,"2,5",0,1,0,0,1
chr1,3709072,3709302,2,"4,5",0,0,0,1,1
chr1,3857159,3857205,2,"1,5",1,0,0,0,1
chr1,3857205,3857216,3,"1,3,5",1,0,1,0,1
chr1,3857216,3857257,4,"1,2,3,5",1,1,1,0,1
chr1,3857257,3857476,5,"1,2,3,4,5",1,1,1,1,1
chr1,3857476,3857487,4,"1,3,4,5",1,0,1,1,1
chr1,3857487,3857489,3,"1,3,5",1,0,1,0,1
chr1,3857489,3857583,2,"1,5",1,0,0,0,1
chr1,4173231,4173460,2,"4,5",0,0,0,1,1
chr1,4652627,4652911,2,"3,5",0,0,1,0,1
chr1,4656310,4656341,2,"1,5",1,0,0,0,1
chr1,4656341,4656399,3,"1,2,5",1,1,0,0,1
chr1,4656399,4656411,4,"1,2,3,5",1,1,1,0,1
chr1,4656411,4656529,5,"1,2,3,4,5",1,1,1,1,1
chr1,4656529,4656565,4,"1,2,3,5",1,1,1,0,1
chr1,4656565,4656601,3,"1,2,5",1,1,0,0,1
chr1,4656601,4656689,2,"1,5",1,0,0,0,1
chr1,6099764,6099780,2,"3,5",0,0,1,0,1
chr1,6099780,6099800,3,"2,3,5",0,1,1,0,1
chr1,6099800,6100030,4,"2,3,4,5",0,1,1,1,1
chr1,6100030,6100040,3,"2,3,5",0,1,1,0,1
chr1,6100040,6100048,2,"3,5",0,0,1,0,1
chr1,6108917,6108948,2,"1,5",1,0,0,0,1
chr1,6108948,6108954,4,"1,2,4,5",1,1,0,1,1
chr1,6108954,6109068,5,"1,2,3,4,5",1,1,1,1,1
chr1,6109068,6109105,3,"1,3,5",1,0,1,0,1
chr1,6109105,6109117,2,"3,5",0,0,1,0,1
chr1,6171588,6171815,4,"2,3,4,5",0,1,1,1,1
chr1,6171815,6171845,3,"2,3,5",0,1,1,0,1
chr1,6171845,6171848,2,"2,5",0,1,0,0,1
chr1,6204914,6204927,2,"1,5",1,0,0,0,1
chr1,6204927,6205187,3,"1,2,5",1,1,0,0,1
chr1,6205187,6205260,2,"1,5",1,0,0,0,1
chr1,6205260,6205338,3,"1,2,5",1,1,0,0,1
chr1,6205338,6205520,2,"2,5",0,1,0,0,1
chr1,6220297,6220365,2,"1,5",1,0,0,0,1
chr1,6220365,6220625,3,"1,2,5",1,1,0,0,1
chr1,6220625,6220702,2,"1,5",1,0,0,0,1
chr1,6245039,6245040,2,"1,5",1,0,0,0,1
chr1,6245040,6245086,3,"1,3,5",1,0,1,0,1
chr1,6245086,6245100,4,"1,2,3,5",1,1,1,0,1
chr1,6245100,6245324,5,"1,2,3,4,5",1,1,1,1,1
chr1,6245324,6245330,4,"1,2,4,5",1,1,0,1,1
chr1,6245330,6245346,3,"1,2,5",1,1,0,0,1
chr1,6245346,6245443,2,"1,5",1,0,0,0,1
chr1,6246817,6246818,2,"4,5",0,0,0,1,1
chr1,6246818,6246821,3,"1,4,5",1,0,0,1,1
chr1,6246821,6246842,4,"1,3,4,5",1,0,1,1,1
chr1,6246842,6246954,5,"1,2,3,4,5",1,1,1,1,1
chr1,6246954,6246980,4,"1,3,4,5",1,0,1,1,1
chr1,6246980,6246982,3,"1,4,5",1,0,0,1,1
chr1,6246982,6246999,2,"1,5",1,0,0,0,1
chr1,6404749,6404760,2,"3,5",0,0,1,0,1
chr1,6404760,6404789,3,"1,3,5",1,0,1,0,1
chr1,6404789,6404796,4,"1,3,4,5",1,0,1,1,1
chr1,6404796,6404887,5,"1,2,3,4,5",1,1,1,1,1
chr1,6404887,6404923,4,"1,3,4,5",1,0,1,1,1
chr1,6404923,6404929,3,"1,3,5",1,0,1,0,1
chr1,6404929,6404965,2,"1,5",1,0,0,0,1
chr1,6423481,6423510,2,"3,5",0,0,1,0,1
chr1,6423510,6423518,3,"2,3,5",0,1,1,0,1
chr1,6423518,6423549,4,"2,3,4,5",0,1,1,1,1
chr1,6423549,6423747,5,"1,2,3,4,5",1,1,1,1,1
chr1,6423747,6423748,4,"2,3,4,5",0,1,1,1,1
chr1,6423748,6423756,3,"2,3,5",0,1,1,0,1
chr1,6437074,6437077,3,"3,4,5",0,0,1,1,1
chr1,6437077,6437303,4,"2,3,4,5",0,1,1,1,1
chr1,6437303,6437326,3,"2,3,5",0,1,1,0,1
chr1,6445174,6445430,2,"2,5",0,1,0,0,1
chr1,6464479,6464559,2,"1,5",1,0,0,0,1
chr1,6464559,6464565,3,"1,3,5",1,0,1,0,1
chr1,6464565,6464591,4,"1,2,3,5",1,1,1,0,1
chr1,6464591,6464821,5,"1,2,3,4,5",1,1,1,1,1
chr1,6464821,6464825,4,"1,2,3,5",1,1,1,0,1
chr1,6464825,6464843,3,"1,3,5",1,0,1,0,1
chr1,6464843,6464903,2,"1,5",1,0,0,0,1
chr1,6475556,6475816,2,"2,5",0,1,0,0,1
chr1,6513321,6513605,2,"3,5",0,0,1,0,1
chr1,6523657,6523665,3,"1,3,5",1,0,1,0,1
chr1,6523665,6523677,4,"1,2,3,5",1,1,1,0,1
chr1,6523677,6523907,5,"1,2,3,4,5",1,1,1,1,1
chr1,6523907,6523908,4,"1,2,3,5",1,1,1,0,1
chr1,6554403,6554452,2,"1,5",1,0,0,0,1
chr1,6554452,6554477,3,"1,2,5",1,1,0,0,1
chr1,6554477,6554498,4,"1,2,4,5",1,1,0,1,1
chr1,6554498,6554707,5,"1,2,3,4,5",1,1,1,1,1
chr1,6554707,6554712,4,"1,2,3,5",1,1,1,0,1
chr1,6554712,6554782,3,"1,3,5",1,0,1,0,1
chr1,6554782,6554827,2,"1,5",1,0,0,0,1
chr1,6634630,6634652,2,"1,5",1,0,0,0,1
chr1,6634652,6634654,3,"1,2,5",1,1,0,0,1
chr1,6634654,6634884,4,"1,2,4,5",1,1,0,1,1
chr1,6634884,6634912,3,"1,2,5",1,1,0,0,1
chr1,6634912,6635001,2,"1,5",1,0,0,0,1
chr1,6720045,6720051,3,"1,3,5",1,0,1,0,1
chr1,6720051,6720067,4,"1,2,3,5",1,1,1,0,1
chr1,6720067,6720297,5,"1,2,3,4,5",1,1,1,1,1
chr1,6720297,6720311,4,"1,2,3,5",1,1,1,0,1
chr1,6720311,6720321,3,"1,3,5",1,0,1,0,1
chr1,6720321,6720352,2,"1,5",1,0,0,0,1
chr1,6998376,6998438,4,"2,3,4,5",0,1,1,1,1
chr1,6998438,6998562,5,"1,2,3,4,5",1,1,1,1,1
chr1,6998562,6998587,4,"2,3,4,5",0,1,1,1,1
chr1,6998587,6998628,3,"2,3,5",0,1,1,0,1
chr1,6998628,6998638,2,"3,5",0,0,1,0,1
chr1,7447162,7447325,4,"1,2,4,5",1,1,0,1,1
chr1,7447325,7447379,3,"1,2,5",1,1,0,0,1
chr1,7447379,7447451,2,"1,5",1,0,0,0,1
chr1,7447773,7447883,2,"1,5",1,0,0,0,1
chr1,7447883,7448143,3,"1,2,5",1,1,0,0,1
chr1,7448143,7448197,2,"1,5",1,0,0,0,1
chr1,7975304,7975329,2,"2,5",0,1,0,0,1
chr1,7975329,7975391,3,"2,4,5",0,1,0,1,1
chr1,7975391,7975407,4,"1,2,4,5",1,1,0,1,1
chr1,7975407,7975521,5,"1,2,3,4,5",1,1,1,1,1
chr1,7975521,7975541,4,"1,2,4,5",1,1,0,1,1
chr1,7975541,7975559,3,"2,4,5",0,1,0,1,1
chr1,7975559,7975564,2,"2,5",0,1,0,0,1
chr1,7982350,7982393,2,"2,5",0,1,0,0,1
chr1,7982393,7982402,3,"2,4,5",0,1,0,1,1
chr1,7982402,7982424,4,"1,2,4,5",1,1,0,1,1
chr1,7982424,7982532,5,"1,2,3,4,5",1,1,1,1,1
chr1,7982532,7982587,4,"1,2,4,5",1,1,0,1,1
chr1,7982587,7982610,3,"2,4,5",0,1,0,1,1
chr1,7982610,7982623,2,"4,5",0,0,0,1,1
chr1,8017523,8017874,2,"1,5",1,0,0,0,1
chr1,8061253,8061677,2,"1,5",1,0,0,0,1
chr1,8182285,8182325,2,"1,5",1,0,0,0,1
chr1,8182325,8182789,3,"1,2,5",1,1,0,0,1
chr1,8182789,8182909,2,"1,5",1,0,0,0,1
chr1,8197739,8197757,2,"2,5",0,1,0,0,1
chr1,8197757,8197999,3,"1,2,5",1,1,0,0,1
chr1,8197999,8198323,2,"1,5",1,0,0,0,1
chr1,8314352,8314359,2,"1,5",1,0,0,0,1
chr1,8314359,8314374,3,"1,3,5",1,0,1,0,1
chr1,8314374,8314377,4,"1,2,3,5",1,1,1,0,1
chr1,8314377,8314549,5,"1,2,3,4,5",1,1,1,1,1
chr1,8314549,8314565,4,"1,3,4,5",1,0,1,1,1
chr1,8314565,8314578,3,"1,3,5",1,0,1,0,1
chr1,8314578,8314803,2,"1,5",1,0,0,0,1
chr1,8348953,8349033,2,"1,5",1,0,0,0,1
chr1,8349033,8349091,3,"1,2,5",1,1,0,0,1
chr1,8349091,8349092,4,"1,2,3,5",1,1,1,0,1
chr1,8349092,8349186,5,"1,2,3,4,5",1,1,1,1,1
chr1,8349186,8349209,4,"1,2,3,5",1,1,1,0,1
chr1,8349209,8349293,3,"1,2,5",1,1,0,0,1
chr1,8349293,8349299,2,"1,5",1,0,0,0,1
chr1,8794708,8794944,2,"2,5",0,1,0,0,1
chr1,8903488,8903555,2,"1,5",1,0,0,0,1
chr1,8903555,8903580,3,"1,2,5",1,1,0,0,1
chr1,8903580,8903625,4,"1,2,4,5",1,1,0,1,1
chr1,8903625,8903730,5,"1,2,3,4,5",1,1,1,1,1
chr1,8903730,8903810,4,"1,2,4,5",1,1,0,1,1
chr1,8903810,8903815,3,"1,2,5",1,1,0,0,1
chr1,8903815,8904180,2,"1,5",1,0,0,0,1
chr1,9101590,9101618,2,"2,5",0,1,0,0,1
chr1,9101618,9101668,3,"1,2,5",1,1,0,0,1
chr1,9101668,9101677,4,"1,2,3,5",1,1,1,0,1
chr1,9101677,9101742,5,"1,2,3,4,5",1,1,1,1,1
chr1,9101742,9101805,4,"1,2,3,5",1,1,1,0,1
chr1,9101805,9101824,3,"1,2,5",1,1,0,0,1
chr1,9101824,9101850,2,"2,5",0,1,0,0,1
chr1,9142278,9142294,3,"1,3,5",1,0,1,0,1
chr1,9142294,9142305,4,"1,2,3,5",1,1,1,0,1
chr1,9142305,9142535,5,"1,2,3,4,5",1,1,1,1,1
chr1,9142535,9142554,4,"1,2,3,5",1,1,1,0,1
chr1,9142554,9142560,3,"1,3,5",1,0,1,0,1
chr1,9142560,9142635,2,"1,5",1,0,0,0,1
chr1,9181334,9181350,2,"3,5",0,0,1,0,1
chr1,9181350,9181580,3,"3,4,5",0,0,1,1,1
chr1,9181580,9181597,2,"3,5",0,0,1,0,1
chr1,9428601,9428676,2,"1,5",1,0,0,0,1
chr1,9428676,9428694,3,"1,2,5",1,1,0,0,1
chr1,9428694,9428718,4,"1,2,3,5",1,1,1,0,1
chr1,9428718,9428936,5,"1,2,3,4,5",1,1,1,1,1
chr1,9428936,9428948,4,"1,3,4,5",1,0,1,1,1
chr1,9428948,9428978,3,"1,3,5",1,0,1,0,1
chr1,9428978,9429025,2,"1,5",1,0,0,0,1
chr1,9491107,9491141,2,"1,5",1,0,0,0,1
chr1,9491141,9491163,3,"1,3,5",1,0,1,0,1
chr1,9491163,9491164,4,"1,2,3,5",1,1,1,0,1
chr1,9491164,9491310,5,"1,2,3,4,5",1,1,1,1,1
chr1,9491310,9491331,4,"1,3,4,5",1,0,1,1,1
chr1,9491331,9491332,3,"1,4,5",1,0,0,1,1
chr1,9491332,9491361,2,"1,5",1,0,0,0,1
chr1,9495205,9495267,2,"1,5",1,0,0,0,1
chr1,9495267,9495288,3,"1,3,5",1,0,1,0,1
chr1,9495288,9495312,4,"1,2,3,5",1,1,1,0,1
chr1,9495312,9495542,5,"1,2,3,4,5",1,1,1,1,1
chr1,9495542,9495548,4,"1,2,3,5",1,1,1,0,1
chr1,9495548,9495551,3,"1,3,5",1,0,1,0,1
chr1,9495551,9495629,2,"1,5",1,0,0,0,1
chr1,9546676,9546678,4,"1,2,3,5",1,1,1,0,1
chr1,9546678,9546898,5,"1,2,3,4,5",1,1,1,1,1
chr1,9546898,9546908,4,"1,3,4,5",1,0,1,1,1
chr1,9546908,9546928,3,"1,3,5",1,0,1,0,1
chr1,9546928,9547017,2,"1,5",1,0,0,0,1
chr1,9724987,9725055,2,"1,5",1,0,0,0,1
chr1,9725055,9725087,3,"1,2,5",1,1,0,0,1
chr1,9725087,9725091,4,"1,2,3,5",1,1,1,0,1
chr1,9725091,9725315,5,"1,2,3,4,5",1,1,1,1,1
chr1,9725315,9725321,4,"1,3,4,5",1,0,1,1,1
chr1,9725321,9725371,3,"1,3,5",1,0,1,0,1
chr1,9950371,9950427,2,"2,5",0,1,0,0,1
chr1,9950427,9950441,3,"1,2,5",1,1,0,0,1
chr1,9950441,9950444,4,"1,2,4,5",1,1,0,1,1
chr1,9950444,9950555,5,"1,2,3,4,5",1,1,1,1,1
chr1,9950555,9950572,4,"1,2,3,5",1,1,1,0,1
chr1,9950572,9950595,3,"1,2,5",1,1,0,0,1
chr1,9950595,9950631,2,"2,5",0,1,0,0,1
chr1,10032482,10032544,2,"1,5",1,0,0,0,1
chr1,10032544,10032554,3,"1,2,5",1,1,0,0,1
chr1,10032554,10032597,4,"1,2,4,5",1,1,0,1,1
chr1,10032597,10032731,5,"1,2,3,4,5",1,1,1,1,1
chr1,10032731,10032784,4,"1,2,4,5",1,1,0,1,1
chr1,10032784,10032804,3,"1,2,5",1,1,0,0,1
chr1,10032804,10032859,2,"1,5",1,0,0,0,1
chr1,10058529,10058556,3,"1,3,5",1,0,1,0,1
chr1,10058556,10058558,4,"1,2,3,5",1,1,1,0,1
chr1,10058558,10058788,5,"1,2,3,4,5",1,1,1,1,1
chr1,10058788,10058797,4,"1,2,3,5",1,1,1,0,1
chr1,10058797,10058816,3,"1,2,5",1,1,0,0,1
chr1,10058816,10058888,2,"1,5",1,0,0,0,1
chr1,10209830,10210090,2,"2,5",0,1,0,0,1
chr1,10210228,10210512,2,"3,5",0,0,1,0,1
chr1,10428124,10428164,2,"1,5",1,0,0,0,1
chr1,10428164,10428169,4,"1,3,4,5",1,0,1,1,1
chr1,10428169,10428280,5,"1,2,3,4,5",1,1,1,1,1
chr1,10428280,10428283,4,"1,2,3,5",1,1,1,0,1
chr1,10428283,10428311,3,"1,3,5",1,0,1,0,1
chr1,10428311,10428339,2,"1,5",1,0,0,0,1
chr1,10430243,10430257,2,"2,5",0,1,0,0,1
chr1,10430257,10430487,3,"2,4,5",0,1,0,1,1
chr1,10430487,10430503,2,"2,5",0,1,0,0,1
chr1,11037684,11037708,2,"3,5",0,0,1,0,1
chr1,11037708,11037710,3,"3,4,5",0,0,1,1,1
chr1,11037710,11037721,4,"1,3,4,5",1,0,1,1,1
chr1,11037721,11037877,5,"1,2,3,4,5",1,1,1,1,1
chr1,11037877,11037880,4,"1,2,3,5",1,1,1,0,1
chr1,11037880,11037881,3,"2,3,5",0,1,1,0,1
chr1,11037881,11037887,2,"3,5",0,0,1,0,1
chr1,11617263,11617390,2,"1,5",1,0,0,0,1
chr1,11617390,11617650,3,"1,2,5",1,1,0,0,1
chr1,11617650,11617672,2,"1,5",1,0,0,0,1
chr1,11642505,11642526,2,"3,5",0,0,1,0,1
chr1,11642526,11642528,3,"1,3,5",1,0,1,0,1
chr1,11642528,11642576,4,"1,3,4,5",1,0,1,1,1
chr1,11642576,11642666,5,"1,2,3,4,5",1,1,1,1,1
chr1,11642666,11642676,4,"1,3,4,5",1,0,1,1,1
chr1,11642676,11642696,3,"1,3,5",1,0,1,0,1
chr1,11642696,11642699,2,"1,5",1,0,0,0,1
chr1,11645743,11645782,3,"3,4,5",0,0,1,1,1
chr1,11645782,11645827,4,"1,3,4,5",1,0,1,1,1
chr1,11645827,11645907,5,"1,2,3,4,5",1,1,1,1,1
chr1,11645907,11645966,3,"3,4,5",0,0,1,1,1
chr1,11645966,11645984,2,"3,5",0,0,1,0,1
chr1,11785196,11785217,2,"1,5",1,0,0,0,1
chr1,11785217,11785226,3,"1,2,5",1,1,0,0,1
chr1,11785226,11785456,4,"1,2,4,5",1,1,0,1,1
chr1,11785456,11785477,3,"1,2,5",1,1,0,0,1
chr1,11785477,11785620,2,"1,5",1,0,0,0,1
chr1,11838763,11838774,2,"1,5",1,0,0,0,1
chr1,11838774,11838790,3,"1,3,5",1,0,1,0,1
chr1,11838790,11838805,4,"1,3,4,5",1,0,1,1,1
chr1,11838805,11838906,5,"1,2,3,4,5",1,1,1,1,1
chr1,11838906,11838919,4,"1,3,4,5",1,0,1,1,1
chr1,11838919,11838939,3,"1,3,5",1,0,1,0,1
chr1,11838939,11838964,2,"1,5",1,0,0,0,1
chr1,11907730,11907746,4,"1,3,4,5",1,0,1,1,1
chr1,11907746,11907958,5,"1,2,3,4,5",1,1,1,1,1
chr1,11907958,11907970,4,"1,2,3,5",1,1,1,0,1
chr1,11907970,11907972,3,"1,2,5",1,1,0,0,1
chr1,11908075,11908083,2,"1,5",1,0,0,0,1
chr1,12031281,12031294,2,"3,5",0,0,1,0,1
chr1,12031294,12031312,3,"2,3,5",0,1,1,0,1
chr1,12031312,12031542,4,"2,3,4,5",0,1,1,1,1
chr1,12031542,12031554,3,"2,3,5",0,1,1,0,1
chr1,12031554,12031565,2,"3,5",0,0,1,0,1
chr1,12528236,12528660,2,"1,5",1,0,0,0,1
chr1,12616057,12616317,2,"2,5",0,1,0,0,1
chr1,12619890,12619918,2,"1,5",1,0,0,0,1
chr1,12619918,12619931,3,"1,3,5",1,0,1,0,1
