chrom,start,end,num,list,ENCFF184VLV_ESRRA_sorted.bed,ENCFF701CIO_ESRRA_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,3900339,3900841,3,"1,2,3",1,1,1
chr1,3900841,3900917,2,"1,3",1,0,1
chr1,3901235,3901562,2,"1,3",1,0,1
chr1,5885813,5885865,2,"2,3",0,1,1
chr1,5885865,5886038,3,"1,2,3",1,1,1
chr1,5886038,5886126,2,"2,3",0,1,1
chr1,5992168,5992588,2,"1,3",1,0,1
chr1,6199454,6199500,2,"2,3",0,1,1
chr1,6199500,6199673,3,"1,2,3",1,1,1
chr1,6199673,6199891,2,"2,3",0,1,1
chr1,6205174,6205508,2,"1,3",1,0,1
chr1,6393747,6394117,2,"1,3",1,0,1
chr1,6554225,6554499,2,"2,3",0,1,1
chr1,6579738,6580107,2,"1,3",1,0,1
chr1,6613391,6613761,2,"1,3",1,0,1
chr1,6784646,6784785,2,"1,3",1,0,1
chr1,6784785,6785205,3,"1,2,3",1,1,1
chr1,6785205,6785216,2,"1,3",1,0,1
chr1,7783902,7784272,2,"1,3",1,0,1
chr1,7953963,7954054,2,"2,3",0,1,1
chr1,7954054,7954319,3,"1,2,3",1,1,1
chr1,7954319,7954433,2,"2,3",0,1,1
chr1,7961431,7961463,2,"2,3",0,1,1
chr1,7961463,7961851,3,"1,2,3",1,1,1
chr1,7961851,7961990,2,"1,3",1,0,1
chr1,8004723,8005093,2,"1,3",1,0,1
chr1,8026213,8026583,2,"1,3",1,0,1
chr1,8197782,8197821,2,"1,3",1,0,1
chr1,8197821,8198177,3,"1,2,3",1,1,1
chr1,8198177,8198235,2,"2,3",0,1,1
chr1,8789305,8789621,2,"1,3",1,0,1
chr1,8879106,8879195,2,"2,3",0,1,1
chr1,8879195,8879261,3,"1,2,3",1,1,1
chr1,8879261,8879532,2,"1,3",1,0,1
chr1,9234268,9234583,3,"1,2,3",1,1,1
chr1,9234583,9234592,2,"1,3",1,0,1
chr1,9428831,9428881,2,"1,3",1,0,1
chr1,9428881,9429201,3,"1,2,3",1,1,1
chr1,9429201,9429207,2,"2,3",0,1,1
chr1,9539666,9540036,2,"1,3",1,0,1
chr1,9588624,9588812,2,"1,3",1,0,1
chr1,9719121,9719409,2,"1,3",1,0,1
chr1,9943278,9943319,2,"1,3",1,0,1
chr1,9943319,9943587,3,"1,2,3",1,1,1
chr1,10032508,10032687,2,"2,3",0,1,1
chr1,10032687,10032779,3,"1,2,3",1,1,1
chr1,10032779,10032815,2,"2,3",0,1,1
chr1,10209999,10210333,2,"2,3",0,1,1
chr1,10210333,10210419,3,"1,2,3",1,1,1
chr1,10210419,10210449,2,"1,3",1,0,1
chr1,10398720,10398942,2,"1,3",1,0,1
chr1,10398942,10399090,3,"1,2,3",1,1,1
chr1,10399090,10399198,2,"2,3",0,1,1
chr1,10430244,10430587,3,"1,2,3",1,1,1
chr1,10430587,10430863,2,"2,3",0,1,1
chr1,10472322,10472323,2,"1,3",1,0,1
chr1,10472323,10472692,3,"1,2,3",1,1,1
chr1,10472692,10472778,2,"2,3",0,1,1
chr1,10474760,10474912,3,"1,2,3",1,1,1
chr1,10474912,10475025,2,"1,3",1,0,1
chr1,11059981,11060495,2,"1,3",1,0,1
chr1,11099504,11100022,2,"2,3",0,1,1
chr1,11273132,11273211,2,"2,3",0,1,1
chr1,11273211,11273552,3,"1,2,3",1,1,1
chr1,11273552,11273581,2,"1,3",1,0,1
chr1,11478725,11478841,2,"2,3",0,1,1
chr1,11478841,11479145,3,"1,2,3",1,1,1
chr1,11479145,11479211,2,"1,3",1,0,1
chr1,11664095,11664221,2,"1,3",1,0,1
chr1,11671446,11671751,3,"1,2,3",1,1,1
chr1,11680970,11681340,2,"1,3",1,0,1
chr1,11735874,11736236,2,"1,3",1,0,1
chr1,11797744,11798114,2,"1,3",1,0,1
chr1,11805702,11805902,2,"2,3",0,1,1
chr1,11805902,11806122,3,"1,2,3",1,1,1
chr1,11806122,11806184,2,"1,3",1,0,1
chr1,11842212,11842582,2,"1,3",1,0,1
chr1,11882842,11883184,2,"1,3",1,0,1
chr1,11909736,11909944,2,"1,3",1,0,1
chr1,11926295,11926640,2,"1,3",1,0,1
chr1,11934584,11935040,2,"1,3",1,0,1
chr1,11979884,11980098,2,"1,3",1,0,1
chr1,11980276,11980311,2,"1,3",1,0,1
chr1,11980311,11980552,3,"1,2,3",1,1,1
chr1,12161839,12161898,2,"2,3",0,1,1
chr1,12161898,12162170,3,"1,2,3",1,1,1
chr1,12162170,12162199,2,"2,3",0,1,1
chr1,12218498,12218868,2,"1,3",1,0,1
chr1,12229866,12230236,2,"1,3",1,0,1
chr1,12529412,12529690,2,"1,3",1,0,1
chr1,15524118,15524287,2,"1,3",1,0,1
chr1,15524534,15524904,2,"1,3",1,0,1
chr1,15526570,15526604,2,"1,3",1,0,1
chr1,15526604,15527024,3,"1,2,3",1,1,1
chr1,15527024,15527143,2,"1,3",1,0,1
chr1,15543559,15543929,2,"1,3",1,0,1
chr1,15617165,15617403,2,"1,3",1,0,1
chr1,15617403,15617535,3,"1,2,3",1,1,1
chr1,15617535,15617783,2,"2,3",0,1,1
chr1,15834598,15834686,2,"1,3",1,0,1
chr1,15834779,15835149,2,"1,3",1,0,1
chr1,15847480,15847850,2,"1,3",1,0,1
chr1,15975431,15975801,2,"1,3",1,0,1
chr1,15975869,15975903,2,"1,3",1,0,1
chr1,15975903,15976239,3,"1,2,3",1,1,1
chr1,15976239,15976282,2,"2,3",0,1,1
chr1,16012816,16013163,3,"1,2,3",1,1,1
chr1,16013163,16013484,2,"1,3",1,0,1
chr1,16032808,16032918,2,"2,3",0,1,1
chr1,16032918,16033047,3,"1,2,3",1,1,1
chr1,16033047,16033150,2,"2,3",0,1,1
chr1,16056002,16056372,2,"1,3",1,0,1
chr1,16237054,16237410,2,"1,3",1,0,1
chr1,16352491,16352618,2,"1,3",1,0,1
chr1,16366923,16367293,2,"1,3",1,0,1
chr1,16440489,16440618,2,"2,3",0,1,1
chr1,16440618,16440838,3,"1,2,3",1,1,1
chr1,16644543,16644682,2,"2,3",0,1,1
chr1,16644682,16645162,3,"1,2,3",1,1,1
chr1,16645162,16645174,2,"1,3",1,0,1
chr1,16895954,16896324,2,"1,3",1,0,1
chr1,16904756,16905072,2,"2,3",0,1,1
chr1,16905072,16905176,3,"1,2,3",1,1,1
chr1,16905176,16905590,2,"1,3",1,0,1
chr1,16905590,16905663,3,"1,2,3",1,1,1
chr1,16905663,16905696,2,"2,3",0,1,1
chr1,17011825,17012195,2,"1,3",1,0,1
chr1,17059701,17059951,2,"1,3",1,0,1
chr1,17406182,17406464,2,"1,3",1,0,1
chr1,18902406,18902652,2,"2,3",0,1,1
chr1,18902742,18902772,2,"2,3",0,1,1
chr1,18913089,18913352,2,"1,3",1,0,1
chr1,19210214,19210217,2,"1,3",1,0,1
chr1,19210217,19210565,3,"1,2,3",1,1,1
chr1,19210565,19210605,2,"2,3",0,1,1
chr1,19251453,19251823,2,"1,3",1,0,1
chr1,19311802,19312114,2,"2,3",0,1,1
chr1,19312114,19312155,3,"1,2,3",1,1,1
chr1,19312155,19312420,2,"1,3",1,0,1
chr1,19596675,19597101,3,"1,2,3",1,1,1
chr1,19597101,19597121,2,"2,3",0,1,1
chr1,19882153,19882502,2,"1,3",1,0,1
chr1,20185363,20185451,2,"1,3",1,0,1
chr1,20185451,20185707,3,"1,2,3",1,1,1
chr1,20185707,20186078,2,"2,3",0,1,1
chr1,20507784,20508259,3,"1,2,3",1,1,1
chr1,20508259,20508272,2,"1,3",1,0,1
chr1,20633448,20633868,2,"2,3",0,1,1
chr1,20661300,20661657,2,"1,3",1,0,1
chr1,20661697,20661985,2,"2,3",0,1,1
chr1,21905061,21905256,2,"1,3",1,0,1
chr1,22019072,22019327,2,"1,3",1,0,1
chr1,22025860,22026114,2,"1,3",1,0,1
chr1,22052516,22052842,2,"1,3",1,0,1
chr1,22451734,22451836,2,"2,3",0,1,1
chr1,22451836,22452154,3,"1,2,3",1,1,1
chr1,22452154,22452278,2,"1,3",1,0,1
chr1,23019193,23019257,2,"2,3",0,1,1
chr1,23019257,23019527,3,"1,2,3",1,1,1
chr1,23019527,23019589,2,"2,3",0,1,1
chr1,23168480,23168571,2,"2,3",0,1,1
chr1,23168571,23168941,3,"1,2,3",1,1,1
chr1,23168941,23169099,2,"2,3",0,1,1
chr1,23368040,23368046,2,"2,3",0,1,1
chr1,23368046,23368388,3,"1,2,3",1,1,1
chr1,23368388,23368416,2,"1,3",1,0,1
chr1,23368830,23368916,2,"2,3",0,1,1
chr1,23368916,23369029,3,"1,2,3",1,1,1
chr1,23369029,23369250,2,"2,3",0,1,1
chr1,23539731,23539792,2,"2,3",0,1,1
chr1,23539792,23540104,3,"1,2,3",1,1,1
chr1,23540104,23540162,2,"1,3",1,0,1
chr1,23554959,23555204,2,"1,3",1,0,1
chr1,23562372,23562605,2,"1,3",1,0,1
chr1,23691624,23691642,2,"1,3",1,0,1
chr1,23691642,23691862,3,"1,2,3",1,1,1
chr1,23691862,23691905,2,"2,3",0,1,1
chr1,23743308,23743552,2,"1,3",1,0,1
chr1,23777859,23778421,2,"1,3",1,0,1
chr1,23809778,23810009,2,"1,3",1,0,1
chr1,23810880,23811106,2,"1,3",1,0,1
chr1,23868312,23868327,2,"1,3",1,0,1
chr1,23868327,23868568,3,"1,2,3",1,1,1
chr1,23959262,23959632,2,"1,3",1,0,1
chr1,23959764,23959816,2,"2,3",0,1,1
chr1,23959816,23960131,3,"1,2,3",1,1,1
chr1,24413639,24413790,3,"1,2,3",1,1,1
chr1,24413790,24413892,2,"1,3",1,0,1
chr1,24415455,24415681,3,"1,2,3",1,1,1
chr1,24415681,24415748,2,"1,3",1,0,1
chr1,24744864,24744868,2,"1,3",1,0,1
chr1,24744868,24745288,3,"1,2,3",1,1,1
chr1,24745288,24745599,2,"1,3",1,0,1
chr1,25232395,25232792,2,"2,3",0,1,1
chr1,25233141,25233181,2,"2,3",0,1,1
chr1,25233181,25233550,3,"1,2,3",1,1,1
chr1,25239839,25239933,2,"1,3",1,0,1
chr1,25239933,25240209,3,"1,2,3",1,1,1
chr1,25240209,25240252,2,"2,3",0,1,1
chr1,25247495,25247522,2,"2,3",0,1,1
chr1,25247522,25247801,3,"1,2,3",1,1,1
chr1,25247801,25248042,2,"2,3",0,1,1
chr1,25338257,25338627,2,"1,3",1,0,1
chr1,25543598,25543968,2,"1,3",1,0,1
chr1,25549636,25549952,2,"1,3",1,0,1
chr1,25859265,25859632,2,"1,3",1,0,1
chr1,25895399,25895711,2,"1,3",1,0,1
chr1,25906351,25906554,2,"1,3",1,0,1
chr1,25998192,25998248,2,"2,3",0,1,1
chr1,25998248,25998432,3,"1,2,3",1,1,1
chr1,25998432,25998499,2,"2,3",0,1,1
chr1,26035950,26036281,2,"1,3",1,0,1
chr1,26070422,26070792,2,"1,3",1,0,1
chr1,26110900,26111270,2,"1,3",1,0,1
chr1,26111544,26111981,2,"1,3",1,0,1
chr1,26112094,26112115,2,"1,3",1,0,1
chr1,26161748,26162118,2,"1,3",1,0,1
chr1,26169670,26169888,2,"1,3",1,0,1
chr1,26169888,26169991,3,"1,2,3",1,1,1
chr1,26169991,26170276,2,"2,3",0,1,1
chr1,26201181,26201293,2,"2,3",0,1,1
chr1,26201293,26201538,3,"1,2,3",1,1,1
chr1,26201538,26201590,2,"2,3",0,1,1
chr1,26233816,26234117,3,"1,2,3",1,1,1
chr1,26234117,26234169,2,"2,3",0,1,1
chr1,26234194,26234564,2,"1,3",1,0,1
chr1,26280165,26280168,2,"2,3",0,1,1
chr1,26284791,26285033,2,"1,3",1,0,1
chr1,26336675,26336688,2,"2,3",0,1,1
chr1,26363859,26364125,2,"1,3",1,0,1
chr1,26432149,26432191,2,"1,3",1,0,1
chr1,26432191,26432477,3,"1,2,3",1,1,1
chr1,26472875,26473297,2,"1,3",1,0,1
chr1,26529655,26530025,2,"1,3",1,0,1
chr1,26584188,26584451,2,"1,3",1,0,1
chr1,26693043,26693278,2,"1,3",1,0,1
chr1,26695561,26695693,2,"1,3",1,0,1
chr1,26784111,26784214,2,"1,3",1,0,1
chr1,26784214,26784338,3,"1,2,3",1,1,1
chr1,26784338,26784373,2,"1,3",1,0,1
chr1,26786906,26786912,2,"2,3",0,1,1
chr1,26786912,26787050,3,"1,2,3",1,1,1
chr1,26787050,26787126,2,"1,3",1,0,1
chr1,26826491,26826692,2,"1,3",1,0,1
chr1,26865066,26865436,2,"1,3",1,0,1
chr1,26889891,26890271,2,"2,3",0,1,1
chr1,27234315,27234455,2,"2,3",0,1,1
chr1,27234455,27234616,3,"1,2,3",1,1,1
chr1,27234616,27234735,2,"2,3",0,1,1
chr1,27322000,27322056,2,"1,3",1,0,1
chr1,27322056,27322370,3,"1,2,3",1,1,1
chr1,27322370,27322476,2,"2,3",0,1,1
chr1,27392287,27392660,3,"1,2,3",1,1,1
chr1,27392660,27392663,2,"1,3",1,0,1
chr1,27542503,27542923,2,"2,3",0,1,1
chr1,27672174,27672544,2,"1,3",1,0,1
chr1,27772997,27773519,2,"1,3",1,0,1
chr1,27830477,27830847,2,"1,3",1,0,1
chr1,27979636,27979886,3,"1,2,3",1,1,1
chr1,27979886,27979937,2,"2,3",0,1,1
chr1,28088570,28088702,2,"1,3",1,0,1
chr1,28112815,28112975,2,"1,3",1,0,1
chr1,28112975,28113010,3,"1,2,3",1,1,1
chr1,28113010,28113365,2,"2,3",0,1,1
chr1,28235989,28236014,2,"2,3",0,1,1
chr1,28236014,28236266,3,"1,2,3",1,1,1
chr1,28247277,28247543,2,"1,3",1,0,1
chr1,28259249,28259619,2,"1,3",1,0,1
chr1,28328833,28329203,2,"1,3",1,0,1
chr1,28369473,28369492,2,"2,3",0,1,1
chr1,28369492,28369822,3,"1,2,3",1,1,1
chr1,28369822,28369862,2,"1,3",1,0,1
chr1,28505749,28505962,3,"1,2,3",1,1,1
chr1,28505962,28506089,2,"2,3",0,1,1
chr1,28518051,28518295,2,"2,3",0,1,1
chr1,28518604,28518670,2,"1,3",1,0,1
chr1,28518670,28518735,3,"1,2,3",1,1,1
chr1,28552909,28553076,2,"1,3",1,0,1
chr1,28581709,28581854,2,"2,3",0,1,1
chr1,28581854,28581954,3,"1,2,3",1,1,1
chr1,28581954,28582129,2,"2,3",0,1,1
chr1,28590070,28590380,2,"1,3",1,0,1
chr1,28643096,28643421,2,"1,3",1,0,1
chr1,28648193,28648307,3,"1,2,3",1,1,1
chr1,28648307,28648335,2,"2,3",0,1,1
chr1,28648646,28649016,2,"1,3",1,0,1
chr1,28668611,28668676,3,"1,2,3",1,1,1
chr1,28668676,28668806,2,"1,3",1,0,1
chr1,28736691,28736698,2,"2,3",0,1,1
chr1,28736698,28736825,3,"1,2,3",1,1,1
chr1,28736825,28736831,2,"2,3",0,1,1
chr1,28736831,28737201,3,"1,2,3",1,1,1
chr1,28737201,28737278,2,"2,3",0,1,1
chr1,28882238,28882313,2,"2,3",0,1,1
chr1,28882313,28882429,3,"1,2,3",1,1,1
chr1,28883973,28884038,2,"1,3",1,0,1
chr1,28884038,28884268,3,"1,2,3",1,1,1
chr1,28885019,28885244,3,"1,2,3",1,1,1
chr1,28885244,28885265,2,"2,3",0,1,1
chr1,29157087,29157263,2,"1,3",1,0,1
chr1,29202820,29202873,2,"1,3",1,0,1
chr1,29230811,29230882,2,"2,3",0,1,1
chr1,29230882,29231053,3,"1,2,3",1,1,1
chr1,29231053,29231069,2,"2,3",0,1,1
chr1,30717915,30718244,2,"1,3",1,0,1
chr1,30718675,30719019,2,"1,3",1,0,1
chr1,30824039,30824213,2,"1,3",1,0,1
chr1,30824213,30824570,3,"1,2,3",1,1,1
chr1,30824570,30824633,2,"2,3",0,1,1
chr1,30872171,30872510,2,"1,3",1,0,1
chr1,30919146,30919386,2,"2,3",0,1,1
chr1,30919437,30919476,2,"2,3",0,1,1
chr1,30919476,30919721,3,"1,2,3",1,1,1
chr1,31085073,31085430,2,"1,3",1,0,1
chr1,31170728,31170754,2,"1,3",1,0,1
chr1,31170754,31171053,3,"1,2,3",1,1,1
chr1,31171053,31171175,2,"1,3",1,0,1
chr1,31296670,31296880,3,"1,2,3",1,1,1
chr1,31296880,31297034,2,"1,3",1,0,1
chr1,31644454,31644550,2,"2,3",0,1,1
chr1,31644550,31644746,3,"1,2,3",1,1,1
chr1,31644746,31645076,2,"2,3",0,1,1
chr1,31645076,31645077,3,"1,2,3",1,1,1
chr1,31645077,31645387,2,"1,3",1,0,1
chr1,31788525,31788802,2,"1,3",1,0,1
chr1,31938370,31938445,2,"1,3",1,0,1
chr1,31938445,31938844,3,"1,2,3",1,1,1
chr1,31938844,31938865,2,"2,3",0,1,1
chr1,32013715,32013972,2,"2,3",0,1,1
chr1,32072931,32073093,2,"1,3",1,0,1
chr1,32107869,32108158,2,"1,3",1,0,1
chr1,32179545,32179915,2,"1,3",1,0,1
chr1,32215672,32215950,2,"2,3",0,1,1
chr1,32222246,32222491,2,"2,3",0,1,1
chr1,32291770,32292127,2,"1,3",1,0,1
chr1,32292227,32292370,2,"2,3",0,1,1
chr1,32351515,32351931,2,"2,3",0,1,1
chr1,32394528,32394610,2,"2,3",0,1,1
chr1,32394610,32394834,3,"1,2,3",1,1,1
chr1,32394834,32394897,2,"2,3",0,1,1
chr1,32650479,32650613,2,"1,3",1,0,1
chr1,32650613,32650704,3,"1,2,3",1,1,1
chr1,32650862,32651033,3,"1,2,3",1,1,1
chr1,32651033,32651110,2,"1,3",1,0,1
chr1,32712250,32712282,2,"1,3",1,0,1
chr1,32712282,32712622,3,"1,2,3",1,1,1
chr1,32712622,32712637,2,"2,3",0,1,1
chr1,32725173,32725519,2,"1,3",1,0,1
chr1,32817202,32817549,3,"1,2,3",1,1,1
chr1,32817549,32817701,2,"2,3",0,1,1
chr1,32892919,32893484,2,"1,3",1,0,1
chr1,33009627,33009883,3,"1,2,3",1,1,1
chr1,33349999,33350033,2,"1,3",1,0,1
chr1,33350033,33350369,3,"1,2,3",1,1,1
chr1,33350369,33350586,2,"2,3",0,1,1
chr1,33472479,33472753,2,"1,3",1,0,1
chr1,34852692,34853019,2,"1,3",1,0,1
chr1,34859679,34859714,2,"1,3",1,0,1
chr1,34859714,34859999,3,"1,2,3",1,1,1
chr1,34859999,34860003,2,"2,3",0,1,1
chr1,35268480,35268579,2,"2,3",0,1,1
chr1,35268579,35268624,3,"1,2,3",1,1,1
chr1,35268624,35268849,2,"1,3",1,0,1
chr1,35557037,35557407,2,"1,3",1,0,1
chr1,35557481,35557851,2,"1,3",1,0,1
chr1,35869516,35869832,2,"1,3",1,0,1
chr1,35882960,35883329,2,"1,3",1,0,1
chr1,35930935,35931030,2,"1,3",1,0,1
chr1,35931030,35931305,3,"1,2,3",1,1,1
chr1,35931305,35931377,2,"2,3",0,1,1
chr1,36088715,36088779,2,"2,3",0,1,1
chr1,36088779,36088946,3,"1,2,3",1,1,1
chr1,36088946,36089214,2,"2,3",0,1,1
chr1,36099661,36099892,2,"1,3",1,0,1
chr1,36149231,36149449,2,"2,3",0,1,1
chr1,36149449,36149651,3,"1,2,3",1,1,1
chr1,36149651,36149819,2,"1,3",1,0,1
chr1,36150859,36150909,2,"2,3",0,1,1
chr1,36150909,36151026,3,"1,2,3",1,1,1
chr1,36151026,36151117,2,"2,3",0,1,1
chr1,36156171,36156275,2,"1,3",1,0,1
chr1,36188137,36188481,2,"1,3",1,0,1
chr1,36223947,36224125,3,"1,2,3",1,1,1
chr1,36224125,36224191,2,"1,3",1,0,1
chr1,36321108,36321374,2,"2,3",0,1,1
chr1,36385865,36386235,2,"1,3",1,0,1
chr1,36386455,36386795,3,"1,2,3",1,1,1
chr1,36397704,36397746,2,"2,3",0,1,1
chr1,36397746,36398116,3,"1,2,3",1,1,1
chr1,36398116,36398124,2,"2,3",0,1,1
chr1,36464260,36464423,3,"1,2,3",1,1,1
chr1,36464423,36464502,2,"2,3",0,1,1
chr1,37454909,37455228,2,"1,3",1,0,1
chr1,37474368,37474738,2,"1,3",1,0,1
chr1,37690423,37690430,2,"2,3",0,1,1
chr1,37690430,37690796,3,"1,2,3",1,1,1
chr1,37690796,37690800,2,"1,3",1,0,1
chr1,37692294,37692475,2,"1,3",1,0,1
chr1,37808546,37808679,2,"2,3",0,1,1
chr1,37859491,37859779,3,"1,2,3",1,1,1
chr1,37859779,37860023,2,"2,3",0,1,1
chr1,37860152,37860385,2,"2,3",0,1,1
chr1,37946975,37947006,2,"2,3",0,1,1
chr1,37947006,37947100,3,"1,2,3",1,1,1
chr1,37947100,37947185,2,"2,3",0,1,1
chr1,37989912,37989945,2,"2,3",0,1,1
chr1,37989945,37990258,3,"1,2,3",1,1,1
chr1,37990258,37990300,2,"2,3",0,1,1
chr1,37999608,37999850,3,"1,2,3",1,1,1
chr1,38012574,38012730,2,"1,3",1,0,1
chr1,38859701,38860083,2,"1,3",1,0,1
chr1,38873159,38873529,2,"1,3",1,0,1
chr1,38990786,38990792,2,"1,3",1,0,1
chr1,38990792,38990954,3,"1,2,3",1,1,1
chr1,38990954,38991068,2,"1,3",1,0,1
chr1,38991265,38991603,2,"1,3",1,0,1
chr1,39026103,39026209,2,"1,3",1,0,1
chr1,39026209,39026473,3,"1,2,3",1,1,1
chr1,39026473,39026620,2,"2,3",0,1,1
chr1,39491517,39491887,2,"1,3",1,0,1
chr1,39576750,39577051,2,"1,3",1,0,1
chr1,39639638,39640138,2,"1,3",1,0,1
chr1,39691292,39691632,2,"1,3",1,0,1
chr1,39701846,39702158,2,"1,3",1,0,1
chr1,39711500,39711870,2,"1,3",1,0,1
chr1,39799234,39799523,2,"1,3",1,0,1
chr1,39799644,39799719,2,"2,3",0,1,1
chr1,39799719,39799928,3,"1,2,3",1,1,1
chr1,39799928,39799989,2,"2,3",0,1,1
chr1,39899041,39899312,2,"1,3",1,0,1
chr1,40039857,40039961,2,"1,3",1,0,1
chr1,40039961,40040124,3,"1,2,3",1,1,1
chr1,40040124,40040381,2,"2,3",0,1,1
chr1,40040654,40040841,2,"1,3",1,0,1
chr1,40040841,40040865,3,"1,2,3",1,1,1
chr1,40161157,40161531,2,"1,3",1,0,1
chr1,40257937,40258307,2,"1,3",1,0,1
chr1,40531609,40531682,2,"1,3",1,0,1
chr1,40531682,40531864,3,"1,2,3",1,1,1
chr1,40691398,40691468,3,"1,2,3",1,1,1
chr1,40691468,40691857,2,"1,3",1,0,1
chr1,40802242,40802427,3,"1,2,3",1,1,1
chr1,40802427,40802449,2,"2,3",0,1,1
chr1,40802706,40802741,2,"1,3",1,0,1
chr1,40802741,40802798,3,"1,2,3",1,1,1
chr1,40862612,40862867,2,"1,3",1,0,1
chr1,40868373,40868643,2,"1,3",1,0,1
chr1,40979627,40979997,2,"1,3",1,0,1
chr1,41361077,41361447,2,"1,3",1,0,1
chr1,42334416,42334786,2,"1,3",1,0,1
chr1,42335229,42335447,2,"1,3",1,0,1
chr1,42658242,42658522,2,"1,3",1,0,1
chr1,42682047,42682417,2,"1,3",1,0,1
chr1,42767319,42767390,2,"2,3",0,1,1
chr1,42767390,42767573,3,"1,2,3",1,1,1
chr1,42817123,42817493,2,"1,3",1,0,1
chr1,42924222,42924252,2,"1,3",1,0,1
chr1,42924252,42924482,3,"1,2,3",1,1,1
chr1,42924482,42924901,2,"2,3",0,1,1
chr1,42958134,42958397,2,"1,3",1,0,1
chr1,43172179,43172524,2,"2,3",0,1,1
chr1,43368214,43368584,2,"1,3",1,0,1
chr1,43389652,43390022,2,"1,3",1,0,1
chr1,43522820,43523064,2,"1,3",1,0,1
chr1,43649801,43650138,2,"1,3",1,0,1
chr1,43650593,43650623,2,"2,3",0,1,1
chr1,43650623,43650643,3,"1,2,3",1,1,1
chr1,43707266,43707301,3,"1,2,3",1,1,1
chr1,43707301,43707341,2,"2,3",0,1,1
chr1,43707543,43708060,2,"1,3",1,0,1
chr1,43946523,43946545,2,"1,3",1,0,1
chr1,43946545,43946893,3,"1,2,3",1,1,1
chr1,43946893,43946965,2,"2,3",0,1,1
chr1,43974699,43974860,3,"1,2,3",1,1,1
chr1,43974860,43975003,2,"1,3",1,0,1
chr1,44030002,44030372,2,"1,3",1,0,1
chr1,44036041,44036062,2,"2,3",0,1,1
chr1,44036062,44036251,3,"1,2,3",1,1,1
chr1,44036251,44036376,2,"2,3",0,1,1
chr1,44213275,44213293,2,"1,3",1,0,1
chr1,44213293,44213632,3,"1,2,3",1,1,1
chr1,44213632,44213768,2,"2,3",0,1,1
chr1,44238144,44238375,2,"1,3",1,0,1
