chrom,start,end,num,list,ENCFF043BDQ_ELK1_sorted.bed,ENCFF161GMM_ELK1_sorted.bed,ENCFF246GYO_ELK1_sorted.bed,ENCFF687ZYR_ELK1_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,2391611,2391901,3,"1,4,5",1,0,0,1,1
chr1,2391901,2391933,2,"1,5",1,0,0,0,1
chr1,2643070,2643400,2,"4,5",0,0,0,1,1
chr1,3624683,3625005,2,"4,5",0,0,0,1,1
chr1,3649929,3650015,2,"4,5",0,0,0,1,1
chr1,3650015,3650224,3,"1,4,5",1,0,0,1,1
chr1,3650224,3650231,2,"1,5",1,0,0,0,1
chr1,3747212,3747542,2,"4,5",0,0,0,1,1
chr1,6554414,6554744,2,"4,5",0,0,0,1,1
chr1,6613073,6613214,2,"4,5",0,0,0,1,1
chr1,7771038,7771330,2,"4,5",0,0,0,1,1
chr1,7954167,7954433,2,"1,5",1,0,0,0,1
chr1,7961299,7961486,2,"1,5",1,0,0,0,1
chr1,7961486,7961816,3,"1,4,5",1,0,0,1,1
chr1,7961816,7961825,2,"1,5",1,0,0,0,1
chr1,8878596,8878648,2,"1,5",1,0,0,0,1
chr1,9234703,9235183,2,"2,5",0,1,0,0,1
chr1,9943256,9943290,2,"4,5",0,0,0,1,1
chr1,9943290,9943586,3,"1,4,5",1,0,0,1,1
chr1,9943586,9943587,2,"1,5",1,0,0,0,1
chr1,10032508,10032736,2,"1,5",1,0,0,0,1
chr1,10398741,10399065,2,"1,5",1,0,0,0,1
chr1,10472373,10472697,2,"1,5",1,0,0,0,1
chr1,10474783,10475080,2,"1,5",1,0,0,0,1
chr1,11273197,11273527,2,"4,5",0,0,0,1,1
chr1,11797811,11798135,2,"4,5",0,0,0,1,1
chr1,11803503,11803750,2,"4,5",0,0,0,1,1
chr1,11805885,11805895,2,"4,5",0,0,0,1,1
chr1,11805895,11806215,3,"1,4,5",1,0,0,1,1
chr1,11806215,11806219,2,"1,5",1,0,0,0,1
chr1,11907766,11907778,2,"1,5",1,0,0,0,1
chr1,11907778,11907964,3,"1,4,5",1,0,0,1,1
chr1,11907964,11907966,2,"1,5",1,0,0,0,1
chr1,11908425,11908749,2,"1,5",1,0,0,0,1
chr1,11909652,11909944,2,"1,5",1,0,0,0,1
chr1,11934440,11934767,2,"4,5",0,0,0,1,1
chr1,11980046,11980552,2,"4,5",0,0,0,1,1
chr1,15834742,15835072,2,"4,5",0,0,0,1,1
chr1,15975939,15976269,2,"4,5",0,0,0,1,1
chr1,16012816,16013119,2,"4,5",0,0,0,1,1
chr1,16237054,16237340,2,"4,5",0,0,0,1,1
chr1,16366921,16367176,3,"1,4,5",1,0,0,1,1
chr1,16367176,16367190,2,"4,5",0,0,0,1,1
chr1,16440476,16440511,2,"1,5",1,0,0,0,1
chr1,16440511,16440800,3,"1,4,5",1,0,0,1,1
chr1,16440800,16440838,2,"4,5",0,0,0,1,1
chr1,16513717,16513974,2,"1,5",1,0,0,0,1
chr1,16613558,16613667,2,"1,5",1,0,0,0,1
chr1,16613667,16613986,3,"1,4,5",1,0,0,1,1
chr1,16624986,16625217,2,"4,5",0,0,0,1,1
chr1,16644585,16644590,2,"1,5",1,0,0,0,1
chr1,16644590,16644909,3,"1,4,5",1,0,0,1,1
chr1,16644909,16645135,2,"4,5",0,0,0,1,1
chr1,16896037,16896361,2,"1,5",1,0,0,0,1
chr1,16905017,16905347,2,"4,5",0,0,0,1,1
chr1,16905429,16905696,2,"1,5",1,0,0,0,1
chr1,19210041,19210147,2,"2,5",0,1,0,0,1
chr1,19210147,19210176,3,"2,3,5",0,1,1,0,1
chr1,19210176,19210187,4,"1,2,3,5",1,1,1,0,1
chr1,19210187,19210500,5,"1,2,3,4,5",1,1,1,1,1
chr1,19210500,19210517,4,"2,3,4,5",0,1,1,1,1
chr1,19210517,19210521,3,"2,3,5",0,1,1,0,1
chr1,19210521,19210531,2,"3,5",0,0,1,0,1
chr1,19596718,19596743,2,"4,5",0,0,0,1,1
chr1,19596743,19597048,3,"1,4,5",1,0,0,1,1
chr1,19597048,19597282,2,"1,5",1,0,0,0,1
chr1,20185363,20185596,2,"4,5",0,0,0,1,1
chr1,20508010,20508119,2,"1,5",1,0,0,0,1
chr1,20508119,20508208,3,"1,4,5",1,0,0,1,1
chr1,20508208,20508313,2,"1,5",1,0,0,0,1
chr1,20661366,20661418,2,"1,5",1,0,0,0,1
chr1,20661418,20661594,3,"1,4,5",1,0,0,1,1
chr1,20661594,20661690,2,"1,5",1,0,0,0,1
chr1,21905163,21905377,2,"1,5",1,0,0,0,1
chr1,22025366,22025584,2,"4,5",0,0,0,1,1
chr1,22025663,22025686,2,"4,5",0,0,0,1,1
chr1,23539888,23540199,2,"4,5",0,0,0,1,1
chr1,23554815,23555145,2,"4,5",0,0,0,1,1
chr1,23691635,23691905,2,"1,5",1,0,0,0,1
chr1,23743308,23743498,2,"4,5",0,0,0,1,1
chr1,23800756,23801055,2,"4,5",0,0,0,1,1
chr1,25232395,25232692,3,"1,4,5",1,0,0,1,1
chr1,25232692,25232702,2,"4,5",0,0,0,1,1
chr1,25239770,25240100,2,"4,5",0,0,0,1,1
chr1,25998090,25998420,2,"4,5",0,0,0,1,1
chr1,26169741,26169745,2,"4,5",0,0,0,1,1
chr1,26169745,26170069,3,"1,4,5",1,0,0,1,1
chr1,26170069,26170071,2,"4,5",0,0,0,1,1
chr1,26233816,26234129,2,"4,5",0,0,0,1,1
chr1,26336679,26336688,2,"2,5",0,1,0,0,1
chr1,26432118,26432448,2,"4,5",0,0,0,1,1
chr1,26636531,26636537,2,"4,5",0,0,0,1,1
chr1,26636537,26636860,3,"1,4,5",1,0,0,1,1
chr1,26636860,26636861,2,"1,5",1,0,0,0,1
chr1,27322022,27322111,2,"1,5",1,0,0,0,1
chr1,27322111,27322346,3,"1,4,5",1,0,0,1,1
chr1,27322346,27322506,2,"4,5",0,0,0,1,1
chr1,28088447,28088771,2,"1,5",1,0,0,0,1
chr1,28328855,28328860,2,"4,5",0,0,0,1,1
chr1,28328860,28329184,3,"1,4,5",1,0,0,1,1
chr1,28329184,28329185,2,"4,5",0,0,0,1,1
chr1,28505851,28506175,2,"1,5",1,0,0,0,1
chr1,28581713,28581848,2,"1,5",1,0,0,0,1
chr1,28581848,28582037,3,"1,4,5",1,0,0,1,1
chr1,28582037,28582217,2,"4,5",0,0,0,1,1
chr1,28642909,28642969,2,"4,5",0,0,0,1,1
chr1,28642969,28643239,3,"1,4,5",1,0,0,1,1
chr1,28643239,28643293,2,"1,5",1,0,0,0,1
chr1,28648659,28648769,2,"4,5",0,0,0,1,1
chr1,28648769,28648989,3,"1,4,5",1,0,0,1,1
chr1,28648989,28649318,2,"1,5",1,0,0,0,1
chr1,28668611,28668874,3,"1,4,5",1,0,0,1,1
chr1,28668874,28668883,2,"1,5",1,0,0,0,1
chr1,28736574,28736904,2,"4,5",0,0,0,1,1
chr1,28882125,28882395,3,"1,4,5",1,0,0,1,1
chr1,28882395,28882429,2,"1,5",1,0,0,0,1
chr1,29236396,29236626,2,"3,5",0,0,1,0,1
chr1,31938254,31938571,2,"4,5",0,0,0,1,1
chr1,32013648,32013688,2,"4,5",0,0,0,1,1
chr1,32013688,32013972,3,"1,4,5",1,0,0,1,1
chr1,32179551,32179881,2,"4,5",0,0,0,1,1
chr1,32222246,32222491,2,"4,5",0,0,0,1,1
chr1,32650357,32650687,2,"4,5",0,0,0,1,1
chr1,32817202,32817220,2,"1,5",1,0,0,0,1
chr1,32817220,32817505,3,"1,4,5",1,0,0,1,1
chr1,32817505,32817550,2,"4,5",0,0,0,1,1
chr1,33472458,33472753,2,"1,5",1,0,0,0,1
chr1,34859525,34859743,2,"2,5",0,1,0,0,1
chr1,35557562,35557892,2,"4,5",0,0,0,1,1
chr1,35930941,35931012,2,"2,5",0,1,0,0,1
chr1,35931012,35931076,3,"2,4,5",0,1,0,1,1
chr1,35931076,35931342,4,"1,2,4,5",1,1,0,1,1
chr1,35931342,35931377,3,"1,2,5",1,1,0,0,1
chr1,36088672,36088690,2,"4,5",0,0,0,1,1
chr1,36088690,36088984,3,"1,4,5",1,0,0,1,1
chr1,36088984,36089014,2,"1,5",1,0,0,0,1
chr1,36321108,36321120,2,"3,5",0,0,1,0,1
chr1,36321120,36321226,3,"3,4,5",0,0,1,1,1
chr1,36321226,36321450,2,"4,5",0,0,0,1,1
chr1,37454909,37455213,2,"4,5",0,0,0,1,1
chr1,37474378,37474708,2,"4,5",0,0,0,1,1
chr1,37690423,37690719,2,"4,5",0,0,0,1,1
chr1,37808076,37808370,3,"1,4,5",1,0,0,1,1
chr1,37808370,37808385,2,"1,5",1,0,0,0,1
chr1,37989912,37989948,2,"1,5",1,0,0,0,1
chr1,37989948,37990211,3,"1,4,5",1,0,0,1,1
chr1,37990211,37990278,2,"4,5",0,0,0,1,1
chr1,38873380,38873710,2,"4,5",0,0,0,1,1
chr1,38991029,38991045,2,"4,5",0,0,0,1,1
chr1,38991045,38991359,3,"1,4,5",1,0,0,1,1
chr1,38991359,38991369,2,"1,5",1,0,0,0,1
chr1,39026203,39026533,2,"4,5",0,0,0,1,1
chr1,39799234,39799512,3,"1,4,5",1,0,0,1,1
chr1,39799512,39799536,2,"4,5",0,0,0,1,1
chr1,40039857,40039918,4,"1,2,3,5",1,1,1,0,1
chr1,40039918,40040073,5,"1,2,3,4,5",1,1,1,1,1
chr1,40040073,40040151,4,"1,2,3,5",1,1,1,0,1
chr1,40040151,40040199,3,"2,3,5",0,1,1,0,1
chr1,40040199,40040228,2,"2,5",0,1,0,0,1
chr1,40040546,40040559,2,"4,5",0,0,0,1,1
chr1,40040559,40040865,3,"1,4,5",1,0,0,1,1
chr1,40257779,40257838,2,"1,5",1,0,0,0,1
chr1,40257838,40258103,3,"1,4,5",1,0,0,1,1
chr1,40258103,40258168,2,"4,5",0,0,0,1,1
chr1,40373549,40373803,2,"1,5",1,0,0,0,1
chr1,42658253,42658258,2,"4,5",0,0,0,1,1
chr1,42658258,42658522,3,"1,4,5",1,0,0,1,1
chr1,42825260,42825590,2,"4,5",0,0,0,1,1
chr1,43172179,43172462,3,"1,4,5",1,0,0,1,1
chr1,43172462,43172474,2,"4,5",0,0,0,1,1
chr1,43358398,43358551,2,"4,5",0,0,0,1,1
chr1,43389628,43389650,2,"4,5",0,0,0,1,1
chr1,43389650,43389958,3,"1,4,5",1,0,0,1,1
chr1,43389958,43389974,2,"1,5",1,0,0,0,1
chr1,43946656,43947186,2,"4,5",0,0,0,1,1
chr1,43969709,43969941,2,"1,5",1,0,0,0,1
chr1,44035936,44035947,2,"4,5",0,0,0,1,1
chr1,44035947,44036266,3,"1,4,5",1,0,0,1,1
chr1,44036266,44036271,2,"1,5",1,0,0,0,1
chr1,44213275,44213284,2,"4,5",0,0,0,1,1
chr1,44213284,44213593,3,"1,4,5",1,0,0,1,1
chr1,44213593,44213608,2,"1,5",1,0,0,0,1
chr1,44721536,44722005,2,"1,5",1,0,0,0,1
chr1,44722050,44722117,2,"1,5",1,0,0,0,1
chr1,44730533,44731329,2,"1,5",1,0,0,0,1
chr1,44775069,44775393,2,"1,5",1,0,0,0,1
chr1,44819426,44819907,2,"1,5",1,0,0,0,1
chr1,44986516,44986840,2,"1,5",1,0,0,0,1
chr1,45339977,45340301,2,"1,5",1,0,0,0,1
chr1,45521574,45521994,2,"1,5",1,0,0,0,1
chr1,45550752,45551082,2,"4,5",0,0,0,1,1
chr1,45583861,45583873,2,"4,5",0,0,0,1,1
chr1,45583873,45584030,3,"1,4,5",1,0,0,1,1
chr1,45584030,45584128,4,"1,2,4,5",1,1,0,1,1
chr1,45584128,45584138,3,"1,2,5",1,1,0,0,1
chr1,45584372,45584510,2,"2,5",0,1,0,0,1
chr1,45686431,45686857,2,"4,5",0,0,0,1,1
chr1,46303196,46303427,2,"1,5",1,0,0,0,1
chr1,46303511,46303520,3,"1,4,5",1,0,0,1,1
chr1,46303520,46303793,2,"4,5",0,0,0,1,1
chr1,46340603,46340933,2,"4,5",0,0,0,1,1
chr1,47181274,47181604,2,"4,5",0,0,0,1,1
chr1,47437847,47438177,2,"4,5",0,0,0,1,1
chr1,50960114,50960557,2,"4,5",0,0,0,1,1
chr1,50968184,50968664,2,"2,5",0,1,0,0,1
chr1,52033645,52033956,2,"4,5",0,0,0,1,1
chr1,52365990,52366259,2,"1,5",1,0,0,0,1
chr1,52404410,52404710,2,"4,5",0,0,0,1,1
chr1,53196630,53196954,3,"1,4,5",1,0,0,1,1
chr1,53196954,53196960,2,"4,5",0,0,0,1,1
chr1,53220155,53220157,2,"4,5",0,0,0,1,1
chr1,53220157,53220431,3,"1,4,5",1,0,0,1,1
chr1,53220431,53220481,2,"1,5",1,0,0,0,1
chr1,53238406,53238412,2,"1,5",1,0,0,0,1
chr1,53238412,53238730,3,"1,4,5",1,0,0,1,1
chr1,53238730,53238742,2,"4,5",0,0,0,1,1
chr1,53838394,53838397,2,"1,5",1,0,0,0,1
chr1,53838397,53838718,3,"1,4,5",1,0,0,1,1
chr1,53838718,53838727,2,"4,5",0,0,0,1,1
chr1,54053100,54053257,2,"4,5",0,0,0,1,1
chr1,54053323,54053764,2,"1,5",1,0,0,0,1
chr1,54715636,54715686,2,"4,5",0,0,0,1,1
chr1,54715686,54715966,3,"1,4,5",1,0,0,1,1
chr1,54715966,54716010,2,"1,5",1,0,0,0,1
chr1,54764540,54764558,2,"4,5",0,0,0,1,1
chr1,54764558,54764870,3,"1,4,5",1,0,0,1,1
chr1,54764870,54764882,2,"1,5",1,0,0,0,1
chr1,55215174,55215504,2,"4,5",0,0,0,1,1
chr1,66925015,66925345,2,"4,5",0,0,0,1,1
chr1,78004086,78004251,2,"1,5",1,0,0,0,1
chr1,78004251,78004410,3,"1,4,5",1,0,0,1,1
chr1,78004410,78004581,2,"4,5",0,0,0,1,1
chr1,84077803,84078133,2,"4,5",0,0,0,1,1
chr1,84506083,84506407,2,"1,5",1,0,0,0,1
chr1,84620662,84621027,2,"1,5",1,0,0,0,1
chr1,85276656,85276986,2,"4,5",0,0,0,1,1
chr1,85576899,85576900,2,"1,5",1,0,0,0,1
chr1,85576900,85577223,3,"1,4,5",1,0,0,1,1
chr1,85577223,85577230,2,"4,5",0,0,0,1,1
chr1,89524282,89524468,2,"2,5",0,1,0,0,1
chr1,89524501,89524580,2,"2,5",0,1,0,0,1
chr1,93180537,93180824,2,"4,5",0,0,0,1,1
chr1,93345633,93345726,2,"1,5",1,0,0,0,1
chr1,93345726,93345957,3,"1,4,5",1,0,0,1,1
chr1,93345957,93345998,2,"4,5",0,0,0,1,1
chr1,93879010,93879340,2,"4,5",0,0,0,1,1
chr1,95116911,95117006,2,"4,5",0,0,0,1,1
chr1,95117204,95117241,2,"4,5",0,0,0,1,1
chr1,100132829,100132871,2,"1,5",1,0,0,0,1
chr1,100132871,100133153,3,"1,4,5",1,0,0,1,1
chr1,100133153,100133201,2,"4,5",0,0,0,1,1
chr1,108200242,108200533,2,"4,5",0,0,0,1,1
chr1,108747320,108747545,2,"4,5",0,0,0,1,1
chr1,109099987,109100310,2,"4,5",0,0,0,1,1
chr1,109213692,109213709,2,"1,5",1,0,0,0,1
chr1,109213709,109214016,3,"1,4,5",1,0,0,1,1
chr1,109214016,109214039,2,"4,5",0,0,0,1,1
chr1,109283106,109283143,2,"4,5",0,0,0,1,1
chr1,109283143,109283436,3,"1,4,5",1,0,0,1,1
chr1,109283436,109283467,2,"1,5",1,0,0,0,1
chr1,109484001,109484329,2,"2,5",0,1,0,0,1
chr1,109548393,109548407,2,"4,5",0,0,0,1,1
chr1,109548407,109548694,3,"1,4,5",1,0,0,1,1
chr1,109548694,109548731,2,"1,5",1,0,0,0,1
chr1,110407651,110407926,2,"4,5",0,0,0,1,1
chr1,110963769,110964061,2,"4,5",0,0,0,1,1
chr1,112619575,112619902,2,"4,5",0,0,0,1,1
chr1,113758934,113759264,2,"4,5",0,0,0,1,1
chr1,113812248,113812578,2,"4,5",0,0,0,1,1
chr1,113905069,113905080,2,"4,5",0,0,0,1,1
chr1,113905080,113905399,3,"1,4,5",1,0,0,1,1
chr1,113905399,113905404,2,"1,5",1,0,0,0,1
chr1,113929389,113929420,2,"1,5",1,0,0,0,1
chr1,113929420,113929713,3,"1,4,5",1,0,0,1,1
chr1,113929713,113929750,2,"4,5",0,0,0,1,1
chr1,114716659,114716903,3,"1,4,5",1,0,0,1,1
chr1,114716903,114716941,2,"4,5",0,0,0,1,1
chr1,116570886,116571105,2,"1,5",1,0,0,0,1
chr1,120850684,120850690,2,"1,5",1,0,0,0,1
chr1,120850690,120851008,3,"1,4,5",1,0,0,1,1
chr1,120851008,120851020,2,"4,5",0,0,0,1,1
chr1,120942569,120942893,2,"1,5",1,0,0,0,1
chr1,144412521,144412843,2,"1,5",1,0,0,0,1
chr1,145281071,145281372,3,"1,4,5",1,0,0,1,1
chr1,145281372,145281587,2,"1,5",1,0,0,0,1
chr1,145845526,145845850,2,"1,5",1,0,0,0,1
chr1,145996559,145996872,2,"4,5",0,0,0,1,1
chr1,147084319,147084437,2,"1,5",1,0,0,0,1
chr1,147084437,147084643,3,"1,4,5",1,0,0,1,1
chr1,147084643,147084767,2,"4,5",0,0,0,1,1
chr1,147172140,147172294,2,"4,5",0,0,0,1,1
chr1,147172435,147172765,2,"4,5",0,0,0,1,1
chr1,148334282,148334454,2,"1,5",1,0,0,0,1
chr1,148388286,148388585,2,"4,5",0,0,0,1,1
chr1,149887800,149887976,2,"1,5",1,0,0,0,1
chr1,150579582,150579767,3,"1,4,5",1,0,0,1,1
chr1,150579767,150579776,2,"4,5",0,0,0,1,1
chr1,150926099,150926429,2,"4,5",0,0,0,1,1
chr1,151008230,151008542,2,"4,5",0,0,0,1,1
chr1,151165882,151165887,2,"1,5",1,0,0,0,1
chr1,151165887,151166206,3,"1,4,5",1,0,0,1,1
chr1,151166206,151166217,2,"4,5",0,0,0,1,1
chr1,151190071,151190342,3,"1,4,5",1,0,0,1,1
chr1,151190342,151190380,2,"1,5",1,0,0,0,1
chr1,151281364,151281694,2,"4,5",0,0,0,1,1
chr1,151399455,151399613,2,"1,5",1,0,0,0,1
chr1,153958570,153958588,2,"4,5",0,0,0,1,1
chr1,153958588,153958872,3,"1,4,5",1,0,0,1,1
chr1,154961676,154962006,2,"4,5",0,0,0,1,1
chr1,154974240,154974570,2,"4,5",0,0,0,1,1
chr1,155308629,155308949,2,"1,5",1,0,0,0,1
chr1,155562795,155563125,2,"4,5",0,0,0,1,1
chr1,155688573,155689020,2,"4,5",0,0,0,1,1
chr1,155857167,155857367,3,"1,4,5",1,0,0,1,1
chr1,155857367,155857377,2,"4,5",0,0,0,1,1
chr1,155934290,155934614,2,"4,5",0,0,0,1,1
chr1,156054544,156054868,2,"1,5",1,0,0,0,1
chr1,156193899,156193927,2,"1,5",1,0,0,0,1
chr1,156193927,156194206,3,"1,4,5",1,0,0,1,1
chr1,156282848,156283107,2,"4,5",0,0,0,1,1
chr1,156660049,156660379,2,"4,5",0,0,0,1,1
chr1,156661354,156661612,2,"1,5",1,0,0,0,1
chr1,156728843,156728993,2,"1,5",1,0,0,0,1
chr1,156741067,156741152,2,"1,5",1,0,0,0,1
chr1,156741152,156741482,3,"1,4,5",1,0,0,1,1
chr1,156741482,156741545,2,"1,5",1,0,0,0,1
chr1,159077258,159077270,2,"4,5",0,0,0,1,1
chr1,159077270,159077442,3,"1,4,5",1,0,0,1,1
chr1,159077442,159077474,2,"4,5",0,0,0,1,1
chr1,160031791,160032057,2,"4,5",0,0,0,1,1
chr1,160343134,160343432,3,"1,4,5",1,0,0,1,1
chr1,160343432,160343439,2,"1,5",1,0,0,0,1
chr1,161399241,161399482,2,"1,5",1,0,0,0,1
chr1,161399581,161399733,2,"1,5",1,0,0,0,1
chr1,161399733,161399905,3,"1,4,5",1,0,0,1,1
chr1,161399905,161400063,2,"4,5",0,0,0,1,1
chr1,162386396,162386660,2,"1,5",1,0,0,0,1
chr1,165630871,165631201,2,"4,5",0,0,0,1,1
chr1,165768710,165768722,2,"1,5",1,0,0,0,1
chr1,165768722,165769034,3,"1,4,5",1,0,0,1,1
chr1,165769034,165769052,2,"4,5",0,0,0,1,1
chr1,166839211,166839230,2,"4,5",0,0,0,1,1
chr1,166839230,166839541,3,"1,4,5",1,0,0,1,1
chr1,166839541,166839554,2,"1,5",1,0,0,0,1
chr1,167627759,167628010,2,"4,5",0,0,0,1,1
chr1,167628015,167628339,2,"1,5",1,0,0,0,1
chr1,169309384,169309388,2,"1,5",1,0,0,0,1
chr1,169309388,169309524,3,"1,4,5",1,0,0,1,1
chr1,169309524,169309543,2,"4,5",0,0,0,1,1
chr1,169367850,169367984,2,"1,5",1,0,0,0,1
chr1,169367984,169368050,3,"1,4,5",1,0,0,1,1
chr1,169368109,169368174,3,"1,4,5",1,0,0,1,1
chr1,169368174,169368344,2,"4,5",0,0,0,1,1
chr1,169485602,169485754,2,"2,5",0,1,0,0,1
chr1,169794765,169794790,2,"4,5",0,0,0,1,1
chr1,169794790,169795095,3,"1,4,5",1,0,0,1,1
chr1,169795095,169795114,2,"1,5",1,0,0,0,1
chr1,171742182,171742504,2,"1,5",1,0,0,0,1
chr1,173714771,173715039,3,"1,4,5",1,0,0,1,1
chr1,173715039,173715071,2,"4,5",0,0,0,1,1
chr1,173824408,173824732,2,"1,5",1,0,0,0,1
chr1,173868173,173868202,2,"4,5",0,0,0,1,1
chr1,173868202,173868503,3,"1,4,5",1,0,0,1,1
chr1,173868503,173868733,2,"1,5",1,0,0,0,1
chr1,174022462,174022634,2,"4,5",0,0,0,1,1
chr1,176207394,176207845,2,"4,5",0,0,0,1,1
chr1,179877847,179877964,2,"1,5",1,0,0,0,1
chr1,179882563,179882571,2,"1,5",1,0,0,0,1
chr1,179882571,179882887,3,"1,4,5",1,0,0,1,1
chr1,179882887,179882901,2,"4,5",0,0,0,1,1
chr1,181088572,181088966,2,"4,5",0,0,0,1,1
chr1,182839829,182840126,2,"4,5",0,0,0,1,1
chr1,183471903,183471938,2,"4,5",0,0,0,1,1
chr1,183471938,183472233,3,"1,4,5",1,0,0,1,1
chr1,183472233,183472262,2,"1,5",1,0,0,0,1
chr1,186375262,186375470,2,"1,5",1,0,0,0,1
chr1,186375470,186375800,3,"1,4,5",1,0,0,1,1
chr1,186375800,186375961,2,"1,5",1,0,0,0,1
chr1,197902750,197903080,2,"4,5",0,0,0,1,1
chr1,200409952,200410270,2,"4,5",0,0,0,1,1
chr1,200620659,200620986,2,"4,5",0,0,0,1,1
chr1,201955236,201955566,2,"4,5",0,0,0,1,1
chr1,202888510,202889105,2,"4,5",0,0,0,1,1
chr1,203861431,203861484,2,"1,5",1,0,0,0,1
chr1,203861484,203861628,3,"1,4,5",1,0,0,1,1
chr1,203861628,203861711,2,"1,5",1,0,0,0,1
chr1,204411724,204411736,2,"1,5",1,0,0,0,1
chr1,204411736,204412035,3,"1,4,5",1,0,0,1,1
chr1,204412035,204412219,2,"4,5",0,0,0,1,1
chr1,204516208,204516221,2,"1,5",1,0,0,0,1
chr1,204516221,204516532,3,"1,4,5",1,0,0,1,1
chr1,204516532,204516756,2,"4,5",0,0,0,1,1
chr1,205211650,205211912,2,"4,5",0,0,0,1,1
chr1,205449894,205449924,2,"2,5",0,1,0,0,1
chr1,205591882,205592171,2,"4,5",0,0,0,1,1
chr1,205631153,205631483,2,"4,5",0,0,0,1,1
chr1,205631883,205632213,2,"4,5",0,0,0,1,1
chr1,206563048,206563337,2,"4,5",0,0,0,1,1
chr1,207024820,207025150,2,"4,5",0,0,0,1,1
chr1,207751870,207751929,2,"1,5",1,0,0,0,1
chr1,207751929,207752194,3,"1,4,5",1,0,0,1,1
chr1,207752194,207752259,2,"4,5",0,0,0,1,1
chr1,209784504,209784554,2,"1,5",1,0,0,0,1
chr1,209784554,209784828,3,"1,4,5",1,0,0,1,1
chr1,209784828,209784884,2,"4,5",0,0,0,1,1
chr1,209827736,209827750,2,"4,5",0,0,0,1,1
chr1,209827750,209828066,3,"1,4,5",1,0,0,1,1
chr1,209828066,209828074,2,"1,5",1,0,0,0,1
chr1,211382608,211382938,2,"4,5",0,0,0,1,1
chr1,211578725,211578943,2,"2,5",0,1,0,0,1
chr1,212035060,212035384,2,"1,5",1,0,0,0,1
chr1,212791673,212791761,2,"4,5",0,0,0,1,1
chr1,212791761,212791970,3,"1,4,5",1,0,0,1,1
chr1,212791970,212792043,2,"1,5",1,0,0,0,1
chr1,218285091,218285158,2,"4,5",0,0,0,1,1
chr1,218285158,218285403,3,"1,4,5",1,0,0,1,1
chr1,220089738,220089975,2,"1,5",1,0,0,0,1
chr1,222643961,222643985,2,"1,5",1,0,0,0,1
chr1,222643985,222644518,3,"1,4,5",1,0,0,1,1
chr1,222644518,222644558,2,"1,5",1,0,0,0,1
chr1,224113916,224114233,2,"4,5",0,0,0,1,1
chr1,224183293,224183773,2,"2,5",0,1,0,0,1
chr1,224356667,224356936,2,"1,5",1,0,0,0,1
chr1,224434695,224434713,2,"4,5",0,0,0,1,1
chr1,224434713,224435025,3,"1,4,5",1,0,0,1,1
chr1,224435025,224435037,2,"1,5",1,0,0,0,1
chr1,227735189,227735191,2,"4,5",0,0,0,1,1
chr1,227735191,227735515,3,"1,4,5",1,0,0,1,1
chr1,227735515,227735519,2,"4,5",0,0,0,1,1
chr1,228103152,228103482,2,"4,5",0,0,0,1,1
