chrom,start,end,num,list,ENCFF701USE_SIN3A_sorted.bed,ENCFF940QMI_SIN3A_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,2546363,2546639,2,"2,3",0,1,1
chr1,2546639,2546893,3,"1,2,3",1,1,1
chr1,2546893,2547099,2,"1,3",1,0,1
chr1,2643163,2643527,3,"1,2,3",1,1,1
chr1,3624665,3624855,2,"1,3",1,0,1
chr1,3649841,3650235,3,"1,2,3",1,1,1
chr1,3650235,3650246,2,"2,3",0,1,1
chr1,3747081,3747091,2,"2,3",0,1,1
chr1,3747091,3747551,3,"1,2,3",1,1,1
chr1,3747551,3747569,2,"2,3",0,1,1
chr1,3856965,3857173,2,"1,3",1,0,1
chr1,3900012,3900295,3,"1,2,3",1,1,1
chr1,3900295,3900317,2,"2,3",0,1,1
chr1,3900950,3901096,2,"1,3",1,0,1
chr1,3901096,3901296,3,"1,2,3",1,1,1
chr1,3901296,3901410,2,"1,3",1,0,1
chr1,5992168,5992441,3,"1,2,3",1,1,1
chr1,5992441,5992461,2,"1,3",1,0,1
chr1,5992524,5992984,2,"1,3",1,0,1
chr1,6199352,6199428,2,"1,3",1,0,1
chr1,6199428,6199654,3,"1,2,3",1,1,1
chr1,6199654,6199852,2,"2,3",0,1,1
chr1,6205025,6205503,2,"2,3",0,1,1
chr1,6205865,6206128,2,"2,3",0,1,1
chr1,6206128,6206395,3,"1,2,3",1,1,1
chr1,6206395,6206597,2,"1,3",1,0,1
chr1,6235805,6235967,3,"1,2,3",1,1,1
chr1,6235967,6235970,2,"2,3",0,1,1
chr1,6393485,6393771,2,"1,3",1,0,1
chr1,6393771,6394194,3,"1,2,3",1,1,1
chr1,6554192,6554221,2,"1,3",1,0,1
chr1,6554221,6554356,3,"1,2,3",1,1,1
chr1,6554404,6554745,3,"1,2,3",1,1,1
chr1,6612709,6613239,2,"2,3",0,1,1
chr1,6613658,6614093,2,"2,3",0,1,1
chr1,6624729,6625579,2,"1,3",1,0,1
chr1,6784591,6784654,2,"2,3",0,1,1
chr1,6784654,6785114,3,"1,2,3",1,1,1
chr1,6785114,6785352,2,"2,3",0,1,1
chr1,7784114,7784334,2,"1,3",1,0,1
chr1,7953907,7954322,2,"1,3",1,0,1
chr1,7961357,7961404,2,"2,3",0,1,1
chr1,7961404,7961888,3,"1,2,3",1,1,1
chr1,7961888,7961913,2,"1,3",1,0,1
chr1,8004882,8005078,2,"2,3",0,1,1
chr1,8005078,8005491,3,"1,2,3",1,1,1
chr1,8005491,8005507,2,"1,3",1,0,1
chr1,8026085,8026263,2,"2,3",0,1,1
chr1,8047819,8048073,2,"2,3",0,1,1
chr1,8061234,8061294,2,"1,3",1,0,1
chr1,8061294,8061601,3,"1,2,3",1,1,1
chr1,8182143,8182568,2,"1,3",1,0,1
chr1,8194380,8194910,2,"2,3",0,1,1
chr1,8197789,8198006,2,"2,3",0,1,1
chr1,8202483,8202630,2,"2,3",0,1,1
chr1,8211915,8212035,2,"2,3",0,1,1
chr1,8212035,8212235,3,"1,2,3",1,1,1
chr1,8212235,8212445,2,"2,3",0,1,1
chr1,8343382,8343977,2,"2,3",0,1,1
chr1,8873638,8873963,3,"1,2,3",1,1,1
chr1,8878500,8878698,3,"1,2,3",1,1,1
chr1,8878698,8878843,2,"2,3",0,1,1
chr1,8890205,8890478,2,"2,3",0,1,1
chr1,8890478,8890632,3,"1,2,3",1,1,1
chr1,8986133,8986512,2,"1,3",1,0,1
chr1,9234275,9234675,2,"2,3",0,1,1
chr1,9234675,9234805,3,"1,2,3",1,1,1
chr1,9234805,9235135,2,"1,3",1,0,1
chr1,9290120,9290458,2,"1,3",1,0,1
chr1,9428742,9428797,2,"2,3",0,1,1
chr1,9428797,9429257,3,"1,2,3",1,1,1
chr1,9429257,9429369,2,"2,3",0,1,1
chr1,9539355,9539394,2,"1,3",1,0,1
chr1,9539394,9539598,3,"1,2,3",1,1,1
chr1,9539598,9539880,2,"2,3",0,1,1
chr1,9588509,9589006,2,"2,3",0,1,1
chr1,9823865,9823935,2,"2,3",0,1,1
chr1,9824153,9824423,2,"2,3",0,1,1
chr1,9825383,9825913,2,"2,3",0,1,1
chr1,9943179,9943281,2,"2,3",0,1,1
chr1,9943281,9943591,3,"1,2,3",1,1,1
chr1,10032422,10032894,2,"2,3",0,1,1
chr1,10033136,10033596,2,"1,3",1,0,1
chr1,10209807,10210267,2,"1,3",1,0,1
chr1,10210367,10210550,2,"1,3",1,0,1
chr1,10210550,10210695,3,"1,2,3",1,1,1
chr1,10398603,10398614,2,"2,3",0,1,1
chr1,10398614,10399004,3,"1,2,3",1,1,1
chr1,10399004,10399209,2,"2,3",0,1,1
chr1,10472287,10472299,2,"1,3",1,0,1
chr1,10472299,10472747,3,"1,2,3",1,1,1
chr1,10472747,10472791,2,"2,3",0,1,1
chr1,10474768,10475234,2,"2,3",0,1,1
chr1,11012543,11013201,2,"1,3",1,0,1
chr1,11059523,11059684,2,"2,3",0,1,1
chr1,11060011,11060167,2,"1,3",1,0,1
chr1,11060167,11060461,3,"1,2,3",1,1,1
chr1,11060461,11060519,2,"2,3",0,1,1
chr1,11099553,11100013,2,"1,3",1,0,1
chr1,11273254,11273489,2,"2,3",0,1,1
chr1,11273506,11273514,2,"1,3",1,0,1
chr1,11273514,11273658,3,"1,2,3",1,1,1
chr1,11273658,11273676,2,"1,3",1,0,1
chr1,11680619,11681430,2,"1,3",1,0,1
chr1,11735795,11735844,2,"1,3",1,0,1
chr1,11735844,11736144,3,"1,2,3",1,1,1
chr1,11736144,11736197,2,"1,3",1,0,1
chr1,11805304,11805422,2,"1,3",1,0,1
chr1,11805422,11805739,3,"1,2,3",1,1,1
chr1,11805739,11805746,2,"1,3",1,0,1
chr1,11806040,11806046,2,"2,3",0,1,1
chr1,11806046,11806432,3,"1,2,3",1,1,1
chr1,11806432,11806438,2,"2,3",0,1,1
chr1,11907921,11907932,2,"2,3",0,1,1
chr1,11907932,11907942,3,"1,2,3",1,1,1
chr1,11908145,11908451,3,"1,2,3",1,1,1
chr1,11908451,11908592,2,"1,3",1,0,1
chr1,11909600,11909907,2,"1,3",1,0,1
chr1,11926303,11926309,2,"1,3",1,0,1
chr1,11980145,11980311,2,"1,3",1,0,1
chr1,11980311,11980467,3,"1,2,3",1,1,1
chr1,11980467,11980737,2,"1,3",1,0,1
chr1,12019529,12019676,2,"2,3",0,1,1
chr1,12229832,12229874,2,"2,3",0,1,1
chr1,12229874,12230094,3,"1,2,3",1,1,1
chr1,12230094,12230304,2,"2,3",0,1,1
chr1,12617968,12618428,2,"1,3",1,0,1
chr1,12618789,12619319,2,"2,3",0,1,1
chr1,15152362,15152432,2,"1,3",1,0,1
chr1,15152432,15152962,3,"1,2,3",1,1,1
chr1,15152962,15153022,2,"1,3",1,0,1
chr1,15153365,15153825,2,"1,3",1,0,1
chr1,15153917,15154130,2,"2,3",0,1,1
chr1,15247036,15247236,2,"2,3",0,1,1
chr1,15247236,15247376,3,"1,2,3",1,1,1
chr1,15247376,15247555,2,"2,3",0,1,1
chr1,15409911,15409920,2,"2,3",0,1,1
chr1,15409920,15410134,3,"1,2,3",1,1,1
chr1,15410134,15410180,2,"2,3",0,1,1
chr1,15526450,15526587,2,"2,3",0,1,1
chr1,15526587,15527012,3,"1,2,3",1,1,1
chr1,15527012,15527091,2,"2,3",0,1,1
chr1,15584557,15585293,2,"2,3",0,1,1
chr1,15617369,15617543,2,"2,3",0,1,1
chr1,15617543,15617693,3,"1,2,3",1,1,1
chr1,15617693,15618088,2,"1,3",1,0,1
chr1,15800191,15800292,2,"2,3",0,1,1
chr1,15800292,15800721,3,"1,2,3",1,1,1
chr1,15800721,15800752,2,"1,3",1,0,1
chr1,15834398,15834443,2,"1,3",1,0,1
chr1,15834443,15834858,3,"1,2,3",1,1,1
chr1,15834858,15835066,2,"2,3",0,1,1
chr1,15835911,15836198,2,"1,3",1,0,1
chr1,15847421,15847548,3,"1,2,3",1,1,1
chr1,15847548,15847606,2,"1,3",1,0,1
chr1,15847912,15847953,2,"2,3",0,1,1
chr1,15975853,15975893,2,"1,3",1,0,1
chr1,15975893,15976102,3,"1,2,3",1,1,1
chr1,15976102,15976168,2,"2,3",0,1,1
chr1,16145697,16145910,2,"1,3",1,0,1
chr1,16155871,16155935,2,"1,3",1,0,1
chr1,16155935,16156145,3,"1,2,3",1,1,1
chr1,16156145,16156173,2,"2,3",0,1,1
chr1,16164239,16164336,2,"2,3",0,1,1
chr1,16164336,16164604,3,"1,2,3",1,1,1
chr1,16164604,16164694,2,"1,3",1,0,1
chr1,16206903,16207271,2,"2,3",0,1,1
chr1,16236169,16236587,2,"2,3",0,1,1
chr1,16236922,16236928,2,"1,3",1,0,1
chr1,16236928,16237067,3,"1,2,3",1,1,1
chr1,16237067,16237419,2,"1,3",1,0,1
chr1,16352053,16352229,2,"2,3",0,1,1
chr1,16352229,16352583,3,"1,2,3",1,1,1
chr1,16352583,16352823,2,"1,3",1,0,1
chr1,16367439,16367496,2,"1,3",1,0,1
chr1,16367496,16367811,3,"1,2,3",1,1,1
chr1,16440600,16440668,2,"2,3",0,1,1
chr1,16440668,16440961,3,"1,2,3",1,1,1
chr1,16534860,16534871,2,"2,3",0,1,1
chr1,16534871,16535331,3,"1,2,3",1,1,1
chr1,16535331,16535390,2,"2,3",0,1,1
chr1,16545742,16546080,2,"2,3",0,1,1
chr1,16612975,16612992,2,"1,3",1,0,1
chr1,16613282,16613292,2,"1,3",1,0,1
chr1,16613292,16613902,3,"1,2,3",1,1,1
chr1,16613902,16613970,2,"2,3",0,1,1
chr1,16621072,16621356,3,"1,2,3",1,1,1
chr1,16624982,16625205,2,"2,3",0,1,1
chr1,16644619,16644652,2,"1,3",1,0,1
chr1,16644652,16644792,3,"1,2,3",1,1,1
chr1,16644792,16644842,2,"2,3",0,1,1
chr1,16861882,16862393,2,"2,3",0,1,1
chr1,16895914,16895921,2,"1,3",1,0,1
chr1,16895921,16896346,3,"1,2,3",1,1,1
chr1,16904601,16905718,2,"2,3",0,1,1
chr1,17011584,17011652,2,"1,3",1,0,1
chr1,17011652,17012182,3,"1,2,3",1,1,1
chr1,17012182,17012249,2,"1,3",1,0,1
chr1,19210019,19210142,2,"1,3",1,0,1
chr1,19210142,19210582,3,"1,2,3",1,1,1
chr1,19210582,19210672,2,"2,3",0,1,1
chr1,19251424,19251558,2,"2,3",0,1,1
chr1,19251558,19251805,3,"1,2,3",1,1,1
chr1,19251805,19251828,2,"2,3",0,1,1
chr1,19312192,19312199,2,"2,3",0,1,1
chr1,19312199,19312539,3,"1,2,3",1,1,1
chr1,19596503,19596963,2,"1,3",1,0,1
chr1,19597094,19597315,2,"2,3",0,1,1
chr1,19882251,19882362,2,"2,3",0,1,1
chr1,19882362,19882781,3,"1,2,3",1,1,1
chr1,19882781,19882822,2,"1,3",1,0,1
chr1,20507865,20508022,2,"2,3",0,1,1
chr1,20508022,20508245,3,"1,2,3",1,1,1
chr1,20508245,20508427,2,"2,3",0,1,1
chr1,20661140,20661355,2,"2,3",0,1,1
chr1,20661355,20661540,3,"1,2,3",1,1,1
chr1,20661540,20661670,2,"2,3",0,1,1
chr1,20696556,20696670,2,"2,3",0,1,1
chr1,20696670,20697086,3,"1,2,3",1,1,1
chr1,20697086,20697130,2,"1,3",1,0,1
chr1,20717943,20718197,2,"2,3",0,1,1
chr1,20732408,20732910,2,"1,3",1,0,1
chr1,20732910,20733298,3,"1,2,3",1,1,1
chr1,20733298,20733592,2,"2,3",0,1,1
chr1,22025459,22025919,2,"1,3",1,0,1
chr1,22052473,22052598,2,"2,3",0,1,1
chr1,22052598,22053003,3,"1,2,3",1,1,1
chr1,22053003,22053260,2,"1,3",1,0,1
chr1,22451749,22451867,2,"1,3",1,0,1
chr1,22451867,22452410,3,"1,2,3",1,1,1
chr1,22452410,22452419,2,"2,3",0,1,1
chr1,22747291,22747727,2,"2,3",0,1,1
chr1,22750312,22750357,2,"2,3",0,1,1
chr1,22750357,22750612,3,"1,2,3",1,1,1
chr1,23019185,23019441,2,"2,3",0,1,1
chr1,23019441,23019670,3,"1,2,3",1,1,1
chr1,23019670,23019841,2,"2,3",0,1,1
chr1,23168495,23168567,2,"2,3",0,1,1
chr1,23168567,23169000,3,"1,2,3",1,1,1
chr1,23188441,23188912,2,"2,3",0,1,1
chr1,23367868,23367896,2,"1,3",1,0,1
chr1,23367896,23368426,3,"1,2,3",1,1,1
chr1,23368426,23368553,2,"1,3",1,0,1
chr1,23368918,23368990,2,"1,3",1,0,1
chr1,23368990,23369165,3,"1,2,3",1,1,1
chr1,23369165,23369266,2,"1,3",1,0,1
chr1,23377205,23377665,2,"1,3",1,0,1
chr1,23403026,23403247,3,"1,2,3",1,1,1
chr1,23403692,23404176,2,"2,3",0,1,1
chr1,23539755,23540188,2,"2,3",0,1,1
chr1,23562366,23562563,3,"1,2,3",1,1,1
chr1,23562563,23562629,2,"1,3",1,0,1
chr1,23585496,23585505,2,"2,3",0,1,1
chr1,23585505,23585965,3,"1,2,3",1,1,1
chr1,23585965,23586026,2,"2,3",0,1,1
chr1,23691779,23691796,2,"2,3",0,1,1
chr1,23691796,23691900,3,"1,2,3",1,1,1
chr1,23743465,23743768,2,"2,3",0,1,1
chr1,23743768,23744051,3,"1,2,3",1,1,1
chr1,23744051,23744136,2,"1,3",1,0,1
chr1,23778177,23778267,2,"1,3",1,0,1
chr1,23778267,23778407,3,"1,2,3",1,1,1
chr1,23778407,23778741,2,"2,3",0,1,1
chr1,23790894,23790920,2,"1,3",1,0,1
chr1,23790920,23791135,3,"1,2,3",1,1,1
chr1,23791135,23791185,2,"1,3",1,0,1
chr1,23799626,23800086,2,"1,3",1,0,1
chr1,23800471,23800521,2,"1,3",1,0,1
chr1,23800521,23800892,3,"1,2,3",1,1,1
chr1,23800892,23801035,2,"1,3",1,0,1
chr1,23838494,23838818,2,"1,3",1,0,1
chr1,23867939,23868399,2,"1,3",1,0,1
chr1,23959651,23959852,2,"2,3",0,1,1
chr1,23959852,23960154,3,"1,2,3",1,1,1
chr1,24150305,24150800,2,"2,3",0,1,1
chr1,24202003,24202374,2,"1,3",1,0,1
chr1,24413451,24413831,2,"1,3",1,0,1
chr1,24415292,24415870,2,"2,3",0,1,1
chr1,24502664,24503194,2,"2,3",0,1,1
chr1,24745066,24745185,2,"2,3",0,1,1
chr1,24745185,24745291,3,"1,2,3",1,1,1
chr1,24745291,24745760,2,"1,3",1,0,1
chr1,25232246,25232403,2,"2,3",0,1,1
chr1,25232403,25232507,3,"1,2,3",1,1,1
chr1,25232507,25232607,2,"1,3",1,0,1
chr1,25239696,25239724,2,"1,3",1,0,1
chr1,25239724,25240156,3,"1,2,3",1,1,1
chr1,25240156,25240254,2,"2,3",0,1,1
chr1,25247030,25247227,2,"2,3",0,1,1
chr1,25247227,25247238,3,"1,2,3",1,1,1
chr1,25247316,25247492,3,"1,2,3",1,1,1
chr1,25247492,25247803,2,"1,3",1,0,1
chr1,25338184,25338644,2,"1,3",1,0,1
chr1,25430258,25430290,2,"2,3",0,1,1
chr1,25430290,25430514,3,"1,2,3",1,1,1
chr1,25430514,25430537,2,"1,3",1,0,1
chr1,25430956,25431199,2,"1,3",1,0,1
chr1,25819768,25820228,2,"1,3",1,0,1
chr1,25859200,25859279,2,"2,3",0,1,1
chr1,25859279,25859552,3,"1,2,3",1,1,1
chr1,25859552,25859584,2,"2,3",0,1,1
chr1,25905630,25905760,2,"1,3",1,0,1
chr1,25905760,25905892,3,"1,2,3",1,1,1
chr1,25905892,25906090,2,"1,3",1,0,1
chr1,25906324,25906658,2,"2,3",0,1,1
chr1,25998115,25998140,2,"1,3",1,0,1
chr1,25998140,25998525,3,"1,2,3",1,1,1
chr1,25998525,25998711,2,"1,3",1,0,1
chr1,26111602,26111829,2,"2,3",0,1,1
chr1,26111829,26112010,3,"1,2,3",1,1,1
chr1,26112010,26112041,2,"2,3",0,1,1
chr1,26169832,26169841,2,"2,3",0,1,1
chr1,26169841,26170056,3,"1,2,3",1,1,1
chr1,26170056,26170239,2,"2,3",0,1,1
chr1,26234037,26234497,2,"1,3",1,0,1
chr1,26279777,26280107,2,"2,3",0,1,1
chr1,26280107,26280217,3,"1,2,3",1,1,1
chr1,26431983,26431999,2,"1,3",1,0,1
chr1,26431999,26432399,3,"1,2,3",1,1,1
chr1,26432399,26432675,2,"2,3",0,1,1
chr1,26471878,26472153,3,"1,2,3",1,1,1
chr1,26472153,26472284,2,"2,3",0,1,1
chr1,26472448,26472515,2,"1,3",1,0,1
chr1,26472568,26472908,2,"1,3",1,0,1
chr1,26473044,26473071,2,"1,3",1,0,1
chr1,26473071,26473292,3,"1,2,3",1,1,1
chr1,26529783,26529947,2,"2,3",0,1,1
chr1,26529947,26530293,3,"1,2,3",1,1,1
chr1,26692872,26692890,3,"1,2,3",1,1,1
chr1,26692890,26692924,2,"1,3",1,0,1
chr1,26692925,26693315,2,"1,3",1,0,1
chr1,26705753,26706033,3,"1,2,3",1,1,1
chr1,26787593,26787738,2,"1,3",1,0,1
chr1,26787738,26787956,3,"1,2,3",1,1,1
chr1,26787956,26788176,2,"2,3",0,1,1
chr1,26788176,26788311,3,"1,2,3",1,1,1
chr1,26863032,26863081,2,"1,3",1,0,1
chr1,26863081,26863348,3,"1,2,3",1,1,1
chr1,26864836,26865296,2,"1,3",1,0,1
chr1,26889825,26890432,2,"1,3",1,0,1
chr1,26900101,26900382,2,"2,3",0,1,1
chr1,26900382,26900526,3,"1,2,3",1,1,1
chr1,26900526,26900631,2,"2,3",0,1,1
chr1,26990625,26991010,2,"2,3",0,1,1
chr1,26993726,26993765,2,"2,3",0,1,1
chr1,26993765,26993806,3,"1,2,3",1,1,1
chr1,27012789,27013163,2,"2,3",0,1,1
chr1,27234410,27234561,2,"1,3",1,0,1
chr1,27234561,27234709,3,"1,2,3",1,1,1
chr1,27234709,27234846,2,"1,3",1,0,1
chr1,27322023,27322026,2,"2,3",0,1,1
chr1,27322026,27322355,3,"1,2,3",1,1,1
chr1,27322355,27322503,2,"2,3",0,1,1
chr1,27349370,27349900,2,"2,3",0,1,1
chr1,27366166,27366344,2,"2,3",0,1,1
chr1,27366344,27366804,3,"1,2,3",1,1,1
chr1,27366804,27367015,2,"2,3",0,1,1
chr1,27392305,27392306,2,"2,3",0,1,1
chr1,27392306,27392727,3,"1,2,3",1,1,1
chr1,27392727,27392875,2,"1,3",1,0,1
chr1,27540406,27540801,3,"1,2,3",1,1,1
chr1,27542222,27542669,2,"2,3",0,1,1
chr1,27603905,27604315,3,"1,2,3",1,1,1
chr1,27725853,27726132,2,"2,3",0,1,1
chr1,27726132,27726370,3,"1,2,3",1,1,1
chr1,27726370,27726441,2,"2,3",0,1,1
chr1,27773224,27773355,2,"1,3",1,0,1
chr1,27773355,27773570,3,"1,2,3",1,1,1
chr1,27830654,27830794,2,"2,3",0,1,1
chr1,27830794,27831184,3,"1,2,3",1,1,1
chr1,27831184,27831385,2,"1,3",1,0,1
chr1,27959475,27959902,2,"2,3",0,1,1
chr1,27959902,27959993,3,"1,2,3",1,1,1
chr1,27959993,27960328,2,"1,3",1,0,1
chr1,28087913,28088061,2,"2,3",0,1,1
chr1,28088362,28088892,2,"2,3",0,1,1
chr1,28235658,28235783,2,"2,3",0,1,1
chr1,28235960,28236404,2,"1,3",1,0,1
chr1,28259502,28259575,2,"2,3",0,1,1
chr1,28259575,28259682,3,"1,2,3",1,1,1
chr1,28259682,28260127,2,"1,3",1,0,1
chr1,28328794,28329243,2,"1,3",1,0,1
chr1,28369593,28369633,2,"1,3",1,0,1
chr1,28369633,28370053,3,"1,2,3",1,1,1
chr1,28370053,28370163,2,"2,3",0,1,1
chr1,28505773,28505840,2,"2,3",0,1,1
chr1,28505840,28506208,3,"1,2,3",1,1,1
chr1,28518238,28518382,2,"1,3",1,0,1
chr1,28552778,28552997,2,"1,3",1,0,1
chr1,28552997,28553190,3,"1,2,3",1,1,1
chr1,28553190,28553426,2,"1,3",1,0,1
chr1,28581455,28581602,2,"2,3",0,1,1
chr1,28581602,28581990,3,"1,2,3",1,1,1
chr1,28581990,28582147,2,"2,3",0,1,1
chr1,28642916,28643036,2,"2,3",0,1,1
chr1,28643036,28643254,3,"1,2,3",1,1,1
chr1,28643254,28643327,2,"2,3",0,1,1
chr1,28648538,28648994,2,"1,3",1,0,1
chr1,28736636,28736879,2,"2,3",0,1,1
chr1,28736879,28737166,3,"1,2,3",1,1,1
chr1,28737166,28737298,2,"1,3",1,0,1
chr1,28882108,28882470,2,"1,3",1,0,1
chr1,28885019,28885319,2,"1,3",1,0,1
chr1,28886820,28886911,2,"2,3",0,1,1
chr1,28886911,28887183,3,"1,2,3",1,1,1
chr1,29124319,29124728,3,"1,2,3",1,1,1
chr1,29124728,29124754,2,"2,3",0,1,1
chr1,29202819,29202851,2,"2,3",0,1,1
chr1,29202851,29202873,3,"1,2,3",1,1,1
chr1,29230776,29230850,2,"2,3",0,1,1
chr1,29230850,29230998,3,"1,2,3",1,1,1
chr1,29230998,29231086,2,"2,3",0,1,1
chr1,30718694,30718768,2,"2,3",0,1,1
chr1,30718768,30719228,3,"1,2,3",1,1,1
chr1,30719228,30719423,2,"2,3",0,1,1
chr1,31170857,31170862,2,"1,3",1,0,1
chr1,31170862,31171056,3,"1,2,3",1,1,1
chr1,31171056,31171057,2,"1,3",1,0,1
chr1,31181483,31181942,3,"1,2,3",1,1,1
chr1,31181942,31181969,2,"2,3",0,1,1
chr1,31182235,31182352,2,"2,3",0,1,1
chr1,31182352,31182666,3,"1,2,3",1,1,1
chr1,31182666,31182729,2,"2,3",0,1,1
chr1,31296472,31296594,2,"2,3",0,1,1
chr1,31296594,31296723,3,"1,2,3",1,1,1
chr1,31296723,31296997,2,"2,3",0,1,1
chr1,31297024,31297177,2,"2,3",0,1,1
chr1,31422551,31422962,2,"2,3",0,1,1
chr1,31644392,31644395,2,"2,3",0,1,1
chr1,31644395,31644910,3,"1,2,3",1,1,1
chr1,31644910,31644961,2,"1,3",1,0,1
chr1,31644961,31645061,3,"1,2,3",1,1,1
chr1,31645061,31645410,2,"2,3",0,1,1
chr1,31762687,31762765,2,"2,3",0,1,1
chr1,31762765,31763171,3,"1,2,3",1,1,1
chr1,31788263,31788822,2,"1,3",1,0,1
chr1,31788869,31788948,2,"1,3",1,0,1
chr1,31938307,31938335,2,"2,3",0,1,1
chr1,31938335,31938479,3,"1,2,3",1,1,1
chr1,31938479,31938795,2,"1,3",1,0,1
chr1,32013832,32013888,2,"2,3",0,1,1
chr1,32013888,32014117,3,"1,2,3",1,1,1
chr1,32014117,32014160,2,"1,3",1,0,1
chr1,32014576,32014700,2,"2,3",0,1,1
chr1,32072547,32072734,2,"2,3",0,1,1
chr1,32072734,32073194,3,"1,2,3",1,1,1
chr1,32073194,32073196,2,"2,3",0,1,1
chr1,32107931,32108093,2,"2,3",0,1,1
chr1,32108093,32108222,3,"1,2,3",1,1,1
chr1,32108222,32108461,2,"2,3",0,1,1
chr1,32222074,32222138,2,"1,3",1,0,1
chr1,32222138,32222527,3,"1,2,3",1,1,1
chr1,32240366,32240951,2,"1,3",1,0,1
chr1,32292046,32292506,2,"1,3",1,0,1
chr1,32351491,32351651,2,"1,3",1,0,1
chr1,32351651,32351951,3,"1,2,3",1,1,1
chr1,32351951,32352184,2,"2,3",0,1,1
chr1,32394395,32394705,2,"2,3",0,1,1
chr1,32394705,32394836,3,"1,2,3",1,1,1
chr1,32394836,32395120,2,"2,3",0,1,1
chr1,32539233,32539485,2,"2,3",0,1,1
chr1,32650264,32650292,2,"1,3",1,0,1
chr1,32650292,32650718,3,"1,2,3",1,1,1
