chrom,start,end,num,list,ENCFF447PYN_MAFK_sorted.bed,ENCFF774ZGC_MAFK_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,20847476,20847826,2,"1,3",1,0,1
chr1,21261916,21261923,2,"2,3",0,1,1
chr1,21261923,21262273,3,"1,2,3",1,1,1
chr1,21262273,21262300,2,"2,3",0,1,1
chr1,22739739,22739767,2,"1,3",1,0,1
chr1,22739767,22739921,3,"1,2,3",1,1,1
chr1,22739921,22739976,2,"1,3",1,0,1
chr1,22750352,22750371,2,"2,3",0,1,1
chr1,22750371,22750587,3,"1,2,3",1,1,1
chr1,22750587,22750612,2,"2,3",0,1,1
chr1,23168773,23168817,2,"2,3",0,1,1
chr1,23168817,23168917,3,"1,2,3",1,1,1
chr1,23168917,23168996,2,"2,3",0,1,1
chr1,23188911,23188970,2,"2,3",0,1,1
chr1,23188970,23189143,3,"1,2,3",1,1,1
chr1,23189143,23189181,2,"2,3",0,1,1
chr1,23403828,23403981,2,"2,3",0,1,1
chr1,23497210,23497438,2,"2,3",0,1,1
chr1,23585596,23585642,2,"1,3",1,0,1
chr1,23585642,23585883,3,"1,2,3",1,1,1
chr1,23585883,23585946,2,"1,3",1,0,1
chr1,26990625,26990869,2,"2,3",0,1,1
chr1,27875275,27875483,2,"2,3",0,1,1
chr1,28668597,28668834,2,"2,3",0,1,1
chr1,28885062,28885081,2,"1,3",1,0,1
chr1,28885081,28885233,3,"1,2,3",1,1,1
chr1,28972331,28972471,2,"1,3",1,0,1
chr1,28972471,28972634,3,"1,2,3",1,1,1
chr1,28972634,28972681,2,"1,3",1,0,1
chr1,29202820,29202873,2,"1,3",1,0,1
chr1,29709325,29709407,2,"2,3",0,1,1
chr1,29709407,29709544,3,"1,2,3",1,1,1
chr1,29709544,29709648,2,"2,3",0,1,1
chr1,31170733,31170768,2,"2,3",0,1,1
chr1,31170768,31171190,3,"1,2,3",1,1,1
chr1,32236157,32236493,2,"2,3",0,1,1
chr1,32539233,32539611,2,"2,3",0,1,1
chr1,32725148,32725162,2,"2,3",0,1,1
chr1,32725162,32725546,3,"1,2,3",1,1,1
chr1,32725546,32725581,2,"2,3",0,1,1
chr1,32992477,32992861,2,"2,3",0,1,1
chr1,33256912,33257020,2,"1,3",1,0,1
chr1,33257020,33257133,3,"1,2,3",1,1,1
chr1,36150838,36151134,2,"2,3",0,1,1
chr1,36248372,36248389,2,"2,3",0,1,1
chr1,36248389,36248566,3,"1,2,3",1,1,1
chr1,36248566,36248606,2,"2,3",0,1,1
chr1,36299938,36299958,2,"2,3",0,1,1
chr1,36299958,36300308,3,"1,2,3",1,1,1
chr1,36300308,36300322,2,"2,3",0,1,1
chr1,36386475,36386859,2,"2,3",0,1,1
chr1,37455031,37455062,2,"2,3",0,1,1
chr1,37455062,37455370,3,"1,2,3",1,1,1
chr1,37455370,37455403,2,"2,3",0,1,1
chr1,39639214,39639230,3,"1,2,3",1,1,1
chr1,39639230,39639276,2,"2,3",0,1,1
chr1,43349149,43349196,2,"2,3",0,1,1
chr1,43349196,43349533,3,"1,2,3",1,1,1
chr1,43349533,43349546,2,"1,3",1,0,1
chr1,43389749,43389941,2,"2,3",0,1,1
chr1,44327951,44328335,2,"2,3",0,1,1
chr1,44731219,44731537,2,"1,3",1,0,1
chr1,44775019,44775218,2,"1,3",1,0,1
chr1,44807361,44807376,2,"2,3",0,1,1
chr1,44807376,44807726,3,"1,2,3",1,1,1
chr1,44807726,44807745,2,"2,3",0,1,1
chr1,44807808,44808017,2,"2,3",0,1,1
chr1,45491441,45491573,2,"1,3",1,0,1
chr1,45491573,45491699,3,"1,2,3",1,1,1
chr1,45521831,45521850,2,"2,3",0,1,1
chr1,45521850,45522161,3,"1,2,3",1,1,1
chr1,45522161,45522197,2,"2,3",0,1,1
chr1,46348111,46348404,3,"1,2,3",1,1,1
chr1,46348404,46348428,2,"2,3",0,1,1
chr1,50960190,50960574,2,"2,3",0,1,1
chr1,50968636,50968770,2,"1,3",1,0,1
chr1,50968875,50968986,2,"1,3",1,0,1
chr1,50970082,50970093,2,"2,3",0,1,1
chr1,50970093,50970231,3,"1,2,3",1,1,1
chr1,50970231,50970244,2,"1,3",1,0,1
chr1,52365174,52365319,3,"1,2,3",1,1,1
chr1,52365319,52365341,2,"2,3",0,1,1
chr1,52403705,52404010,2,"2,3",0,1,1
chr1,53326026,53326050,2,"2,3",0,1,1
chr1,53326050,53326353,3,"1,2,3",1,1,1
chr1,53326353,53326421,2,"2,3",0,1,1
chr1,58881540,58881559,2,"2,3",0,1,1
chr1,58881559,58881845,3,"1,2,3",1,1,1
chr1,58881845,58881868,2,"2,3",0,1,1
chr1,64917501,64917623,2,"1,3",1,0,1
chr1,64917623,64917768,3,"1,2,3",1,1,1
chr1,64917768,64917851,2,"1,3",1,0,1
chr1,64934258,64934560,2,"2,3",0,1,1
chr1,64983041,64983425,2,"2,3",0,1,1
chr1,65002364,65002714,2,"1,3",1,0,1
chr1,67570449,67570809,2,"2,3",0,1,1
chr1,67684909,67685293,2,"2,3",0,1,1
chr1,67685874,67686178,2,"1,3",1,0,1
chr1,67686756,67686879,2,"2,3",0,1,1
chr1,75786186,75786536,2,"1,3",1,0,1
chr1,77347666,77347694,2,"2,3",0,1,1
chr1,77347694,77348043,3,"1,2,3",1,1,1
chr1,79323122,79323472,2,"1,3",1,0,1
chr1,84247414,84247428,2,"2,3",0,1,1
chr1,84247428,84247750,3,"1,2,3",1,1,1
chr1,84247750,84247761,2,"1,3",1,0,1
chr1,87328276,87328660,2,"2,3",0,1,1
chr1,89516103,89516192,2,"1,3",1,0,1
chr1,89516192,89516342,3,"1,2,3",1,1,1
chr1,89516342,89516395,2,"1,3",1,0,1
chr1,89524624,89524974,2,"1,3",1,0,1
chr1,89943044,89943063,2,"2,3",0,1,1
chr1,89943063,89943282,3,"1,2,3",1,1,1
chr1,89943282,89943288,2,"2,3",0,1,1
chr1,91501472,91501533,2,"2,3",0,1,1
chr1,91501533,91501812,3,"1,2,3",1,1,1
chr1,94325761,94325931,2,"2,3",0,1,1
chr1,94325931,94326046,3,"1,2,3",1,1,1
chr1,94326046,94326140,2,"2,3",0,1,1
chr1,94579855,94579868,2,"2,3",0,1,1
chr1,94579868,94580132,3,"1,2,3",1,1,1
chr1,94580132,94580163,2,"2,3",0,1,1
chr1,100266066,100266081,2,"2,3",0,1,1
chr1,100266081,100266286,3,"1,2,3",1,1,1
chr1,100266286,100266329,2,"2,3",0,1,1
chr1,108720147,108720168,2,"2,3",0,1,1
chr1,108747501,108747552,2,"2,3",0,1,1
chr1,108830515,108830899,2,"2,3",0,1,1
chr1,110394286,110394296,2,"2,3",0,1,1
chr1,110394296,110394463,3,"1,2,3",1,1,1
chr1,110477305,110477689,2,"2,3",0,1,1
chr1,110963180,110963483,2,"2,3",0,1,1
chr1,113457017,113457043,2,"2,3",0,1,1
chr1,113457043,113457149,3,"1,2,3",1,1,1
chr1,113457149,113457210,2,"2,3",0,1,1
chr1,114581571,114581648,2,"1,3",1,0,1
chr1,114581648,114581867,3,"1,2,3",1,1,1
chr1,114581867,114581912,2,"1,3",1,0,1
chr1,115975954,115976253,3,"1,2,3",1,1,1
chr1,115976253,115976279,2,"1,3",1,0,1
chr1,117605700,117605927,2,"2,3",0,1,1
chr1,143691497,143691881,2,"2,3",0,1,1
chr1,144551687,144551717,2,"2,3",0,1,1
chr1,144551717,144551997,3,"1,2,3",1,1,1
chr1,144551997,144551998,2,"2,3",0,1,1
chr1,145281152,145281184,2,"2,3",0,1,1
chr1,145281184,145281272,3,"1,2,3",1,1,1
chr1,145281272,145281622,2,"2,3",0,1,1
chr1,145927312,145927662,2,"1,3",1,0,1
chr1,145996785,145996802,2,"1,3",1,0,1
chr1,145996802,145997015,3,"1,2,3",1,1,1
chr1,146051967,146052000,2,"2,3",0,1,1
chr1,146052000,146052304,3,"1,2,3",1,1,1
chr1,146052304,146052316,2,"2,3",0,1,1
chr1,146376910,146377028,3,"1,2,3",1,1,1
chr1,146377028,146377042,2,"2,3",0,1,1
chr1,148038702,148038727,2,"2,3",0,1,1
chr1,148038727,148038943,3,"1,2,3",1,1,1
chr1,148038943,148038960,2,"2,3",0,1,1
chr1,148264670,148264688,2,"2,3",0,1,1
chr1,148264688,148265129,3,"1,2,3",1,1,1
chr1,148265129,148265134,2,"2,3",0,1,1
chr1,148334492,148334499,2,"2,3",0,1,1
chr1,148334499,148334849,3,"1,2,3",1,1,1
chr1,148334849,148334876,2,"2,3",0,1,1
chr1,148402654,148403004,2,"1,3",1,0,1
chr1,148424535,148424541,2,"2,3",0,1,1
chr1,148522536,148522548,2,"2,3",0,1,1
chr1,148522548,148522886,3,"1,2,3",1,1,1
chr1,148522886,148522927,2,"2,3",0,1,1
chr1,149886575,149886941,2,"2,3",0,1,1
chr1,149887743,149887755,2,"2,3",0,1,1
chr1,149887755,149888105,3,"1,2,3",1,1,1
chr1,149888105,149888127,2,"2,3",0,1,1
chr1,149939192,149939576,2,"2,3",0,1,1
chr1,150293587,150293682,2,"2,3",0,1,1
chr1,150293682,150293793,3,"1,2,3",1,1,1
chr1,150293793,150293890,2,"2,3",0,1,1
chr1,150515560,150515944,2,"2,3",0,1,1
chr1,150604698,150605048,2,"1,3",1,0,1
chr1,150611466,150611478,2,"1,3",1,0,1
chr1,150611478,150611803,3,"1,2,3",1,1,1
chr1,150611803,150611816,2,"1,3",1,0,1
chr1,150697199,150697241,2,"2,3",0,1,1
chr1,150697241,150697578,3,"1,2,3",1,1,1
chr1,151006779,151006983,2,"2,3",0,1,1
chr1,151060187,151060482,3,"1,2,3",1,1,1
chr1,151060482,151060529,2,"2,3",0,1,1
chr1,151443881,151444175,2,"2,3",0,1,1
chr1,151941369,151941675,2,"2,3",0,1,1
chr1,151992419,151992673,2,"1,3",1,0,1
chr1,152501700,152502084,2,"2,3",0,1,1
chr1,152517495,152517703,2,"2,3",0,1,1
chr1,153566560,153566593,2,"1,3",1,0,1
chr1,153566593,153566910,3,"1,2,3",1,1,1
chr1,153566910,153566977,2,"2,3",0,1,1
chr1,153958568,153958919,2,"2,3",0,1,1
chr1,153967153,153967233,2,"1,3",1,0,1
chr1,153967233,153967502,3,"1,2,3",1,1,1
chr1,153967502,153967617,2,"2,3",0,1,1
chr1,154406087,154406358,2,"2,3",0,1,1
chr1,154418239,154418241,2,"1,3",1,0,1
chr1,154418241,154418555,3,"1,2,3",1,1,1
chr1,154418555,154418589,2,"1,3",1,0,1
chr1,154479823,154480128,3,"1,2,3",1,1,1
chr1,154480128,154480153,2,"2,3",0,1,1
chr1,154559382,154559442,2,"2,3",0,1,1
chr1,154559538,154559960,2,"2,3",0,1,1
chr1,154937194,154937578,2,"2,3",0,1,1
chr1,155001011,155001250,2,"2,3",0,1,1
chr1,155017182,155017471,3,"1,2,3",1,1,1
chr1,155017471,155017489,2,"2,3",0,1,1
chr1,155135040,155135431,2,"2,3",0,1,1
chr1,155135526,155135593,2,"2,3",0,1,1
chr1,155934469,155934614,2,"2,3",0,1,1
chr1,155934614,155934703,3,"1,2,3",1,1,1
chr1,155934703,155934742,2,"2,3",0,1,1
chr1,156003373,156003420,2,"1,3",1,0,1
chr1,156003420,156003612,3,"1,2,3",1,1,1
chr1,156003612,156003706,2,"1,3",1,0,1
chr1,156383034,156383104,2,"2,3",0,1,1
chr1,156383104,156383273,3,"1,2,3",1,1,1
chr1,156457654,156457866,2,"2,3",0,1,1
chr1,156501399,156501489,2,"1,3",1,0,1
chr1,156501489,156501586,3,"1,2,3",1,1,1
chr1,156501586,156501596,2,"1,3",1,0,1
chr1,156591337,156591392,2,"1,3",1,0,1
chr1,156591392,156591687,3,"1,2,3",1,1,1
chr1,156591687,156591776,2,"2,3",0,1,1
chr1,156661423,156661426,2,"1,3",1,0,1
chr1,156661426,156661597,3,"1,2,3",1,1,1
chr1,156661597,156661612,2,"2,3",0,1,1
chr1,156728646,156729030,2,"2,3",0,1,1
chr1,159780668,159780720,2,"1,3",1,0,1
chr1,159780720,159780922,3,"1,2,3",1,1,1
chr1,159780922,159781018,2,"1,3",1,0,1
chr1,160124882,160124898,2,"2,3",0,1,1
chr1,160124898,160125248,3,"1,2,3",1,1,1
chr1,160125248,160125266,2,"2,3",0,1,1
chr1,160206104,160206121,2,"2,3",0,1,1
chr1,160206121,160206291,3,"1,2,3",1,1,1
chr1,161202726,161202730,2,"2,3",0,1,1
chr1,161702245,161702415,2,"2,3",0,1,1
chr1,161702415,161702494,3,"1,2,3",1,1,1
chr1,164558726,164558831,2,"1,3",1,0,1
chr1,164637681,164637683,2,"2,3",0,1,1
chr1,164637758,164638046,3,"1,2,3",1,1,1
chr1,164638046,164638065,2,"2,3",0,1,1
chr1,164772691,164772702,2,"1,3",1,0,1
chr1,164772702,164773041,3,"1,2,3",1,1,1
chr1,164773041,164773046,2,"2,3",0,1,1
chr1,165630773,165630896,2,"1,3",1,0,1
chr1,165630896,165631123,3,"1,2,3",1,1,1
chr1,165631123,165631280,2,"2,3",0,1,1
chr1,167803287,167803623,3,"1,2,3",1,1,1
chr1,167803623,167803666,2,"2,3",0,1,1
chr1,167819956,167820353,3,"1,2,3",1,1,1
chr1,167820353,167820385,2,"2,3",0,1,1
chr1,167926541,167926684,3,"1,2,3",1,1,1
chr1,167926684,167926686,2,"1,3",1,0,1
chr1,169312208,169312503,3,"1,2,3",1,1,1
chr1,169312503,169312511,2,"1,3",1,0,1
chr1,171313902,171313946,2,"2,3",0,1,1
chr1,171313946,171314091,3,"1,2,3",1,1,1
chr1,171314091,171314256,2,"2,3",0,1,1
chr1,171438472,171438526,2,"1,3",1,0,1
chr1,171438526,171438734,3,"1,2,3",1,1,1
chr1,171438734,171438786,2,"1,3",1,0,1
chr1,172532282,172532632,2,"1,3",1,0,1
chr1,173478277,173478300,2,"2,3",0,1,1
chr1,173478300,173478366,3,"1,2,3",1,1,1
chr1,173507176,173507538,2,"2,3",0,1,1
chr1,173824081,173824448,2,"2,3",0,1,1
chr1,174998882,174999148,2,"2,3",0,1,1
chr1,176241409,176241706,2,"2,3",0,1,1
chr1,178536953,178537003,2,"2,3",0,1,1
chr1,178537003,178537337,3,"1,2,3",1,1,1
chr1,178537337,178537353,2,"1,3",1,0,1
chr1,179586211,179586413,3,"1,2,3",1,1,1
chr1,179586413,179586414,2,"1,3",1,0,1
chr1,179882277,179882278,2,"1,3",1,0,1
chr1,179882278,179882627,3,"1,2,3",1,1,1
chr1,179882627,179882662,2,"2,3",0,1,1
chr1,181033785,181034049,3,"1,2,3",1,1,1
chr1,181034049,181034052,2,"2,3",0,1,1
chr1,182962619,182962882,3,"1,2,3",1,1,1
chr1,183022344,183022361,2,"2,3",0,1,1
chr1,183022361,183022653,3,"1,2,3",1,1,1
chr1,183022653,183022658,2,"2,3",0,1,1
chr1,183699821,183699901,2,"2,3",0,1,1
chr1,183699901,183700064,3,"1,2,3",1,1,1
chr1,183700064,183700082,2,"2,3",0,1,1
chr1,188706814,188706875,2,"2,3",0,1,1
chr1,188706875,188707039,3,"1,2,3",1,1,1
chr1,188707039,188707108,2,"2,3",0,1,1
chr1,193115726,193116110,2,"2,3",0,1,1
chr1,193121639,193122023,2,"2,3",0,1,1
chr1,197146824,197146861,2,"2,3",0,1,1
chr1,197146861,197147096,3,"1,2,3",1,1,1
chr1,198669139,198669345,2,"2,3",0,1,1
chr1,199742633,199742899,2,"2,3",0,1,1
chr1,201461219,201461603,2,"2,3",0,1,1
chr1,201489271,201489507,3,"1,2,3",1,1,1
chr1,201489507,201489544,2,"2,3",0,1,1
chr1,201714629,201714634,2,"2,3",0,1,1
chr1,201714634,201714917,3,"1,2,3",1,1,1
chr1,201714917,201714984,2,"1,3",1,0,1
chr1,202017815,202018199,2,"2,3",0,1,1
chr1,202035058,202035442,2,"2,3",0,1,1
chr1,202047093,202047477,2,"2,3",0,1,1
chr1,202105541,202105573,2,"1,3",1,0,1
chr1,202105573,202105882,3,"1,2,3",1,1,1
chr1,202105882,202105957,2,"2,3",0,1,1
chr1,202348512,202348896,2,"2,3",0,1,1
chr1,203907025,203907286,2,"1,3",1,0,1
chr1,204128987,204129012,2,"1,3",1,0,1
chr1,204417492,204417570,2,"2,3",0,1,1
chr1,204417570,204417732,3,"1,2,3",1,1,1
chr1,204417732,204417774,2,"2,3",0,1,1
chr1,204506512,204506541,2,"2,3",0,1,1
chr1,204506541,204506891,3,"1,2,3",1,1,1
chr1,204506891,204506896,2,"2,3",0,1,1
chr1,205294337,205294401,2,"2,3",0,1,1
chr1,205294401,205294721,3,"1,2,3",1,1,1
chr1,205294721,205294751,2,"1,3",1,0,1
chr1,205298544,205298573,2,"2,3",0,1,1
chr1,205298573,205298704,3,"1,2,3",1,1,1
chr1,205298704,205298734,2,"1,3",1,0,1
chr1,205301221,205301244,2,"1,3",1,0,1
chr1,205301244,205301334,3,"1,2,3",1,1,1
chr1,205301334,205301351,2,"2,3",0,1,1
chr1,205335643,205336016,2,"2,3",0,1,1
chr1,205933630,205933818,3,"1,2,3",1,1,1
chr1,205933818,205933892,2,"1,3",1,0,1
chr1,205934053,205934165,2,"1,3",1,0,1
chr1,205934165,205934180,3,"1,2,3",1,1,1
chr1,206470316,206470346,2,"1,3",1,0,1
chr1,206470346,206470477,3,"1,2,3",1,1,1
chr1,206470477,206470562,2,"1,3",1,0,1
chr1,206890398,206890782,2,"2,3",0,1,1
chr1,206905391,206905656,2,"2,3",0,1,1
chr1,207027165,207027549,2,"2,3",0,1,1
chr1,207805855,207805859,2,"1,3",1,0,1
chr1,207805859,207806091,3,"1,2,3",1,1,1
chr1,209827779,209828163,2,"2,3",0,1,1
chr1,210373229,210373579,2,"1,3",1,0,1
chr1,211469954,211470156,3,"1,2,3",1,1,1
chr1,211470156,211470186,2,"1,3",1,0,1
chr1,212034952,212035260,2,"2,3",0,1,1
chr1,212234516,212234575,2,"2,3",0,1,1
chr1,212234575,212234900,3,"1,2,3",1,1,1
chr1,212234900,212234925,2,"1,3",1,0,1
chr1,212558902,212558934,2,"2,3",0,1,1
chr1,212558934,212559212,3,"1,2,3",1,1,1
chr1,212559212,212559222,2,"2,3",0,1,1
chr1,212857622,212857654,2,"1,3",1,0,1
chr1,212857654,212857882,3,"1,2,3",1,1,1
chr1,212857882,212857972,2,"1,3",1,0,1
chr1,213051554,213051572,2,"2,3",0,1,1
chr1,213051572,213051793,3,"1,2,3",1,1,1
chr1,217630843,217630857,2,"2,3",0,1,1
chr1,217630857,217631207,3,"1,2,3",1,1,1
chr1,217631207,217631227,2,"2,3",0,1,1
chr1,219089024,219089051,2,"1,3",1,0,1
chr1,219089051,219089254,3,"1,2,3",1,1,1
chr1,219089254,219089256,2,"1,3",1,0,1
chr1,221887174,221887223,2,"1,3",1,0,1
chr1,221887223,221887433,3,"1,2,3",1,1,1
chr1,221887433,221887524,2,"1,3",1,0,1
chr1,222589869,222589918,2,"1,3",1,0,1
chr1,222589918,222590073,3,"1,2,3",1,1,1
chr1,222590073,222590219,2,"1,3",1,0,1
chr1,222643989,222644373,2,"2,3",0,1,1
chr1,223700799,223700819,2,"2,3",0,1,1
chr1,223700819,223701223,3,"1,2,3",1,1,1
chr1,223701223,223701262,2,"2,3",0,1,1
chr1,223707334,223707918,2,"2,3",0,1,1
chr1,223992629,223992646,2,"2,3",0,1,1
chr1,223992646,223992921,3,"1,2,3",1,1,1
chr1,225700389,225700739,2,"1,3",1,0,1
chr1,225710805,225711146,3,"1,2,3",1,1,1
chr1,225711146,225711156,2,"2,3",0,1,1
chr1,225735615,225736205,2,"2,3",0,1,1
chr1,225746750,225747134,2,"2,3",0,1,1
chr1,225813458,225813480,2,"1,3",1,0,1
chr1,225813480,225813808,3,"1,2,3",1,1,1
chr1,225813808,225813864,2,"2,3",0,1,1
chr1,226082801,226082911,2,"2,3",0,1,1
chr1,226407584,226407802,3,"1,2,3",1,1,1
chr1,226407802,226407814,2,"2,3",0,1,1
chr1,227563341,227563615,3,"1,2,3",1,1,1
chr1,227563615,227563804,2,"1,3",1,0,1
chr1,227934704,227934790,2,"1,3",1,0,1
chr1,227934790,227935014,3,"1,2,3",1,1,1
chr1,227935014,227935174,2,"2,3",0,1,1
chr1,228861182,228861184,2,"1,3",1,0,1
chr1,228861184,228861532,3,"1,2,3",1,1,1
chr1,228861532,228861568,2,"2,3",0,1,1
chr1,229221209,229221529,3,"1,2,3",1,1,1
chr1,229221529,229221545,2,"1,3",1,0,1
chr1,229508225,229508357,2,"1,3",1,0,1
chr1,229508357,229508489,3,"1,2,3",1,1,1
chr1,229508489,229508575,2,"1,3",1,0,1
chr1,231162461,231162462,2,"1,3",1,0,1
chr1,231162462,231162811,3,"1,2,3",1,1,1
chr1,231162811,231162846,2,"2,3",0,1,1
chr1,231337270,231337318,2,"2,3",0,1,1
chr1,231337318,231337673,3,"1,2,3",1,1,1
chr1,231337673,231337719,2,"2,3",0,1,1
chr1,231590655,231591039,2,"2,3",0,1,1
chr1,232904618,232904877,2,"2,3",0,1,1
chr1,234356892,234357241,2,"2,3",0,1,1
chr1,234523613,234523813,3,"1,2,3",1,1,1
chr1,234523813,234523843,2,"2,3",0,1,1
chr1,234564704,234565044,2,"2,3",0,1,1
chr1,234612627,234613011,2,"2,3",0,1,1
chr1,234724182,234724767,2,"2,3",0,1,1
chr1,234957418,234957705,2,"2,3",0,1,1
chr1,234975014,234975294,3,"1,2,3",1,1,1
chr1,234975294,234975371,2,"2,3",0,1,1
chr1,234980837,234981187,2,"1,3",1,0,1
chr1,234987497,234987881,2,"2,3",0,1,1
chr1,235104236,235104477,2,"2,3",0,1,1
chr1,235128859,235129211,2,"2,3",0,1,1
chr1,235910564,235910948,2,"2,3",0,1,1
chr1,235920202,235920376,3,"1,2,3",1,1,1
chr1,235920376,235920431,2,"1,3",1,0,1
chr1,236524334,236524718,2,"2,3",0,1,1
chr1,241848096,241848110,2,"2,3",0,1,1
chr1,241848110,241848299,3,"1,2,3",1,1,1
chr1,241848299,241848315,2,"1,3",1,0,1
chr1,243255784,243255825,2,"2,3",0,1,1
chr1,243255825,243256085,3,"1,2,3",1,1,1
chr1,243256085,243256092,2,"2,3",0,1,1
chr1,244834740,244834848,2,"2,3",0,1,1
chr1,244834848,244835012,3,"1,2,3",1,1,1
chr1,244835012,244835028,2,"2,3",0,1,1
chr10,1049118,1049502,2,"2,3",0,1,1
chr10,3755095,3755243,2,"2,3",0,1,1
chr10,4663157,4663309,2,"1,3",1,0,1
chr10,4663309,4663413,3,"1,2,3",1,1,1
chr10,4663413,4663482,2,"1,3",1,0,1
chr10,5147182,5147512,3,"1,2,3",1,1,1
chr10,5147512,5147562,2,"2,3",0,1,1
chr10,5148197,5148233,2,"2,3",0,1,1
chr10,5148233,5148390,3,"1,2,3",1,1,1
chr10,5283261,5283306,2,"1,3",1,0,1
chr10,5283306,5283481,3,"1,2,3",1,1,1
chr10,5283481,5283539,2,"1,3",1,0,1
chr10,5284399,5284432,2,"2,3",0,1,1
chr10,5284432,5284824,3,"1,2,3",1,1,1
chr10,5584991,5585304,2,"2,3",0,1,1
chr10,6275234,6275293,2,"2,3",0,1,1
chr10,6275293,6275572,3,"1,2,3",1,1,1
chr10,6275572,6275608,2,"2,3",0,1,1
chr10,6279487,6279543,2,"2,3",0,1,1
chr10,6279543,6279763,3,"1,2,3",1,1,1
chr10,6279763,6279815,2,"2,3",0,1,1
chr10,6299126,6299250,2,"1,3",1,0,1
chr10,6299250,6299476,3,"1,2,3",1,1,1
chr10,6299476,6299634,2,"2,3",0,1,1
chr10,6737204,6737251,2,"2,3",0,1,1
chr10,6737251,6737416,3,"1,2,3",1,1,1
chr10,6737416,6737436,2,"2,3",0,1,1
chr10,6779047,6779154,2,"2,3",0,1,1
chr10,6779154,6779331,3,"1,2,3",1,1,1
chr10,6779331,6779369,2,"2,3",0,1,1
chr10,7301312,7301797,2,"2,3",0,1,1
chr10,7827016,7827039,2,"1,3",1,0,1
chr10,7827039,7827275,3,"1,2,3",1,1,1
chr10,12333922,12333948,2,"1,3",1,0,1
chr10,12333948,12334272,3,"1,2,3",1,1,1
chr10,12334272,12334438,2,"2,3",0,1,1
chr10,12448768,12448937,3,"1,2,3",1,1,1
chr10,12448937,12448960,2,"2,3",0,1,1
chr10,12720380,12720482,2,"2,3",0,1,1
chr10,14653712,14654096,2,"2,3",0,1,1
chr10,14670914,14671126,2,"2,3",0,1,1
chr10,17644580,17644629,2,"2,3",0,1,1
chr10,17644629,17644711,3,"1,2,3",1,1,1
chr10,21525541,21525866,3,"1,2,3",1,1,1
chr10,21525866,21525902,2,"2,3",0,1,1
chr10,22246585,22246632,2,"1,3",1,0,1
chr10,22246632,22246854,3,"1,2,3",1,1,1
chr10,22246854,22246930,2,"1,3",1,0,1
chr10,22340340,22340571,2,"1,3",1,0,1
chr10,24901963,24902077,2,"1,3",1,0,1
chr10,24902077,24902231,3,"1,2,3",1,1,1
chr10,24902231,24902313,2,"1,3",1,0,1
chr10,26781225,26781609,2,"2,3",0,1,1
chr10,28735097,28735119,2,"2,3",0,1,1
chr10,28735119,28735420,3,"1,2,3",1,1,1
chr10,30510963,30510969,2,"1,3",1,0,1
chr10,30510969,30511127,3,"1,2,3",1,1,1
chr10,30511127,30511139,2,"1,3",1,0,1
