chrom,start,end,num,list,ENCFF238OMP_MAZ_sorted.bed,ENCFF509HNG_MAZ_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,1758866,1759230,2,"2,3",0,1,1
chr1,1890933,1891297,2,"2,3",0,1,1
chr1,1919373,1919737,2,"2,3",0,1,1
chr1,2049914,2050258,2,"1,3",1,0,1
chr1,2189453,2189579,2,"2,3",0,1,1
chr1,2189579,2189923,3,"1,2,3",1,1,1
chr1,2189923,2190021,2,"2,3",0,1,1
chr1,2208365,2208709,2,"1,3",1,0,1
chr1,2227533,2227857,2,"2,3",0,1,1
chr1,2391570,2391614,2,"2,3",0,1,1
chr1,2391614,2391934,3,"1,2,3",1,1,1
chr1,2391934,2391958,2,"1,3",1,0,1
chr1,2412707,2413106,2,"2,3",0,1,1
chr1,2534865,2534978,2,"1,3",1,0,1
chr1,2534978,2535342,3,"1,2,3",1,1,1
chr1,2535342,2535411,2,"1,3",1,0,1
chr1,2546850,2546885,2,"2,3",0,1,1
chr1,2546885,2547229,3,"1,2,3",1,1,1
chr1,2547229,2547414,2,"2,3",0,1,1
chr1,2643054,2643418,2,"2,3",0,1,1
chr1,3454238,3454515,3,"1,2,3",1,1,1
chr1,3454515,3454561,2,"2,3",0,1,1
chr1,3494529,3494893,2,"2,3",0,1,1
chr1,3624595,3624630,2,"1,3",1,0,1
chr1,3624630,3624939,3,"1,2,3",1,1,1
chr1,3624939,3624994,2,"2,3",0,1,1
chr1,3652332,3652895,2,"2,3",0,1,1
chr1,3668860,3668938,2,"2,3",0,1,1
chr1,3708940,3709304,2,"2,3",0,1,1
chr1,3857047,3857053,2,"1,3",1,0,1
chr1,3857053,3857417,3,"1,2,3",1,1,1
chr1,3857417,3857592,2,"1,3",1,0,1
chr1,5992636,5992980,2,"1,3",1,0,1
chr1,6199560,6199915,2,"2,3",0,1,1
chr1,6205910,6205971,2,"1,3",1,0,1
chr1,6205971,6206229,3,"1,2,3",1,1,1
chr1,6206229,6206254,2,"1,3",1,0,1
chr1,6245137,6245501,2,"2,3",0,1,1
chr1,6246746,6247055,2,"2,3",0,1,1
chr1,6259921,6260265,2,"1,3",1,0,1
chr1,6385704,6386068,2,"2,3",0,1,1
chr1,6393590,6393934,2,"1,3",1,0,1
chr1,6471308,6471641,2,"2,3",0,1,1
chr1,6554402,6554746,2,"1,3",1,0,1
chr1,6579747,6579777,2,"2,3",0,1,1
chr1,6579777,6580111,3,"1,2,3",1,1,1
chr1,6580111,6580121,2,"1,3",1,0,1
chr1,6613050,6613414,2,"2,3",0,1,1
chr1,6613570,6613904,2,"1,3",1,0,1
chr1,6625294,6625658,2,"2,3",0,1,1
chr1,6784633,6784931,2,"2,3",0,1,1
chr1,6784931,6784997,3,"1,2,3",1,1,1
chr1,6784997,6785275,2,"1,3",1,0,1
chr1,7447162,7447404,2,"2,3",0,1,1
chr1,7447927,7448291,2,"2,3",0,1,1
chr1,7783798,7783901,2,"1,3",1,0,1
chr1,7783901,7784142,3,"1,2,3",1,1,1
chr1,7784142,7784467,2,"2,3",0,1,1
chr1,7961290,7961504,2,"1,3",1,0,1
chr1,7961504,7961634,3,"1,2,3",1,1,1
chr1,7961634,7961868,2,"2,3",0,1,1
chr1,7975188,7975551,2,"2,3",0,1,1
chr1,8026089,8026453,2,"2,3",0,1,1
chr1,8877945,8878006,2,"2,3",0,1,1
chr1,8878006,8878309,3,"1,2,3",1,1,1
chr1,8878309,8878350,2,"1,3",1,0,1
chr1,8878616,8878980,2,"2,3",0,1,1
chr1,9234358,9234722,2,"2,3",0,1,1
chr1,9428808,9429152,2,"1,3",1,0,1
chr1,9539221,9539786,2,"2,3",0,1,1
chr1,9823648,9823965,2,"2,3",0,1,1
chr1,9825482,9825985,2,"2,3",0,1,1
chr1,9943124,9943236,2,"1,3",1,0,1
chr1,9943236,9943593,3,"1,2,3",1,1,1
chr1,10032512,10032736,2,"1,3",1,0,1
chr1,10032736,10032849,3,"1,2,3",1,1,1
chr1,10032849,10032856,2,"1,3",1,0,1
chr1,10210178,10210522,2,"1,3",1,0,1
chr1,10398730,10398767,2,"1,3",1,0,1
chr1,10398767,10399074,3,"1,2,3",1,1,1
chr1,10399074,10399131,2,"2,3",0,1,1
chr1,10430304,10430668,2,"2,3",0,1,1
chr1,10472305,10472649,2,"1,3",1,0,1
chr1,10474745,10475083,3,"1,2,3",1,1,1
chr1,10475083,10475252,2,"2,3",0,1,1
chr1,10900622,10900986,2,"2,3",0,1,1
chr1,10901262,10901713,2,"1,3",1,0,1
chr1,11012387,11012419,2,"1,3",1,0,1
chr1,11012419,11012731,3,"1,2,3",1,1,1
chr1,11012731,11012783,2,"2,3",0,1,1
chr1,11273158,11273167,2,"2,3",0,1,1
chr1,11273167,11273511,3,"1,2,3",1,1,1
chr1,11273511,11273522,2,"2,3",0,1,1
chr1,11478799,11478911,2,"1,3",1,0,1
chr1,11478911,11479143,3,"1,2,3",1,1,1
chr1,11479143,11479455,2,"2,3",0,1,1
chr1,11805905,11805906,2,"1,3",1,0,1
chr1,11805906,11806270,3,"1,2,3",1,1,1
chr1,11806270,11806448,2,"1,3",1,0,1
chr1,11908716,11909260,2,"1,3",1,0,1
chr1,11980239,11980328,2,"2,3",0,1,1
chr1,11980328,11980492,3,"1,2,3",1,1,1
chr1,11980492,11980541,2,"2,3",0,1,1
chr1,12019173,12019537,2,"2,3",0,1,1
chr1,12229891,12230255,2,"2,3",0,1,1
chr1,15526735,15526757,2,"1,3",1,0,1
chr1,15526757,15527079,3,"1,2,3",1,1,1
chr1,15527079,15527230,2,"2,3",0,1,1
chr1,15617238,15617472,2,"2,3",0,1,1
chr1,15800225,15800589,2,"2,3",0,1,1
chr1,15834876,15835220,2,"1,3",1,0,1
chr1,15835788,15835859,2,"2,3",0,1,1
chr1,15835859,15836152,3,"1,2,3",1,1,1
chr1,15836152,15836203,2,"1,3",1,0,1
chr1,16154906,16154932,2,"1,3",1,0,1
chr1,16154932,16155250,3,"1,2,3",1,1,1
chr1,16155250,16155296,2,"2,3",0,1,1
chr1,16155994,16156039,2,"1,3",1,0,1
chr1,16156039,16156135,3,"1,2,3",1,1,1
chr1,16156135,16156298,2,"1,3",1,0,1
chr1,16167780,16168124,2,"1,3",1,0,1
chr1,16217304,16217403,2,"1,3",1,0,1
chr1,16217403,16217648,3,"1,2,3",1,1,1
chr1,16217648,16217767,2,"2,3",0,1,1
chr1,16236973,16237337,2,"2,3",0,1,1
chr1,16352380,16352411,2,"2,3",0,1,1
chr1,16352411,16352744,3,"1,2,3",1,1,1
chr1,16352744,16352755,2,"1,3",1,0,1
chr1,16367037,16367150,2,"2,3",0,1,1
chr1,16367150,16367564,3,"1,2,3",1,1,1
chr1,16367564,16367618,2,"2,3",0,1,1
chr1,16613405,16613509,2,"2,3",0,1,1
chr1,16613509,16613853,3,"1,2,3",1,1,1
chr1,16613853,16613972,2,"2,3",0,1,1
chr1,16620939,16621025,2,"1,3",1,0,1
chr1,16621025,16621283,3,"1,2,3",1,1,1
chr1,16621283,16621389,2,"2,3",0,1,1
chr1,16644553,16644897,2,"1,3",1,0,1
chr1,16913663,16914007,2,"1,3",1,0,1
chr1,17011882,17011967,2,"2,3",0,1,1
chr1,17011967,17012246,3,"1,2,3",1,1,1
chr1,17012246,17012311,2,"1,3",1,0,1
chr1,17250632,17250976,2,"1,3",1,0,1
chr1,17419926,17420183,2,"2,3",0,1,1
chr1,17529835,17529864,2,"1,3",1,0,1
chr1,17539973,17540337,2,"2,3",0,1,1
chr1,19210104,19210126,2,"2,3",0,1,1
chr1,19210126,19210468,3,"1,2,3",1,1,1
chr1,19210468,19210470,2,"1,3",1,0,1
chr1,19251554,19251918,2,"2,3",0,1,1
chr1,19311978,19312543,2,"2,3",0,1,1
chr1,19596828,19597192,2,"2,3",0,1,1
chr1,20152298,20152307,2,"1,3",1,0,1
chr1,20152307,20152642,3,"1,2,3",1,1,1
chr1,20152642,20152671,2,"2,3",0,1,1
chr1,20476401,20476427,2,"1,3",1,0,1
chr1,20476427,20476745,3,"1,2,3",1,1,1
chr1,20476745,20476791,2,"2,3",0,1,1
chr1,20507901,20508265,2,"2,3",0,1,1
chr1,20696760,20697124,2,"2,3",0,1,1
chr1,20732238,20732380,2,"2,3",0,1,1
chr1,20732536,20732602,2,"2,3",0,1,1
chr1,22052448,22052504,2,"2,3",0,1,1
chr1,22052504,22052812,3,"1,2,3",1,1,1
chr1,22052812,22052848,2,"1,3",1,0,1
chr1,22451697,22451700,2,"2,3",0,1,1
chr1,22451700,22452044,3,"1,2,3",1,1,1
chr1,22452044,22452061,2,"2,3",0,1,1
chr1,23019187,23019531,2,"1,3",1,0,1
chr1,23196803,23197147,2,"1,3",1,0,1
chr1,23368092,23368456,2,"2,3",0,1,1
chr1,23403723,23404087,2,"2,3",0,1,1
chr1,23554457,23554791,2,"2,3",0,1,1
chr1,23559376,23559720,2,"1,3",1,0,1
chr1,23562370,23562662,2,"1,3",1,0,1
chr1,23743138,23743502,2,"2,3",0,1,1
chr1,23958956,23958998,2,"1,3",1,0,1
chr1,23958998,23959362,3,"1,2,3",1,1,1
chr1,23959362,23959454,2,"1,3",1,0,1
chr1,23959574,23959938,2,"2,3",0,1,1
chr1,24112474,24112818,2,"1,3",1,0,1
chr1,24413624,24413909,2,"1,3",1,0,1
chr1,24415382,24415712,3,"1,2,3",1,1,1
chr1,24415712,24415719,2,"1,3",1,0,1
chr1,24502197,24502561,2,"2,3",0,1,1
chr1,24568036,24568371,2,"2,3",0,1,1
chr1,24745029,24745030,2,"1,3",1,0,1
chr1,24745030,24745373,3,"1,2,3",1,1,1
chr1,24745373,24745394,2,"2,3",0,1,1
chr1,25239739,25240083,2,"1,3",1,0,1
chr1,25247407,25247484,2,"2,3",0,1,1
chr1,25247484,25247771,3,"1,2,3",1,1,1
chr1,25247771,25247828,2,"1,3",1,0,1
chr1,25338196,25338540,2,"1,3",1,0,1
chr1,25429963,25430327,2,"2,3",0,1,1
chr1,25573548,25573861,2,"2,3",0,1,1
chr1,25616310,25616674,2,"2,3",0,1,1
chr1,25819820,25820184,2,"2,3",0,1,1
chr1,25859283,25859378,2,"1,3",1,0,1
chr1,25859378,25859627,3,"1,2,3",1,1,1
chr1,25859627,25859742,2,"2,3",0,1,1
chr1,25906414,25906758,2,"1,3",1,0,1
chr1,25998189,25998193,2,"1,3",1,0,1
chr1,25998193,25998533,3,"1,2,3",1,1,1
chr1,25998533,25998557,2,"2,3",0,1,1
chr1,26111562,26111926,2,"2,3",0,1,1
chr1,26169732,26170096,2,"2,3",0,1,1
chr1,26177146,26177510,2,"2,3",0,1,1
chr1,26233767,26233795,2,"2,3",0,1,1
chr1,26233795,26234131,3,"1,2,3",1,1,1
chr1,26234131,26234139,2,"1,3",1,0,1
chr1,26354004,26354023,2,"2,3",0,1,1
chr1,26354023,26354368,3,"1,2,3",1,1,1
chr1,26354368,26354573,2,"1,3",1,0,1
chr1,26432049,26432114,2,"1,3",1,0,1
chr1,26432114,26432393,3,"1,2,3",1,1,1
chr1,26432393,26432478,2,"2,3",0,1,1
chr1,26472958,26473026,2,"1,3",1,0,1
chr1,26473026,26473302,3,"1,2,3",1,1,1
chr1,26473302,26473322,2,"2,3",0,1,1
chr1,26692321,26692685,2,"2,3",0,1,1
chr1,26695443,26695448,2,"2,3",0,1,1
chr1,26695448,26695792,3,"1,2,3",1,1,1
chr1,26695792,26695807,2,"2,3",0,1,1
chr1,26787659,26788225,2,"2,3",0,1,1
chr1,26862893,26862925,2,"1,3",1,0,1
chr1,26862925,26863237,3,"1,2,3",1,1,1
chr1,26863237,26863289,2,"2,3",0,1,1
chr1,26865105,26865469,2,"2,3",0,1,1
chr1,27012824,27012919,2,"1,3",1,0,1
chr1,27012919,27013168,3,"1,2,3",1,1,1
chr1,27013168,27013283,2,"2,3",0,1,1
chr1,27234344,27234353,2,"1,3",1,0,1
chr1,27234353,27234688,3,"1,2,3",1,1,1
chr1,27234688,27234717,2,"2,3",0,1,1
chr1,27321945,27322035,2,"2,3",0,1,1
chr1,27322035,27322379,3,"1,2,3",1,1,1
chr1,27322379,27322522,2,"2,3",0,1,1
chr1,27341718,27341824,2,"2,3",0,1,1
chr1,27341824,27342082,3,"1,2,3",1,1,1
chr1,27342082,27342168,2,"1,3",1,0,1
chr1,27349335,27349699,2,"2,3",0,1,1
chr1,27392352,27392696,2,"1,3",1,0,1
chr1,27527965,27528531,2,"2,3",0,1,1
chr1,27604006,27604370,2,"2,3",0,1,1
chr1,27672309,27672614,2,"2,3",0,1,1
chr1,27772952,27773116,2,"2,3",0,1,1
chr1,27773116,27773316,3,"1,2,3",1,1,1
chr1,27773316,27773460,2,"1,3",1,0,1
chr1,27830545,27830589,2,"1,3",1,0,1
chr1,27830589,27830889,3,"1,2,3",1,1,1
chr1,27830889,27830953,2,"2,3",0,1,1
chr1,28259291,28259655,2,"2,3",0,1,1
chr1,28328870,28328908,2,"2,3",0,1,1
chr1,28328908,28329234,3,"1,2,3",1,1,1
chr1,28329234,28329252,2,"1,3",1,0,1
chr1,28369581,28369597,2,"2,3",0,1,1
chr1,28369597,28369941,3,"1,2,3",1,1,1
chr1,28369941,28369945,2,"2,3",0,1,1
chr1,28552842,28552944,2,"2,3",0,1,1
chr1,28552944,28553236,3,"1,2,3",1,1,1
chr1,28553236,28553248,2,"2,3",0,1,1
chr1,28581726,28582090,2,"2,3",0,1,1
chr1,28648493,28648837,2,"1,3",1,0,1
chr1,28736544,28736581,2,"2,3",0,1,1
chr1,28736581,28736925,3,"1,2,3",1,1,1
chr1,28736925,28737123,2,"2,3",0,1,1
chr1,28886815,28886896,2,"1,3",1,0,1
chr1,28886896,28887159,3,"1,2,3",1,1,1
chr1,28887159,28887260,2,"2,3",0,1,1
chr1,29230823,29231156,2,"1,3",1,0,1
chr1,30718649,30718652,2,"1,3",1,0,1
chr1,30718652,30718993,3,"1,2,3",1,1,1
chr1,30718993,30719016,2,"2,3",0,1,1
chr1,30824288,30824652,2,"2,3",0,1,1
chr1,31170789,31170861,2,"1,3",1,0,1
chr1,31170861,31171133,3,"1,2,3",1,1,1
chr1,31171133,31171190,2,"2,3",0,1,1
chr1,31644868,31645212,2,"1,3",1,0,1
chr1,31762730,31763094,2,"2,3",0,1,1
chr1,31938285,31938437,2,"2,3",0,1,1
chr1,31938437,31938649,3,"1,2,3",1,1,1
chr1,31938649,31938781,2,"1,3",1,0,1
chr1,32013508,32013514,2,"2,3",0,1,1
chr1,32013514,32013858,3,"1,2,3",1,1,1
chr1,32013858,32014071,2,"2,3",0,1,1
chr1,32072525,32072884,2,"2,3",0,1,1
chr1,32072925,32073470,2,"1,3",1,0,1
chr1,32179689,32180053,2,"2,3",0,1,1
chr1,32291868,32291907,2,"1,3",1,0,1
chr1,32291907,32292212,3,"1,2,3",1,1,1
chr1,32292212,32292271,2,"2,3",0,1,1
chr1,32351537,32352101,2,"2,3",0,1,1
chr1,32394479,32394843,2,"2,3",0,1,1
chr1,32650961,32651033,2,"2,3",0,1,1
chr1,32651033,32651325,3,"1,2,3",1,1,1
chr1,32651325,32651377,2,"1,3",1,0,1
chr1,32716588,32716932,2,"1,3",1,0,1
chr1,32817261,32817287,2,"1,3",1,0,1
chr1,32817287,32817605,3,"1,2,3",1,1,1
chr1,32817605,32817651,2,"2,3",0,1,1
chr1,32886572,32886579,2,"1,3",1,0,1
chr1,32886579,32886889,3,"1,2,3",1,1,1
chr1,32964709,32964743,2,"1,3",1,0,1
chr1,32964743,32965107,3,"1,2,3",1,1,1
chr1,32965107,32965152,2,"1,3",1,0,1
chr1,33255545,33255889,2,"1,3",1,0,1
chr1,33256940,33257103,2,"2,3",0,1,1
chr1,33342293,33342657,2,"2,3",0,1,1
chr1,33472387,33472410,2,"2,3",0,1,1
chr1,33472410,33472751,3,"1,2,3",1,1,1
chr1,33472751,33472754,2,"1,3",1,0,1
chr1,34782033,34782329,2,"1,3",1,0,1
chr1,35268634,35268780,2,"1,3",1,0,1
chr1,35268780,35268978,3,"1,2,3",1,1,1
chr1,35268978,35269144,2,"2,3",0,1,1
chr1,35557488,35557490,2,"1,3",1,0,1
chr1,35557490,35557704,3,"1,2,3",1,1,1
chr1,35557704,35557768,2,"2,3",0,1,1
chr1,35807600,35807964,2,"2,3",0,1,1
chr1,35882925,35882948,2,"1,3",1,0,1
chr1,35882948,35883232,3,"1,2,3",1,1,1
chr1,35883232,35883312,2,"2,3",0,1,1
chr1,35930564,35930908,2,"1,3",1,0,1
chr1,36088825,36089189,2,"2,3",0,1,1
chr1,36149220,36149389,2,"1,3",1,0,1
chr1,36149389,36149763,3,"1,2,3",1,1,1
chr1,36149763,36149873,2,"2,3",0,1,1
chr1,36150790,36151083,2,"1,3",1,0,1
chr1,36156779,36157123,2,"1,3",1,0,1
chr1,36224056,36224216,2,"1,3",1,0,1
chr1,36224216,36224507,3,"1,2,3",1,1,1
chr1,36224507,36224601,2,"1,3",1,0,1
chr1,36385986,36386329,2,"1,3",1,0,1
chr1,36386591,36386955,2,"2,3",0,1,1
chr1,36397533,36397897,2,"2,3",0,1,1
chr1,37474289,37474613,2,"2,3",0,1,1
chr1,37476408,37476448,2,"2,3",0,1,1
chr1,37476448,37476768,3,"1,2,3",1,1,1
chr1,37476768,37476792,2,"1,3",1,0,1
chr1,37479680,37479682,2,"2,3",0,1,1
chr1,37479682,37480026,3,"1,2,3",1,1,1
chr1,37480026,37480044,2,"2,3",0,1,1
chr1,37793880,37794244,2,"2,3",0,1,1
chr1,37807563,37807877,2,"1,3",1,0,1
chr1,37859458,37859505,2,"2,3",0,1,1
chr1,37859505,37859747,3,"1,2,3",1,1,1
chr1,37859747,37859967,2,"1,3",1,0,1
chr1,37989933,37989945,2,"2,3",0,1,1
chr1,37989945,37990489,3,"1,2,3",1,1,1
chr1,37990489,37990497,2,"2,3",0,1,1
chr1,38046942,38047306,2,"2,3",0,1,1
chr1,38859707,38860272,2,"2,3",0,1,1
chr1,38991108,38991113,2,"1,3",1,0,1
chr1,38991113,38991452,3,"1,2,3",1,1,1
chr1,38991452,38991477,2,"2,3",0,1,1
chr1,39576709,39577017,2,"2,3",0,1,1
chr1,39789102,39789265,2,"2,3",0,1,1
chr1,39789265,39789466,3,"1,2,3",1,1,1
chr1,39789466,39789506,2,"1,3",1,0,1
chr1,39899020,39899332,2,"1,3",1,0,1
chr1,39902168,39902538,2,"1,3",1,0,1
chr1,40040462,40040826,2,"2,3",0,1,1
chr1,40258024,40258034,2,"2,3",0,1,1
chr1,40258034,40258229,3,"1,2,3",1,1,1
chr1,40258229,40258239,2,"1,3",1,0,1
chr1,40306310,40306658,2,"2,3",0,1,1
chr1,40449839,40449897,2,"1,3",1,0,1
chr1,40449897,40450183,3,"1,2,3",1,1,1
chr1,40450183,40450261,2,"2,3",0,1,1
chr1,40691554,40691595,2,"1,3",1,0,1
chr1,40691595,40691898,3,"1,2,3",1,1,1
chr1,40691898,40692178,2,"2,3",0,1,1
chr1,40802269,40802613,2,"1,3",1,0,1
chr1,40979528,40980071,2,"1,3",1,0,1
chr1,41353785,41353787,2,"1,3",1,0,1
chr1,41353787,41354129,3,"1,2,3",1,1,1
chr1,41354129,41354151,2,"2,3",0,1,1
chr1,41360972,41361078,2,"1,3",1,0,1
chr1,41361078,41361269,3,"1,2,3",1,1,1
chr1,41361269,41361316,2,"1,3",1,0,1
chr1,41496365,41496522,2,"2,3",0,1,1
chr1,41500497,41500861,2,"2,3",0,1,1
chr1,42035364,42035708,2,"1,3",1,0,1
chr1,42165801,42165935,2,"1,3",1,0,1
chr1,42165935,42166145,3,"1,2,3",1,1,1
chr1,42166145,42166299,2,"2,3",0,1,1
chr1,42658222,42658285,2,"1,3",1,0,1
chr1,42658285,42658566,3,"1,2,3",1,1,1
chr1,42658566,42658649,2,"2,3",0,1,1
chr1,42766942,42767306,2,"2,3",0,1,1
chr1,42817091,42817095,2,"1,3",1,0,1
chr1,42817095,42817435,3,"1,2,3",1,1,1
chr1,42817435,42817459,2,"2,3",0,1,1
chr1,42958784,42959128,2,"1,3",1,0,1
chr1,43147645,43147989,2,"1,3",1,0,1
chr1,43270396,43270727,3,"1,2,3",1,1,1
chr1,43270727,43270728,2,"2,3",0,1,1
chr1,43348901,43349265,2,"2,3",0,1,1
chr1,43368250,43368605,2,"2,3",0,1,1
chr1,43707505,43708070,2,"2,3",0,1,1
chr1,43946504,43946868,2,"2,3",0,1,1
chr1,43991419,43991446,2,"2,3",0,1,1
chr1,43991446,43991783,3,"1,2,3",1,1,1
chr1,43991783,43992006,2,"1,3",1,0,1
chr1,44213306,44213650,2,"1,3",1,0,1
chr1,44631572,44631858,2,"1,3",1,0,1
chr1,44631858,44631916,3,"1,2,3",1,1,1
chr1,44631916,44632222,2,"2,3",0,1,1
chr1,44674104,44674439,2,"1,3",1,0,1
chr1,44674439,44674448,3,"1,2,3",1,1,1
chr1,44674448,44674803,2,"2,3",0,1,1
chr1,44775290,44775654,2,"2,3",0,1,1
chr1,44799916,44799989,2,"1,3",1,0,1
chr1,44799989,44800260,3,"1,2,3",1,1,1
chr1,44800260,44800353,2,"2,3",0,1,1
chr1,44807284,44807295,2,"2,3",0,1,1
chr1,44807295,44807639,3,"1,2,3",1,1,1
chr1,44807639,44807648,2,"2,3",0,1,1
chr1,44986544,44986908,2,"2,3",0,1,1
chr1,45491192,45491536,2,"1,3",1,0,1
chr1,45500041,45500405,2,"2,3",0,1,1
chr1,45521769,45521849,2,"1,3",1,0,1
chr1,45521849,45522113,3,"1,2,3",1,1,1
chr1,45522113,45522322,2,"2,3",0,1,1
chr1,45550543,45550672,2,"1,3",1,0,1
chr1,45550672,45550887,3,"1,2,3",1,1,1
chr1,45550887,45551239,2,"2,3",0,1,1
chr1,45686424,45686780,2,"2,3",0,1,1
chr1,45687178,45687195,2,"2,3",0,1,1
chr1,45687195,45687270,3,"1,2,3",1,1,1
chr1,45687270,45687288,2,"1,3",1,0,1
chr1,46132669,46132683,2,"1,3",1,0,1
chr1,46132683,46132858,3,"1,2,3",1,1,1
chr1,46132858,46133165,2,"2,3",0,1,1
chr1,46171871,46172215,2,"1,3",1,0,1
chr1,46247667,46248011,2,"1,3",1,0,1
chr1,46303111,46303475,2,"2,3",0,1,1
chr1,46394067,46394077,2,"2,3",0,1,1
chr1,46394077,46394421,3,"1,2,3",1,1,1
chr1,46394421,46394431,2,"2,3",0,1,1
chr1,46402089,46402123,2,"2,3",0,1,1
chr1,46402123,46402453,3,"1,2,3",1,1,1
chr1,46402453,46402467,2,"1,3",1,0,1
chr1,46604096,46604183,2,"2,3",0,1,1
chr1,46604183,46604527,3,"1,2,3",1,1,1
chr1,46604527,46604569,2,"2,3",0,1,1
chr1,46611780,46611846,2,"1,3",1,0,1
chr1,46611846,46612124,3,"1,2,3",1,1,1
chr1,46612124,46612202,2,"2,3",0,1,1
chr1,46616675,46617039,2,"2,3",0,1,1
chr1,46668228,46668778,2,"2,3",0,1,1
chr1,47437607,47437951,2,"1,3",1,0,1
chr1,47478078,47478442,2,"2,3",0,1,1
chr1,50960135,50960155,2,"1,3",1,0,1
chr1,50960155,50960479,3,"1,2,3",1,1,1
chr1,50960479,50960519,2,"2,3",0,1,1
chr1,50968230,50968594,2,"2,3",0,1,1
chr1,51518860,51519224,2,"2,3",0,1,1
chr1,51558338,51558883,2,"1,3",1,0,1
chr1,51569556,51569610,2,"1,3",1,0,1
chr1,51569706,51569900,2,"1,3",1,0,1
chr1,51729424,51729768,2,"1,3",1,0,1
chr1,52033530,52033894,2,"2,3",0,1,1
chr1,52366060,52366144,2,"1,3",1,0,1
chr1,52366144,52366404,3,"1,2,3",1,1,1
chr1,52366404,52366638,2,"2,3",0,1,1
chr1,52404298,52404662,2,"2,3",0,1,1
chr1,52703326,52703670,2,"1,3",1,0,1
chr1,53196651,53196664,2,"1,3",1,0,1
chr1,53196664,53196995,3,"1,2,3",1,1,1
chr1,53196995,53197028,2,"2,3",0,1,1
chr1,53220246,53220309,2,"1,3",1,0,1
chr1,53220309,53220590,3,"1,2,3",1,1,1
chr1,53220590,53220673,2,"2,3",0,1,1
chr1,53238346,53238435,2,"2,3",0,1,1
chr1,53238435,53238710,3,"1,2,3",1,1,1
chr1,53238710,53238779,2,"1,3",1,0,1
chr1,53326117,53326481,2,"2,3",0,1,1
chr1,53328090,53328454,2,"2,3",0,1,1
chr1,53889747,53890050,2,"1,3",1,0,1
chr1,53946175,53946539,2,"2,3",0,1,1
chr1,54053124,54053213,2,"2,3",0,1,1
chr1,54053213,54053488,3,"1,2,3",1,1,1
chr1,54053488,54053557,2,"1,3",1,0,1
chr1,54715704,54716048,2,"1,3",1,0,1
chr1,54764485,54764551,2,"1,3",1,0,1
