chrom,start,end,num,list,ENCFF033EDJ_CEBPB_sorted.bed,ENCFF189ZQR_CEBPB_sorted.bed,ENCFF569UZW_CEBPB_sorted.bed,ENCFF787GDS_CEBPB_sorted.bed,ENCFF838RSB_CEBPB_sorted.bed,ENCFF993SCW_CEBPB_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,3624941,3624966,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,3624966,3625011,3,"2,5,7",0,1,0,0,1,0,1
chr1,3625011,3625065,2,"2,7",0,1,0,0,0,0,1
chr1,3900135,3900153,2,"2,7",0,1,0,0,0,0,1
chr1,3900153,3900241,3,"2,5,7",0,1,0,0,1,0,1
chr1,3900241,3900260,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,3900260,3900263,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,3900263,3900274,6,"2,3,4,5,6,7",0,1,1,1,1,1,1
chr1,3900274,3900436,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,3900436,3900444,6,"2,3,4,5,6,7",0,1,1,1,1,1,1
chr1,3900444,3900445,5,"2,4,5,6,7",0,1,0,1,1,1,1
chr1,3900445,3900503,4,"2,4,5,7",0,1,0,1,1,0,1
chr1,3900503,3900609,3,"2,5,7",0,1,0,0,1,0,1
chr1,3900609,3900619,2,"2,7",0,1,0,0,0,0,1
chr1,5885833,5886169,2,"3,7",0,0,1,0,0,0,1
chr1,6205400,6205517,2,"2,7",0,1,0,0,0,0,1
chr1,6260006,6260019,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,6260019,6260021,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,6260021,6260062,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,6260062,6260213,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,6260213,6260291,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,6554414,6554525,2,"2,7",0,1,0,0,0,0,1
chr1,6554525,6554545,3,"2,3,7",0,1,1,0,0,0,1
chr1,6554545,6554554,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,6554554,6554757,5,"1,2,3,6,7",1,1,1,0,0,1,1
chr1,7771491,7771493,2,"2,7",0,1,0,0,0,0,1
chr1,7771493,7771591,3,"2,5,7",0,1,0,0,1,0,1
chr1,7771591,7771595,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,7771595,7771616,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,7771616,7771706,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,7783811,7783952,2,"5,7",0,0,0,0,1,0,1
chr1,7783952,7784008,3,"3,5,7",0,0,1,0,1,0,1
chr1,7784008,7784051,4,"1,3,5,7",1,0,1,0,1,0,1
chr1,7784051,7784171,5,"1,3,5,6,7",1,0,1,0,1,1,1
chr1,7784171,7784258,4,"1,3,5,7",1,0,1,0,1,0,1
chr1,7784258,7784296,3,"3,5,7",0,0,1,0,1,0,1
chr1,7784296,7784311,2,"5,7",0,0,0,0,1,0,1
chr1,8004900,8004982,2,"3,7",0,0,1,0,0,0,1
chr1,8004982,8004989,3,"3,5,7",0,0,1,0,1,0,1
chr1,8004989,8005090,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,8005090,8005165,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,8005165,8005390,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,8005390,8005415,5,"1,2,3,5,7",1,1,1,0,1,0,1
chr1,8005415,8005447,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,8005447,8005449,3,"2,5,7",0,1,0,0,1,0,1
chr1,8197620,8197721,3,"2,5,7",0,1,0,0,1,0,1
chr1,8197721,8197786,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,8197786,8197811,5,"1,2,3,5,7",1,1,1,0,1,0,1
chr1,8197811,8197833,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,8197833,8197891,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,8197891,8197893,6,"1,2,3,4,5,7",1,1,1,1,1,0,1
chr1,8197893,8197907,5,"1,2,3,5,7",1,1,1,0,1,0,1
chr1,8197907,8198061,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,8198061,8198065,3,"2,3,7",0,1,1,0,0,0,1
chr1,8198065,8198218,2,"3,7",0,0,1,0,0,0,1
chr1,8789358,8789454,2,"6,7",0,0,0,0,0,1,1
chr1,8789454,8789495,3,"3,6,7",0,0,1,0,0,1,1
chr1,8789495,8789542,4,"1,3,6,7",1,0,1,0,0,1,1
chr1,8789542,8789569,3,"1,6,7",1,0,0,0,0,1,1
chr1,8789569,8789651,2,"6,7",0,0,0,0,0,1,1
chr1,8877952,8877978,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,8877978,8878018,5,"1,2,3,5,7",1,1,1,0,1,0,1
chr1,8878018,8878050,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,8878050,8878074,3,"3,5,7",0,0,1,0,1,0,1
chr1,8878074,8878134,2,"3,7",0,0,1,0,0,0,1
chr1,8879464,8879532,2,"3,7",0,0,1,0,0,0,1
chr1,9428833,9428846,2,"5,7",0,0,0,0,1,0,1
chr1,9428846,9428895,3,"2,5,7",0,1,0,0,1,0,1
chr1,9428895,9428906,4,"1,2,5,7",1,1,0,0,1,0,1
chr1,9428906,9428934,5,"1,2,5,6,7",1,1,0,0,1,1,1
chr1,9428934,9429145,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,9429145,9429206,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,9429206,9429207,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,9539134,9539247,3,"2,5,7",0,1,0,0,1,0,1
chr1,9539247,9539257,4,"1,2,5,7",1,1,0,0,1,0,1
chr1,9539257,9539299,5,"1,2,5,6,7",1,1,0,0,1,1,1
chr1,9539299,9539364,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,9539364,9539400,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,9539400,9539410,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,9539410,9539509,3,"2,5,7",0,1,0,0,1,0,1
chr1,9539509,9539528,2,"2,7",0,1,0,0,0,0,1
chr1,9719164,9719185,2,"3,7",0,0,1,0,0,0,1
chr1,9719185,9719214,3,"3,5,7",0,0,1,0,1,0,1
chr1,9719214,9719239,4,"3,5,6,7",0,0,1,0,1,1,1
chr1,9719239,9719362,5,"1,3,5,6,7",1,0,1,0,1,1,1
chr1,9719362,9719409,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,9943222,9943566,2,"3,7",0,0,1,0,0,0,1
chr1,11012176,11012265,2,"5,7",0,0,0,0,1,0,1
chr1,11735778,11735950,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,11735950,11736020,3,"2,3,7",0,1,1,0,0,0,1
chr1,11736020,11736124,2,"2,7",0,1,0,0,0,0,1
chr1,11736494,11736657,2,"6,7",0,0,0,0,0,1,1
chr1,11797828,11797838,2,"4,7",0,0,0,1,0,0,1
chr1,11797838,11797841,3,"1,4,7",1,0,0,1,0,0,1
chr1,11797841,11797844,4,"1,3,4,7",1,0,1,1,0,0,1
chr1,11797844,11797850,5,"1,2,3,4,7",1,1,1,1,0,0,1
chr1,11797850,11797864,6,"1,2,3,4,5,7",1,1,1,1,1,0,1
chr1,11797864,11798011,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,11798011,11798016,6,"1,2,3,4,5,7",1,1,1,1,1,0,1
chr1,11798016,11798028,5,"1,3,4,5,7",1,0,1,1,1,0,1
chr1,11798028,11798033,4,"3,4,5,7",0,0,1,1,1,0,1
chr1,11798033,11798068,3,"3,4,7",0,0,1,1,0,0,1
chr1,11798068,11798127,2,"3,7",0,0,1,0,0,0,1
chr1,11803641,11803813,2,"3,7",0,0,1,0,0,0,1
chr1,11842274,11842618,2,"3,7",0,0,1,0,0,0,1
chr1,11882842,11882939,5,"1,2,5,6,7",1,1,0,0,1,1,1
chr1,11882939,11883033,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,11883033,11883076,5,"1,2,5,6,7",1,1,0,0,1,1,1
chr1,11883076,11883103,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,11883103,11883223,3,"2,5,7",0,1,0,0,1,0,1
chr1,11908219,11908229,2,"2,7",0,1,0,0,0,0,1
chr1,11908229,11908329,3,"2,3,7",0,1,1,0,0,0,1
chr1,11908329,11908548,4,"2,3,6,7",0,1,1,0,0,1,1
chr1,11908548,11908629,3,"2,6,7",0,1,0,0,0,1,1
chr1,11908629,11908735,2,"2,7",0,1,0,0,0,0,1
chr1,11909754,11909944,2,"3,7",0,0,1,0,0,0,1
chr1,11979884,11980160,2,"3,7",0,0,1,0,0,0,1
chr1,12019205,12019505,2,"6,7",0,0,0,0,0,1,1
chr1,12161858,12161932,2,"3,7",0,0,1,0,0,0,1
chr1,12161932,12162182,3,"1,3,7",1,0,1,0,0,0,1
chr1,12162182,12162199,2,"3,7",0,0,1,0,0,0,1
chr1,12218484,12218490,3,"2,5,7",0,1,0,0,1,0,1
chr1,12218490,12218501,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,12218501,12218514,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,12218514,12218629,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,12218629,12218738,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,12218738,12218880,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,12218880,12218882,5,"1,2,3,5,7",1,1,1,0,1,0,1
chr1,12218882,12218909,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,12218909,12219011,3,"2,5,7",0,1,0,0,1,0,1
chr1,12219011,12219022,2,"2,7",0,1,0,0,0,0,1
chr1,12617965,12618126,3,"1,3,7",1,0,1,0,0,0,1
chr1,12618126,12618134,2,"3,7",0,0,1,0,0,0,1
chr1,15524213,15524314,2,"3,7",0,0,1,0,0,0,1
chr1,15524314,15524447,3,"1,3,7",1,0,1,0,0,0,1
chr1,15524447,15524455,4,"1,3,5,7",1,0,1,0,1,0,1
chr1,15524455,15524511,3,"3,5,7",0,0,1,0,1,0,1
chr1,15524511,15524557,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,15524557,15524566,3,"2,5,7",0,1,0,0,1,0,1
chr1,15524566,15524583,4,"2,4,5,7",0,1,0,1,1,0,1
chr1,15524583,15524594,5,"2,4,5,6,7",0,1,0,1,1,1,1
chr1,15524594,15524775,6,"1,2,4,5,6,7",1,1,0,1,1,1,1
chr1,15524775,15524786,5,"2,4,5,6,7",0,1,0,1,1,1,1
chr1,15524786,15524806,4,"2,4,5,7",0,1,0,1,1,0,1
chr1,15524806,15524915,3,"2,5,7",0,1,0,0,1,0,1
chr1,15524915,15524931,4,"2,4,5,7",0,1,0,1,1,0,1
chr1,15524931,15524937,5,"2,3,4,5,7",0,1,1,1,1,0,1
chr1,15524937,15524947,6,"2,3,4,5,6,7",0,1,1,1,1,1,1
chr1,15524947,15524949,5,"2,3,4,6,7",0,1,1,1,0,1,1
chr1,15524949,15525027,6,"1,2,3,4,6,7",1,1,1,1,0,1,1
chr1,15525027,15525134,5,"1,3,4,6,7",1,0,1,1,0,1,1
chr1,15525134,15525138,4,"1,4,6,7",1,0,0,1,0,1,1
chr1,15525138,15525153,3,"4,6,7",0,0,0,1,0,1,1
chr1,15525153,15525155,2,"4,7",0,0,0,1,0,0,1
chr1,15526481,15526534,2,"3,7",0,0,1,0,0,0,1
chr1,15526534,15526784,3,"1,3,7",1,0,1,0,0,0,1
chr1,15526784,15526825,2,"3,7",0,0,1,0,0,0,1
chr1,15543491,15543522,2,"2,7",0,1,0,0,0,0,1
chr1,15543522,15543574,3,"2,5,7",0,1,0,0,1,0,1
chr1,15543574,15543593,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,15543593,15543600,5,"1,2,3,5,7",1,1,1,0,1,0,1
chr1,15543600,15543613,6,"1,2,3,4,5,7",1,1,1,1,1,0,1
chr1,15543613,15543802,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,15543802,15543815,6,"2,3,4,5,6,7",0,1,1,1,1,1,1
chr1,15543815,15543840,5,"2,3,4,5,7",0,1,1,1,1,0,1
chr1,15543840,15543874,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,15543874,15543890,3,"2,3,7",0,1,1,0,0,0,1
chr1,15543890,15544050,2,"2,7",0,1,0,0,0,0,1
chr1,15617201,15617501,2,"6,7",0,0,0,0,0,1,1
chr1,15795114,15795458,2,"3,7",0,0,1,0,0,0,1
chr1,15834598,15834609,3,"2,5,7",0,1,0,0,1,0,1
chr1,15834609,15834621,2,"5,7",0,0,0,0,1,0,1
chr1,15835721,15835962,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,15835962,15836002,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,15836002,15836015,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,15836015,15836016,3,"2,5,7",0,1,0,0,1,0,1
chr1,15836016,15836067,2,"2,7",0,1,0,0,0,0,1
chr1,16012816,16012817,6,"1,2,3,4,5,7",1,1,1,1,1,0,1
chr1,16012817,16012893,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,16012893,16012913,6,"1,2,3,4,5,7",1,1,1,1,1,0,1
chr1,16012913,16012961,5,"1,3,4,5,7",1,0,1,1,1,0,1
chr1,16012961,16012971,4,"1,4,5,7",1,0,0,1,1,0,1
chr1,16012971,16012985,3,"1,5,7",1,0,0,0,1,0,1
chr1,16012985,16013266,2,"5,7",0,0,0,0,1,0,1
chr1,16032941,16033182,2,"6,7",0,0,0,0,0,1,1
chr1,16164232,16164264,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,16164264,16164514,5,"1,2,3,5,7",1,1,1,0,1,0,1
chr1,16164514,16164519,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,16206449,16206581,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,16206581,16206593,6,"1,2,3,4,6,7",1,1,1,1,0,1,1
chr1,16206593,16206594,5,"1,2,3,4,7",1,1,1,1,0,0,1
chr1,16206594,16206599,4,"1,3,4,7",1,0,1,1,0,0,1
chr1,16206599,16206610,3,"3,4,7",0,0,1,1,0,0,1
chr1,16206610,16206619,2,"4,7",0,0,0,1,0,0,1
chr1,16352336,16352371,2,"2,7",0,1,0,0,0,0,1
chr1,16352371,16352403,3,"2,5,7",0,1,0,0,1,0,1
chr1,16352403,16352465,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,16352465,16352715,5,"1,2,5,6,7",1,1,0,0,1,1,1
chr1,16352715,16352863,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,16366921,16366933,2,"3,7",0,0,1,0,0,0,1
chr1,16366933,16366998,3,"3,5,7",0,0,1,0,1,0,1
chr1,16366998,16367027,4,"3,5,6,7",0,0,1,0,1,1,1
chr1,16367027,16367251,5,"1,3,5,6,7",1,0,1,0,1,1,1
chr1,16367251,16367277,4,"1,5,6,7",1,0,0,0,1,1,1
chr1,16367277,16367298,3,"5,6,7",0,0,0,0,1,1,1
chr1,16367298,16367433,2,"5,7",0,0,0,0,1,0,1
chr1,16513859,16513887,2,"1,7",1,0,0,0,0,0,1
chr1,16513887,16514109,3,"1,3,7",1,0,1,0,0,0,1
chr1,16514109,16514300,2,"3,7",0,0,1,0,0,0,1
chr1,16621122,16621372,2,"1,7",1,0,0,0,0,0,1
chr1,16624986,16625217,2,"3,7",0,0,1,0,0,0,1
chr1,16644322,16644602,2,"3,7",0,0,1,0,0,0,1
chr1,16644748,16644998,2,"1,7",1,0,0,0,0,0,1
chr1,16896064,16896664,2,"3,7",0,0,1,0,0,0,1
chr1,16904755,16904954,3,"1,6,7",1,0,0,0,0,1,1
chr1,16904954,16904980,2,"1,7",1,0,0,0,0,0,1
chr1,16905204,16905217,2,"3,7",0,0,1,0,0,0,1
chr1,16905217,16905242,3,"3,6,7",0,0,1,0,0,1,1
chr1,16905242,16905382,4,"1,3,6,7",1,0,1,0,0,1,1
chr1,16905382,16905492,3,"1,6,7",1,0,0,0,0,1,1
chr1,16905492,16905517,2,"6,7",0,0,0,0,0,1,1
chr1,19210018,19210081,2,"2,7",0,1,0,0,0,0,1
chr1,19210081,19210203,3,"2,5,7",0,1,0,0,1,0,1
chr1,19210203,19210223,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,19210223,19210230,5,"1,2,5,6,7",1,1,0,0,1,1,1
chr1,19210230,19210246,6,"1,2,4,5,6,7",1,1,0,1,1,1,1
chr1,19210246,19210437,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,19210437,19210448,6,"2,3,4,5,6,7",0,1,1,1,1,1,1
chr1,19210448,19210462,5,"2,4,5,6,7",0,1,0,1,1,1,1
chr1,19210462,19210470,4,"2,4,5,7",0,1,0,1,1,0,1
chr1,19210470,19210605,3,"2,5,7",0,1,0,0,1,0,1
chr1,21904958,21905023,2,"2,7",0,1,0,0,0,0,1
chr1,21905023,21905029,3,"2,6,7",0,1,0,0,0,1,1
chr1,21905029,21905058,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,21905058,21905112,5,"1,2,5,6,7",1,1,0,0,1,1,1
chr1,21905112,21905213,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,21905213,21905308,5,"1,2,5,6,7",1,1,0,0,1,1,1
chr1,21905308,21905323,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,21905323,21905377,3,"2,5,7",0,1,0,0,1,0,1
chr1,22019054,22019070,3,"2,3,7",0,1,1,0,0,0,1
chr1,22019070,22019092,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,22019092,22019099,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,22019099,22019108,6,"2,3,4,5,6,7",0,1,1,1,1,1,1
chr1,22019108,22019318,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,22019318,22019339,6,"1,3,4,5,6,7",1,0,1,1,1,1,1
chr1,22019339,22019358,5,"1,3,5,6,7",1,0,1,0,1,1,1
chr1,22019358,22019391,4,"3,5,6,7",0,0,1,0,1,1,1
chr1,22019391,22019392,3,"5,6,7",0,0,0,0,1,1,1
chr1,22019392,22019519,2,"5,7",0,0,0,0,1,0,1
chr1,22025768,22025823,2,"6,7",0,0,0,0,0,1,1
chr1,22025823,22025859,3,"3,6,7",0,0,1,0,0,1,1
chr1,22025859,22026068,4,"1,3,6,7",1,0,1,0,0,1,1
chr1,22026068,22026109,3,"1,3,7",1,0,1,0,0,0,1
chr1,22026109,22026167,2,"3,7",0,0,1,0,0,0,1
chr1,22053440,22053464,2,"2,7",0,1,0,0,0,0,1
chr1,22053464,22053507,3,"2,3,7",0,1,1,0,0,0,1
chr1,22451769,22452113,2,"3,7",0,0,1,0,0,0,1
chr1,23019193,23019326,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,23019326,23019371,3,"2,6,7",0,1,0,0,0,1,1
chr1,23019371,23019384,2,"2,7",0,1,0,0,0,0,1
chr1,23168842,23169151,2,"2,7",0,1,0,0,0,0,1
chr1,23368773,23368828,3,"3,5,7",0,0,1,0,1,0,1
chr1,23368828,23368843,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,23368843,23368853,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,23368853,23369000,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,23369000,23369019,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,23369019,23369030,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,23369030,23369088,3,"3,5,7",0,0,1,0,1,0,1
chr1,23369088,23369171,2,"5,7",0,0,0,0,1,0,1
chr1,23691653,23691905,2,"3,7",0,0,1,0,0,0,1
chr1,23777859,23777883,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,23777883,23777884,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,23777884,23777966,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,23777966,23778030,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,23778030,23778108,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,23778108,23778116,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,23778116,23778138,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,23778138,23778251,3,"2,5,7",0,1,0,0,1,0,1
chr1,23778251,23778289,2,"2,7",0,1,0,0,0,0,1
chr1,24413893,24413917,2,"3,7",0,0,1,0,0,0,1
chr1,24413917,24413919,3,"2,3,7",0,1,1,0,0,0,1
chr1,25232395,25232487,2,"2,7",0,1,0,0,0,0,1
chr1,25232487,25232519,3,"2,6,7",0,1,0,0,0,1,1
chr1,25232519,25232597,4,"1,2,6,7",1,1,0,0,0,1,1
chr1,25232597,25232716,5,"1,2,3,6,7",1,1,1,0,0,1,1
chr1,25232716,25232769,4,"1,2,6,7",1,1,0,0,0,1,1
chr1,25232769,25232787,3,"2,6,7",0,1,0,0,0,1,1
chr1,25232787,25232792,2,"2,7",0,1,0,0,0,0,1
chr1,25233109,25233134,4,"2,3,6,7",0,1,1,0,0,1,1
chr1,25233134,25233161,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,25233161,25233376,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,25233376,25233401,5,"1,2,5,6,7",1,1,0,0,1,1,1
chr1,25233401,25233411,4,"1,2,5,7",1,1,0,0,1,0,1
chr1,25233411,25233550,3,"2,5,7",0,1,0,0,1,0,1
chr1,25247368,25247410,3,"2,5,7",0,1,0,0,1,0,1
chr1,25247410,25247431,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,25247431,25247444,5,"1,2,5,6,7",1,1,0,0,1,1,1
chr1,25247444,25247493,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,25247493,25247577,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,25247577,25247657,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,25247657,25247671,5,"1,2,5,6,7",1,1,0,0,1,1,1
chr1,25247671,25247698,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,25247698,25247822,3,"2,5,7",0,1,0,0,1,0,1
chr1,25247822,25247843,2,"2,7",0,1,0,0,0,0,1
chr1,25430120,25430203,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,25430203,25430269,5,"1,2,5,6,7",1,1,0,0,1,1,1
chr1,25430269,25430304,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,25430304,25430366,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,25430366,25430506,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,25430627,25430648,2,"3,7",0,0,1,0,0,0,1
chr1,25859265,25859361,2,"3,7",0,0,1,0,0,0,1
chr1,25998028,25998035,2,"2,7",0,1,0,0,0,0,1
chr1,25998035,25998075,3,"2,5,7",0,1,0,0,1,0,1
chr1,25998075,25998086,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,25998086,25998101,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,25998101,25998308,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,25998308,25998313,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,25998313,25998316,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,25998316,25998372,3,"2,5,7",0,1,0,0,1,0,1
chr1,25998372,25998400,2,"2,7",0,1,0,0,0,0,1
chr1,26035278,26035316,2,"3,7",0,0,1,0,0,0,1
chr1,26035316,26035342,3,"3,6,7",0,0,1,0,0,1,1
chr1,26035342,26035592,4,"1,3,6,7",1,0,1,0,0,1,1
chr1,26035592,26035616,3,"3,6,7",0,0,1,0,0,1,1
chr1,26035616,26035622,2,"3,7",0,0,1,0,0,0,1
chr1,26070475,26070520,2,"3,7",0,0,1,0,0,0,1
chr1,26070520,26070524,3,"2,3,7",0,1,1,0,0,0,1
chr1,26070524,26070578,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,26070578,26070607,5,"2,3,4,5,7",0,1,1,1,1,0,1
chr1,26070607,26070624,6,"2,3,4,5,6,7",0,1,1,1,1,1,1
chr1,26070624,26070714,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,26070714,26070735,6,"1,2,3,4,5,7",1,1,1,1,1,0,1
chr1,26070735,26070788,5,"2,3,4,5,7",0,1,1,1,1,0,1
chr1,26070788,26070818,4,"2,3,4,7",0,1,1,1,0,0,1
