chrom,start,end,num,list,ENCFF042YRF_RAD21_sorted.bed,ENCFF128EFJ_RAD21_sorted.bed,ENCFF144YNR_RAD21_sorted.bed,ENCFF265WWW_RAD21_sorted.bed,ENCFF407MXA_RAD21_sorted.bed,ENCFF710DZU_RAD21_sorted.bed,ENCFF758ASL_RAD21_sorted.bed,ENCFF961ADY_RAD21_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,1505496,1505524,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,1505524,1505566,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,1505566,1505570,4,"1,6,7,9",1,0,0,0,0,1,1,0,1
chr1,1505570,1505611,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,1505611,1505756,6,"1,2,5,6,7,9",1,1,0,0,1,1,1,0,1
chr1,1505756,1505758,5,"1,2,5,7,9",1,1,0,0,1,0,1,0,1
chr1,1505758,1505768,4,"1,5,7,9",1,0,0,0,1,0,1,0,1
chr1,1615487,1615608,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,1615694,1615823,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,1746361,1746685,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,1758830,1759014,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,1759014,1759154,3,"5,6,9",0,0,0,0,1,1,0,0,1
chr1,1759154,1759198,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1778299,1778381,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,1778381,1778452,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,1779019,1779024,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,1779024,1779221,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,1906267,1906273,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,1906273,1906275,4,"1,2,6,9",1,1,0,0,0,1,0,0,1
chr1,1906275,1906279,5,"1,2,3,6,9",1,1,1,0,0,1,0,0,1
chr1,1906279,1906297,6,"1,2,3,6,7,9",1,1,1,0,0,1,1,0,1
chr1,1906297,1906305,7,"1,2,3,5,6,7,9",1,1,1,0,1,1,1,0,1
chr1,1906305,1906307,8,"1,2,3,4,5,6,7,9",1,1,1,1,1,1,1,0,1
chr1,1906307,1906490,9,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,1,1,1
chr1,1906490,1906491,8,"2,3,4,5,6,7,8,9",0,1,1,1,1,1,1,1,1
chr1,1906491,1906495,7,"2,3,4,5,6,8,9",0,1,1,1,1,1,0,1,1
chr1,1906495,1906504,6,"2,4,5,6,8,9",0,1,0,1,1,1,0,1,1
chr1,1906504,1906507,5,"2,4,6,8,9",0,1,0,1,0,1,0,1,1
chr1,1906507,1906526,4,"2,6,8,9",0,1,0,0,0,1,0,1,1
chr1,1908927,1909039,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,1909039,1909040,3,"1,2,9",1,1,0,0,0,0,0,0,1
chr1,1909040,1909047,4,"1,2,6,9",1,1,0,0,0,1,0,0,1
chr1,1909047,1909091,5,"1,2,5,6,9",1,1,0,0,1,1,0,0,1
chr1,1909091,1909179,6,"1,2,4,5,6,9",1,1,0,1,1,1,0,0,1
chr1,1909179,1909180,5,"1,2,4,5,9",1,1,0,1,1,0,0,0,1
chr1,1909180,1909207,4,"1,4,5,9",1,0,0,1,1,0,0,0,1
chr1,1909207,1909218,3,"1,5,9",1,0,0,0,1,0,0,0,1
chr1,1909218,1909311,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,2205264,2205329,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,2205329,2205513,3,"2,5,9",0,1,0,0,1,0,0,0,1
chr1,2205513,2205692,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,2212647,2212668,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,2212668,2212713,3,"1,6,9",1,0,0,0,0,1,0,0,1
chr1,2212713,2212741,4,"1,2,6,9",1,1,0,0,0,1,0,0,1
chr1,2212741,2212971,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,2212971,2213049,4,"1,2,7,9",1,1,0,0,0,0,1,0,1
chr1,2213049,2213052,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,2213052,2213105,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,2227549,2227782,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,2227782,2227808,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,2381801,2381813,5,"2,3,6,8,9",0,1,1,0,0,1,0,1,1
chr1,2381813,2381814,7,"2,3,4,5,6,8,9",0,1,1,1,1,1,0,1,1
chr1,2381814,2381820,8,"1,2,3,4,5,6,8,9",1,1,1,1,1,1,0,1,1
chr1,2381820,2382009,9,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,1,1,1
chr1,2382009,2382010,8,"1,2,3,5,6,7,8,9",1,1,1,0,1,1,1,1,1
chr1,2382010,2382015,7,"1,2,3,6,7,8,9",1,1,1,0,0,1,1,1,1
chr1,2382015,2382018,6,"1,2,3,6,8,9",1,1,1,0,0,1,0,1,1
chr1,2382018,2382019,5,"1,2,6,8,9",1,1,0,0,0,1,0,1,1
chr1,2382019,2382025,4,"1,2,6,9",1,1,0,0,0,1,0,0,1
chr1,2382025,2382054,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,2412744,2413068,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,2643246,2643275,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,2643275,2643400,3,"4,5,9",0,0,0,1,1,0,0,0,1
chr1,3619041,3619061,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,3619061,3619070,4,"1,2,7,9",1,1,0,0,0,0,1,0,1
chr1,3619070,3619073,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,3619073,3619097,6,"1,2,6,7,8,9",1,1,0,0,0,1,1,1,1
chr1,3619097,3619139,7,"1,2,3,6,7,8,9",1,1,1,0,0,1,1,1,1
chr1,3619139,3619223,9,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,1,1,1
chr1,3619223,3619240,8,"1,2,3,4,6,7,8,9",1,1,1,1,0,1,1,1,1
chr1,3619240,3619283,7,"1,2,3,6,7,8,9",1,1,1,0,0,1,1,1,1
chr1,3619283,3619287,6,"1,3,6,7,8,9",1,0,1,0,0,1,1,1,1
chr1,3619287,3619293,5,"1,3,7,8,9",1,0,1,0,0,0,1,1,1
chr1,3619293,3619302,4,"1,3,7,9",1,0,1,0,0,0,1,0,1
chr1,3649929,3649935,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,3649935,3650091,4,"2,4,6,9",0,1,0,1,0,1,0,0,1
chr1,3650091,3650127,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,3650127,3650165,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,3857128,3857136,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,3857136,3857249,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,3857249,3857265,4,"1,2,7,9",1,1,0,0,0,0,1,0,1
chr1,3857265,3857284,5,"1,2,4,7,9",1,1,0,1,0,0,1,0,1
chr1,3857284,3857293,6,"1,2,4,6,7,9",1,1,0,1,0,1,1,0,1
chr1,3857293,3857415,7,"1,2,4,5,6,7,9",1,1,0,1,1,1,1,0,1
chr1,3857415,3857421,6,"1,2,4,6,7,9",1,1,0,1,0,1,1,0,1
chr1,3857421,3857438,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,3857438,3857445,4,"1,2,7,9",1,1,0,0,0,0,1,0,1
chr1,3857445,3857500,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,3857500,3857512,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,5885813,5886078,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,5992734,5992785,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,6205174,6205295,4,"2,6,7,9",0,1,0,0,0,1,1,0,1
chr1,6205295,6205314,5,"2,4,6,7,9",0,1,0,1,0,1,1,0,1
chr1,6205314,6205433,6,"2,4,5,6,7,9",0,1,0,1,1,1,1,0,1
chr1,6205433,6205451,5,"2,4,6,7,9",0,1,0,1,0,1,1,0,1
chr1,6205451,6205481,4,"2,6,7,9",0,1,0,0,0,1,1,0,1
chr1,6205481,6205486,3,"2,7,9",0,1,0,0,0,0,1,0,1
chr1,6205486,6205509,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,6245103,6245105,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,6245105,6245115,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,6245115,6245126,5,"2,5,6,7,9",0,1,0,0,1,1,1,0,1
chr1,6245126,6245173,6,"1,2,5,6,7,9",1,1,0,0,1,1,1,0,1
chr1,6245173,6245265,7,"1,2,4,5,6,7,9",1,1,0,1,1,1,1,0,1
chr1,6245265,6245285,6,"2,4,5,6,7,9",0,1,0,1,1,1,1,0,1
chr1,6245285,6245310,5,"2,5,6,7,9",0,1,0,0,1,1,1,0,1
chr1,6245310,6245323,4,"2,6,7,9",0,1,0,0,0,1,1,0,1
chr1,6245323,6245341,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,6245341,6245344,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,6393920,6394184,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,6440669,6440670,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,6440670,6440941,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,6554409,6554462,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,6554462,6554520,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,6554520,6554525,4,"1,6,7,9",1,0,0,0,0,1,1,0,1
chr1,6554525,6554531,5,"1,4,6,7,9",1,0,0,1,0,1,1,0,1
chr1,6554531,6554563,6,"1,2,4,6,7,9",1,1,0,1,0,1,1,0,1
chr1,6554563,6554671,7,"1,2,4,5,6,7,9",1,1,0,1,1,1,1,0,1
chr1,6554671,6554681,6,"1,2,4,6,7,9",1,1,0,1,0,1,1,0,1
chr1,6554681,6554685,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,6554685,6554692,4,"1,6,7,9",1,0,0,0,0,1,1,0,1
chr1,6554692,6554757,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,6613695,6613879,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,6624857,6624880,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,6624880,6625020,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,6625020,6625193,4,"2,5,6,9",0,1,0,0,1,1,0,0,1
chr1,6625193,6625204,3,"5,6,9",0,0,0,0,1,1,0,0,1
chr1,7961237,7961280,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,7961280,7961298,3,"1,6,9",1,0,0,0,0,1,0,0,1
chr1,7961298,7961369,4,"1,2,6,9",1,1,0,0,0,1,0,0,1
chr1,7961369,7961370,5,"1,2,4,6,9",1,1,0,1,0,1,0,0,1
chr1,7961370,7961525,6,"1,2,4,5,6,9",1,1,0,1,1,1,0,0,1
chr1,7961525,7961554,5,"1,2,5,6,9",1,1,0,0,1,1,0,0,1
chr1,7961554,7961604,4,"1,2,6,9",1,1,0,0,0,1,0,0,1
chr1,7961604,7961621,3,"1,2,9",1,1,0,0,0,0,0,0,1
chr1,7961621,7961634,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,8004716,8005052,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,8026268,8026281,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,8026281,8026604,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,8026604,8026605,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,8197771,8197912,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,8197912,8198235,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,8877972,8878237,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,8878758,8879311,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,8879311,8879344,3,"1,6,9",1,0,0,0,0,1,0,0,1
chr1,8879344,8879532,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,9234396,9234399,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,9234399,9234470,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,9234470,9234502,4,"1,6,7,9",1,0,0,0,0,1,1,0,1
chr1,9234502,9234686,5,"1,5,6,7,9",1,0,0,0,1,1,1,0,1
chr1,9234686,9234763,4,"1,6,7,9",1,0,0,0,0,1,1,0,1
chr1,9234763,9234780,3,"1,6,9",1,0,0,0,0,1,0,0,1
chr1,9234780,9234794,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,9539500,9539836,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,9588440,9588465,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,9588465,9588554,3,"6,7,9",0,0,0,0,0,1,1,0,1
chr1,9588554,9588574,5,"4,5,6,7,9",0,0,0,1,1,1,1,0,1
chr1,9588574,9588681,6,"2,4,5,6,7,9",0,1,0,1,1,1,1,0,1
chr1,9588681,9588710,5,"2,4,6,7,9",0,1,0,1,0,1,1,0,1
chr1,9588710,9588717,4,"2,6,7,9",0,1,0,0,0,1,1,0,1
chr1,9588717,9588789,3,"6,7,9",0,0,0,0,0,1,1,0,1
chr1,9588789,9588790,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,9943255,9943587,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,10032508,10032538,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,10032538,10032551,3,"1,2,9",1,1,0,0,0,0,0,0,1
chr1,10032551,10032577,4,"1,2,6,9",1,1,0,0,0,1,0,0,1
chr1,10032577,10032587,5,"1,2,4,6,9",1,1,0,1,0,1,0,0,1
chr1,10032587,10032593,6,"1,2,4,5,6,9",1,1,0,1,1,1,0,0,1
chr1,10032593,10032722,7,"1,2,4,5,6,7,9",1,1,0,1,1,1,1,0,1
chr1,10032722,10032729,6,"1,2,4,5,6,9",1,1,0,1,1,1,0,0,1
chr1,10032729,10032733,5,"1,2,4,6,9",1,1,0,1,0,1,0,0,1
chr1,10032733,10032751,4,"1,2,6,9",1,1,0,0,0,1,0,0,1
chr1,10032751,10032754,3,"1,2,9",1,1,0,0,0,0,0,0,1
chr1,10032754,10032837,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,10210117,10210174,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,10210174,10210267,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,10210267,10210276,4,"1,4,7,9",1,0,0,1,0,0,1,0,1
chr1,10210276,10210281,5,"1,4,6,7,9",1,0,0,1,0,1,1,0,1
chr1,10210281,10210292,6,"1,2,4,6,7,9",1,1,0,1,0,1,1,0,1
chr1,10210292,10210423,7,"1,2,4,5,6,7,9",1,1,0,1,1,1,1,0,1
chr1,10210423,10210442,6,"1,2,5,6,7,9",1,1,0,0,1,1,1,0,1
chr1,10210442,10210478,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,10210478,10210495,4,"1,2,7,9",1,1,0,0,0,0,1,0,1
chr1,10210495,10210501,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,10210501,10210538,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,10430244,10430290,3,"1,2,9",1,1,0,0,0,0,0,0,1
chr1,10430290,10430302,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,10430302,10430305,6,"1,2,4,6,7,9",1,1,0,1,0,1,1,0,1
chr1,10430305,10430458,7,"1,2,4,5,6,7,9",1,1,0,1,1,1,1,0,1
chr1,10430458,10430470,6,"1,2,5,6,7,9",1,1,0,0,1,1,1,0,1
chr1,10430470,10430496,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,10430496,10430522,4,"1,2,6,9",1,1,0,0,0,1,0,0,1
chr1,10430522,10430523,3,"1,2,9",1,1,0,0,0,0,0,0,1
chr1,10430523,10430587,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,11060068,11060252,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,11272781,11272937,2,"4,9",0,0,0,1,0,0,0,0,1
chr1,11478707,11478756,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,11478756,11478797,6,"1,2,4,6,7,9",1,1,0,1,0,1,1,0,1
chr1,11478797,11478897,7,"1,2,4,5,6,7,9",1,1,0,1,1,1,1,0,1
chr1,11478897,11478912,6,"1,2,4,6,7,9",1,1,0,1,0,1,1,0,1
chr1,11478912,11479014,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,11479014,11479058,4,"1,6,7,9",1,0,0,0,0,1,1,0,1
chr1,11479058,11479065,3,"1,6,9",1,0,0,0,0,1,0,0,1
chr1,11479065,11479220,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,11663973,11664003,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,11664003,11664068,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,11664068,11664076,4,"1,2,7,9",1,1,0,0,0,0,1,0,1
chr1,11664076,11664117,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,11664117,11664133,6,"1,2,4,6,7,9",1,1,0,1,0,1,1,0,1
chr1,11664133,11664263,7,"1,2,4,5,6,7,9",1,1,0,1,1,1,1,0,1
chr1,11664263,11664268,6,"1,2,4,6,7,9",1,1,0,1,0,1,1,0,1
chr1,11664268,11664273,5,"1,4,6,7,9",1,0,0,1,0,1,1,0,1
chr1,11664273,11664283,4,"1,6,7,9",1,0,0,0,0,1,1,0,1
chr1,11664283,11664337,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,11664337,11664387,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,11671446,11671750,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,11797737,11797764,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,11797764,11797859,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,11797859,11798043,4,"2,5,6,9",0,1,0,0,1,1,0,0,1
chr1,11798043,11798088,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,11798088,11798135,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,11803635,11803813,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,11805593,11805618,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,11805618,11805751,3,"6,7,9",0,0,0,0,0,1,1,0,1
chr1,11805751,11805935,4,"5,6,7,9",0,0,0,0,1,1,1,0,1
chr1,11805935,11805942,3,"6,7,9",0,0,0,0,0,1,1,0,1
chr1,11805942,11805957,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,11842170,11842293,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,11842293,11842604,3,"1,6,9",1,0,0,0,0,1,0,0,1
chr1,11842604,11842617,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,11882842,11882862,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,11882862,11883176,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,11883176,11883186,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,11907766,11907770,7,"1,2,3,5,6,8,9",1,1,1,0,1,1,0,1,1
chr1,11907770,11907775,8,"1,2,3,5,6,7,8,9",1,1,1,0,1,1,1,1,1
chr1,11907775,11907861,9,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,1,1,1
chr1,11907861,11907904,8,"1,2,3,4,5,6,8,9",1,1,1,1,1,1,0,1,1
chr1,11907904,11907924,9,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,1,1,1
chr1,11907924,11907931,8,"1,2,4,5,6,7,8,9",1,1,0,1,1,1,1,1,1
chr1,11907931,11907942,6,"1,5,6,7,8,9",1,0,0,0,1,1,1,1,1
chr1,11907942,11907946,5,"1,5,7,8,9",1,0,0,0,1,0,1,1,1
chr1,11907946,11907948,4,"1,7,8,9",1,0,0,0,0,0,1,1,1
chr1,11907948,11907966,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,11908084,11908344,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,11908344,11908358,3,"2,7,9",0,1,0,0,0,0,1,0,1
chr1,11908358,11908460,4,"2,6,7,9",0,1,0,0,0,1,1,0,1
chr1,11908460,11908544,5,"2,5,6,7,9",0,1,0,0,1,1,1,0,1
chr1,11908544,11908644,4,"2,5,6,9",0,1,0,0,1,1,0,0,1
chr1,11908644,11908680,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,11908680,11908682,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,11909549,11909589,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,11909589,11909602,3,"1,2,9",1,1,0,0,0,0,0,0,1
chr1,11909602,11909669,4,"1,2,6,9",1,1,0,0,0,1,0,0,1
chr1,11909669,11909925,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,11909925,11909926,4,"1,6,7,9",1,0,0,0,0,1,1,0,1
chr1,11909926,11909933,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,11909933,11909944,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,12019568,12019645,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,12161839,12161948,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,12161948,12162104,3,"4,6,9",0,0,0,1,0,1,0,0,1
chr1,12162104,12162152,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,12218534,12218858,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,12229832,12229871,4,"2,6,7,9",0,1,0,0,0,1,1,0,1
chr1,12229871,12229888,5,"2,4,6,7,9",0,1,0,1,0,1,1,0,1
chr1,12229888,12230027,6,"2,4,5,6,7,9",0,1,0,1,1,1,1,0,1
chr1,12230027,12230072,5,"2,5,6,7,9",0,1,0,0,1,1,1,0,1
chr1,12230072,12230136,4,"2,6,7,9",0,1,0,0,0,1,1,0,1
chr1,12230136,12230138,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,12230138,12230139,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,12529412,12529674,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,15526488,15526644,2,"4,9",0,0,0,1,0,0,0,0,1
chr1,15526879,15527063,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,15543706,15544050,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,15795064,15795363,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,15834634,15834657,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,15834657,15834958,3,"6,7,9",0,0,0,0,0,1,1,0,1
chr1,15834958,15835021,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,15975425,15975468,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,15975468,15975521,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,15975521,15975553,4,"2,5,6,9",0,1,0,0,1,1,0,0,1
chr1,15975553,15975705,5,"2,4,5,6,9",0,1,0,1,1,1,0,0,1
chr1,15975705,15975709,4,"2,4,6,9",0,1,0,1,0,1,0,0,1
chr1,15975709,15975749,3,"2,6,9",0,1,0,0,0,1,0,0,1
chr1,15975749,15975804,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,16012816,16012925,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,16032837,16032840,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,16032840,16032848,3,"1,2,9",1,1,0,0,0,0,0,0,1
chr1,16032848,16032874,4,"1,2,6,9",1,1,0,0,0,1,0,0,1
chr1,16032874,16032893,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,16032893,16032895,6,"1,2,3,6,7,9",1,1,1,0,0,1,1,0,1
chr1,16032895,16032907,7,"1,2,3,5,6,7,9",1,1,1,0,1,1,1,0,1
chr1,16032907,16032914,8,"1,2,3,4,5,6,7,9",1,1,1,1,1,1,1,0,1
chr1,16032914,16033096,9,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,1,1,1
chr1,16033096,16033106,8,"1,2,3,5,6,7,8,9",1,1,1,0,1,1,1,1,1
chr1,16033106,16033113,7,"1,2,3,6,7,8,9",1,1,1,0,0,1,1,1,1
chr1,16033113,16033134,6,"1,2,6,7,8,9",1,1,0,0,0,1,1,1,1
chr1,16033134,16033136,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
