chrom,start,end,num,list,ENCFF395ESB_HDAC2_sorted.bed,ENCFF419CZB_HDAC2_sorted.bed,ENCFF465QDK_HDAC2_sorted.bed,ENCFF496MRB_HDAC2_sorted.bed,ENCFF595GCJ_HDAC2_sorted.bed,ENCFF663JQM_HDAC2_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,1438132,1438352,4,"1,2,4,7",1,1,0,1,0,0,1
chr1,1438352,1438357,3,"1,2,7",1,1,0,0,0,0,1
chr1,1440926,1440947,2,"2,7",0,1,0,0,0,0,1
chr1,1440947,1441178,3,"1,2,7",1,1,0,0,0,0,1
chr1,1462401,1462811,2,"2,7",0,1,0,0,0,0,1
chr1,1471447,1471485,2,"3,7",0,0,1,0,0,0,1
chr1,1471485,1471631,3,"1,3,7",1,0,1,0,0,0,1
chr1,1471631,1471808,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,1471808,1471815,3,"1,3,7",1,0,1,0,0,0,1
chr1,1471815,1471927,2,"3,7",0,0,1,0,0,0,1
chr1,1504934,1504998,2,"3,7",0,0,1,0,0,0,1
chr1,1504998,1505220,3,"2,3,7",0,1,1,0,0,0,1
chr1,1505388,1505408,3,"2,3,7",0,1,1,0,0,0,1
chr1,1505408,1505414,2,"3,7",0,0,1,0,0,0,1
chr1,1511767,1511849,2,"3,7",0,0,1,0,0,0,1
chr1,1511849,1512134,3,"2,3,7",0,1,1,0,0,0,1
chr1,1512134,1512220,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,1512220,1512247,3,"2,3,7",0,1,1,0,0,0,1
chr1,1512247,1512259,2,"2,7",0,1,0,0,0,0,1
chr1,1574754,1574762,2,"3,7",0,0,1,0,0,0,1
chr1,1574762,1574848,3,"1,3,7",1,0,1,0,0,0,1
chr1,1574848,1574997,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,1574997,1575092,3,"1,3,7",1,0,1,0,0,0,1
chr1,1575092,1575234,2,"3,7",0,0,1,0,0,0,1
chr1,1615153,1615464,2,"1,7",1,0,0,0,0,0,1
chr1,1658752,1658968,2,"3,7",0,0,1,0,0,0,1
chr1,1658968,1659232,3,"2,3,7",0,1,1,0,0,0,1
chr1,1659232,1659378,2,"2,7",0,1,0,0,0,0,1
chr1,1678769,1678806,2,"3,7",0,0,1,0,0,0,1
chr1,1678806,1678809,3,"2,3,7",0,1,1,0,0,0,1
chr1,1678809,1679139,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,1679139,1679197,3,"2,3,7",0,1,1,0,0,0,1
chr1,1724230,1724243,2,"3,7",0,0,1,0,0,0,1
chr1,1724243,1724653,3,"2,3,7",0,1,1,0,0,0,1
chr1,1724653,1724710,2,"3,7",0,0,1,0,0,0,1
chr1,1778442,1778758,2,"1,7",1,0,0,0,0,0,1
chr1,1778758,1778772,3,"1,3,7",1,0,1,0,0,0,1
chr1,1778772,1779105,2,"3,7",0,0,1,0,0,0,1
chr1,1779105,1779349,3,"1,3,7",1,0,1,0,0,0,1
chr1,1783010,1783028,2,"2,7",0,1,0,0,0,0,1
chr1,1891062,1891542,2,"3,7",0,0,1,0,0,0,1
chr1,1906251,1906535,3,"1,2,7",1,1,0,0,0,0,1
chr1,1908939,1909269,2,"1,7",1,0,0,0,0,0,1
chr1,1918965,1919295,2,"1,7",1,0,0,0,0,0,1
chr1,1919456,1919549,2,"3,7",0,0,1,0,0,0,1
chr1,1919549,1919873,3,"2,3,7",0,1,1,0,0,0,1
chr1,1923066,1923320,3,"1,3,7",1,0,1,0,0,0,1
chr1,2047261,2047541,3,"2,3,7",0,1,1,0,0,0,1
chr1,2049579,2049654,2,"2,7",0,1,0,0,0,0,1
chr1,2049654,2050134,3,"2,3,7",0,1,1,0,0,0,1
chr1,2050134,2050264,2,"2,7",0,1,0,0,0,0,1
chr1,2134685,2135243,2,"1,7",1,0,0,0,0,0,1
chr1,2135461,2135793,2,"2,7",0,1,0,0,0,0,1
chr1,2137558,2137846,2,"2,7",0,1,0,0,0,0,1
chr1,2189575,2189582,2,"3,7",0,0,1,0,0,0,1
chr1,2189582,2189707,3,"1,3,7",1,0,1,0,0,0,1
chr1,2189707,2189818,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,2189818,2189912,3,"1,3,7",1,0,1,0,0,0,1
chr1,2189912,2190278,2,"3,7",0,0,1,0,0,0,1
chr1,2208168,2208191,2,"5,7",0,0,0,0,1,0,1
chr1,2208301,2208856,2,"3,7",0,0,1,0,0,0,1
chr1,2234493,2234642,3,"2,3,7",0,1,1,0,0,0,1
chr1,2234642,2234733,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,2311430,2311543,2,"2,7",0,1,0,0,0,0,1
chr1,2311543,2311791,3,"2,3,7",0,1,1,0,0,0,1
chr1,2391363,2391475,2,"3,7",0,0,1,0,0,0,1
chr1,2391475,2391885,3,"2,3,7",0,1,1,0,0,0,1
chr1,2391885,2391968,2,"3,7",0,0,1,0,0,0,1
chr1,2412382,2412892,2,"2,7",0,1,0,0,0,0,1
chr1,2412892,2413086,3,"1,2,7",1,1,0,0,0,0,1
chr1,2413086,2413222,2,"1,7",1,0,0,0,0,0,1
chr1,2575963,2576016,2,"1,7",1,0,0,0,0,0,1
chr1,2576016,2576220,3,"1,2,7",1,1,0,0,0,0,1
chr1,2576220,2576293,2,"1,7",1,0,0,0,0,0,1
chr1,2578281,2578309,3,"2,3,7",0,1,1,0,0,0,1
chr1,2578309,2578639,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,2578639,2578676,3,"2,3,7",0,1,1,0,0,0,1
chr1,2578676,2578715,2,"3,7",0,0,1,0,0,0,1
chr1,2642871,2643085,2,"3,7",0,0,1,0,0,0,1
chr1,2643085,2643443,3,"2,3,7",0,1,1,0,0,0,1
chr1,3066249,3066508,2,"2,7",0,1,0,0,0,0,1
chr1,3197776,3198186,2,"2,7",0,1,0,0,0,0,1
chr1,3456739,3457032,2,"1,7",1,0,0,0,0,0,1
chr1,3457032,3457069,3,"1,3,7",1,0,1,0,0,0,1
chr1,3457069,3457100,2,"3,7",0,0,1,0,0,0,1
chr1,3457100,3457146,3,"3,4,7",0,0,1,1,0,0,1
chr1,3457146,3457320,4,"2,3,4,7",0,1,1,1,0,0,1
chr1,3457320,3457340,3,"2,3,7",0,1,1,0,0,0,1
chr1,3457340,3457482,2,"3,7",0,0,1,0,0,0,1
chr1,3460117,3460373,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,3460373,3460380,3,"2,3,7",0,1,1,0,0,0,1
chr1,3460380,3460422,2,"2,7",0,1,0,0,0,0,1
chr1,3460715,3460836,2,"2,7",0,1,0,0,0,0,1
chr1,3460836,3460906,3,"2,3,7",0,1,1,0,0,0,1
chr1,3460906,3460918,2,"3,7",0,0,1,0,0,0,1
chr1,3624566,3624976,2,"2,7",0,1,0,0,0,0,1
chr1,3625443,3625853,2,"2,7",0,1,0,0,0,0,1
chr1,3652158,3652488,2,"1,7",1,0,0,0,0,0,1
chr1,3668808,3668854,2,"3,7",0,0,1,0,0,0,1
chr1,3668854,3668938,3,"1,3,7",1,0,1,0,0,0,1
chr1,3775330,3775454,2,"2,7",0,1,0,0,0,0,1
chr1,3775454,3775648,3,"1,2,7",1,1,0,0,0,0,1
chr1,3775648,3775784,2,"1,7",1,0,0,0,0,0,1
chr1,3775971,3775976,3,"2,3,7",0,1,1,0,0,0,1
chr1,3775976,3776268,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,3857141,3857551,2,"2,7",0,1,0,0,0,0,1
chr1,3900026,3900181,2,"1,7",1,0,0,0,0,0,1
chr1,3900245,3900301,2,"3,7",0,0,1,0,0,0,1
chr1,3900301,3900328,3,"1,3,7",1,0,1,0,0,0,1
chr1,3900328,3900631,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,3900631,3900725,3,"2,3,7",0,1,1,0,0,0,1
chr1,3900725,3900947,2,"2,7",0,1,0,0,0,0,1
chr1,5992571,5992988,2,"1,7",1,0,0,0,0,0,1
chr1,6199423,6199833,2,"2,7",0,1,0,0,0,0,1
chr1,6204922,6205253,2,"2,7",0,1,0,0,0,0,1
chr1,6205741,6205772,2,"3,7",0,0,1,0,0,0,1
chr1,6205772,6206182,3,"2,3,7",0,1,1,0,0,0,1
chr1,6206182,6206221,2,"3,7",0,0,1,0,0,0,1
chr1,6240185,6240408,2,"2,7",0,1,0,0,0,0,1
chr1,6240408,6240595,3,"1,2,7",1,1,0,0,0,0,1
chr1,6240595,6240738,2,"1,7",1,0,0,0,0,0,1
chr1,6447004,6447013,2,"1,7",1,0,0,0,0,0,1
chr1,6447013,6447423,3,"1,2,7",1,1,0,0,0,0,1
chr1,6447423,6447569,2,"1,7",1,0,0,0,0,0,1
chr1,6447771,6447837,2,"1,7",1,0,0,0,0,0,1
chr1,6447837,6448101,3,"1,3,7",1,0,1,0,0,0,1
chr1,6448209,6448429,2,"3,7",0,0,1,0,0,0,1
chr1,6450968,6451016,2,"1,7",1,0,0,0,0,0,1
chr1,6451016,6451036,3,"1,4,7",1,0,0,1,0,0,1
chr1,6451036,6451236,4,"1,2,4,7",1,1,0,1,0,0,1
chr1,6451236,6451298,3,"1,2,7",1,1,0,0,0,0,1
chr1,6451298,6451393,2,"2,7",0,1,0,0,0,0,1
chr1,6554348,6554436,2,"3,7",0,0,1,0,0,0,1
chr1,6554436,6554496,3,"1,3,7",1,0,1,0,0,0,1
chr1,6554496,6554615,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,6554615,6554758,3,"1,3,7",1,0,1,0,0,0,1
chr1,6579496,6579826,2,"1,7",1,0,0,0,0,0,1
chr1,6603685,6603787,2,"3,7",0,0,1,0,0,0,1
chr1,6604042,6604142,2,"2,7",0,1,0,0,0,0,1
chr1,6604257,6604482,2,"2,7",0,1,0,0,0,0,1
chr1,6613105,6613308,2,"1,7",1,0,0,0,0,0,1
chr1,6613308,6613435,3,"1,3,7",1,0,1,0,0,0,1
chr1,6613435,6613992,2,"3,7",0,0,1,0,0,0,1
chr1,6784770,6785180,2,"2,7",0,1,0,0,0,0,1
chr1,7771146,7771476,2,"1,7",1,0,0,0,0,0,1
chr1,7953883,7954293,2,"2,7",0,1,0,0,0,0,1
chr1,7975236,7975299,2,"2,7",0,1,0,0,0,0,1
chr1,7975299,7975629,3,"1,2,7",1,1,0,0,0,0,1
chr1,7975629,7975646,2,"2,7",0,1,0,0,0,0,1
chr1,8026124,8026287,2,"3,7",0,0,1,0,0,0,1
chr1,8026287,8026604,3,"1,3,7",1,0,1,0,0,0,1
chr1,8026604,8026617,2,"1,7",1,0,0,0,0,0,1
chr1,8027369,8027374,2,"2,7",0,1,0,0,0,0,1
chr1,8027374,8027426,3,"2,4,7",0,1,0,1,0,0,1
chr1,8027426,8027436,4,"1,2,4,7",1,1,0,1,0,0,1
chr1,8027436,8027556,5,"1,2,3,4,7",1,1,1,1,0,0,1
chr1,8027556,8027589,4,"1,2,4,7",1,1,0,1,0,0,1
chr1,8027589,8027594,3,"1,4,7",1,0,0,1,0,0,1
chr1,8027594,8027756,2,"1,7",1,0,0,0,0,0,1
chr1,8189961,8189987,2,"1,7",1,0,0,0,0,0,1
chr1,8189987,8190063,3,"1,2,7",1,1,0,0,0,0,1
chr1,8190063,8190078,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,8190078,8190183,5,"1,2,3,6,7",1,1,1,0,0,1,1
chr1,8190183,8190291,4,"1,2,6,7",1,1,0,0,0,1,1
chr1,8190291,8190345,3,"2,6,7",0,1,0,0,0,1,1
chr1,8190345,8190388,2,"6,7",0,0,0,0,0,1,1
chr1,8211907,8211928,2,"2,7",0,1,0,0,0,0,1
chr1,8211928,8211976,3,"1,2,7",1,1,0,0,0,0,1
chr1,8211976,8212074,4,"1,2,6,7",1,1,0,0,0,1,1
chr1,8212074,8212089,5,"1,2,3,6,7",1,1,1,0,0,1,1
chr1,8212089,8212309,6,"1,2,3,4,6,7",1,1,1,1,0,1,1
chr1,8212309,8212316,5,"1,2,3,6,7",1,1,1,0,0,1,1
chr1,8212316,8212407,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,8212407,8212425,3,"1,3,7",1,0,1,0,0,0,1
chr1,8315896,8316133,3,"1,2,7",1,1,0,0,0,0,1
chr1,8423922,8424252,2,"1,7",1,0,0,0,0,0,1
chr1,8740430,8740440,3,"1,2,7",1,1,0,0,0,0,1
chr1,8740440,8740456,2,"2,7",0,1,0,0,0,0,1
chr1,8742059,8742060,2,"6,7",0,0,0,0,0,1,1
chr1,8742060,8742079,3,"5,6,7",0,0,0,0,1,1,1
chr1,8742079,8742095,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,8742095,8742107,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,8742107,8742285,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,8742285,8742327,6,"2,3,4,5,6,7",0,1,1,1,1,1,1
chr1,8742327,8742340,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,8742340,8742396,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,8742396,8742399,3,"2,6,7",0,1,0,0,0,1,1
chr1,8742399,8742615,2,"2,7",0,1,0,0,0,0,1
chr1,8878674,8879088,2,"3,7",0,0,1,0,0,0,1
chr1,8879088,8879115,3,"1,3,7",1,0,1,0,0,0,1
chr1,8879115,8879379,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,8879379,8879417,3,"1,2,7",1,1,0,0,0,0,1
chr1,9100535,9100845,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,9100845,9100903,3,"1,3,7",1,0,1,0,0,0,1
chr1,9100903,9101001,2,"1,7",1,0,0,0,0,0,1
chr1,9172113,9172134,2,"3,7",0,0,1,0,0,0,1
chr1,9172134,9172196,3,"2,3,7",0,1,1,0,0,0,1
chr1,9172196,9172227,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,9172227,9172447,5,"1,2,3,4,7",1,1,1,1,0,0,1
chr1,9172447,9172526,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,9172526,9172535,3,"2,3,7",0,1,1,0,0,0,1
chr1,9181332,9181676,2,"2,7",0,1,0,0,0,0,1
chr1,9182177,9182198,2,"2,7",0,1,0,0,0,0,1
chr1,9182198,9182528,3,"1,2,7",1,1,0,0,0,0,1
chr1,9182528,9182587,2,"2,7",0,1,0,0,0,0,1
chr1,9233291,9233350,2,"3,7",0,0,1,0,0,0,1
chr1,9233350,9233406,3,"1,3,7",1,0,1,0,0,0,1
chr1,9233406,9233623,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,9233623,9233675,3,"1,3,7",1,0,1,0,0,0,1
chr1,9234204,9234299,2,"2,7",0,1,0,0,0,0,1
chr1,9234299,9234322,3,"2,6,7",0,1,0,0,0,1,1
chr1,9234322,9234367,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,9234367,9234468,5,"2,4,5,6,7",0,1,0,1,1,1,1
chr1,9234468,9234587,6,"1,2,4,5,6,7",1,1,0,1,1,1,1
chr1,9234587,9234631,5,"1,2,5,6,7",1,1,0,0,1,1,1
chr1,9234631,9234639,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,9234639,9234658,3,"2,5,7",0,1,0,0,1,0,1
chr1,9234658,9234764,2,"2,7",0,1,0,0,0,0,1
chr1,9239683,9239767,3,"1,3,7",1,0,1,0,0,0,1
chr1,9239767,9239901,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,9239901,9239969,3,"1,3,7",1,0,1,0,0,0,1
chr1,9239969,9240157,2,"3,7",0,0,1,0,0,0,1
chr1,9428862,9429023,2,"3,7",0,0,1,0,0,0,1
chr1,9429023,9429214,3,"3,4,7",0,0,1,1,0,0,1
chr1,9435197,9435288,4,"2,3,4,7",0,1,1,1,0,0,1
chr1,9435288,9435410,5,"1,2,3,4,7",1,1,1,1,0,0,1
chr1,9435410,9435419,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,9435419,9435499,3,"2,3,7",0,1,1,0,0,0,1
chr1,9435499,9435639,2,"3,7",0,0,1,0,0,0,1
chr1,9438518,9438816,2,"3,7",0,0,1,0,0,0,1
chr1,9501039,9501116,2,"2,7",0,1,0,0,0,0,1
chr1,9501116,9501446,3,"1,2,7",1,1,0,0,0,0,1
chr1,9501446,9501449,2,"2,7",0,1,0,0,0,0,1
chr1,9532622,9532667,2,"2,7",0,1,0,0,0,0,1
chr1,9532797,9533219,2,"3,7",0,0,1,0,0,0,1
chr1,9929440,9929454,3,"1,3,7",1,0,1,0,0,0,1
chr1,9929454,9929674,5,"1,2,3,4,7",1,1,1,1,0,0,1
chr1,9929674,9929758,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,9929758,9929764,3,"1,2,7",1,1,0,0,0,0,1
chr1,9929764,9929791,2,"2,7",0,1,0,0,0,0,1
chr1,9943319,9943349,2,"2,7",0,1,0,0,0,0,1
chr1,9943349,9943473,3,"2,3,7",0,1,1,0,0,0,1
chr1,9943473,9943521,2,"2,7",0,1,0,0,0,0,1
chr1,9950377,9950668,2,"2,7",0,1,0,0,0,0,1
chr1,10032705,10033115,2,"2,7",0,1,0,0,0,0,1
chr1,10388592,10388704,2,"1,7",1,0,0,0,0,0,1
chr1,10398594,10398614,2,"2,7",0,1,0,0,0,0,1
chr1,10398614,10398944,3,"1,2,7",1,1,0,0,0,0,1
chr1,10398944,10398953,2,"2,7",0,1,0,0,0,0,1
chr1,10398953,10399004,3,"2,3,7",0,1,1,0,0,0,1
chr1,10399004,10399181,2,"3,7",0,0,1,0,0,0,1
chr1,10399181,10399433,3,"1,3,7",1,0,1,0,0,0,1
chr1,10399433,10399643,2,"1,7",1,0,0,0,0,0,1
chr1,10430233,10430256,3,"1,3,7",1,0,1,0,0,0,1
chr1,10430256,10430532,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,10430532,10430666,3,"2,3,7",0,1,1,0,0,0,1
chr1,10430666,10430874,2,"3,7",0,0,1,0,0,0,1
chr1,10472347,10472496,2,"3,7",0,0,1,0,0,0,1
chr1,10472496,10472654,3,"2,3,7",0,1,1,0,0,0,1
chr1,10472654,10472775,2,"3,7",0,0,1,0,0,0,1
chr1,10474753,10474798,2,"2,7",0,1,0,0,0,0,1
chr1,10474798,10475134,3,"1,2,7",1,1,0,0,0,0,1
chr1,10475134,10475332,2,"1,7",1,0,0,0,0,0,1
chr1,10937281,10937328,2,"3,7",0,0,1,0,0,0,1
chr1,10937328,10937415,3,"2,3,7",0,1,1,0,0,0,1
chr1,10937415,10937510,4,"2,3,4,7",0,1,1,1,0,0,1
chr1,10937510,10937592,5,"1,2,3,4,7",1,1,1,1,0,0,1
chr1,10937592,10937635,4,"2,3,4,7",0,1,1,1,0,0,1
chr1,10937635,10937761,3,"2,3,7",0,1,1,0,0,0,1
chr1,10937761,10937925,2,"2,7",0,1,0,0,0,0,1
chr1,11012626,11013106,2,"3,7",0,0,1,0,0,0,1
chr1,11047017,11047427,2,"2,7",0,1,0,0,0,0,1
chr1,11059508,11059670,2,"2,7",0,1,0,0,0,0,1
chr1,11099527,11100007,2,"3,7",0,0,1,0,0,0,1
chr1,11273172,11273652,2,"3,7",0,0,1,0,0,0,1
chr1,11653282,11653612,2,"1,7",1,0,0,0,0,0,1
chr1,11671508,11671838,2,"1,7",1,0,0,0,0,0,1
chr1,11785077,11785090,2,"3,7",0,0,1,0,0,0,1
chr1,11785090,11785181,3,"2,3,7",0,1,1,0,0,0,1
chr1,11785181,11785500,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,11785500,11785511,3,"1,3,7",1,0,1,0,0,0,1
chr1,11785511,11785618,2,"3,7",0,0,1,0,0,0,1
chr1,11805414,11805677,2,"2,7",0,1,0,0,0,0,1
chr1,11805677,11805760,3,"2,3,7",0,1,1,0,0,0,1
chr1,11805760,11805906,2,"3,7",0,0,1,0,0,0,1
chr1,11805906,11806157,3,"2,3,7",0,1,1,0,0,0,1
chr1,11806157,11806280,2,"2,7",0,1,0,0,0,0,1
chr1,11806280,11806316,3,"1,2,7",1,1,0,0,0,0,1
chr1,11806316,11806515,2,"1,7",1,0,0,0,0,0,1
chr1,11842113,11842421,2,"2,7",0,1,0,0,0,0,1
chr1,11842799,11842813,2,"4,7",0,0,0,1,0,0,1
chr1,11842813,11842821,3,"2,4,7",0,1,0,1,0,0,1
chr1,11842821,11842858,4,"2,3,4,7",0,1,1,1,0,0,1
chr1,11842858,11842947,5,"1,2,3,4,7",1,1,1,1,0,0,1
chr1,11842947,11842980,4,"1,2,4,7",1,1,0,1,0,0,1
chr1,11842980,11843019,3,"2,4,7",0,1,0,1,0,0,1
chr1,11843019,11843028,2,"2,7",0,1,0,0,0,0,1
chr1,11859291,11859385,2,"1,7",1,0,0,0,0,0,1
chr1,11859385,11859552,3,"1,2,7",1,1,0,0,0,0,1
chr1,11859552,11859571,2,"1,7",1,0,0,0,0,0,1
chr1,11907841,11907956,2,"3,7",0,0,1,0,0,0,1
chr1,11908077,11908321,2,"3,7",0,0,1,0,0,0,1
chr1,11926328,11926465,2,"2,7",0,1,0,0,0,0,1
chr1,11926465,11926676,3,"1,2,7",1,1,0,0,0,0,1
chr1,11934493,11934823,2,"1,7",1,0,0,0,0,0,1
chr1,11940581,11940883,2,"2,7",0,1,0,0,0,0,1
chr1,11980197,11980324,2,"3,7",0,0,1,0,0,0,1
chr1,11980324,11980482,3,"2,3,7",0,1,1,0,0,0,1
chr1,11980482,11980751,2,"3,7",0,0,1,0,0,0,1
chr1,12229799,12230129,2,"1,7",1,0,0,0,0,0,1
chr1,12525351,12525398,2,"3,7",0,0,1,0,0,0,1
chr1,12525398,12525483,3,"1,3,7",1,0,1,0,0,0,1
chr1,12525483,12525660,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,12525660,12525728,3,"1,3,7",1,0,1,0,0,0,1
chr1,12525728,12526054,2,"3,7",0,0,1,0,0,0,1
chr1,12528365,12528367,2,"3,7",0,0,1,0,0,0,1
chr1,12528367,12528374,3,"1,3,7",1,0,1,0,0,0,1
chr1,12528374,12528381,4,"1,3,4,7",1,0,1,1,0,0,1
chr1,12528381,12528441,5,"1,2,3,4,7",1,1,1,1,0,0,1
chr1,12528441,12528594,6,"1,2,3,4,6,7",1,1,1,1,0,1,1
chr1,12528594,12528630,5,"1,2,3,6,7",1,1,1,0,0,1,1
chr1,12528630,12528730,4,"2,3,6,7",0,1,1,0,0,1,1
chr1,12528730,12528781,3,"3,6,7",0,0,1,0,0,1,1
chr1,12528781,12528904,2,"3,7",0,0,1,0,0,0,1
chr1,12616017,12616027,2,"4,7",0,0,0,1,0,0,1
chr1,12616027,12616060,3,"1,4,7",1,0,0,1,0,0,1
chr1,12616060,12616063,4,"1,2,4,7",1,1,0,1,0,0,1
chr1,12616063,12616219,5,"1,2,3,4,7",1,1,1,1,0,0,1
chr1,12616219,12616237,4,"2,3,4,7",0,1,1,1,0,0,1
