chrom,start,end,num,list,ENCFF091VGF_MYC_sorted.bed,ENCFF283AYZ_MYC_sorted.bed,ENCFF592VGA_MYC_sorted.bed,ENCFF669YPX_MYC_sorted.bed,ENCFF777UUX_MYC_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,2204739,2204868,2,"2,6",0,1,0,0,0,1
chr1,2208168,2208207,3,"2,3,6",0,1,1,0,0,1
chr1,2208207,2208234,2,"3,6",0,0,1,0,0,1
chr1,2208465,2208623,2,"2,6",0,1,0,0,0,1
chr1,2215403,2215494,2,"2,6",0,1,0,0,0,1
chr1,2227599,2228010,2,"2,6",0,1,0,0,0,1
chr1,2234538,2234733,2,"2,6",0,1,0,0,0,1
chr1,2311466,2311752,2,"2,6",0,1,0,0,0,1
chr1,2381775,2382194,2,"2,6",0,1,0,0,0,1
chr1,2391724,2391869,2,"2,6",0,1,0,0,0,1
chr1,2412391,2412418,2,"3,6",0,0,1,0,0,1
chr1,2412418,2412656,3,"2,3,6",0,1,1,0,0,1
chr1,2412656,2412836,4,"2,3,5,6",0,1,1,0,1,1
chr1,2412836,2413336,3,"2,3,6",0,1,1,0,0,1
chr1,2413336,2413398,2,"2,6",0,1,0,0,0,1
chr1,2526107,2526389,2,"2,6",0,1,0,0,0,1
chr1,2546245,2546494,2,"3,6",0,0,1,0,0,1
chr1,2546827,2547147,2,"2,6",0,1,0,0,0,1
chr1,2556853,2556907,2,"2,6",0,1,0,0,0,1
chr1,2556907,2557311,3,"2,3,6",0,1,1,0,0,1
chr1,2557311,2557389,2,"2,6",0,1,0,0,0,1
chr1,2575948,2576484,2,"2,6",0,1,0,0,0,1
chr1,2578281,2578631,3,"2,3,6",0,1,1,0,0,1
chr1,2578631,2578660,2,"3,6",0,0,1,0,0,1
chr1,2586408,2586584,2,"2,6",0,1,0,0,0,1
chr1,2586785,2587284,2,"2,6",0,1,0,0,0,1
chr1,2631643,2631937,2,"3,6",0,0,1,0,0,1
chr1,2642395,2642707,2,"2,6",0,1,0,0,0,1
chr1,2642769,2643305,2,"2,6",0,1,0,0,0,1
chr1,2811158,2811542,2,"2,6",0,1,0,0,0,1
chr1,3197745,3197943,2,"2,6",0,1,0,0,0,1
chr1,3197943,3198192,3,"2,3,6",0,1,1,0,0,1
chr1,3456810,3457482,2,"2,6",0,1,0,0,0,1
chr1,3460200,3460399,2,"2,6",0,1,0,0,0,1
chr1,3460715,3460918,2,"2,6",0,1,0,0,0,1
chr1,3480258,3480696,2,"2,6",0,1,0,0,0,1
chr1,3624368,3625108,2,"2,6",0,1,0,0,0,1
chr1,3625302,3625358,2,"3,6",0,0,1,0,0,1
chr1,3625358,3625706,3,"2,3,6",0,1,1,0,0,1
chr1,3625706,3625782,2,"2,6",0,1,0,0,0,1
chr1,3668787,3668820,2,"3,6",0,0,1,0,0,1
chr1,3668820,3668938,3,"2,3,6",0,1,1,0,0,1
chr1,3772051,3772338,3,"2,3,6",0,1,1,0,0,1
chr1,3772338,3772383,2,"3,6",0,0,1,0,0,1
chr1,3775971,3776050,3,"2,3,6",0,1,1,0,0,1
chr1,3776050,3776230,4,"2,3,5,6",0,1,1,0,1,1
chr1,3776230,3776268,3,"2,3,6",0,1,1,0,0,1
chr1,3785121,3785627,2,"2,6",0,1,0,0,0,1
chr1,3857216,3857353,2,"2,6",0,1,0,0,0,1
chr1,3857353,3857647,3,"2,3,6",0,1,1,0,0,1
chr1,3857647,3857757,2,"3,6",0,0,1,0,0,1
chr1,3900051,3900411,2,"2,6",0,1,0,0,0,1
chr1,3900411,3900684,3,"2,3,6",0,1,1,0,0,1
chr1,3900684,3900815,2,"3,6",0,0,1,0,0,1
chr1,3901089,3901111,2,"3,6",0,0,1,0,0,1
chr1,3901242,3901493,3,"2,3,6",0,1,1,0,0,1
chr1,3901493,3901494,2,"2,6",0,1,0,0,0,1
chr1,4173209,4173536,2,"2,6",0,1,0,0,0,1
chr1,5992374,5992910,2,"2,6",0,1,0,0,0,1
chr1,6199276,6199347,2,"2,6",0,1,0,0,0,1
chr1,6199347,6199751,3,"2,3,6",0,1,1,0,0,1
chr1,6199751,6199817,2,"2,6",0,1,0,0,0,1
chr1,6204922,6205127,2,"2,6",0,1,0,0,0,1
chr1,6205931,6206280,2,"2,6",0,1,0,0,0,1
chr1,6235705,6236008,2,"3,6",0,0,1,0,0,1
chr1,6393591,6393911,2,"2,6",0,1,0,0,0,1
chr1,6393943,6393969,2,"2,6",0,1,0,0,0,1
chr1,6393969,6394149,3,"2,5,6",0,1,0,0,1,1
chr1,6394149,6394164,2,"2,6",0,1,0,0,0,1
chr1,6440181,6440946,2,"2,6",0,1,0,0,0,1
chr1,6446988,6447265,3,"2,3,6",0,1,1,0,0,1
chr1,6447265,6447600,2,"2,6",0,1,0,0,0,1
chr1,6448022,6448101,2,"2,6",0,1,0,0,0,1
chr1,6448209,6448429,2,"2,6",0,1,0,0,0,1
chr1,6450936,6450951,2,"2,6",0,1,0,0,0,1
chr1,6450951,6451355,3,"2,3,6",0,1,1,0,0,1
chr1,6451355,6451393,2,"2,6",0,1,0,0,0,1
chr1,6554442,6554726,2,"2,6",0,1,0,0,0,1
chr1,6579477,6579732,3,"2,3,6",0,1,1,0,0,1
chr1,6579732,6579854,2,"2,6",0,1,0,0,0,1
chr1,6604042,6604142,3,"2,3,6",0,1,1,0,0,1
chr1,6604257,6604264,3,"2,3,6",0,1,1,0,0,1
chr1,6604264,6604482,2,"2,6",0,1,0,0,0,1
chr1,6613570,6613776,2,"2,6",0,1,0,0,0,1
chr1,6624807,6625050,2,"2,6",0,1,0,0,0,1
chr1,6625050,6625454,3,"2,3,6",0,1,1,0,0,1
chr1,6625454,6625543,2,"2,6",0,1,0,0,0,1
chr1,6784475,6784770,2,"2,6",0,1,0,0,0,1
chr1,6784770,6785174,3,"2,3,6",0,1,1,0,0,1
chr1,6785174,6785532,2,"2,6",0,1,0,0,0,1
chr1,7771478,7771900,2,"2,6",0,1,0,0,0,1
chr1,7954009,7954577,2,"2,6",0,1,0,0,0,1
chr1,7961275,7961578,2,"2,6",0,1,0,0,0,1
chr1,7961578,7961982,3,"2,3,6",0,1,1,0,0,1
chr1,7961982,7962034,2,"2,6",0,1,0,0,0,1
chr1,7975188,7975656,2,"2,6",0,1,0,0,0,1
chr1,8026112,8026228,2,"3,6",0,0,1,0,0,1
chr1,8026228,8026420,3,"2,3,6",0,1,1,0,0,1
chr1,8026420,8026878,2,"2,6",0,1,0,0,0,1
chr1,8027375,8027552,2,"2,6",0,1,0,0,0,1
chr1,8189914,8190388,2,"2,6",0,1,0,0,0,1
chr1,8211913,8212298,3,"2,3,6",0,1,1,0,0,1
chr1,8212298,8212317,2,"3,6",0,0,1,0,0,1
chr1,8315896,8316133,2,"2,6",0,1,0,0,0,1
chr1,8423886,8424422,2,"2,6",0,1,0,0,0,1
chr1,8878500,8878834,3,"2,3,6",0,1,1,0,0,1
chr1,8878834,8878942,2,"2,6",0,1,0,0,0,1
chr1,8878942,8879145,3,"2,3,6",0,1,1,0,0,1
chr1,8879145,8879346,4,"1,2,3,6",1,1,1,0,0,1
chr1,8879346,8879385,3,"1,2,6",1,1,0,0,0,1
chr1,8879385,8879417,2,"2,6",0,1,0,0,0,1
chr1,8994269,8994690,2,"2,6",0,1,0,0,0,1
chr1,9181332,9181630,2,"2,6",0,1,0,0,0,1
chr1,9182134,9182558,2,"2,6",0,1,0,0,0,1
chr1,9233183,9233675,2,"2,6",0,1,0,0,0,1
chr1,9234204,9234686,2,"2,6",0,1,0,0,0,1
chr1,9234686,9234784,3,"2,3,6",0,1,1,0,0,1
chr1,9234784,9234803,2,"3,6",0,0,1,0,0,1
chr1,9234803,9234939,3,"2,3,6",0,1,1,0,0,1
chr1,9234939,9235090,2,"3,6",0,0,1,0,0,1
chr1,9239683,9240155,2,"2,6",0,1,0,0,0,1
chr1,9428868,9429070,2,"2,6",0,1,0,0,0,1
chr1,9435201,9435737,2,"2,6",0,1,0,0,0,1
chr1,9438729,9438956,2,"2,6",0,1,0,0,0,1
chr1,9500898,9501434,2,"2,6",0,1,0,0,0,1
chr1,9539251,9539404,2,"2,6",0,1,0,0,0,1
chr1,9539404,9539537,3,"2,3,6",0,1,1,0,0,1
chr1,9539537,9539598,2,"3,6",0,0,1,0,0,1
chr1,9539598,9539665,3,"2,3,6",0,1,1,0,0,1
chr1,9824163,9824435,2,"2,6",0,1,0,0,0,1
chr1,9929440,9929791,2,"2,6",0,1,0,0,0,1
chr1,9943205,9943598,2,"2,6",0,1,0,0,0,1
chr1,10032551,10032739,2,"2,6",0,1,0,0,0,1
chr1,10210080,10210652,2,"2,6",0,1,0,0,0,1
chr1,10398707,10399178,2,"2,6",0,1,0,0,0,1
chr1,10399178,10399452,3,"2,3,6",0,1,1,0,0,1
chr1,10399452,10399582,2,"3,6",0,0,1,0,0,1
chr1,10430264,10430588,2,"2,6",0,1,0,0,0,1
chr1,10430661,10430844,2,"2,6",0,1,0,0,0,1
chr1,10472353,10472386,2,"3,6",0,0,1,0,0,1
chr1,10472386,10472719,3,"2,3,6",0,1,1,0,0,1
chr1,10472719,10472757,2,"3,6",0,0,1,0,0,1
chr1,10474812,10474998,2,"2,6",0,1,0,0,0,1
chr1,10937497,10937632,2,"2,6",0,1,0,0,0,1
chr1,11012499,11012560,2,"2,6",0,1,0,0,0,1
chr1,11012560,11012964,3,"2,3,6",0,1,1,0,0,1
chr1,11012964,11013258,2,"2,6",0,1,0,0,0,1
chr1,11046974,11047098,2,"3,6",0,0,1,0,0,1
chr1,11047098,11047360,3,"2,3,6",0,1,1,0,0,1
chr1,11047360,11047378,2,"3,6",0,0,1,0,0,1
chr1,11059508,11059823,2,"2,6",0,1,0,0,0,1
chr1,11060004,11060130,2,"2,6",0,1,0,0,0,1
chr1,11060130,11060310,3,"2,5,6",0,1,0,0,1,1
chr1,11060310,11060510,2,"2,6",0,1,0,0,0,1
chr1,11099546,11100082,2,"2,6",0,1,0,0,0,1
chr1,11273120,11273293,2,"2,6",0,1,0,0,0,1
chr1,11273293,11273697,3,"2,3,6",0,1,1,0,0,1
chr1,11273697,11273805,2,"2,6",0,1,0,0,0,1
chr1,11653145,11653869,2,"2,6",0,1,0,0,0,1
chr1,11663948,11663961,2,"2,6",0,1,0,0,0,1
chr1,11663961,11664365,3,"2,3,6",0,1,1,0,0,1
chr1,11664365,11664756,2,"2,6",0,1,0,0,0,1
chr1,11671549,11672283,2,"2,6",0,1,0,0,0,1
chr1,11680635,11681455,2,"2,6",0,1,0,0,0,1
chr1,11736667,11736679,2,"2,6",0,1,0,0,0,1
chr1,11785077,11785564,2,"2,6",0,1,0,0,0,1
chr1,11805460,11805838,2,"3,6",0,0,1,0,0,1
chr1,11805838,11805864,3,"2,3,6",0,1,1,0,0,1
chr1,11805864,11806515,2,"2,6",0,1,0,0,0,1
chr1,11842204,11842245,2,"3,6",0,0,1,0,0,1
chr1,11842245,11842518,3,"2,3,6",0,1,1,0,0,1
chr1,11842518,11842825,2,"3,6",0,0,1,0,0,1
chr1,11859333,11859571,2,"2,6",0,1,0,0,0,1
chr1,11908674,11909286,2,"2,6",0,1,0,0,0,1
chr1,11925711,11925885,2,"2,6",0,1,0,0,0,1
chr1,11926516,11926658,2,"2,6",0,1,0,0,0,1
chr1,11934585,11934931,2,"2,6",0,1,0,0,0,1
chr1,11979603,11980498,2,"2,6",0,1,0,0,0,1
chr1,12019369,12019404,2,"3,6",0,0,1,0,0,1
chr1,12019404,12019849,3,"2,3,6",0,1,1,0,0,1
chr1,12019849,12019973,2,"3,6",0,0,1,0,0,1
chr1,12229712,12230248,2,"2,6",0,1,0,0,0,1
chr1,12528332,12528440,2,"3,6",0,0,1,0,0,1
chr1,12528440,12528736,3,"2,3,6",0,1,1,0,0,1
chr1,12528736,12528904,2,"2,6",0,1,0,0,0,1
chr1,12615918,12616356,2,"2,6",0,1,0,0,0,1
chr1,12618303,12618536,2,"2,6",0,1,0,0,0,1
chr1,12618971,12619079,2,"3,6",0,0,1,0,0,1
chr1,12619079,12619329,3,"2,3,6",0,1,1,0,0,1
chr1,12619329,12619350,2,"2,6",0,1,0,0,0,1
chr1,15153833,15154268,2,"3,6",0,0,1,0,0,1
chr1,15409595,15409643,2,"3,6",0,0,1,0,0,1
chr1,15409643,15409999,3,"2,3,6",0,1,1,0,0,1
chr1,15409999,15410179,2,"2,6",0,1,0,0,0,1
chr1,15526680,15526743,2,"2,6",0,1,0,0,0,1
chr1,15526743,15527147,3,"2,3,6",0,1,1,0,0,1
chr1,15527147,15527216,2,"2,6",0,1,0,0,0,1
chr1,15584491,15584826,2,"2,6",0,1,0,0,0,1
chr1,15584826,15584935,3,"2,3,6",0,1,1,0,0,1
chr1,15584935,15584964,4,"1,2,3,6",1,1,1,0,0,1
chr1,15584964,15585144,5,"1,2,3,5,6",1,1,1,0,1,1
chr1,15585144,15585175,4,"1,2,3,6",1,1,1,0,0,1
chr1,15585175,15585230,3,"2,3,6",0,1,1,0,0,1
chr1,15585230,15585306,2,"2,6",0,1,0,0,0,1
chr1,15603423,15603959,2,"2,6",0,1,0,0,0,1
chr1,15617457,15617861,2,"3,6",0,0,1,0,0,1
chr1,15741428,15741807,2,"2,6",0,1,0,0,0,1
chr1,15800207,15800228,2,"3,6",0,0,1,0,0,1
chr1,15800228,15800493,3,"2,3,6",0,1,1,0,0,1
chr1,15800493,15800611,2,"3,6",0,0,1,0,0,1
chr1,15834649,15834776,2,"2,6",0,1,0,0,0,1
chr1,15834776,15835180,3,"2,3,6",0,1,1,0,0,1
chr1,15835180,15835276,2,"2,6",0,1,0,0,0,1
chr1,15835886,15836078,2,"2,6",0,1,0,0,0,1
chr1,15847198,15847953,2,"2,6",0,1,0,0,0,1
chr1,15849535,15849635,2,"3,6",0,0,1,0,0,1
chr1,15849635,15849757,3,"2,3,6",0,1,1,0,0,1
chr1,15975391,15975927,2,"2,6",0,1,0,0,0,1
chr1,15994583,15994882,2,"2,6",0,1,0,0,0,1
chr1,16004130,16004136,2,"2,6",0,1,0,0,0,1
chr1,16004136,16004454,3,"2,3,6",0,1,1,0,0,1
chr1,16004454,16004472,2,"3,6",0,0,1,0,0,1
chr1,16155724,16155880,2,"3,6",0,0,1,0,0,1
chr1,16155880,16156128,3,"2,3,6",0,1,1,0,0,1
chr1,16156128,16156129,2,"2,6",0,1,0,0,0,1
chr1,16164181,16164585,2,"3,6",0,0,1,0,0,1
chr1,16206627,16206653,2,"3,6",0,0,1,0,0,1
chr1,16206653,16206932,3,"2,3,6",0,1,1,0,0,1
chr1,16206932,16207230,2,"3,6",0,0,1,0,0,1
chr1,16236889,16236922,2,"3,6",0,0,1,0,0,1
chr1,16236922,16237293,3,"2,3,6",0,1,1,0,0,1
chr1,16237293,16237422,2,"2,6",0,1,0,0,0,1
chr1,16352224,16352301,2,"3,6",0,0,1,0,0,1
chr1,16352301,16352452,3,"2,3,6",0,1,1,0,0,1
chr1,16352452,16352518,2,"3,6",0,0,1,0,0,1
chr1,16352518,16352628,3,"2,3,6",0,1,1,0,0,1
chr1,16352628,16352762,2,"2,6",0,1,0,0,0,1
chr1,16367080,16367153,2,"2,6",0,1,0,0,0,1
chr1,16367153,16367707,3,"2,3,6",0,1,1,0,0,1
chr1,16367707,16367868,2,"3,6",0,0,1,0,0,1
chr1,16440413,16440438,2,"3,6",0,0,1,0,0,1
chr1,16440438,16440505,3,"2,3,6",0,1,1,0,0,1
chr1,16440505,16440522,4,"1,2,3,6",1,1,1,0,0,1
chr1,16440522,16440702,5,"1,2,3,5,6",1,1,1,0,1,1
chr1,16440702,16440745,4,"1,2,3,6",1,1,1,0,0,1
chr1,16440745,16440817,3,"2,3,6",0,1,1,0,0,1
chr1,16440817,16441068,2,"2,6",0,1,0,0,0,1
chr1,16608230,16608686,2,"2,6",0,1,0,0,0,1
chr1,16613254,16613698,2,"2,6",0,1,0,0,0,1
chr1,16613699,16613723,2,"2,6",0,1,0,0,0,1
chr1,16613723,16613790,3,"2,3,6",0,1,1,0,0,1
chr1,16613790,16614030,4,"1,2,3,6",1,1,1,0,0,1
chr1,16614030,16614034,3,"2,3,6",0,1,1,0,0,1
chr1,16644563,16644637,3,"2,3,6",0,1,1,0,0,1
chr1,16644637,16644648,4,"1,2,3,6",1,1,1,0,0,1
chr1,16644648,16644668,5,"1,2,3,4,6",1,1,1,1,0,1
chr1,16644668,16644848,6,"1,2,3,4,5,6",1,1,1,1,1,1
chr1,16644848,16644872,5,"1,2,3,4,6",1,1,1,1,0,1
chr1,16644872,16644877,4,"1,2,3,6",1,1,1,0,0,1
chr1,16644877,16645038,3,"2,3,6",0,1,1,0,0,1
chr1,16645038,16645147,2,"3,6",0,0,1,0,0,1
chr1,16645234,16645267,2,"2,6",0,1,0,0,0,1
chr1,16645267,16645362,3,"2,3,6",0,1,1,0,0,1
chr1,16645362,16645364,4,"2,3,5,6",0,1,1,0,1,1
chr1,16645364,16645542,5,"1,2,3,5,6",1,1,1,0,1,1
chr1,16645542,16645604,4,"1,2,3,6",1,1,1,0,0,1
chr1,16645604,16645671,3,"2,3,6",0,1,1,0,0,1
chr1,16645671,16645881,2,"2,6",0,1,0,0,0,1
chr1,16657191,16657604,2,"2,6",0,1,0,0,0,1
chr1,16896046,16896558,2,"2,6",0,1,0,0,0,1
chr1,16904880,16905037,2,"2,6",0,1,0,0,0,1
chr1,16905037,16905416,3,"2,3,6",0,1,1,0,0,1
chr1,16905416,16905441,2,"3,6",0,0,1,0,0,1
chr1,16913721,16914098,2,"3,6",0,0,1,0,0,1
chr1,17011877,17011966,2,"2,6",0,1,0,0,0,1
chr1,17011966,17012279,3,"2,3,6",0,1,1,0,0,1
chr1,17406058,17406594,2,"2,6",0,1,0,0,0,1
chr1,18480832,18481368,2,"2,6",0,1,0,0,0,1
chr1,18597319,18597701,2,"2,6",0,1,0,0,0,1
chr1,18901159,18901563,2,"2,6",0,1,0,0,0,1
chr1,18902837,18903078,2,"2,6",0,1,0,0,0,1
chr1,19210182,19210221,2,"3,6",0,0,1,0,0,1
chr1,19210221,19210586,3,"2,3,6",0,1,1,0,0,1
chr1,19210586,19210660,2,"2,6",0,1,0,0,0,1
chr1,19251430,19251434,2,"2,6",0,1,0,0,0,1
chr1,19251434,19251614,3,"2,5,6",0,1,0,0,1,1
chr1,19251614,19251697,2,"2,6",0,1,0,0,0,1
chr1,19251697,19251769,3,"2,5,6",0,1,0,0,1,1
chr1,19251769,19251877,4,"2,3,5,6",0,1,1,0,1,1
chr1,19251877,19251892,3,"2,3,6",0,1,1,0,0,1
chr1,19251892,19252060,2,"2,6",0,1,0,0,0,1
chr1,19311774,19312178,2,"3,6",0,0,1,0,0,1
chr1,19312235,19312917,2,"2,6",0,1,0,0,0,1
chr1,19338220,19338700,2,"2,6",0,1,0,0,0,1
chr1,19344419,19344663,2,"2,6",0,1,0,0,0,1
chr1,19596884,19597084,2,"2,6",0,1,0,0,0,1
chr1,19597084,19597591,3,"2,3,6",0,1,1,0,0,1
chr1,19882416,19882552,2,"2,6",0,1,0,0,0,1
chr1,19882579,19882983,2,"3,6",0,0,1,0,0,1
chr1,20476431,20476632,2,"2,6",0,1,0,0,0,1
chr1,20480360,20480785,2,"2,6",0,1,0,0,0,1
chr1,20486247,20486379,2,"3,6",0,0,1,0,0,1
chr1,20486379,20486625,3,"2,3,6",0,1,1,0,0,1
chr1,20486625,20486637,2,"3,6",0,0,1,0,0,1
chr1,20486637,20486651,3,"2,3,6",0,1,1,0,0,1
chr1,20486651,20486842,2,"2,6",0,1,0,0,0,1
chr1,20486842,20486955,3,"2,3,6",0,1,1,0,0,1
chr1,20486955,20487246,2,"3,6",0,0,1,0,0,1
chr1,20507800,20508336,2,"2,6",0,1,0,0,0,1
chr1,20552016,20553106,2,"2,6",0,1,0,0,0,1
chr1,20633259,20633904,2,"2,6",0,1,0,0,0,1
chr1,20661111,20661304,2,"3,6",0,0,1,0,0,1
chr1,20661304,20661562,3,"2,3,6",0,1,1,0,0,1
chr1,20661562,20661661,2,"3,6",0,0,1,0,0,1
chr1,20732124,20732241,2,"2,6",0,1,0,0,0,1
chr1,20732985,20733521,2,"2,6",0,1,0,0,0,1
chr1,21269768,21269906,2,"2,6",0,1,0,0,0,1
chr1,21271595,21271934,2,"2,6",0,1,0,0,0,1
chr1,21439943,21440444,2,"2,6",0,1,0,0,0,1
chr1,21508939,21509475,2,"2,6",0,1,0,0,0,1
chr1,21586929,21587376,2,"2,6",0,1,0,0,0,1
chr1,21669607,21669625,2,"3,6",0,0,1,0,0,1
chr1,21669625,21669705,3,"2,3,6",0,1,1,0,0,1
