chrom,start,end,num,list,ENCFF168GFU_MAFK_sorted.bed,ENCFF231CNR_MAFK_sorted.bed,ENCFF239XOI_MAFK_sorted.bed,ENCFF355ALI_MAFK_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,94580115,94580130,4,"1,2,3,5",1,1,1,0,1
chr1,94580130,94580134,3,"1,2,5",1,1,0,0,1
chr1,94580134,94580135,2,"2,5",0,1,0,0,1
chr1,100266065,100266084,2,"1,5",1,0,0,0,1
chr1,100266084,100266091,3,"1,4,5",1,0,0,1,1
chr1,100266091,100266315,5,"1,2,3,4,5",1,1,1,1,1
chr1,100266315,100266320,4,"1,2,4,5",1,1,0,1,1
chr1,100266320,100266341,3,"1,2,5",1,1,0,0,1
chr1,107965700,107965713,2,"1,5",1,0,0,0,1
chr1,107965713,107965727,3,"1,2,5",1,1,0,0,1
chr1,107965727,107965733,4,"1,2,4,5",1,1,0,1,1
chr1,107965733,107965957,5,"1,2,3,4,5",1,1,1,1,1
chr1,107965957,107965963,4,"1,2,4,5",1,1,0,1,1
chr1,107965963,107965976,2,"1,5",1,0,0,0,1
chr1,109090561,109090624,2,"1,5",1,0,0,0,1
chr1,109090624,109090837,3,"1,3,5",1,0,1,0,1
chr1,109090837,109090848,2,"3,5",0,0,1,0,1
chr1,109298899,109298908,2,"4,5",0,0,0,1,1
chr1,109298908,109299132,3,"3,4,5",0,0,1,1,1
chr1,109299132,109299135,2,"4,5",0,0,0,1,1
chr1,109299402,109299638,2,"4,5",0,0,0,1,1
chr1,109823889,109823900,2,"2,5",0,1,0,0,1
chr1,109823900,109823944,3,"2,4,5",0,1,0,1,1
chr1,109823944,109823960,4,"2,3,4,5",0,1,1,1,1
chr1,109823960,109824057,5,"1,2,3,4,5",1,1,1,1,1
chr1,109824057,109824073,4,"1,2,4,5",1,1,0,1,1
chr1,109824073,109824136,3,"2,4,5",0,1,0,1,1
chr1,109824136,109824139,2,"2,5",0,1,0,0,1
chr1,113905048,113905272,2,"3,5",0,0,1,0,1
chr1,114581644,114581654,2,"1,5",1,0,0,0,1
chr1,114581654,114581659,3,"1,2,5",1,1,0,0,1
chr1,114581659,114581895,4,"1,2,4,5",1,1,0,1,1
chr1,114581895,114581904,3,"1,2,5",1,1,0,0,1
chr1,114581904,114581912,2,"1,5",1,0,0,0,1
chr1,116485257,116485259,2,"1,5",1,0,0,0,1
chr1,116485259,116485509,3,"1,2,5",1,1,0,0,1
chr1,116485509,116485533,2,"1,5",1,0,0,0,1
chr1,117605613,117605627,2,"3,5",0,0,1,0,1
chr1,117605627,117605826,3,"3,4,5",0,0,1,1,1
chr1,117605826,117605863,2,"4,5",0,0,0,1,1
chr1,120132163,120132252,2,"3,5",0,0,1,0,1
chr1,120132252,120132255,3,"2,3,5",0,1,1,0,1
chr1,120132255,120132256,4,"2,3,4,5",0,1,1,1,1
chr1,120132256,120132350,5,"1,2,3,4,5",1,1,1,1,1
chr1,120850757,120850780,2,"1,5",1,0,0,0,1
chr1,120850780,120850782,3,"1,4,5",1,0,0,1,1
chr1,120850782,120850831,4,"1,3,4,5",1,0,1,1,1
chr1,120850831,120850902,5,"1,2,3,4,5",1,1,1,1,1
chr1,120850902,120851006,4,"1,3,4,5",1,0,1,1,1
chr1,120851006,120851016,3,"1,4,5",1,0,0,1,1
chr1,120851016,120851033,2,"1,5",1,0,0,0,1
chr1,145281070,145281072,2,"1,5",1,0,0,0,1
chr1,145281072,145281075,3,"1,4,5",1,0,0,1,1
chr1,145281075,145281079,4,"1,2,4,5",1,1,0,1,1
chr1,145281079,145281303,5,"1,2,3,4,5",1,1,1,1,1
chr1,145281303,145281308,4,"1,2,4,5",1,1,0,1,1
chr1,145281308,145281325,3,"1,2,5",1,1,0,0,1
chr1,145281325,145281346,2,"1,5",1,0,0,0,1
chr1,145711146,145711370,2,"3,5",0,0,1,0,1
chr1,145996849,145996852,2,"2,5",0,1,0,0,1
chr1,145996852,145997076,3,"2,3,5",0,1,1,0,1
chr1,145997076,145997099,2,"2,5",0,1,0,0,1
chr1,146052018,146052051,2,"1,5",1,0,0,0,1
chr1,146052051,146052096,3,"1,3,5",1,0,1,0,1
chr1,146052096,146052099,4,"1,2,3,5",1,1,1,0,1
chr1,146052099,146052229,5,"1,2,3,4,5",1,1,1,1,1
chr1,146052229,146052232,4,"1,3,4,5",1,0,1,1,1
chr1,146052232,146052275,3,"1,3,5",1,0,1,0,1
chr1,146052275,146052294,2,"1,5",1,0,0,0,1
chr1,146376745,146376842,2,"4,5",0,0,0,1,1
chr1,146376842,146376862,3,"2,4,5",0,1,0,1,1
chr1,146376862,146376956,4,"2,3,4,5",0,1,1,1,1
chr1,146376956,146377086,3,"2,3,5",0,1,1,0,1
chr1,146377086,146377092,2,"2,5",0,1,0,0,1
chr1,148038642,148038727,2,"2,5",0,1,0,0,1
chr1,148038727,148038892,3,"2,4,5",0,1,0,1,1
chr1,148038892,148038963,2,"4,5",0,0,0,1,1
chr1,148424679,148424685,2,"4,5",0,0,0,1,1
chr1,148424685,148424693,3,"1,4,5",1,0,0,1,1
chr1,148424693,148424744,4,"1,2,4,5",1,1,0,1,1
chr1,148424744,148424750,5,"1,2,3,4,5",1,1,1,1,1
chr1,150293606,150293613,2,"2,5",0,1,0,0,1
chr1,150293613,150293837,3,"2,3,5",0,1,1,0,1
chr1,150293837,150293856,2,"2,5",0,1,0,0,1
chr1,150611543,150611767,2,"3,5",0,0,1,0,1
chr1,150697276,150697526,2,"2,5",0,1,0,0,1
chr1,151006639,151006688,2,"1,5",1,0,0,0,1
chr1,151006688,151006915,3,"1,4,5",1,0,0,1,1
chr1,151006915,151006924,2,"4,5",0,0,0,1,1
chr1,151013094,151013103,2,"1,5",1,0,0,0,1
chr1,151013103,151013339,3,"1,4,5",1,0,0,1,1
chr1,151013339,151013370,2,"1,5",1,0,0,0,1
chr1,151190013,151190289,2,"1,5",1,0,0,0,1
chr1,151539726,151539950,2,"3,5",0,0,1,0,1
chr1,151611830,151612054,2,"3,5",0,0,1,0,1
chr1,151763407,151763631,2,"3,5",0,0,1,0,1
chr1,153566596,153566872,2,"1,5",1,0,0,0,1
chr1,154418268,154418283,2,"3,5",0,0,1,0,1
chr1,154418283,154418290,3,"1,3,5",1,0,1,0,1
chr1,154418290,154418300,4,"1,2,3,5",1,1,1,0,1
chr1,154418300,154418492,5,"1,2,3,4,5",1,1,1,1,1
chr1,154418492,154418536,4,"1,2,4,5",1,1,0,1,1
chr1,154418536,154418540,3,"1,2,5",1,1,0,0,1
chr1,154418540,154418559,2,"1,5",1,0,0,0,1
chr1,154698501,154698751,2,"2,5",0,1,0,0,1
chr1,154970772,154970941,2,"3,5",0,0,1,0,1
chr1,155126090,155126093,2,"2,5",0,1,0,0,1
chr1,155126093,155126112,3,"2,4,5",0,1,0,1,1
chr1,155126112,155126329,4,"2,3,4,5",0,1,1,1,1
chr1,155126329,155126336,3,"2,3,5",0,1,1,0,1
chr1,155126336,155126340,2,"2,5",0,1,0,0,1
chr1,155251139,155251165,2,"1,5",1,0,0,0,1
chr1,155251254,155251415,2,"1,5",1,0,0,0,1
chr1,155934569,155934736,2,"4,5",0,0,0,1,1
chr1,156001090,156001091,2,"1,5",1,0,0,0,1
chr1,156001091,156001111,3,"1,4,5",1,0,0,1,1
chr1,156001111,156001113,4,"1,2,4,5",1,1,0,1,1
chr1,156001113,156001327,5,"1,2,3,4,5",1,1,1,1,1
chr1,156001327,156001337,4,"1,2,3,5",1,1,1,0,1
chr1,156001337,156001361,3,"1,2,5",1,1,0,0,1
chr1,156001361,156001366,2,"1,5",1,0,0,0,1
chr1,156661372,156661415,2,"1,5",1,0,0,0,1
chr1,156661415,156661429,3,"1,2,5",1,1,0,0,1
chr1,156661429,156661648,4,"1,2,3,5",1,1,1,0,1
chr1,156661648,156661653,3,"2,3,5",0,1,1,0,1
chr1,156661653,156661665,2,"2,5",0,1,0,0,1
chr1,160193692,160193707,2,"4,5",0,0,0,1,1
chr1,160193707,160193928,3,"3,4,5",0,0,1,1,1
chr1,160193928,160193931,2,"3,5",0,0,1,0,1
chr1,161702335,161702559,2,"3,5",0,0,1,0,1
chr1,162152430,162152446,2,"1,5",1,0,0,0,1
chr1,162152446,162152472,3,"1,2,5",1,1,0,0,1
chr1,162152472,162152696,4,"1,2,4,5",1,1,0,1,1
chr1,162152696,162152706,3,"1,4,5",1,0,0,1,1
chr1,162152706,162152708,2,"4,5",0,0,0,1,1
chr1,165630943,165631193,2,"2,5",0,1,0,0,1
chr1,167803332,167803370,2,"1,5",1,0,0,0,1
chr1,167803370,167803379,3,"1,2,5",1,1,0,0,1
chr1,167803379,167803381,4,"1,2,3,5",1,1,1,0,1
chr1,167803381,167803472,5,"1,2,3,4,5",1,1,1,1,1
chr1,167803472,167803487,4,"1,2,4,5",1,1,0,1,1
chr1,167803487,167803502,3,"2,4,5",0,1,0,1,1
chr1,167803502,167803505,2,"4,5",0,0,0,1,1
chr1,167917120,167917182,2,"4,5",0,0,0,1,1
chr1,168203360,168203636,2,"1,5",1,0,0,0,1
chr1,169584801,169585032,2,"1,5",1,0,0,0,1
chr1,171313825,171314101,2,"1,5",1,0,0,0,1
chr1,172532379,172532529,3,"2,4,5",0,1,0,1,1
chr1,172532529,172532572,2,"4,5",0,0,0,1,1
chr1,173824145,173824421,2,"1,5",1,0,0,0,1
chr1,179104953,179105229,2,"1,5",1,0,0,0,1
chr1,181033829,181034014,5,"1,2,3,4,5",1,1,1,1,1
chr1,181034014,181034015,4,"1,2,3,5",1,1,1,0,1
chr1,181034015,181034027,3,"1,2,5",1,1,0,0,1
chr1,181034027,181034030,2,"2,5",0,1,0,0,1
chr1,183699833,183699838,2,"1,5",1,0,0,0,1
chr1,183699838,183699840,3,"1,2,5",1,1,0,0,1
chr1,183699840,183700076,4,"1,2,4,5",1,1,0,1,1
chr1,183700076,183700088,3,"1,2,5",1,1,0,0,1
chr1,183700088,183700109,2,"1,5",1,0,0,0,1
chr1,193112148,193112356,5,"1,2,3,4,5",1,1,1,1,1
chr1,193112356,193112365,4,"1,2,4,5",1,1,0,1,1
chr1,193112365,193112389,3,"1,2,5",1,1,0,0,1
chr1,193112389,193112424,2,"1,5",1,0,0,0,1
chr1,193115812,193116048,2,"4,5",0,0,0,1,1
chr1,193121769,193122019,2,"2,5",0,1,0,0,1
chr1,197146856,197146867,2,"1,5",1,0,0,0,1
chr1,197146867,197146874,3,"1,2,5",1,1,0,0,1
chr1,197146874,197146882,4,"1,2,4,5",1,1,0,1,1
chr1,197146882,197147100,5,"1,2,3,4,5",1,1,1,1,1
chr1,200314492,200314501,2,"1,5",1,0,0,0,1
chr1,200314501,200314508,3,"1,4,5",1,0,0,1,1
chr1,200314508,200314519,4,"1,2,4,5",1,1,0,1,1
chr1,200314519,200314737,5,"1,2,3,4,5",1,1,1,1,1
chr1,200314737,200314743,4,"1,2,3,5",1,1,1,0,1
chr1,200314743,200314755,3,"1,2,5",1,1,0,0,1
chr1,204144956,204145206,2,"2,5",0,1,0,0,1
chr1,204623382,204623402,2,"2,5",0,1,0,0,1
chr1,204623402,204623632,3,"2,4,5",0,1,0,1,1
chr1,204623632,204623638,2,"4,5",0,0,0,1,1
chr1,205983869,205983873,2,"1,5",1,0,0,0,1
chr1,205983873,205983888,3,"1,4,5",1,0,0,1,1
chr1,205983888,205983889,4,"1,2,4,5",1,1,0,1,1
chr1,205983889,205984109,5,"1,2,3,4,5",1,1,1,1,1
chr1,205984109,205984113,4,"1,2,3,5",1,1,1,0,1
chr1,205984113,205984138,3,"1,2,5",1,1,0,0,1
chr1,205984138,205984145,2,"1,5",1,0,0,0,1
chr1,206501474,206501609,2,"4,5",0,0,0,1,1
chr1,211648585,211648595,2,"4,5",0,0,0,1,1
chr1,211648595,211648596,3,"1,4,5",1,0,0,1,1
chr1,211648596,211648608,4,"1,2,4,5",1,1,0,1,1
chr1,211648608,211648682,5,"1,2,3,4,5",1,1,1,1,1
chr1,211648682,211648689,4,"1,2,4,5",1,1,0,1,1
chr1,212034868,212035104,2,"4,5",0,0,0,1,1
chr1,212721582,212721858,2,"1,5",1,0,0,0,1
chr1,212857675,212857925,2,"2,5",0,1,0,0,1
chr1,213051610,213051648,2,"1,5",1,0,0,0,1
chr1,213051648,213051679,3,"1,2,5",1,1,0,0,1
chr1,213051679,213051804,4,"1,2,4,5",1,1,0,1,1
chr1,218285173,218285449,2,"1,5",1,0,0,0,1
chr1,221887200,221887424,2,"3,5",0,0,1,0,1
chr1,222589846,222589862,2,"3,5",0,0,1,0,1
chr1,222589862,222589864,3,"2,3,5",0,1,1,0,1
chr1,222589864,222589872,4,"1,2,3,5",1,1,1,0,1
chr1,222589872,222590070,5,"1,2,3,4,5",1,1,1,1,1
chr1,222590070,222590108,4,"1,2,4,5",1,1,0,1,1
chr1,222590108,222590112,3,"1,2,5",1,1,0,0,1
chr1,222590112,222590140,2,"1,5",1,0,0,0,1
chr1,223992632,223992633,2,"2,5",0,1,0,0,1
chr1,223992633,223992882,3,"1,2,5",1,1,0,0,1
chr1,223992882,223992909,2,"1,5",1,0,0,0,1
chr1,225694211,225694461,2,"2,5",0,1,0,0,1
chr1,225768593,225768829,2,"4,5",0,0,0,1,1
chr1,225813485,225813521,2,"1,5",1,0,0,0,1
chr1,225813521,225813761,3,"1,2,5",1,1,0,0,1
chr1,225813761,225813771,2,"2,5",0,1,0,0,1
chr1,226407570,226407663,5,"1,2,3,4,5",1,1,1,1,1
chr1,226407663,226407675,4,"2,3,4,5",0,1,1,1,1
