chrom,start,end,num,list,ENCFF479IYY_MAX_sorted.bed,ENCFF586AUN_MAX_sorted.bed,ENCFF631IHP_MAX_sorted.bed,ENCFF714XUB_MAX_sorted.bed,ENCFF776CUK_MAX_sorted.bed,ENCFF833YNQ_MAX_sorted.bed,ENCFF922DMX_MAX_sorted.bed,ENCFF947ANW_MAX_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,1308181,1308185,5,"2,3,5,6,9",0,1,1,0,1,1,0,0,1
chr1,1308185,1308256,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1308256,1308507,5,"2,3,5,6,9",0,1,1,0,1,1,0,0,1
chr1,1308507,1308586,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1308586,1308737,5,"2,3,5,6,9",0,1,1,0,1,1,0,0,1
chr1,1324560,1324757,3,"5,7,9",0,0,0,0,1,0,1,0,1
chr1,1324757,1324797,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,1324921,1325049,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,1325049,1325104,3,"3,6,9",0,0,1,0,0,1,0,0,1
chr1,1349306,1349509,3,"6,7,9",0,0,0,0,0,1,1,0,1
chr1,1349509,1349568,4,"3,6,7,9",0,0,1,0,0,1,1,0,1
chr1,1349568,1349573,3,"3,7,9",0,0,1,0,0,0,1,0,1
chr1,1349573,1349582,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,1349582,1349789,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1349821,1349975,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1349975,1350012,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,1375095,1375173,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1375173,1375195,5,"2,3,5,6,9",0,1,1,0,1,1,0,0,1
chr1,1375195,1375336,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,1375336,1375352,5,"2,3,5,6,9",0,1,1,0,1,1,0,0,1
chr1,1375352,1375527,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1375527,1375601,3,"2,3,9",0,1,1,0,0,0,0,0,1
chr1,1375601,1375689,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,1399258,1399284,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1399284,1399374,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1399374,1399425,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1399425,1399495,5,"2,3,5,7,9",0,1,1,0,1,0,1,0,1
chr1,1399495,1399530,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,1399530,1399638,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,1399638,1399678,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,1407134,1407149,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1407149,1407165,4,"3,5,7,9",0,0,1,0,1,0,1,0,1
chr1,1407165,1407192,5,"3,5,6,7,9",0,0,1,0,1,1,1,0,1
chr1,1407192,1407263,6,"3,5,6,7,8,9",0,0,1,0,1,1,1,1,1
chr1,1407263,1407383,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,1407383,1407470,6,"3,5,6,7,8,9",0,0,1,0,1,1,1,1,1
chr1,1407470,1407499,5,"3,5,7,8,9",0,0,1,0,1,0,1,1,1
chr1,1407499,1407588,4,"3,5,8,9",0,0,1,0,1,0,0,1,1
chr1,1435571,1435661,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,1435661,1435768,6,"3,5,6,7,8,9",0,0,1,0,1,1,1,1,1
chr1,1435768,1435780,5,"3,5,7,8,9",0,0,1,0,1,0,1,1,1
chr1,1435780,1435827,4,"3,5,7,9",0,0,1,0,1,0,1,0,1
chr1,1435827,1435849,3,"5,7,9",0,0,0,0,1,0,1,0,1
chr1,1440940,1440945,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,1440945,1440959,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1440959,1440972,4,"3,5,8,9",0,0,1,0,1,0,0,1,1
chr1,1440972,1440978,5,"1,3,5,8,9",1,0,1,0,1,0,0,1,1
chr1,1440978,1440984,6,"1,2,3,5,8,9",1,1,1,0,1,0,0,1,1
chr1,1440984,1440996,7,"1,2,3,5,6,8,9",1,1,1,0,1,1,0,1,1
chr1,1440996,1441171,8,"1,2,3,5,6,7,8,9",1,1,1,0,1,1,1,1,1
chr1,1441171,1441179,7,"1,2,3,5,6,8,9",1,1,1,0,1,1,0,1,1
chr1,1471450,1471525,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1471525,1471537,3,"5,7,9",0,0,0,0,1,0,1,0,1
chr1,1471537,1471540,4,"5,6,7,9",0,0,0,0,1,1,1,0,1
chr1,1471540,1471562,5,"5,6,7,8,9",0,0,0,0,1,1,1,1,1
chr1,1471562,1471595,6,"3,5,6,7,8,9",0,0,1,0,1,1,1,1,1
chr1,1471595,1471769,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,1471769,1471802,6,"3,5,6,7,8,9",0,0,1,0,1,1,1,1,1
chr1,1471802,1471837,5,"5,6,7,8,9",0,0,0,0,1,1,1,1,1
chr1,1471837,1471857,4,"5,6,7,9",0,0,0,0,1,1,1,0,1
chr1,1511622,1511646,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1511646,1511707,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1511707,1511904,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1511904,1511911,5,"2,3,5,6,9",0,1,1,0,1,1,0,0,1
chr1,1511911,1511932,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,1511932,1512169,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,1512169,1512171,6,"2,3,5,7,8,9",0,1,1,0,1,0,1,1,1
chr1,1512171,1512181,5,"3,5,7,8,9",0,0,1,0,1,0,1,1,1
chr1,1512181,1512211,4,"3,5,7,9",0,0,1,0,1,0,1,0,1
chr1,1512211,1512230,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1512230,1512249,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1574495,1574503,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1574503,1574509,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1574509,1574702,4,"3,5,6,9",0,0,1,0,1,1,0,0,1
chr1,1574702,1574765,5,"2,3,5,6,9",0,1,1,0,1,1,0,0,1
chr1,1574765,1574815,6,"2,3,5,6,8,9",0,1,1,0,1,1,0,1,1
chr1,1574815,1574843,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,1574843,1575028,6,"2,5,6,7,8,9",0,1,0,0,1,1,1,1,1
chr1,1575028,1575035,5,"2,5,6,8,9",0,1,0,0,1,1,0,1,1
chr1,1575035,1575082,4,"2,5,8,9",0,1,0,0,1,0,0,1,1
chr1,1615184,1615292,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1615292,1615318,3,"5,7,9",0,0,0,0,1,0,1,0,1
chr1,1615318,1615362,4,"3,5,7,9",0,0,1,0,1,0,1,0,1
chr1,1615362,1615469,5,"3,5,6,7,9",0,0,1,0,1,1,1,0,1
chr1,1615469,1615479,4,"3,5,7,9",0,0,1,0,1,0,1,0,1
chr1,1615479,1615591,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1615591,1615608,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,1615694,1615902,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,1658965,1659085,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,1659085,1659182,3,"6,7,9",0,0,0,0,0,1,1,0,1
chr1,1659182,1659201,4,"5,6,7,9",0,0,0,0,1,1,1,0,1
chr1,1659201,1659309,5,"3,5,6,7,9",0,0,1,0,1,1,1,0,1
chr1,1659309,1659389,4,"3,5,6,9",0,0,1,0,1,1,0,0,1
chr1,1659389,1659508,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1692410,1692906,3,"5,6,9",0,0,0,0,1,1,0,0,1
chr1,1692906,1692954,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,1724131,1724209,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,1724209,1724235,3,"2,3,9",0,1,1,0,0,0,0,0,1
chr1,1724235,1724306,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1724306,1724316,5,"2,3,5,7,9",0,1,1,0,1,0,1,0,1
chr1,1724316,1724458,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,1724458,1724620,5,"2,3,5,6,9",0,1,1,0,1,1,0,0,1
chr1,1724620,1724673,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1724673,1724715,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1724715,1724825,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1746107,1746240,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,1746240,1746611,3,"5,6,9",0,0,0,0,1,1,0,0,1
chr1,1746611,1746656,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1758790,1758860,4,"2,5,8,9",0,1,0,0,1,0,0,1,1
chr1,1758860,1758874,5,"2,5,7,8,9",0,1,0,0,1,0,1,1,1
chr1,1758874,1758889,6,"2,5,6,7,8,9",0,1,0,0,1,1,1,1,1
chr1,1758889,1758977,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,1758977,1759112,6,"2,3,5,7,8,9",0,1,1,0,1,0,1,1,1
chr1,1759112,1759136,5,"2,5,7,8,9",0,1,0,0,1,0,1,1,1
chr1,1759136,1759153,4,"2,5,7,9",0,1,0,0,1,0,1,0,1
chr1,1759153,1759175,3,"2,5,9",0,1,0,0,1,0,0,0,1
chr1,1759175,1759190,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1778299,1778360,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1778360,1778373,3,"1,5,9",1,0,0,0,1,0,0,0,1
chr1,1778373,1778620,4,"1,5,6,9",1,0,0,0,1,1,0,0,1
chr1,1778620,1778623,3,"5,6,9",0,0,0,0,1,1,0,0,1
chr1,1778806,1778965,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,1778965,1778998,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,1778998,1779028,5,"2,3,5,7,9",0,1,1,0,1,0,1,0,1
chr1,1779028,1779221,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1890971,1890981,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,1890981,1891066,3,"2,5,9",0,1,0,0,1,0,0,0,1
chr1,1891066,1891083,4,"2,5,6,9",0,1,0,0,1,1,0,0,1
chr1,1891083,1891231,5,"2,5,6,7,9",0,1,0,0,1,1,1,0,1
chr1,1891231,1891246,4,"2,5,6,9",0,1,0,0,1,1,0,0,1
chr1,1891246,1891371,3,"2,5,9",0,1,0,0,1,0,0,0,1
chr1,1891371,1891381,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1891381,1891386,3,"2,3,9",0,1,1,0,0,0,0,0,1
chr1,1891386,1891542,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,1891542,1891557,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1891557,1891561,4,"3,5,7,9",0,0,1,0,1,0,1,0,1
chr1,1891561,1891713,5,"3,5,7,8,9",0,0,1,0,1,0,1,1,1
chr1,1891713,1891741,6,"3,5,6,7,8,9",0,0,1,0,1,1,1,1,1
chr1,1891741,1891812,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,1891812,1891873,6,"2,3,5,7,8,9",0,1,1,0,1,0,1,1,1
chr1,1906267,1906316,5,"2,3,5,8,9",0,1,1,0,1,0,0,1,1
chr1,1906316,1906325,6,"2,3,5,7,8,9",0,1,1,0,1,0,1,1,1
chr1,1906325,1906432,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,1906432,1906481,6,"2,3,5,7,8,9",0,1,1,0,1,0,1,1,1
chr1,1906481,1906508,5,"2,3,5,8,9",0,1,1,0,1,0,0,1,1
chr1,1906508,1906526,4,"2,3,8,9",0,1,1,0,0,0,0,1,1
chr1,1908647,1908827,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1909203,1909207,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,1909207,1909251,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1909251,1909257,4,"3,5,6,9",0,0,1,0,1,1,0,0,1
chr1,1909257,1909261,5,"3,5,6,7,9",0,0,1,0,1,1,1,0,1
chr1,1909261,1909278,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,1909278,1909453,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,1918974,1919115,5,"2,3,6,7,9",0,1,1,0,0,1,1,0,1
chr1,1919115,1919185,6,"2,3,6,7,8,9",0,1,1,0,0,1,1,1,1
chr1,1919185,1919216,5,"3,6,7,8,9",0,0,1,0,0,1,1,1,1
chr1,1919216,1919251,4,"6,7,8,9",0,0,0,0,0,1,1,1,1
chr1,1919251,1919347,3,"7,8,9",0,0,0,0,0,0,1,1,1
chr1,1919347,1919450,2,"8,9",0,0,0,0,0,0,0,1,1
chr1,1919450,1919471,3,"3,8,9",0,0,1,0,0,0,0,1,1
chr1,1919471,1919487,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,1919487,1919505,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1919505,1919587,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1919587,1919647,5,"2,3,5,7,9",0,1,1,0,1,0,1,0,1
chr1,1919647,1919831,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,2133104,2133202,4,"2,3,7,9",0,1,1,0,0,0,1,0,1
chr1,2133202,2133437,5,"2,3,5,7,9",0,1,1,0,1,0,1,0,1
chr1,2133437,2133452,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,2133452,2133477,3,"2,3,9",0,1,1,0,0,0,0,0,1
chr1,2133477,2133611,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,2133611,2133715,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,2133715,2133754,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,2180325,2180376,3,"2,3,9",0,1,1,0,0,0,0,0,1
chr1,2180376,2180401,5,"2,3,5,6,9",0,1,1,0,1,1,0,0,1
chr1,2180401,2180474,6,"2,3,5,6,8,9",0,1,1,0,1,1,0,1,1
chr1,2180474,2180605,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,2180605,2180680,6,"2,3,5,6,8,9",0,1,1,0,1,1,0,1,1
chr1,2180680,2180710,5,"2,3,5,8,9",0,1,1,0,1,0,0,1,1
chr1,2180710,2180757,4,"2,3,8,9",0,1,1,0,0,0,0,1,1
chr1,2180757,2180764,3,"2,3,9",0,1,1,0,0,0,0,0,1
chr1,2189460,2189524,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,2189524,2189551,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,2189551,2189629,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,2189629,2189671,5,"2,3,5,7,9",0,1,1,0,1,0,1,0,1
chr1,2189671,2189686,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,2189686,2189813,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,2189813,2189828,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,2189828,2189890,5,"2,3,5,7,9",0,1,1,0,1,0,1,0,1
chr1,2189890,2189940,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,2189975,2190015,3,"2,3,9",0,1,1,0,0,0,0,0,1
chr1,2190015,2190071,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,2204502,2204612,4,"3,5,7,9",0,0,1,0,1,0,1,0,1
chr1,2204612,2204651,3,"3,7,9",0,0,1,0,0,0,1,0,1
chr1,2204651,2204971,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,2205269,2205293,2,"8,9",0,0,0,0,0,0,0,1,1
chr1,2205293,2205530,3,"5,8,9",0,0,0,0,1,0,0,1,1
chr1,2205530,2205536,4,"5,6,8,9",0,0,0,0,1,1,0,1,1
chr1,2205536,2205570,5,"3,5,6,8,9",0,0,1,0,1,1,0,1,1
chr1,2205570,2205608,6,"2,3,5,6,8,9",0,1,1,0,1,1,0,1,1
chr1,2205608,2205625,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,2205625,2205692,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,2212577,2212650,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,2212650,2212713,3,"2,3,9",0,1,1,0,0,0,0,0,1
chr1,2212713,2212800,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,2212800,2212802,5,"2,3,5,7,9",0,1,1,0,1,0,1,0,1
chr1,2212802,2212951,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,2212951,2212961,5,"2,3,5,7,9",0,1,1,0,1,0,1,0,1
chr1,2212961,2213073,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,2213073,2213114,3,"2,3,9",0,1,1,0,0,0,0,0,1
chr1,2213114,2213244,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,2227549,2227661,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,2227661,2228005,3,"3,7,9",0,0,1,0,0,0,1,0,1
chr1,2228005,2228101,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,2381801,2382054,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,2391441,2391450,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,2391450,2391522,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,2391522,2391547,5,"2,3,5,8,9",0,1,1,0,1,0,0,1,1
chr1,2391547,2391638,6,"2,3,5,6,8,9",0,1,1,0,1,1,0,1,1
chr1,2391638,2391657,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,2391657,2391850,6,"2,3,5,7,8,9",0,1,1,0,1,0,1,1,1
chr1,2391850,2391878,5,"2,5,7,8,9",0,1,0,0,1,0,1,1,1
chr1,2391878,2391914,4,"2,5,7,9",0,1,0,0,1,0,1,0,1
chr1,2391914,2391933,3,"5,7,9",0,0,0,0,1,0,1,0,1
chr1,2412477,2412660,5,"5,6,7,8,9",0,0,0,0,1,1,1,1,1
chr1,2412660,2412667,6,"2,5,6,7,8,9",0,1,0,0,1,1,1,1,1
chr1,2412667,2412682,5,"2,5,6,7,9",0,1,0,0,1,1,1,0,1
chr1,2412682,2412699,4,"2,5,7,9",0,1,0,0,1,0,1,0,1
chr1,2412699,2413073,3,"2,5,9",0,1,0,0,1,0,0,0,1
chr1,2413073,2413113,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,2526189,2526728,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,2526728,2526765,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,2526765,2526798,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,2526798,2526800,3,"3,6,9",0,0,1,0,0,1,0,0,1
chr1,2546030,2546043,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,2546043,2546054,3,"1,3,9",1,0,1,0,0,0,0,0,1
chr1,2546054,2546150,4,"1,3,7,9",1,0,1,0,0,0,1,0,1
chr1,2546150,2546176,5,"1,2,3,7,9",1,1,1,0,0,0,1,0,1
chr1,2546176,2546240,6,"1,2,3,7,8,9",1,1,1,0,0,0,1,1,1
chr1,2546240,2546303,7,"1,2,3,5,7,8,9",1,1,1,0,1,0,1,1,1
chr1,2546303,2546312,6,"2,3,5,7,8,9",0,1,1,0,1,0,1,1,1
chr1,2546312,2546457,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,2546914,2546916,3,"3,6,9",0,0,1,0,0,1,0,0,1
chr1,2546916,2547151,4,"3,5,6,9",0,0,1,0,1,1,0,0,1
chr1,2547151,2547224,3,"5,6,9",0,0,0,0,1,1,0,0,1
