chrom,start,end,num,list,ENCFF099EFN_CEBPB_sorted.bed,ENCFF342QGM_CEBPB_sorted.bed,ENCFF757UIC_CEBPB_sorted.bed,ENCFF824TMR_CEBPB_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,6572919,6572936,3,"2,4,5",0,1,0,1,1
chr1,6572936,6572961,2,"2,5",0,1,0,0,1
chr1,6604350,6604366,2,"3,5",0,0,1,0,1
chr1,6604366,6604385,3,"2,3,5",0,1,1,0,1
chr1,6604385,6604387,4,"2,3,4,5",0,1,1,1,1
chr1,6604387,6604482,5,"1,2,3,4,5",1,1,1,1,1
chr1,7771647,7771669,2,"2,5",0,1,0,0,1
chr1,7771669,7771871,3,"2,4,5",0,1,0,1,1
chr1,7771871,7771889,2,"4,5",0,0,0,1,1
chr1,7784019,7784239,2,"4,5",0,0,0,1,1
chr1,8005144,8005158,2,"4,5",0,0,0,1,1
chr1,8005158,8005364,3,"3,4,5",0,0,1,1,1
chr1,8005364,8005388,2,"3,5",0,0,1,0,1
chr1,8027418,8027441,2,"3,5",0,0,1,0,1
chr1,8027441,8027452,3,"3,4,5",0,0,1,1,1
chr1,8027452,8027455,4,"2,3,4,5",0,1,1,1,1
chr1,8027455,8027558,5,"1,2,3,4,5",1,1,1,1,1
chr1,8027558,8027583,4,"1,3,4,5",1,0,1,1,1
chr1,8027583,8027625,3,"3,4,5",0,0,1,1,1
chr1,8027625,8027648,2,"3,5",0,0,1,0,1
chr1,8190001,8190100,2,"3,5",0,0,1,0,1
chr1,8190100,8190231,3,"3,4,5",0,0,1,1,1
chr1,8190231,8190320,2,"4,5",0,0,0,1,1
chr1,8211954,8212030,2,"4,5",0,0,0,1,1
chr1,8212030,8212073,3,"3,4,5",0,0,1,1,1
chr1,8212073,8212113,4,"1,3,4,5",1,0,1,1,1
chr1,8212113,8212183,5,"1,2,3,4,5",1,1,1,1,1
chr1,8212183,8212201,4,"1,3,4,5",1,0,1,1,1
chr1,8212201,8212260,3,"3,4,5",0,0,1,1,1
chr1,8212260,8212282,2,"4,5",0,0,0,1,1
chr1,8348949,8349169,2,"4,5",0,0,0,1,1
chr1,8742117,8742119,2,"3,5",0,0,1,0,1
chr1,8742119,8742123,3,"3,4,5",0,0,1,1,1
chr1,8742123,8742128,4,"1,3,4,5",1,0,1,1,1
chr1,8742128,8742280,5,"1,2,3,4,5",1,1,1,1,1
chr1,8742280,8742299,4,"1,2,3,5",1,1,1,0,1
chr1,8742299,8742347,3,"2,3,5",0,1,1,0,1
chr1,8742347,8742352,2,"2,5",0,1,0,0,1
chr1,9100821,9100851,2,"3,5",0,0,1,0,1
chr1,9100851,9100865,3,"2,3,5",0,1,1,0,1
chr1,9100865,9100877,4,"1,2,3,5",1,1,1,0,1
chr1,9100877,9100988,5,"1,2,3,4,5",1,1,1,1,1
chr1,9100988,9101028,4,"1,2,3,5",1,1,1,0,1
chr1,9233430,9233442,2,"2,5",0,1,0,0,1
chr1,9233442,9233445,3,"2,4,5",0,1,0,1,1
chr1,9233445,9233533,4,"2,3,4,5",0,1,1,1,1
chr1,9233533,9233593,5,"1,2,3,4,5",1,1,1,1,1
chr1,9233593,9233645,4,"2,3,4,5",0,1,1,1,1
chr1,9233645,9233654,3,"2,3,5",0,1,1,0,1
chr1,9233654,9233675,2,"3,5",0,0,1,0,1
chr1,9428857,9429077,2,"4,5",0,0,0,1,1
chr1,9438717,9438739,2,"2,5",0,1,0,0,1
chr1,9438739,9438748,3,"2,4,5",0,1,0,1,1
chr1,9438748,9438801,4,"2,3,4,5",0,1,1,1,1
chr1,9438801,9438896,5,"1,2,3,4,5",1,1,1,1,1
chr1,9438896,9438941,4,"2,3,4,5",0,1,1,1,1
chr1,9438941,9438978,2,"3,5",0,0,1,0,1
chr1,9539219,9539222,2,"3,5",0,0,1,0,1
chr1,9539222,9539281,3,"1,3,5",1,0,1,0,1
chr1,9539281,9539398,4,"1,3,4,5",1,0,1,1,1
chr1,9539398,9539400,3,"3,4,5",0,0,1,1,1
chr1,9539400,9539449,2,"3,5",0,0,1,0,1
chr1,10388592,10388660,3,"2,4,5",0,1,0,1,1
chr1,10388660,10388666,2,"2,5",0,1,0,0,1
chr1,11735781,11735926,2,"4,5",0,0,0,1,1
chr1,11842818,11842837,2,"4,5",0,0,0,1,1
chr1,11842837,11842865,3,"1,4,5",1,0,0,1,1
chr1,11842865,11842872,4,"1,2,4,5",1,1,0,1,1
chr1,11842872,11842942,5,"1,2,3,4,5",1,1,1,1,1
chr1,11842942,11842998,4,"1,2,4,5",1,1,0,1,1
chr1,11842998,11843014,3,"1,4,5",1,0,0,1,1
chr1,11843014,11843027,2,"4,5",0,0,0,1,1
chr1,12525440,12525493,2,"4,5",0,0,0,1,1
chr1,12525493,12525523,3,"1,4,5",1,0,0,1,1
chr1,12525523,12525537,4,"1,3,4,5",1,0,1,1,1
chr1,12525537,12525589,5,"1,2,3,4,5",1,1,1,1,1
chr1,12525589,12525644,4,"1,2,4,5",1,1,0,1,1
chr1,12525644,12525650,3,"1,4,5",1,0,0,1,1
chr1,12525650,12525681,2,"4,5",0,0,0,1,1
chr1,12528364,12528382,2,"3,5",0,0,1,0,1
chr1,12528382,12528427,3,"3,4,5",0,0,1,1,1
chr1,12528427,12528464,4,"1,3,4,5",1,0,1,1,1
chr1,12528464,12528527,5,"1,2,3,4,5",1,1,1,1,1
chr1,12528527,12528561,4,"1,3,4,5",1,0,1,1,1
chr1,12528561,12528594,3,"3,4,5",0,0,1,1,1
chr1,12616009,12616233,2,"2,5",0,1,0,0,1
chr1,15145436,15145442,2,"1,5",1,0,0,0,1
chr1,15145442,15145447,3,"1,3,5",1,0,1,0,1
chr1,15145447,15145486,4,"1,2,3,5",1,1,1,0,1
chr1,15145486,15145612,5,"1,2,3,4,5",1,1,1,1,1
chr1,15145612,15145627,4,"2,3,4,5",0,1,1,1,1
chr1,15145627,15145671,3,"2,3,5",0,1,1,0,1
chr1,15145671,15145672,2,"3,5",0,0,1,0,1
chr1,15189820,15189824,2,"3,5",0,0,1,0,1
chr1,15189824,15189835,3,"3,4,5",0,0,1,1,1
chr1,15189835,15190044,4,"2,3,4,5",0,1,1,1,1
chr1,15190044,15190050,3,"2,3,5",0,1,1,0,1
chr1,15190050,15190059,2,"2,5",0,1,0,0,1
chr1,15524254,15524288,2,"3,5",0,0,1,0,1
chr1,15524288,15524312,3,"1,3,5",1,0,1,0,1
chr1,15524312,15524432,4,"1,3,4,5",1,0,1,1,1
chr1,15524432,15524464,3,"1,3,5",1,0,1,0,1
chr1,15524464,15524484,2,"3,5",0,0,1,0,1
chr1,15524607,15524673,2,"1,5",1,0,0,0,1
chr1,15524673,15524731,3,"1,4,5",1,0,0,1,1
chr1,15524731,15524783,2,"1,5",1,0,0,0,1
chr1,15524941,15524953,2,"3,5",0,0,1,0,1
chr1,15524953,15524971,3,"3,4,5",0,0,1,1,1
chr1,15524971,15525055,4,"1,3,4,5",1,0,1,1,1
chr1,15525055,15525121,3,"3,4,5",0,0,1,1,1
chr1,15525121,15525171,2,"3,5",0,0,1,0,1
chr1,15603820,15603846,2,"4,5",0,0,0,1,1
chr1,15603846,15604022,3,"1,4,5",1,0,0,1,1
chr1,15604022,15604040,2,"4,5",0,0,0,1,1
chr1,15617262,15617482,2,"4,5",0,0,0,1,1
chr1,15835728,15835729,2,"4,5",0,0,0,1,1
chr1,15835729,15835905,3,"1,4,5",1,0,0,1,1
chr1,15835905,15835948,2,"4,5",0,0,0,1,1
chr1,16012747,16012771,2,"4,5",0,0,0,1,1
chr1,16012771,16012967,3,"2,4,5",0,1,0,1,1
chr1,16012967,16012995,2,"2,5",0,1,0,0,1
chr1,16164299,16164519,2,"4,5",0,0,0,1,1
chr1,16206385,16206401,2,"4,5",0,0,0,1,1
chr1,16206401,16206421,3,"3,4,5",0,0,1,1,1
chr1,16206421,16206597,4,"1,3,4,5",1,0,1,1,1
chr1,16206597,16206605,3,"3,4,5",0,0,1,1,1
chr1,16206605,16206631,2,"3,5",0,0,1,0,1
chr1,16352446,16352666,2,"4,5",0,0,0,1,1
chr1,16608297,16608311,2,"2,5",0,1,0,0,1
chr1,16608311,16608521,3,"2,4,5",0,1,0,1,1
chr1,16608521,16608531,2,"4,5",0,0,0,1,1
chr1,16613451,16613671,2,"4,5",0,0,0,1,1
chr1,16644594,16644770,2,"1,5",1,0,0,0,1
chr1,16645430,16645451,2,"2,5",0,1,0,0,1
chr1,16645451,16645541,3,"1,2,5",1,1,0,0,1
chr1,16645541,16645547,4,"1,2,3,5",1,1,1,0,1
chr1,16645547,16645627,5,"1,2,3,4,5",1,1,1,1,1
chr1,16645627,16645650,4,"2,3,4,5",0,1,1,1,1
chr1,16645650,16645654,3,"2,3,5",0,1,1,0,1
chr1,16645654,16645771,2,"3,5",0,0,1,0,1
chr1,18597529,18597543,2,"4,5",0,0,0,1,1
chr1,18597543,18597701,3,"1,4,5",1,0,0,1,1
chr1,18901191,18901207,2,"3,5",0,0,1,0,1
chr1,18901207,18901214,3,"2,3,5",0,1,1,0,1
chr1,18901214,18901254,4,"1,2,3,5",1,1,1,0,1
chr1,18901254,18901379,5,"1,2,3,4,5",1,1,1,1,1
chr1,18901379,18901390,4,"1,2,3,5",1,1,1,0,1
chr1,18901390,18901421,3,"2,3,5",0,1,1,0,1
chr1,18901421,18901431,2,"2,5",0,1,0,0,1
chr1,19210231,19210237,2,"2,5",0,1,0,0,1
chr1,19210237,19210239,4,"2,3,4,5",0,1,1,1,1
chr1,19210239,19210415,5,"1,2,3,4,5",1,1,1,1,1
chr1,19210415,19210449,4,"2,3,4,5",0,1,1,1,1
chr1,19210449,19210455,3,"2,3,5",0,1,1,0,1
chr1,19210455,19210467,2,"3,5",0,0,1,0,1
chr1,19338220,19338229,3,"2,3,5",0,1,1,0,1
chr1,19338229,19338267,4,"1,2,3,5",1,1,1,0,1
chr1,19338267,19338378,5,"1,2,3,4,5",1,1,1,1,1
chr1,19338378,19338405,4,"1,2,3,5",1,1,1,0,1
chr1,19338405,19338413,3,"2,3,5",0,1,1,0,1
chr1,19338413,19338427,2,"2,5",0,1,0,0,1
chr1,20480455,20480463,2,"4,5",0,0,0,1,1
chr1,20480463,20480469,3,"1,4,5",1,0,0,1,1
chr1,20480469,20480639,4,"1,2,4,5",1,1,0,1,1
chr1,20480639,20480675,3,"2,4,5",0,1,0,1,1
chr1,20480675,20480693,2,"2,5",0,1,0,0,1
chr1,23187784,23188004,2,"4,5",0,0,0,1,1
chr1,23368805,23368826,2,"3,5",0,0,1,0,1
chr1,23368826,23368837,3,"2,3,5",0,1,1,0,1
chr1,23368837,23368915,4,"1,2,3,5",1,1,1,0,1
chr1,23368915,23368990,5,"1,2,3,4,5",1,1,1,1,1
chr1,23368990,23369013,4,"1,2,3,5",1,1,1,0,1
chr1,23369013,23369035,3,"2,3,5",0,1,1,0,1
chr1,23369035,23369050,2,"2,5",0,1,0,0,1
chr1,23377143,23377363,2,"4,5",0,0,0,1,1
chr1,23838650,23838677,2,"3,5",0,0,1,0,1
chr1,23838677,23838729,3,"1,3,5",1,0,1,0,1
chr1,23838729,23838813,4,"1,3,4,5",1,0,1,1,1
chr1,24119916,24120008,3,"2,4,5",0,1,0,1,1
chr1,24120008,24120100,2,"4,5",0,0,0,1,1
chr1,24120316,24120318,3,"1,2,5",1,1,0,0,1
chr1,24120318,24120368,4,"1,2,3,5",1,1,1,0,1
chr1,24120368,24120492,5,"1,2,3,4,5",1,1,1,1,1
chr1,24120492,24120494,4,"2,3,4,5",0,1,1,1,1
chr1,24120494,24120540,3,"2,3,5",0,1,1,0,1
chr1,24120540,24120548,2,"3,5",0,0,1,0,1
chr1,24541046,24541064,2,"2,5",0,1,0,0,1
chr1,24541064,24541086,3,"1,2,5",1,1,0,0,1
chr1,24541086,24541202,4,"1,2,4,5",1,1,0,1,1
chr1,24541202,24541240,3,"1,2,5",1,1,0,0,1
chr1,24541240,24541267,2,"2,5",0,1,0,0,1
chr1,25232541,25232717,2,"1,5",1,0,0,0,1
chr1,25247446,25247456,2,"3,5",0,0,1,0,1
chr1,25247456,25247470,3,"3,4,5",0,0,1,1,1
chr1,25247470,25247645,4,"1,3,4,5",1,0,1,1,1
chr1,25247645,25247646,3,"1,3,5",1,0,1,0,1
chr1,25247646,25247676,2,"3,5",0,0,1,0,1
chr1,25430095,25430138,2,"2,5",0,1,0,0,1
chr1,25430138,25430156,3,"2,4,5",0,1,0,1,1
chr1,25430156,25430319,4,"1,2,4,5",1,1,0,1,1
chr1,25430319,25430332,3,"1,4,5",1,0,0,1,1
chr1,25430332,25430358,2,"4,5",0,0,0,1,1
chr1,25998082,25998100,2,"2,5",0,1,0,0,1
chr1,25998100,25998121,3,"2,3,5",0,1,1,0,1
chr1,25998121,25998166,4,"1,2,3,5",1,1,1,0,1
chr1,25998166,25998268,5,"1,2,3,4,5",1,1,1,1,1
chr1,25998268,25998297,4,"1,2,3,5",1,1,1,0,1
chr1,25998297,25998306,3,"2,3,5",0,1,1,0,1
chr1,25998306,25998330,2,"3,5",0,0,1,0,1
chr1,26035374,26035594,2,"4,5",0,0,0,1,1
chr1,26351634,26351794,2,"4,5",0,0,0,1,1
chr1,26358731,26358753,3,"2,3,5",0,1,1,0,1
chr1,26358753,26358771,4,"1,2,3,5",1,1,1,0,1
chr1,26358771,26358916,5,"1,2,3,4,5",1,1,1,1,1
chr1,26358916,26358929,4,"1,2,3,5",1,1,1,0,1
chr1,26358929,26358942,3,"2,3,5",0,1,1,0,1
chr1,26358942,26358958,2,"3,5",0,0,1,0,1
chr1,26359146,26359148,2,"3,5",0,0,1,0,1
chr1,26359148,26359223,3,"3,4,5",0,0,1,1,1
chr1,26359223,26359368,4,"2,3,4,5",0,1,1,1,1
chr1,26359368,26359376,3,"2,3,5",0,1,1,0,1
chr1,26359376,26359415,2,"2,5",0,1,0,0,1
chr1,26473101,26473112,2,"4,5",0,0,0,1,1
chr1,26473112,26473288,3,"1,4,5",1,0,0,1,1
chr1,26473288,26473315,2,"4,5",0,0,0,1,1
chr1,26831802,26831804,2,"2,5",0,1,0,0,1
chr1,26831804,26831837,3,"2,3,5",0,1,1,0,1
chr1,26831837,26831845,4,"2,3,4,5",0,1,1,1,1
chr1,26831845,26832013,5,"1,2,3,4,5",1,1,1,1,1
chr1,26832013,26832021,4,"1,2,3,5",1,1,1,0,1
chr1,26832021,26832026,3,"2,3,5",0,1,1,0,1
chr1,26832026,26832034,2,"3,5",0,0,1,0,1
chr1,26900402,26900422,2,"4,5",0,0,0,1,1
chr1,26900422,26900598,3,"1,4,5",1,0,0,1,1
chr1,26900598,26900622,2,"4,5",0,0,0,1,1
chr1,26910460,26910467,2,"3,5",0,0,1,0,1
chr1,26910467,26910468,3,"2,3,5",0,1,1,0,1
chr1,26910468,26910471,4,"2,3,4,5",0,1,1,1,1
chr1,26910471,26910643,5,"1,2,3,4,5",1,1,1,1,1
chr1,26910643,26910647,4,"1,2,3,5",1,1,1,0,1
chr1,26910647,26910666,3,"2,3,5",0,1,1,0,1
chr1,26910666,26910691,2,"2,5",0,1,0,0,1
chr1,26913922,26913966,2,"4,5",0,0,0,1,1
chr1,26913966,26914142,3,"2,4,5",0,1,0,1,1
chr1,26914142,26914190,2,"2,5",0,1,0,0,1
chr1,26914319,26914381,2,"4,5",0,0,0,1,1
chr1,26914381,26914539,3,"2,4,5",0,1,0,1,1
chr1,26914539,26914605,2,"2,5",0,1,0,0,1
chr1,27322168,27322170,2,"3,5",0,0,1,0,1
chr1,27322170,27322205,3,"2,3,5",0,1,1,0,1
chr1,27322205,27322216,4,"2,3,4,5",0,1,1,1,1
chr1,27322216,27322387,5,"1,2,3,4,5",1,1,1,1,1
chr1,27322387,27322392,4,"1,2,3,5",1,1,1,0,1
chr1,27322392,27322394,3,"2,3,5",0,1,1,0,1
chr1,27322394,27322398,2,"3,5",0,0,1,0,1
chr1,27621422,27621642,2,"4,5",0,0,0,1,1
chr1,27725691,27725911,2,"4,5",0,0,0,1,1
chr1,27943473,27943479,2,"3,5",0,0,1,0,1
chr1,27943479,27943501,3,"2,3,5",0,1,1,0,1
chr1,27943501,27943526,4,"1,2,3,5",1,1,1,0,1
chr1,27943526,27943677,5,"1,2,3,4,5",1,1,1,1,1
chr1,27943677,27943678,4,"2,3,4,5",0,1,1,1,1
chr1,27943678,27943703,3,"2,3,5",0,1,1,0,1
chr1,28247311,28247531,2,"4,5",0,0,0,1,1
chr1,28259198,28259213,2,"3,5",0,0,1,0,1
chr1,28259213,28259215,3,"1,3,5",1,0,1,0,1
chr1,28259215,28259385,4,"1,3,4,5",1,0,1,1,1
chr1,28259385,28259389,3,"1,3,5",1,0,1,0,1
chr1,28259389,28259428,2,"3,5",0,0,1,0,1
chr1,28370166,28370390,2,"2,5",0,1,0,0,1
chr1,28581635,28581756,2,"2,5",0,1,0,0,1
chr1,28581756,28581859,3,"1,2,5",1,1,0,0,1
chr1,28581859,28581932,2,"1,5",1,0,0,0,1
chr1,28648579,28648803,2,"2,5",0,1,0,0,1
chr1,28886732,28886757,2,"3,5",0,0,1,0,1
chr1,28886757,28886799,3,"1,3,5",1,0,1,0,1
chr1,28886799,28886855,4,"1,3,4,5",1,0,1,1,1
chr1,28886855,28886929,3,"1,3,5",1,0,1,0,1
chr1,28886929,28886933,2,"1,5",1,0,0,0,1
chr1,29146099,29146112,2,"1,5",1,0,0,0,1
chr1,29146112,29146143,3,"1,3,5",1,0,1,0,1
chr1,29146143,29146275,4,"1,3,4,5",1,0,1,1,1
chr1,29146275,29146282,3,"3,4,5",0,0,1,1,1
chr1,29146282,29146342,2,"3,5",0,0,1,0,1
chr1,29237616,29237629,2,"4,5",0,0,0,1,1
chr1,29237629,29237805,3,"1,4,5",1,0,0,1,1
chr1,29237805,29237836,2,"4,5",0,0,0,1,1
chr1,29239290,29239393,2,"2,5",0,1,0,0,1
chr1,29239393,29239464,3,"2,4,5",0,1,0,1,1
chr1,29239464,29239514,2,"2,5",0,1,0,0,1
chr1,31575586,31575606,2,"4,5",0,0,0,1,1
chr1,31575606,31575611,3,"1,4,5",1,0,0,1,1
chr1,31575611,31575616,4,"1,3,4,5",1,0,1,1,1
chr1,31575616,31575729,5,"1,2,3,4,5",1,1,1,1,1
chr1,31575729,31575763,4,"1,3,4,5",1,0,1,1,1
chr1,31575763,31575775,3,"3,4,5",0,0,1,1,1
chr1,31575775,31575794,2,"4,5",0,0,0,1,1
chr1,31645111,31645137,2,"4,5",0,0,0,1,1
chr1,31645137,31645331,3,"3,4,5",0,0,1,1,1
chr1,31645331,31645367,2,"3,5",0,0,1,0,1
chr1,32107906,32108082,2,"1,5",1,0,0,0,1
chr1,32716653,32716667,2,"3,5",0,0,1,0,1
chr1,32716667,32716669,3,"1,3,5",1,0,1,0,1
chr1,32716669,32716723,4,"1,2,3,5",1,1,1,0,1
chr1,32716723,32716843,5,"1,2,3,4,5",1,1,1,1,1
chr1,32716843,32716846,4,"2,3,4,5",0,1,1,1,1
chr1,32716846,32716878,3,"2,3,5",0,1,1,0,1
chr1,32716878,32716893,2,"2,5",0,1,0,0,1
chr1,32817249,32817252,2,"3,5",0,0,1,0,1
chr1,32817252,32817264,3,"2,3,5",0,1,1,0,1
chr1,32817264,32817270,4,"2,3,4,5",0,1,1,1,1
chr1,32817270,32817446,5,"1,2,3,4,5",1,1,1,1,1
chr1,32817446,32817447,4,"2,3,4,5",0,1,1,1,1
chr1,32817447,32817476,3,"2,3,5",0,1,1,0,1
chr1,32817476,32817479,2,"3,5",0,0,1,0,1
chr1,33342452,33342456,2,"4,5",0,0,0,1,1
chr1,33342456,33342632,3,"1,4,5",1,0,0,1,1
chr1,33342632,33342672,2,"4,5",0,0,0,1,1
chr1,35345778,35345793,2,"3,5",0,0,1,0,1
chr1,35345793,35345805,3,"3,4,5",0,0,1,1,1
chr1,35345805,35345819,4,"2,3,4,5",0,1,1,1,1
chr1,35345819,35345990,5,"1,2,3,4,5",1,1,1,1,1
chr1,35345990,35345995,4,"1,2,3,5",1,1,1,0,1
chr1,35345995,35346008,3,"2,3,5",0,1,1,0,1
chr1,35346008,35346029,2,"2,5",0,1,0,0,1
chr1,36224178,36224398,2,"4,5",0,0,0,1,1
chr1,36300093,36300272,2,"4,5",0,0,0,1,1
chr1,36386534,36386541,2,"1,5",1,0,0,0,1
chr1,36386541,36386543,3,"1,3,5",1,0,1,0,1
chr1,36386543,36386549,4,"1,2,3,5",1,1,1,0,1
chr1,36386549,36386710,5,"1,2,3,4,5",1,1,1,1,1
chr1,36386710,36386725,4,"2,3,4,5",0,1,1,1,1
chr1,36386725,36386767,3,"2,3,5",0,1,1,0,1
chr1,36386767,36386771,2,"3,5",0,0,1,0,1
chr1,36463891,36463905,2,"2,5",0,1,0,0,1
chr1,36463905,36463939,3,"2,3,5",0,1,1,0,1
chr1,36463939,36463948,4,"2,3,4,5",0,1,1,1,1
chr1,36463948,36464086,5,"1,2,3,4,5",1,1,1,1,1
chr1,36464086,36464115,4,"1,2,3,5",1,1,1,0,1
chr1,36464115,36464124,3,"1,3,5",1,0,1,0,1
chr1,36464124,36464135,2,"3,5",0,0,1,0,1
chr1,36464317,36464327,2,"3,5",0,0,1,0,1
chr1,36464327,36464371,3,"3,4,5",0,0,1,1,1
chr1,36464371,36464383,4,"1,3,4,5",1,0,1,1,1
chr1,36464383,36464467,5,"1,2,3,4,5",1,1,1,1,1
chr1,36464467,36464532,4,"1,3,4,5",1,0,1,1,1
chr1,36464532,36464547,3,"3,4,5",0,0,1,1,1
chr1,37479794,37479803,2,"2,5",0,1,0,0,1
chr1,37479803,37479844,3,"2,3,5",0,1,1,0,1
chr1,37479844,37479850,4,"2,3,4,5",0,1,1,1,1
chr1,37479850,37479962,5,"1,2,3,4,5",1,1,1,1,1
chr1,37479962,37480018,4,"1,2,3,5",1,1,1,0,1
chr1,37480018,37480026,3,"1,3,5",1,0,1,0,1
chr1,37480026,37480033,2,"3,5",0,0,1,0,1
chr1,37691616,37691655,3,"3,4,5",0,0,1,1,1
chr1,37691655,37691678,2,"4,5",0,0,0,1,1
chr1,37692136,37692164,2,"4,5",0,0,0,1,1
chr1,37692164,37692340,3,"1,4,5",1,0,0,1,1
chr1,37692340,37692356,2,"4,5",0,0,0,1,1
chr1,37946975,37947154,2,"4,5",0,0,0,1,1
chr1,39026690,39026724,2,"4,5",0,0,0,1,1
chr1,39026724,39026889,3,"3,4,5",0,0,1,1,1
chr1,39214394,39214614,2,"4,5",0,0,0,1,1
chr1,39566825,39567045,2,"4,5",0,0,0,1,1
chr1,40257902,40258126,2,"2,5",0,1,0,0,1
chr1,40939815,40939826,2,"2,5",0,1,0,0,1
chr1,40939826,40939838,3,"2,3,5",0,1,1,0,1
chr1,40939838,40939848,4,"2,3,4,5",0,1,1,1,1
chr1,40939848,40940024,5,"1,2,3,4,5",1,1,1,1,1
chr1,40940024,40940026,4,"2,3,4,5",0,1,1,1,1
chr1,40940026,40940039,3,"2,3,5",0,1,1,0,1
chr1,40940039,40940056,2,"3,5",0,0,1,0,1
chr1,41240262,41240275,2,"1,5",1,0,0,0,1
chr1,41240275,41240284,3,"1,4,5",1,0,0,1,1
chr1,41240284,41240438,4,"1,3,4,5",1,0,1,1,1
chr1,41240438,41240471,3,"3,4,5",0,0,1,1,1
chr1,41476743,41476749,2,"2,5",0,1,0,0,1
chr1,41476749,41476798,3,"2,3,5",0,1,1,0,1
chr1,41476798,41476810,4,"1,2,3,5",1,1,1,0,1
chr1,41476810,41476916,5,"1,2,3,4,5",1,1,1,1,1
chr1,41476916,41476967,4,"1,2,3,5",1,1,1,0,1
chr1,41476967,41476974,3,"1,3,5",1,0,1,0,1
chr1,41476974,41476979,2,"3,5",0,0,1,0,1
chr1,43348898,43348902,2,"4,5",0,0,0,1,1
chr1,43348902,43349118,3,"3,4,5",0,0,1,1,1
chr1,43349118,43349132,2,"3,5",0,0,1,0,1
chr1,43650584,43650691,2,"4,5",0,0,0,1,1
