chrom,start,end,peak_count,files,ENCFF001WUM.bed.gz,ENCFF001WUL.bed.gz,TF_TSS_10kb_named.bed
chr1,1279791,1282007,3,"1,2,3",1,1,1
chr1,1282158,1282417,3,"1,2,3",1,1,1
chr1,1282715,1284514,3,"1,2,3",1,1,1
chr1,1285022,1285374,3,"1,2,3",1,1,1
chr1,1307870,1307886,3,"1,2,3",1,1,1
chr1,1309209,1311863,3,"1,2,3",1,1,1
chr1,1332918,1336077,3,"1,2,3",1,1,1
chr1,1341274,1341421,3,"1,2,3",1,1,1
chr1,1341573,1344238,3,"1,2,3",1,1,1
chr1,1370542,1371037,3,"1,2,3",1,1,1
chr1,1371266,1371798,3,"1,2,3",1,1,1
chr1,1373457,1373841,3,"1,2,3",1,1,1
chr1,1446472,1447691,3,"1,2,3",1,1,1
chr1,1447881,1448109,3,"1,2,3",1,1,1
chr1,1448393,1448577,3,"1,2,3",1,1,1
chr1,1508698,1511183,3,"1,2,3",1,1,1
chr1,1535684,1536202,3,"1,2,3",1,1,1
chr1,1549596,1551673,3,"1,2,3",1,1,1
chr1,1590359,1590726,3,"1,2,3",1,1,1
chr1,1590949,1591007,3,"1,2,3",1,1,1
chr1,1591245,1591337,3,"1,2,3",1,1,1
chr1,1623812,1624012,3,"1,2,3",1,1,1
chr1,1624206,1624454,3,"1,2,3",1,1,1
chr1,1654849,1654905,3,"1,2,3",1,1,1
chr1,1655171,1655238,3,"1,2,3",1,1,1
chr1,1655633,1656016,3,"1,2,3",1,1,1
chr1,1677089,1677287,3,"1,2,3",1,1,1
chr1,1677481,1677856,3,"1,2,3",1,1,1
chr1,1690345,1690431,3,"1,2,3",1,1,1
chr1,1708460,1710637,3,"1,2,3",1,1,1
chr1,1790506,1791295,3,"1,2,3",1,1,1
chr1,1891303,1891628,3,"1,2,3",1,1,1
chr1,2131084,2131264,3,"1,2,3",1,1,1
chr1,2136763,2137189,3,"1,2,3",1,1,1
chr1,2139302,2140354,3,"1,2,3",1,1,1
chr1,2143653,2144648,3,"1,2,3",1,1,1
chr1,2321686,2324510,3,"1,2,3",1,1,1
chr1,2325016,2325132,3,"1,2,3",1,1,1
chr1,2342982,2343976,3,"1,2,3",1,1,1
chr1,2344171,2345996,3,"1,2,3",1,1,1
chr1,2383659,2384037,3,"1,2,3",1,1,1
chr1,2398820,2399093,3,"1,2,3",1,1,1
chr1,2516795,2518533,3,"1,2,3",1,1,1
chr1,2518745,2519168,3,"1,2,3",1,1,1
chr1,2573410,2575111,3,"1,2,3",1,1,1
chr1,3446848,3447908,3,"1,2,3",1,1,1
chr1,3448063,3448313,3,"1,2,3",1,1,1
chr1,3565584,3566834,3,"1,2,3",1,1,1
chr1,3568489,3568892,3,"1,2,3",1,1,1
chr1,3569052,3569202,3,"1,2,3",1,1,1
chr1,3569396,3569578,3,"1,2,3",1,1,1
chr1,3663190,3664688,3,"1,2,3",1,1,1
chr1,3711681,3713915,3,"1,2,3",1,1,1
chr1,3772508,3774877,3,"1,2,3",1,1,1
chr1,3815243,3817988,3,"1,2,3",1,1,1
chr1,6208620,6209351,3,"1,2,3",1,1,1
chr1,6239039,6239274,3,"1,2,3",1,1,1
chr1,6239895,6240034,3,"1,2,3",1,1,1
chr1,6257855,6260496,3,"1,2,3",1,1,1
chr1,6264786,6267326,3,"1,2,3",1,1,1
chr1,6445407,6446420,3,"1,2,3",1,1,1
chr1,6452156,6454637,3,"1,2,3",1,1,1
chr1,6549920,6551854,3,"1,2,3",1,1,1
chr1,6556793,6557380,3,"1,2,3",1,1,1
chr1,6557575,6557974,3,"1,2,3",1,1,1
chr1,6613126,6615079,3,"1,2,3",1,1,1
chr1,6639403,6641328,3,"1,2,3",1,1,1
chr1,6843704,6844333,3,"1,2,3",1,1,1
chr1,7359815,7359979,3,"1,2,3",1,1,1
chr1,7763818,7764109,3,"1,2,3",1,1,1
chr1,7765099,7765573,3,"1,2,3",1,1,1
chr1,7812686,7813160,3,"1,2,3",1,1,1
chr1,7843129,7843780,3,"1,2,3",1,1,1
chr1,7844110,7844188,3,"1,2,3",1,1,1
chr1,7844382,7844998,3,"1,2,3",1,1,1
chr1,8000559,8000869,3,"1,2,3",1,1,1
chr1,8013648,8014404,3,"1,2,3",1,1,1
chr1,8020595,8023046,3,"1,2,3",1,1,1
chr1,8064487,8065957,3,"1,2,3",1,1,1
chr1,8180766,8180826,3,"1,2,3",1,1,1
chr1,8181191,8181539,3,"1,2,3",1,1,1
chr1,8197754,8198162,3,"1,2,3",1,1,1
chr1,8215140,8215201,3,"1,2,3",1,1,1
chr1,8298330,8298781,3,"1,2,3",1,1,1
chr1,8319304,8319837,3,"1,2,3",1,1,1
chr1,8760376,8760430,3,"1,2,3",1,1,1
chr1,8875441,8878919,3,"1,2,3",1,1,1
chr1,8889681,8889927,3,"1,2,3",1,1,1
chr1,8935867,8940982,3,"1,2,3",1,1,1
chr1,8949436,8950748,3,"1,2,3",1,1,1
chr1,9187574,9189135,3,"1,2,3",1,1,1
chr1,9189457,9190022,3,"1,2,3",1,1,1
chr1,9239821,9243374,3,"1,2,3",1,1,1
chr1,9294160,9296003,3,"1,2,3",1,1,1
chr1,9498980,9499157,3,"1,2,3",1,1,1
chr1,9648347,9648557,3,"1,2,3",1,1,1
chr1,9648893,9650178,3,"1,2,3",1,1,1
chr1,9650536,9650594,3,"1,2,3",1,1,1
chr1,9958016,9958028,3,"1,2,3",1,1,1
chr1,9969202,9970097,3,"1,2,3",1,1,1
chr1,9970640,9971500,3,"1,2,3",1,1,1
chr1,10002423,10004063,3,"1,2,3",1,1,1
chr1,10004258,10004516,3,"1,2,3",1,1,1
chr1,10056999,10057966,3,"1,2,3",1,1,1
chr1,10058163,10058242,3,"1,2,3",1,1,1
chr1,10438284,10438559,3,"1,2,3",1,1,1
chr1,10439180,10439447,3,"1,2,3",1,1,1
chr1,10441082,10441374,3,"1,2,3",1,1,1
chr1,10447729,10448921,3,"1,2,3",1,1,1
chr1,10455671,10455989,3,"1,2,3",1,1,1
chr1,10456366,10458028,3,"1,2,3",1,1,1
chr1,10458200,10461816,3,"1,2,3",1,1,1
chr1,10462029,10463453,3,"1,2,3",1,1,1
chr1,10463661,10466088,3,"1,2,3",1,1,1
chr1,10466703,10467565,3,"1,2,3",1,1,1
chr1,10471679,10471960,3,"1,2,3",1,1,1
chr1,10472622,10472902,3,"1,2,3",1,1,1
chr1,10473351,10473545,3,"1,2,3",1,1,1
chr1,10475115,10475491,3,"1,2,3",1,1,1
chr1,11004110,11004316,3,"1,2,3",1,1,1
chr1,11004472,11004498,3,"1,2,3",1,1,1
chr1,11071607,11074672,3,"1,2,3",1,1,1
chr1,11158440,11160404,3,"1,2,3",1,1,1
chr1,11740370,11741992,3,"1,2,3",1,1,1
chr1,11779500,11780131,3,"1,2,3",1,1,1
chr1,11796096,11797523,3,"1,2,3",1,1,1
chr1,11845243,11845250,3,"1,2,3",1,1,1
chr1,11864687,11867464,3,"1,2,3",1,1,1
chr1,11984497,11985431,3,"1,2,3",1,1,1
chr1,11985642,11986283,3,"1,2,3",1,1,1
chr1,11986686,11986810,3,"1,2,3",1,1,1
chr1,12039761,12041685,3,"1,2,3",1,1,1
chr1,12078785,12078857,3,"1,2,3",1,1,1
chr1,12079026,12080599,3,"1,2,3",1,1,1
chr1,12226842,12227178,3,"1,2,3",1,1,1
chr1,12609673,12610186,3,"1,2,3",1,1,1
chr1,12653706,12653895,3,"1,2,3",1,1,1
chr1,12718958,12719063,3,"1,2,3",1,1,1
chr1,14219727,14219937,3,"1,2,3",1,1,1
chr1,15250218,15250630,3,"1,2,3",1,1,1
chr1,15251128,15251940,3,"1,2,3",1,1,1
chr1,15480832,15481952,3,"1,2,3",1,1,1
chr1,15482106,15482204,3,"1,2,3",1,1,1
chr1,15483762,15483910,3,"1,2,3",1,1,1
chr1,15484805,15485754,3,"1,2,3",1,1,1
chr1,15494409,15494509,3,"1,2,3",1,1,1
chr1,15494961,15495122,3,"1,2,3",1,1,1
chr1,15498956,15499047,3,"1,2,3",1,1,1
chr1,15516813,15516836,3,"1,2,3",1,1,1
chr1,15523864,15523909,3,"1,2,3",1,1,1
chr1,15526979,15528369,3,"1,2,3",1,1,1
chr1,15528581,15528902,3,"1,2,3",1,1,1
chr1,15573417,15574400,3,"1,2,3",1,1,1
chr1,15587885,15588195,3,"1,2,3",1,1,1
chr1,15598925,15599223,3,"1,2,3",1,1,1
chr1,15611160,15611295,3,"1,2,3",1,1,1
chr1,15611460,15611537,3,"1,2,3",1,1,1
chr1,15650107,15650205,3,"1,2,3",1,1,1
chr1,15678823,15679069,3,"1,2,3",1,1,1
chr1,15682411,15682894,3,"1,2,3",1,1,1
chr1,15735622,15739848,3,"1,2,3",1,1,1
chr1,15740069,15740209,3,"1,2,3",1,1,1
chr1,15742466,15742755,3,"1,2,3",1,1,1
chr1,15742994,15743030,3,"1,2,3",1,1,1
chr1,15743461,15743594,3,"1,2,3",1,1,1
chr1,15744051,15744223,3,"1,2,3",1,1,1
chr1,15753374,15753473,3,"1,2,3",1,1,1
chr1,15753695,15753843,3,"1,2,3",1,1,1
chr1,15849539,15850782,3,"1,2,3",1,1,1
chr1,15851091,15851366,3,"1,2,3",1,1,1
chr1,15851562,15854594,3,"1,2,3",1,1,1
chr1,15910443,15910610,3,"1,2,3",1,1,1
chr1,15910780,15911980,3,"1,2,3",1,1,1
chr1,15943156,15943776,3,"1,2,3",1,1,1
chr1,15943932,15945600,3,"1,2,3",1,1,1
chr1,16010207,16010835,3,"1,2,3",1,1,1
chr1,16011091,16012039,3,"1,2,3",1,1,1
chr1,16012246,16012611,3,"1,2,3",1,1,1
chr1,16121939,16121973,3,"1,2,3",1,1,1
chr1,16124397,16124765,3,"1,2,3",1,1,1
chr1,16125573,16127913,3,"1,2,3",1,1,1
chr1,16128068,16128794,3,"1,2,3",1,1,1
chr1,16159439,16163033,3,"1,2,3",1,1,1
chr1,16212394,16213400,3,"1,2,3",1,1,1
chr1,16242380,16242622,3,"1,2,3",1,1,1
chr1,16375180,16375366,3,"1,2,3",1,1,1
chr1,16466275,16466549,3,"1,2,3",1,1,1
chr1,16470185,16470358,3,"1,2,3",1,1,1
chr1,16470755,16474368,3,"1,2,3",1,1,1
chr1,16474688,16474845,3,"1,2,3",1,1,1
chr1,16476244,16476343,3,"1,2,3",1,1,1
chr1,16476992,16477436,3,"1,2,3",1,1,1
chr1,16505182,16505446,3,"1,2,3",1,1,1
chr1,16508640,16509055,3,"1,2,3",1,1,1
chr1,16515178,16515360,3,"1,2,3",1,1,1
chr1,16515817,16516025,3,"1,2,3",1,1,1
chr1,16532492,16534172,3,"1,2,3",1,1,1
chr1,16543413,16544426,3,"1,2,3",1,1,1
chr1,16562475,16564264,3,"1,2,3",1,1,1
chr1,16661083,16661347,3,"1,2,3",1,1,1
chr1,16677367,16679633,3,"1,2,3",1,1,1
chr1,16693203,16693429,3,"1,2,3",1,1,1
chr1,16693680,16695586,3,"1,2,3",1,1,1
chr1,16698363,16698692,3,"1,2,3",1,1,1
chr1,16698991,16699756,3,"1,2,3",1,1,1
chr1,16701955,16701978,3,"1,2,3",1,1,1
chr1,16702177,16702338,3,"1,2,3",1,1,1
chr1,16841307,16841511,3,"1,2,3",1,1,1
chr1,16858484,16858630,3,"1,2,3",1,1,1
chr1,16860682,16861262,3,"1,2,3",1,1,1
chr1,16861500,16862742,3,"1,2,3",1,1,1
chr1,16871211,16871455,3,"1,2,3",1,1,1
chr1,16871632,16871999,3,"1,2,3",1,1,1
chr1,16872438,16872745,3,"1,2,3",1,1,1
chr1,16872950,16873160,3,"1,2,3",1,1,1
chr1,16969563,16971798,3,"1,2,3",1,1,1
chr1,17020101,17020507,3,"1,2,3",1,1,1
chr1,17026966,17027115,3,"1,2,3",1,1,1
chr1,17186692,17186879,3,"1,2,3",1,1,1
chr1,17187883,17187993,3,"1,2,3",1,1,1
chr1,17188921,17189239,3,"1,2,3",1,1,1
chr1,17189470,17189639,3,"1,2,3",1,1,1
chr1,17198684,17198893,3,"1,2,3",1,1,1
chr1,17199106,17199407,3,"1,2,3",1,1,1
chr1,17199680,17200465,3,"1,2,3",1,1,1
chr1,17201618,17201910,3,"1,2,3",1,1,1
chr1,17214718,17214859,3,"1,2,3",1,1,1
chr1,17215043,17215081,3,"1,2,3",1,1,1
chr1,17239854,17241759,3,"1,2,3",1,1,1
chr1,17287004,17287266,3,"1,2,3",1,1,1
chr1,17287511,17287865,3,"1,2,3",1,1,1
chr1,17306818,17306941,3,"1,2,3",1,1,1
chr1,17337073,17338949,3,"1,2,3",1,1,1
chr1,17378944,17380898,3,"1,2,3",1,1,1
chr1,17763031,17764288,3,"1,2,3",1,1,1
chr1,17764512,17765313,3,"1,2,3",1,1,1
chr1,19249205,19249236,3,"1,2,3",1,1,1
chr1,19249782,19249803,3,"1,2,3",1,1,1
chr1,19275356,19283886,3,"1,2,3",1,1,1
chr1,19333785,19333915,3,"1,2,3",1,1,1
chr1,19337090,19337676,3,"1,2,3",1,1,1
chr1,19338188,19338247,3,"1,2,3",1,1,1
chr1,19338824,19339021,3,"1,2,3",1,1,1
chr1,19615561,19615648,3,"1,2,3",1,1,1
chr1,19637451,19639748,3,"1,2,3",1,1,1
chr1,19809972,19812059,3,"1,2,3",1,1,1
chr1,19812237,19813505,3,"1,2,3",1,1,1
chr1,19922613,19924927,3,"1,2,3",1,1,1
chr1,19969999,19970149,3,"1,2,3",1,1,1
chr1,19970366,19970453,3,"1,2,3",1,1,1
chr1,19971147,19972183,3,"1,2,3",1,1,1
chr1,20478490,20478991,3,"1,2,3",1,1,1
chr1,20582286,20582709,3,"1,2,3",1,1,1
chr1,20799787,20800157,3,"1,2,3",1,1,1
chr1,20801147,20801597,3,"1,2,3",1,1,1
chr1,20802381,20803573,3,"1,2,3",1,1,1
chr1,20805353,20805630,3,"1,2,3",1,1,1
chr1,20806264,20807527,3,"1,2,3",1,1,1
chr1,20807737,20807835,3,"1,2,3",1,1,1
chr1,20808155,20808691,3,"1,2,3",1,1,1
chr1,20808860,20808932,3,"1,2,3",1,1,1
chr1,20809137,20809217,3,"1,2,3",1,1,1
chr1,20809454,20813505,3,"1,2,3",1,1,1
chr1,20813716,20813791,3,"1,2,3",1,1,1
chr1,20833386,20835292,3,"1,2,3",1,1,1
chr1,20986483,20988905,3,"1,2,3",1,1,1
chr1,21065993,21065995,3,"1,2,3",1,1,1
chr1,21223094,21223234,3,"1,2,3",1,1,1
chr1,21223640,21223709,3,"1,2,3",1,1,1
chr1,21500753,21504037,3,"1,2,3",1,1,1
chr1,21588437,21589052,3,"1,2,3",1,1,1
chr1,21669484,21669694,3,"1,2,3",1,1,1
chr1,21670080,21670160,3,"1,2,3",1,1,1
chr1,21670717,21673253,3,"1,2,3",1,1,1
chr1,21766028,21767655,3,"1,2,3",1,1,1
chr1,21977731,21978230,3,"1,2,3",1,1,1
chr1,21995545,21995786,3,"1,2,3",1,1,1
chr1,22107941,22111061,3,"1,2,3",1,1,1
chr1,22257767,22258701,3,"1,2,3",1,1,1
chr1,22259802,22261028,3,"1,2,3",1,1,1
chr1,22261787,22263584,3,"1,2,3",1,1,1
chr1,22264021,22264477,3,"1,2,3",1,1,1
chr1,22740620,22740629,3,"1,2,3",1,1,1
chr1,22755215,22756180,3,"1,2,3",1,1,1
chr1,23036471,23037219,3,"1,2,3",1,1,1
chr1,23037660,23037760,3,"1,2,3",1,1,1
chr1,23037941,23038930,3,"1,2,3",1,1,1
chr1,23039187,23039380,3,"1,2,3",1,1,1
chr1,23066452,23066634,3,"1,2,3",1,1,1
chr1,23302607,23302668,3,"1,2,3",1,1,1
chr1,23302893,23303165,3,"1,2,3",1,1,1
chr1,23425467,23425557,3,"1,2,3",1,1,1
chr1,23426890,23426983,3,"1,2,3",1,1,1
chr1,23428890,23428974,3,"1,2,3",1,1,1
chr1,23503818,23504757,3,"1,2,3",1,1,1
chr1,23515379,23515660,3,"1,2,3",1,1,1
chr1,23541982,23544576,3,"1,2,3",1,1,1
chr1,23667171,23671870,3,"1,2,3",1,1,1
chr1,23693691,23697152,3,"1,2,3",1,1,1
chr1,23703533,23703880,3,"1,2,3",1,1,1
chr1,23809617,23810760,3,"1,2,3",1,1,1
chr1,23810929,23811814,3,"1,2,3",1,1,1
chr1,23854896,23855077,3,"1,2,3",1,1,1
chr1,23880375,23880526,3,"1,2,3",1,1,1
chr1,23894602,23895415,3,"1,2,3",1,1,1
chr1,23903105,23904649,3,"1,2,3",1,1,1
chr1,23904820,23904890,3,"1,2,3",1,1,1
chr1,23912106,23912197,3,"1,2,3",1,1,1
chr1,23912430,23912608,3,"1,2,3",1,1,1
chr1,23920272,23920413,3,"1,2,3",1,1,1
chr1,23961591,23962217,3,"1,2,3",1,1,1
chr1,24017857,24017881,3,"1,2,3",1,1,1
chr1,24069227,24072125,3,"1,2,3",1,1,1
chr1,24116759,24119019,3,"1,2,3",1,1,1
chr1,24125790,24128166,3,"1,2,3",1,1,1
chr1,24150774,24152644,3,"1,2,3",1,1,1
chr1,24193817,24195460,3,"1,2,3",1,1,1
chr1,24278007,24278364,3,"1,2,3",1,1,1
chr1,24285252,24288249,3,"1,2,3",1,1,1
chr1,24288406,24288725,3,"1,2,3",1,1,1
chr1,24302270,24302423,3,"1,2,3",1,1,1
chr1,24303893,24303961,3,"1,2,3",1,1,1
chr1,24304268,24307361,3,"1,2,3",1,1,1
chr1,24468925,24469916,3,"1,2,3",1,1,1
chr1,24476634,24477442,3,"1,2,3",1,1,1
chr1,24563277,24563350,3,"1,2,3",1,1,1
chr1,24738489,24738613,3,"1,2,3",1,1,1
chr1,24738822,24740604,3,"1,2,3",1,1,1
chr1,24741190,24743156,3,"1,2,3",1,1,1
chr1,24894569,24894796,3,"1,2,3",1,1,1
chr1,24968186,24968658,3,"1,2,3",1,1,1
chr1,24968959,24971578,3,"1,2,3",1,1,1
chr1,24971936,24972025,3,"1,2,3",1,1,1
chr1,25031499,25032550,3,"1,2,3",1,1,1
chr1,25051064,25051891,3,"1,2,3",1,1,1
chr1,25255474,25256306,3,"1,2,3",1,1,1
chr1,25256680,25257244,3,"1,2,3",1,1,1
chr1,25258585,25258646,3,"1,2,3",1,1,1
chr1,25259020,25259126,3,"1,2,3",1,1,1
chr1,25571833,25574973,3,"1,2,3",1,1,1
chr1,25833190,25833313,3,"1,2,3",1,1,1
chr1,25869999,25871210,3,"1,2,3",1,1,1
chr1,26184773,26186804,3,"1,2,3",1,1,1
chr1,26201082,26202317,3,"1,2,3",1,1,1
chr1,26218969,26219297,3,"1,2,3",1,1,1
chr1,26230776,26233430,3,"1,2,3",1,1,1
chr1,26323440,26325117,3,"1,2,3",1,1,1
chr1,26361315,26363001,3,"1,2,3",1,1,1
chr1,26436810,26439542,3,"1,2,3",1,1,1
chr1,26449953,26450102,3,"1,2,3",1,1,1
chr1,26560038,26562148,3,"1,2,3",1,1,1
chr1,26562583,26562769,3,"1,2,3",1,1,1
chr1,26563848,26564542,3,"1,2,3",1,1,1
chr1,26605996,26607313,3,"1,2,3",1,1,1
chr1,26632189,26633795,3,"1,2,3",1,1,1
chr1,26685494,26685577,3,"1,2,3",1,1,1
chr1,26826469,26828490,3,"1,2,3",1,1,1
chr1,26855664,26856127,3,"1,2,3",1,1,1
chr1,26856322,26858334,3,"1,2,3",1,1,1
chr1,26946107,26948521,3,"1,2,3",1,1,1
chr1,27003884,27004417,3,"1,2,3",1,1,1
chr1,27097686,27097767,3,"1,2,3",1,1,1
chr1,27190834,27192313,3,"1,2,3",1,1,1
chr1,27215113,27215142,3,"1,2,3",1,1,1
chr1,27215558,27217407,3,"1,2,3",1,1,1
chr1,27225684,27227626,3,"1,2,3",1,1,1
chr1,27317378,27318466,3,"1,2,3",1,1,1
chr1,27319392,27325739,3,"1,2,3",1,1,1
chr1,27325894,27326501,3,"1,2,3",1,1,1
chr1,27326673,27326923,3,"1,2,3",1,1,1
chr1,27339472,27339842,3,"1,2,3",1,1,1
chr1,27340123,27340222,3,"1,2,3",1,1,1
chr1,27524587,27524660,3,"1,2,3",1,1,1
chr1,27648102,27650109,3,"1,2,3",1,1,1
chr1,27650287,27650486,3,"1,2,3",1,1,1
chr1,27668754,27668772,3,"1,2,3",1,1,1
chr1,27675487,27676597,3,"1,2,3",1,1,1
chr1,27691543,27694023,3,"1,2,3",1,1,1
chr1,27718602,27719782,3,"1,2,3",1,1,1
chr1,27814493,27817424,3,"1,2,3",1,1,1
chr1,27866667,27866766,3,"1,2,3",1,1,1
chr1,27867260,27867402,3,"1,2,3",1,1,1
chr1,27868607,27868714,3,"1,2,3",1,1,1
chr1,27883504,27883580,3,"1,2,3",1,1,1
chr1,27883920,27884124,3,"1,2,3",1,1,1
chr1,27890385,27891026,3,"1,2,3",1,1,1
chr1,27894536,27895011,3,"1,2,3",1,1,1
chr1,27895399,27895448,3,"1,2,3",1,1,1
chr1,27901418,27901524,3,"1,2,3",1,1,1
chr1,27927989,27928169,3,"1,2,3",1,1,1
chr1,27928366,27931159,3,"1,2,3",1,1,1
chr1,27986081,27986995,3,"1,2,3",1,1,1
chr1,27995727,27996274,3,"1,2,3",1,1,1
chr1,27998273,27999331,3,"1,2,3",1,1,1
chr1,28098986,28101332,3,"1,2,3",1,1,1
chr1,28156438,28157166,3,"1,2,3",1,1,1
chr1,28198689,28199590,3,"1,2,3",1,1,1
chr1,28240141,28241278,3,"1,2,3",1,1,1
chr1,28261234,28261789,3,"1,2,3",1,1,1
chr1,28450330,28450387,3,"1,2,3",1,1,1
chr1,28557981,28560095,3,"1,2,3",1,1,1
chr1,28561680,28563085,3,"1,2,3",1,1,1
chr1,28572315,28574325,3,"1,2,3",1,1,1
chr1,28574561,28575711,3,"1,2,3",1,1,1
chr1,28575880,28576076,3,"1,2,3",1,1,1
chr1,28585398,28588281,3,"1,2,3",1,1,1
chr1,28654781,28656652,3,"1,2,3",1,1,1
chr1,28678216,28678502,3,"1,2,3",1,1,1
chr1,28695793,28697815,3,"1,2,3",1,1,1
chr1,28743988,28744346,3,"1,2,3",1,1,1
chr1,28878988,28880464,3,"1,2,3",1,1,1
chr1,28880686,28880933,3,"1,2,3",1,1,1
chr1,28974435,28976084,3,"1,2,3",1,1,1
chr1,29111748,29112094,3,"1,2,3",1,1,1
chr1,29213933,29215048,3,"1,2,3",1,1,1
chr1,29240478,29241900,3,"1,2,3",1,1,1
chr1,31296595,31297774,3,"1,2,3",1,1,1
chr1,31535146,31535261,3,"1,2,3",1,1,1
chr1,31535412,31535423,3,"1,2,3",1,1,1
chr1,31535761,31539200,3,"1,2,3",1,1,1
chr1,31627263,31627847,3,"1,2,3",1,1,1
chr1,31628038,31628988,3,"1,2,3",1,1,1
chr1,31635579,31635705,3,"1,2,3",1,1,1
chr1,31654450,31655416,3,"1,2,3",1,1,1
chr1,31768177,31768660,3,"1,2,3",1,1,1
chr1,32014643,32015661,3,"1,2,3",1,1,1
chr1,32083163,32083964,3,"1,2,3",1,1,1
chr1,32109101,32111621,3,"1,2,3",1,1,1
chr1,32166919,32167121,3,"1,2,3",1,1,1
chr1,32180073,32181710,3,"1,2,3",1,1,1
chr1,32226150,32227030,3,"1,2,3",1,1,1
chr1,32228168,32229659,3,"1,2,3",1,1,1
chr1,32229938,32230411,3,"1,2,3",1,1,1
chr1,32253444,32255031,3,"1,2,3",1,1,1
chr1,32392282,32392618,3,"1,2,3",1,1,1
chr1,32396456,32396593,3,"1,2,3",1,1,1
chr1,32396861,32397643,3,"1,2,3",1,1,1
chr1,32398167,32398557,3,"1,2,3",1,1,1
chr1,32399439,32399582,3,"1,2,3",1,1,1
chr1,32399765,32404010,3,"1,2,3",1,1,1
chr1,32405314,32406010,3,"1,2,3",1,1,1
chr1,32409501,32411114,3,"1,2,3",1,1,1
chr1,32420118,32420283,3,"1,2,3",1,1,1
chr1,32421749,32422090,3,"1,2,3",1,1,1
chr1,32429274,32429906,3,"1,2,3",1,1,1
chr1,32537711,32539526,3,"1,2,3",1,1,1
chr1,32608269,32608353,3,"1,2,3",1,1,1
chr1,32644727,32647407,3,"1,2,3",1,1,1
chr1,32670615,32672375,3,"1,2,3",1,1,1
chr1,32686580,32689005,3,"1,2,3",1,1,1
chr1,32689213,32689507,3,"1,2,3",1,1,1
chr1,32782064,32782237,3,"1,2,3",1,1,1
chr1,32816708,32818138,3,"1,2,3",1,1,1
chr1,32858969,32861181,3,"1,2,3",1,1,1
chr1,32930106,32931313,3,"1,2,3",1,1,1
chr1,32965243,32965244,3,"1,2,3",1,1,1
chr1,32965616,32966897,3,"1,2,3",1,1,1
chr1,32986175,32986719,3,"1,2,3",1,1,1
chr1,33004349,33005204,3,"1,2,3",1,1,1
chr1,33005417,33006157,3,"1,2,3",1,1,1
chr1,33006755,33006781,3,"1,2,3",1,1,1
chr1,33077509,33078482,3,"1,2,3",1,1,1
chr1,33167382,33169488,3,"1,2,3",1,1,1
chr1,33336571,33337141,3,"1,2,3",1,1,1
chr1,33351954,33352103,3,"1,2,3",1,1,1
chr1,33358655,33359321,3,"1,2,3",1,1,1
chr1,33438471,33439048,3,"1,2,3",1,1,1
chr1,33446454,33446978,3,"1,2,3",1,1,1
chr1,33457834,33458083,3,"1,2,3",1,1,1
chr1,33502008,33502674,3,"1,2,3",1,1,1
chr1,35350859,35351096,3,"1,2,3",1,1,1
chr1,35351444,35351625,3,"1,2,3",1,1,1
chr1,35730479,35730671,3,"1,2,3",1,1,1
chr1,35733814,35735885,3,"1,2,3",1,1,1
chr1,35736405,35736532,3,"1,2,3",1,1,1
chr1,36102664,36104500,3,"1,2,3",1,1,1
chr1,36104950,36105236,3,"1,2,3",1,1,1
