chrom,start,end,peak_count,files,ENCFF001XHD.bed.gz,ENCFF001XHB.bed.gz,TF_TSS_10kb_named.bed
chr1,1508480,1511207,3,"1,2,3",1,1,1
chr1,1511375,1511773,3,"1,2,3",1,1,1
chr1,1532883,1533044,3,"1,2,3",1,1,1
chr1,1534712,1535390,3,"1,2,3",1,1,1
chr1,1535743,1536110,3,"1,2,3",1,1,1
chr1,1548948,1551673,3,"1,2,3",1,1,1
chr1,1589619,1589665,3,"1,2,3",1,1,1
chr1,1590356,1590716,3,"1,2,3",1,1,1
chr1,1590939,1591008,3,"1,2,3",1,1,1
chr1,1591228,1591335,3,"1,2,3",1,1,1
chr1,1610173,1610190,3,"1,2,3",1,1,1
chr1,1623048,1623116,3,"1,2,3",1,1,1
chr1,1623812,1623979,3,"1,2,3",1,1,1
chr1,1624212,1624566,3,"1,2,3",1,1,1
chr1,1625389,1625566,3,"1,2,3",1,1,1
chr1,1654625,1654867,3,"1,2,3",1,1,1
chr1,1655170,1655240,3,"1,2,3",1,1,1
chr1,1655615,1655995,3,"1,2,3",1,1,1
chr1,1656530,1656617,3,"1,2,3",1,1,1
chr1,1658418,1658615,3,"1,2,3",1,1,1
chr1,1670442,1670564,3,"1,2,3",1,1,1
chr1,1676321,1676388,3,"1,2,3",1,1,1
chr1,1677088,1677275,3,"1,2,3",1,1,1
chr1,1677489,1677857,3,"1,2,3",1,1,1
chr1,1678915,1678972,3,"1,2,3",1,1,1
chr1,1689942,1690229,3,"1,2,3",1,1,1
chr1,1695125,1695439,3,"1,2,3",1,1,1
chr1,1706826,1707900,3,"1,2,3",1,1,1
chr1,1708223,1711122,3,"1,2,3",1,1,1
chr1,1789780,1791317,3,"1,2,3",1,1,1
chr1,1891428,1891599,3,"1,2,3",1,1,1
chr1,2131084,2131233,3,"1,2,3",1,1,1
chr1,2135953,2136348,3,"1,2,3",1,1,1
chr1,2136797,2137090,3,"1,2,3",1,1,1
chr1,2144029,2144307,3,"1,2,3",1,1,1
chr1,2144511,2144592,3,"1,2,3",1,1,1
chr1,2321494,2323017,3,"1,2,3",1,1,1
chr1,2323198,2324720,3,"1,2,3",1,1,1
chr1,2325117,2325335,3,"1,2,3",1,1,1
chr1,2343018,2346330,3,"1,2,3",1,1,1
chr1,2348005,2348282,3,"1,2,3",1,1,1
chr1,2515032,2516196,3,"1,2,3",1,1,1
chr1,2516846,2518533,3,"1,2,3",1,1,1
chr1,2518745,2519265,3,"1,2,3",1,1,1
chr1,2523449,2523569,3,"1,2,3",1,1,1
chr1,2524062,2524456,3,"1,2,3",1,1,1
chr1,2525476,2525700,3,"1,2,3",1,1,1
chr1,2573684,2575091,3,"1,2,3",1,1,1
chr1,3446784,3447925,3,"1,2,3",1,1,1
chr1,3448099,3448387,3,"1,2,3",1,1,1
chr1,3565059,3566900,3,"1,2,3",1,1,1
chr1,3568295,3570484,3,"1,2,3",1,1,1
chr1,3711316,3714219,3,"1,2,3",1,1,1
chr1,3772307,3774918,3,"1,2,3",1,1,1
chr1,3775104,3775248,3,"1,2,3",1,1,1
chr1,3786175,3786271,3,"1,2,3",1,1,1
chr1,3786454,3786969,3,"1,2,3",1,1,1
chr1,3815726,3818161,3,"1,2,3",1,1,1
chr1,6218233,6218464,3,"1,2,3",1,1,1
chr1,6239040,6239515,3,"1,2,3",1,1,1
chr1,6239822,6240490,3,"1,2,3",1,1,1
chr1,6253593,6253636,3,"1,2,3",1,1,1
chr1,6257444,6260349,3,"1,2,3",1,1,1
chr1,6264756,6267201,3,"1,2,3",1,1,1
chr1,6445180,6446979,3,"1,2,3",1,1,1
chr1,6451916,6454660,3,"1,2,3",1,1,1
chr1,6474608,6475024,3,"1,2,3",1,1,1
chr1,6475180,6475317,3,"1,2,3",1,1,1
chr1,6475511,6475738,3,"1,2,3",1,1,1
chr1,6531016,6532237,3,"1,2,3",1,1,1
chr1,6543383,6543584,3,"1,2,3",1,1,1
chr1,6545125,6546101,3,"1,2,3",1,1,1
chr1,6546865,6546989,3,"1,2,3",1,1,1
chr1,6550050,6551491,3,"1,2,3",1,1,1
chr1,6557096,6557328,3,"1,2,3",1,1,1
chr1,6557580,6558380,3,"1,2,3",1,1,1
chr1,6613109,6615155,3,"1,2,3",1,1,1
chr1,6639378,6641393,3,"1,2,3",1,1,1
chr1,6641932,6642148,3,"1,2,3",1,1,1
chr1,6642506,6642745,3,"1,2,3",1,1,1
chr1,6830728,6830893,3,"1,2,3",1,1,1
chr1,6843406,6844333,3,"1,2,3",1,1,1
chr1,7763648,7764440,3,"1,2,3",1,1,1
chr1,7764847,7765751,3,"1,2,3",1,1,1
chr1,7812654,7812921,3,"1,2,3",1,1,1
chr1,7842019,7843921,3,"1,2,3",1,1,1
chr1,7844457,7845913,3,"1,2,3",1,1,1
chr1,7846745,7847113,3,"1,2,3",1,1,1
chr1,7962746,7962903,3,"1,2,3",1,1,1
chr1,8002174,8002829,3,"1,2,3",1,1,1
chr1,8013658,8014404,3,"1,2,3",1,1,1
chr1,8020442,8023186,3,"1,2,3",1,1,1
chr1,8180981,8181706,3,"1,2,3",1,1,1
chr1,8197850,8198211,3,"1,2,3",1,1,1
chr1,8214946,8215220,3,"1,2,3",1,1,1
chr1,8298237,8298811,3,"1,2,3",1,1,1
chr1,8318989,8319317,3,"1,2,3",1,1,1
chr1,8319536,8319728,3,"1,2,3",1,1,1
chr1,8740430,8741537,3,"1,2,3",1,1,1
chr1,8760371,8760430,3,"1,2,3",1,1,1
chr1,8786256,8786669,3,"1,2,3",1,1,1
chr1,8875635,8878973,3,"1,2,3",1,1,1
chr1,8889066,8890143,3,"1,2,3",1,1,1
chr1,8935867,8940940,3,"1,2,3",1,1,1
chr1,8949944,8950690,3,"1,2,3",1,1,1
chr1,8975688,8975812,3,"1,2,3",1,1,1
chr1,8978296,8978510,3,"1,2,3",1,1,1
chr1,9184046,9184246,3,"1,2,3",1,1,1
chr1,9184603,9184691,3,"1,2,3",1,1,1
chr1,9185150,9186541,3,"1,2,3",1,1,1
chr1,9186710,9189173,3,"1,2,3",1,1,1
chr1,9189460,9190039,3,"1,2,3",1,1,1
chr1,9225236,9225596,3,"1,2,3",1,1,1
chr1,9239921,9243429,3,"1,2,3",1,1,1
chr1,9294290,9296303,3,"1,2,3",1,1,1
chr1,9508511,9508784,3,"1,2,3",1,1,1
chr1,9648288,9648652,3,"1,2,3",1,1,1
chr1,9648920,9650600,3,"1,2,3",1,1,1
chr1,9852528,9852759,3,"1,2,3",1,1,1
chr1,9935230,9935458,3,"1,2,3",1,1,1
chr1,9937730,9938547,3,"1,2,3",1,1,1
chr1,9952824,9953105,3,"1,2,3",1,1,1
chr1,9953352,9953581,3,"1,2,3",1,1,1
chr1,9960310,9960949,3,"1,2,3",1,1,1
chr1,9968925,9970215,3,"1,2,3",1,1,1
chr1,9970642,9971670,3,"1,2,3",1,1,1
chr1,10002198,10004064,3,"1,2,3",1,1,1
chr1,10004229,10004582,3,"1,2,3",1,1,1
chr1,10056794,10057672,3,"1,2,3",1,1,1
chr1,10447469,10448272,3,"1,2,3",1,1,1
chr1,10448731,10448756,3,"1,2,3",1,1,1
chr1,10458182,10461686,3,"1,2,3",1,1,1
chr1,10615882,10616244,3,"1,2,3",1,1,1
chr1,10645120,10646634,3,"1,2,3",1,1,1
chr1,10895569,10895982,3,"1,2,3",1,1,1
chr1,10896260,10896354,3,"1,2,3",1,1,1
chr1,10950971,10951008,3,"1,2,3",1,1,1
chr1,11001924,11002117,3,"1,2,3",1,1,1
chr1,11004091,11004473,3,"1,2,3",1,1,1
chr1,11020475,11021655,3,"1,2,3",1,1,1
chr1,11028237,11028812,3,"1,2,3",1,1,1
chr1,11071515,11074860,3,"1,2,3",1,1,1
chr1,11097458,11097740,3,"1,2,3",1,1,1
chr1,11158746,11160558,3,"1,2,3",1,1,1
chr1,11740349,11742128,3,"1,2,3",1,1,1
chr1,11779485,11780080,3,"1,2,3",1,1,1
chr1,11795679,11795723,3,"1,2,3",1,1,1
chr1,11796096,11797602,3,"1,2,3",1,1,1
chr1,11862321,11864206,3,"1,2,3",1,1,1
chr1,11864734,11867464,3,"1,2,3",1,1,1
chr1,11970181,11970243,3,"1,2,3",1,1,1
chr1,11983918,11985441,3,"1,2,3",1,1,1
chr1,11985616,11985866,3,"1,2,3",1,1,1
chr1,11986033,11986415,3,"1,2,3",1,1,1
chr1,11986571,11987152,3,"1,2,3",1,1,1
chr1,12039685,12041903,3,"1,2,3",1,1,1
chr1,12078754,12078817,3,"1,2,3",1,1,1
chr1,12079023,12080613,3,"1,2,3",1,1,1
chr1,12588082,12588339,3,"1,2,3",1,1,1
chr1,12609359,12610217,3,"1,2,3",1,1,1
chr1,12718854,12719032,3,"1,2,3",1,1,1
chr1,14218946,14220007,3,"1,2,3",1,1,1
chr1,14687533,14687645,3,"1,2,3",1,1,1
chr1,14692909,14692935,3,"1,2,3",1,1,1
chr1,14693092,14693419,3,"1,2,3",1,1,1
chr1,15250071,15252631,3,"1,2,3",1,1,1
chr1,15256219,15256383,3,"1,2,3",1,1,1
chr1,15417093,15417421,3,"1,2,3",1,1,1
chr1,15480832,15481106,3,"1,2,3",1,1,1
chr1,15527179,15527631,3,"1,2,3",1,1,1
chr1,15556094,15556154,3,"1,2,3",1,1,1
chr1,15556515,15556670,3,"1,2,3",1,1,1
chr1,15573251,15574472,3,"1,2,3",1,1,1
chr1,15598846,15599125,3,"1,2,3",1,1,1
chr1,15599409,15599570,3,"1,2,3",1,1,1
chr1,15650341,15650448,3,"1,2,3",1,1,1
chr1,15735536,15737687,3,"1,2,3",1,1,1
chr1,15737995,15738733,3,"1,2,3",1,1,1
chr1,15849530,15850774,3,"1,2,3",1,1,1
chr1,15851101,15854664,3,"1,2,3",1,1,1
chr1,15910409,15910603,3,"1,2,3",1,1,1
chr1,15910850,15912054,3,"1,2,3",1,1,1
chr1,15942985,15946785,3,"1,2,3",1,1,1
chr1,15948588,15948859,3,"1,2,3",1,1,1
chr1,16010179,16012811,3,"1,2,3",1,1,1
chr1,16126621,16127305,3,"1,2,3",1,1,1
chr1,16127512,16127546,3,"1,2,3",1,1,1
chr1,16158351,16163449,3,"1,2,3",1,1,1
chr1,16212563,16213635,3,"1,2,3",1,1,1
chr1,16471365,16471867,3,"1,2,3",1,1,1
chr1,16532487,16534042,3,"1,2,3",1,1,1
chr1,16536899,16539494,3,"1,2,3",1,1,1
chr1,16542800,16543959,3,"1,2,3",1,1,1
chr1,16544111,16544509,3,"1,2,3",1,1,1
chr1,16562529,16564331,3,"1,2,3",1,1,1
chr1,16661228,16661300,3,"1,2,3",1,1,1
chr1,16661451,16661800,3,"1,2,3",1,1,1
chr1,16676831,16676966,3,"1,2,3",1,1,1
chr1,16677182,16679827,3,"1,2,3",1,1,1
chr1,16689994,16690159,3,"1,2,3",1,1,1
chr1,16690425,16690643,3,"1,2,3",1,1,1
chr1,16693100,16693503,3,"1,2,3",1,1,1
chr1,16693693,16695869,3,"1,2,3",1,1,1
chr1,16841296,16841521,3,"1,2,3",1,1,1
chr1,16842572,16842673,3,"1,2,3",1,1,1
chr1,16871675,16871988,3,"1,2,3",1,1,1
chr1,16872416,16872569,3,"1,2,3",1,1,1
chr1,16872954,16873101,3,"1,2,3",1,1,1
chr1,16886222,16886408,3,"1,2,3",1,1,1
chr1,16892268,16892814,3,"1,2,3",1,1,1
chr1,16893099,16893266,3,"1,2,3",1,1,1
chr1,16893676,16893732,3,"1,2,3",1,1,1
chr1,16969493,16972039,3,"1,2,3",1,1,1
chr1,17022836,17023566,3,"1,2,3",1,1,1
chr1,17188986,17189088,3,"1,2,3",1,1,1
chr1,17199692,17199947,3,"1,2,3",1,1,1
chr1,17200165,17200315,3,"1,2,3",1,1,1
chr1,17239938,17241829,3,"1,2,3",1,1,1
chr1,17286896,17287347,3,"1,2,3",1,1,1
chr1,17306702,17307548,3,"1,2,3",1,1,1
chr1,17336968,17339012,3,"1,2,3",1,1,1
chr1,17378933,17380946,3,"1,2,3",1,1,1
chr1,17381190,17381347,3,"1,2,3",1,1,1
chr1,17762586,17765313,3,"1,2,3",1,1,1
chr1,19281194,19283825,3,"1,2,3",1,1,1
chr1,19336759,19337899,3,"1,2,3",1,1,1
chr1,19637238,19638577,3,"1,2,3",1,1,1
chr1,19638752,19640123,3,"1,2,3",1,1,1
chr1,19808526,19808605,3,"1,2,3",1,1,1
chr1,19809270,19811986,3,"1,2,3",1,1,1
chr1,19812233,19813520,3,"1,2,3",1,1,1
chr1,19922475,19925348,3,"1,2,3",1,1,1
chr1,19925685,19925923,3,"1,2,3",1,1,1
chr1,19970231,19970556,3,"1,2,3",1,1,1
chr1,19971066,19971766,3,"1,2,3",1,1,1
chr1,19980104,19980763,3,"1,2,3",1,1,1
chr1,20113056,20113131,3,"1,2,3",1,1,1
chr1,20113712,20113873,3,"1,2,3",1,1,1
chr1,20478516,20479026,3,"1,2,3",1,1,1
chr1,20802443,20803632,3,"1,2,3",1,1,1
chr1,20809928,20811956,3,"1,2,3",1,1,1
chr1,20812294,20813660,3,"1,2,3",1,1,1
chr1,20813968,20814125,3,"1,2,3",1,1,1
chr1,20833392,20835395,3,"1,2,3",1,1,1
chr1,20848793,20848822,3,"1,2,3",1,1,1
chr1,20849033,20849286,3,"1,2,3",1,1,1
chr1,20986183,20988937,3,"1,2,3",1,1,1
chr1,21500641,21504120,3,"1,2,3",1,1,1
chr1,21669356,21673188,3,"1,2,3",1,1,1
chr1,21765809,21767802,3,"1,2,3",1,1,1
chr1,21977449,21978272,3,"1,2,3",1,1,1
chr1,21985739,21986432,3,"1,2,3",1,1,1
chr1,21995207,21996174,3,"1,2,3",1,1,1
chr1,22002588,22002912,3,"1,2,3",1,1,1
chr1,22107557,22110592,3,"1,2,3",1,1,1
chr1,22114889,22114975,3,"1,2,3",1,1,1
chr1,22262265,22263532,3,"1,2,3",1,1,1
chr1,22264023,22264607,3,"1,2,3",1,1,1
chr1,22369475,22370009,3,"1,2,3",1,1,1
chr1,22739609,22739635,3,"1,2,3",1,1,1
chr1,22740978,22741160,3,"1,2,3",1,1,1
chr1,22743285,22743551,3,"1,2,3",1,1,1
chr1,22755227,22756204,3,"1,2,3",1,1,1
chr1,23036633,23037405,3,"1,2,3",1,1,1
chr1,23037680,23038599,3,"1,2,3",1,1,1
chr1,23153205,23153392,3,"1,2,3",1,1,1
chr1,23153691,23153740,3,"1,2,3",1,1,1
chr1,23302480,23303424,3,"1,2,3",1,1,1
chr1,23503667,23504799,3,"1,2,3",1,1,1
chr1,23510912,23511452,3,"1,2,3",1,1,1
chr1,23543149,23544356,3,"1,2,3",1,1,1
chr1,23551472,23552024,3,"1,2,3",1,1,1
chr1,23666534,23667029,3,"1,2,3",1,1,1
chr1,23667366,23672003,3,"1,2,3",1,1,1
chr1,23692681,23696729,3,"1,2,3",1,1,1
chr1,23750791,23751913,3,"1,2,3",1,1,1
chr1,23809466,23811505,3,"1,2,3",1,1,1
chr1,23854469,23854740,3,"1,2,3",1,1,1
chr1,23854921,23855077,3,"1,2,3",1,1,1
chr1,23866197,23866807,3,"1,2,3",1,1,1
chr1,23880492,23880526,3,"1,2,3",1,1,1
chr1,23894590,23895012,3,"1,2,3",1,1,1
chr1,23911992,23912517,3,"1,2,3",1,1,1
chr1,23945681,23946800,3,"1,2,3",1,1,1
chr1,23961519,23962209,3,"1,2,3",1,1,1
chr1,24017678,24017881,3,"1,2,3",1,1,1
chr1,24053699,24054637,3,"1,2,3",1,1,1
chr1,24069194,24072275,3,"1,2,3",1,1,1
chr1,24116804,24119177,3,"1,2,3",1,1,1
chr1,24125769,24128498,3,"1,2,3",1,1,1
chr1,24150697,24153201,3,"1,2,3",1,1,1
chr1,24193728,24195434,3,"1,2,3",1,1,1
chr1,24283551,24284507,3,"1,2,3",1,1,1
chr1,24284722,24288643,3,"1,2,3",1,1,1
chr1,24303214,24307514,3,"1,2,3",1,1,1
chr1,24469088,24469936,3,"1,2,3",1,1,1
chr1,24476652,24477504,3,"1,2,3",1,1,1
chr1,24542997,24543220,3,"1,2,3",1,1,1
chr1,24739304,24740658,3,"1,2,3",1,1,1
chr1,24741701,24743798,3,"1,2,3",1,1,1
chr1,24894462,24894604,3,"1,2,3",1,1,1
chr1,24913666,24913736,3,"1,2,3",1,1,1
chr1,24920768,24921105,3,"1,2,3",1,1,1
chr1,24927426,24927577,3,"1,2,3",1,1,1
chr1,24967984,24968687,3,"1,2,3",1,1,1
chr1,24968928,24971928,3,"1,2,3",1,1,1
chr1,25031386,25032665,3,"1,2,3",1,1,1
chr1,25050795,25051858,3,"1,2,3",1,1,1
chr1,25235695,25236293,3,"1,2,3",1,1,1
chr1,25258642,25258790,3,"1,2,3",1,1,1
chr1,25259112,25259245,3,"1,2,3",1,1,1
chr1,25571478,25575058,3,"1,2,3",1,1,1
chr1,25832772,25833360,3,"1,2,3",1,1,1
chr1,25833756,25833816,3,"1,2,3",1,1,1
chr1,25869677,25871210,3,"1,2,3",1,1,1
chr1,25894629,25894691,3,"1,2,3",1,1,1
chr1,25894926,25895498,3,"1,2,3",1,1,1
chr1,25899582,25900608,3,"1,2,3",1,1,1
chr1,26184709,26187116,3,"1,2,3",1,1,1
chr1,26201305,26202401,3,"1,2,3",1,1,1
chr1,26229211,26233893,3,"1,2,3",1,1,1
chr1,26323401,26325360,3,"1,2,3",1,1,1
chr1,26361338,26363210,3,"1,2,3",1,1,1
chr1,26436501,26439690,3,"1,2,3",1,1,1
chr1,26440258,26440399,3,"1,2,3",1,1,1
chr1,26440780,26441026,3,"1,2,3",1,1,1
chr1,26441397,26441518,3,"1,2,3",1,1,1
chr1,26452967,26452995,3,"1,2,3",1,1,1
chr1,26453264,26453307,3,"1,2,3",1,1,1
chr1,26453697,26453953,3,"1,2,3",1,1,1
chr1,26455963,26456009,3,"1,2,3",1,1,1
chr1,26471528,26471720,3,"1,2,3",1,1,1
chr1,26551974,26552230,3,"1,2,3",1,1,1
chr1,26560049,26560411,3,"1,2,3",1,1,1
chr1,26560599,26562097,3,"1,2,3",1,1,1
chr1,26562721,26562827,3,"1,2,3",1,1,1
chr1,26605636,26607355,3,"1,2,3",1,1,1
chr1,26632145,26634231,3,"1,2,3",1,1,1
chr1,26647932,26648165,3,"1,2,3",1,1,1
chr1,26796505,26796652,3,"1,2,3",1,1,1
chr1,26797058,26797472,3,"1,2,3",1,1,1
chr1,26826389,26828780,3,"1,2,3",1,1,1
chr1,26855630,26856108,3,"1,2,3",1,1,1
chr1,26856321,26857573,3,"1,2,3",1,1,1
chr1,26857858,26858021,3,"1,2,3",1,1,1
chr1,26945710,26948783,3,"1,2,3",1,1,1
chr1,26948942,26949311,3,"1,2,3",1,1,1
chr1,27003840,27004636,3,"1,2,3",1,1,1
chr1,27190834,27192847,3,"1,2,3",1,1,1
chr1,27215071,27217641,3,"1,2,3",1,1,1
chr1,27225372,27227650,3,"1,2,3",1,1,1
chr1,27319587,27321281,3,"1,2,3",1,1,1
chr1,27324272,27324754,3,"1,2,3",1,1,1
chr1,27334419,27334605,3,"1,2,3",1,1,1
chr1,27334918,27335066,3,"1,2,3",1,1,1
chr1,27337132,27339368,3,"1,2,3",1,1,1
chr1,27339657,27339893,3,"1,2,3",1,1,1
chr1,27340161,27340644,3,"1,2,3",1,1,1
chr1,27357830,27357969,3,"1,2,3",1,1,1
chr1,27371275,27371384,3,"1,2,3",1,1,1
chr1,27524374,27524485,3,"1,2,3",1,1,1
chr1,27648058,27650350,3,"1,2,3",1,1,1
chr1,27667986,27670613,3,"1,2,3",1,1,1
chr1,27671374,27671585,3,"1,2,3",1,1,1
chr1,27675326,27676941,3,"1,2,3",1,1,1
chr1,27691483,27694167,3,"1,2,3",1,1,1
chr1,27718216,27719670,3,"1,2,3",1,1,1
chr1,27814546,27817429,3,"1,2,3",1,1,1
chr1,27826461,27826888,3,"1,2,3",1,1,1
chr1,27853939,27855678,3,"1,2,3",1,1,1
chr1,27867060,27867191,3,"1,2,3",1,1,1
chr1,27894654,27895007,3,"1,2,3",1,1,1
chr1,27895276,27895585,3,"1,2,3",1,1,1
chr1,27901221,27901524,3,"1,2,3",1,1,1
chr1,27927299,27927419,3,"1,2,3",1,1,1
chr1,27927635,27931149,3,"1,2,3",1,1,1
chr1,27960750,27961029,3,"1,2,3",1,1,1
chr1,27985806,27987270,3,"1,2,3",1,1,1
chr1,27995734,27996638,3,"1,2,3",1,1,1
chr1,27997210,27997959,3,"1,2,3",1,1,1
chr1,27998136,27999809,3,"1,2,3",1,1,1
chr1,28098679,28101478,3,"1,2,3",1,1,1
chr1,28156281,28157166,3,"1,2,3",1,1,1
chr1,28198779,28199470,3,"1,2,3",1,1,1
chr1,28201929,28202105,3,"1,2,3",1,1,1
chr1,28240064,28241747,3,"1,2,3",1,1,1
chr1,28261132,28261878,3,"1,2,3",1,1,1
chr1,28558558,28560079,3,"1,2,3",1,1,1
chr1,28561658,28563085,3,"1,2,3",1,1,1
chr1,28572282,28575913,3,"1,2,3",1,1,1
chr1,28585280,28585797,3,"1,2,3",1,1,1
chr1,28585963,28588302,3,"1,2,3",1,1,1
chr1,28588462,28589057,3,"1,2,3",1,1,1
chr1,28589576,28589867,3,"1,2,3",1,1,1
chr1,28591486,28591710,3,"1,2,3",1,1,1
chr1,28640541,28640912,3,"1,2,3",1,1,1
chr1,28654699,28656615,3,"1,2,3",1,1,1
chr1,28678178,28678416,3,"1,2,3",1,1,1
chr1,28695632,28697864,3,"1,2,3",1,1,1
chr1,28736712,28736786,3,"1,2,3",1,1,1
chr1,28744057,28744317,3,"1,2,3",1,1,1
chr1,28878851,28880464,3,"1,2,3",1,1,1
chr1,28880661,28880960,3,"1,2,3",1,1,1
chr1,28974311,28975046,3,"1,2,3",1,1,1
chr1,28975277,28976472,3,"1,2,3",1,1,1
chr1,29111663,29112370,3,"1,2,3",1,1,1
chr1,29138423,29138615,3,"1,2,3",1,1,1
chr1,29138875,29139058,3,"1,2,3",1,1,1
chr1,29213933,29214746,3,"1,2,3",1,1,1
chr1,29240411,29242230,3,"1,2,3",1,1,1
chr1,29242400,29242415,3,"1,2,3",1,1,1
chr1,31255341,31255767,3,"1,2,3",1,1,1
chr1,31296511,31297948,3,"1,2,3",1,1,1
chr1,31326858,31327104,3,"1,2,3",1,1,1
chr1,31534738,31539186,3,"1,2,3",1,1,1
chr1,31625353,31625707,3,"1,2,3",1,1,1
chr1,31627118,31627803,3,"1,2,3",1,1,1
chr1,31627972,31628898,3,"1,2,3",1,1,1
chr1,31635733,31635904,3,"1,2,3",1,1,1
chr1,31645289,31645410,3,"1,2,3",1,1,1
chr1,31654821,31655628,3,"1,2,3",1,1,1
chr1,31767819,31767963,3,"1,2,3",1,1,1
chr1,31768161,31768660,3,"1,2,3",1,1,1
chr1,31845866,31846916,3,"1,2,3",1,1,1
chr1,32014634,32015741,3,"1,2,3",1,1,1
chr1,32083511,32083912,3,"1,2,3",1,1,1
chr1,32109092,32111544,3,"1,2,3",1,1,1
chr1,32180844,32181426,3,"1,2,3",1,1,1
chr1,32228252,32229651,3,"1,2,3",1,1,1
chr1,32230038,32230560,3,"1,2,3",1,1,1
chr1,32253506,32255016,3,"1,2,3",1,1,1
chr1,32347122,32347461,3,"1,2,3",1,1,1
chr1,32396497,32397629,3,"1,2,3",1,1,1
chr1,32398287,32398826,3,"1,2,3",1,1,1
chr1,32399938,32399960,3,"1,2,3",1,1,1
chr1,32400504,32403812,3,"1,2,3",1,1,1
chr1,32404091,32404679,3,"1,2,3",1,1,1
chr1,32405128,32405485,3,"1,2,3",1,1,1
chr1,32537629,32539783,3,"1,2,3",1,1,1
chr1,32644672,32647122,3,"1,2,3",1,1,1
chr1,32670413,32672658,3,"1,2,3",1,1,1
chr1,32686267,32689558,3,"1,2,3",1,1,1
chr1,32689908,32690000,3,"1,2,3",1,1,1
chr1,32816590,32818353,3,"1,2,3",1,1,1
chr1,32858612,32861351,3,"1,2,3",1,1,1
chr1,32861529,32861702,3,"1,2,3",1,1,1
